,date,open,high,low,close,volume,120,180,240
0,2018-11-12,7.39,7.67,7.31,7.67,6292630.0,,,
1,2018-11-13,7.59,7.87,7.55,7.78,7912079.0,,,
2,2018-11-14,7.72,7.9,7.69,7.78,6093495.0,,,
3,2018-11-15,7.79,8.15,7.72,8.08,8577881.0,,,
4,2018-11-16,8.15,8.25,8.03,8.04,6120491.0,,,
5,2018-11-19,8.03,8.09,7.83,8.02,5138239.0,,,
6,2018-11-20,7.97,8.13,7.77,7.77,5794443.0,,,
7,2018-11-21,7.74,7.88,7.62,7.86,3654457.0,,,
8,2018-11-22,7.95,7.96,7.7,7.83,3485950.0,,,
9,2018-11-23,7.85,7.86,7.3,7.32,5318204.0,,,
10,2018-11-26,7.27,7.41,7.24,7.27,2286700.0,,,
11,2018-11-27,7.34,7.43,7.25,7.33,2709988.0,,,
12,2018-11-28,7.3,7.53,7.18,7.52,4412739.0,,,
13,2018-11-29,7.59,7.63,7.18,7.19,3855100.0,,,
14,2018-11-30,7.14,7.31,7.1,7.29,2774700.0,,,
15,2018-12-03,7.48,7.99,7.38,7.74,8947103.0,,,
16,2018-12-04,7.76,7.78,7.61,7.72,5507357.0,,,
17,2018-12-05,7.6,8.39,7.52,7.88,10521267.0,,,
18,2018-12-06,8.39,8.67,8.39,8.67,8408013.0,,,
19,2018-12-07,9.54,9.54,9.49,9.54,16879799.0,,,
20,2018-12-10,9.55,9.63,8.59,8.59,25721413.0,,,
21,2018-12-11,8.41,8.59,8.08,8.3,22211511.0,,,
22,2018-12-12,8.2,8.35,8.04,8.17,13709412.0,,,
23,2018-12-13,8.22,8.4,8.1,8.26,13658350.0,,,
24,2018-12-14,8.19,8.19,7.77,7.8,11352746.0,,,
25,2018-12-17,7.7,7.83,7.6,7.83,6890065.0,,,
26,2018-12-18,7.7,7.84,7.55,7.62,5956046.0,,,
27,2018-12-19,7.65,8.07,7.58,8.07,12794678.0,,,
28,2018-12-20,7.92,8.03,7.72,7.93,10625325.0,,,
29,2018-12-21,7.84,8.29,7.76,8.06,11094296.0,,,
30,2018-12-24,7.98,8.19,7.94,8.14,8066906.0,,,
31,2018-12-25,8.0,8.0,7.59,7.87,8548553.0,,,
32,2018-12-26,7.89,8.1,7.88,7.89,6497152.0,,,
33,2018-12-27,8.02,8.09,7.4,7.5,7482230.0,,,
34,2018-12-28,7.53,7.64,7.4,7.42,5408383.0,,,
35,2019-01-02,7.51,7.61,7.45,7.54,3555070.0,,,
36,2019-01-03,7.5,7.76,7.48,7.6,4281188.0,,,
37,2019-01-04,7.45,7.87,7.41,7.81,6418365.0,,,
38,2019-01-07,7.83,8.12,7.77,8.09,8501615.0,,,
39,2019-01-08,8.06,8.12,7.92,7.99,6076147.0,,,
40,2019-01-09,8.01,8.16,7.93,7.93,8505070.0,,,
41,2019-01-10,7.98,8.11,7.91,7.96,7094922.0,,,
42,2019-01-11,8.04,8.04,7.88,8.0,5481415.0,,,
43,2019-01-14,7.99,7.99,7.72,7.81,5136152.0,,,
44,2019-01-15,7.77,8.07,7.75,8.07,7752851.0,,,
45,2019-01-17,8.15,8.68,8.08,8.25,15456657.0,,,
46,2019-01-18,8.1,8.4,8.0,8.34,9860413.0,,,
