,date,open,high,low,close,volume,120,180,240
0,2018-11-13,17.0,17.33,16.88,17.23,2362400.0,,,
1,2018-11-14,17.21,17.76,17.13,17.51,3503820.0,,,
2,2018-11-15,17.51,17.7,17.34,17.69,2902736.0,,,
3,2018-11-16,17.7,17.86,17.54,17.57,2497800.0,,,
4,2018-11-19,17.57,17.7,17.3,17.52,1622800.0,,,
5,2018-11-20,17.5,18.39,17.36,18.01,5489560.0,,,
6,2018-11-21,17.85,17.85,17.41,17.65,2539350.0,,,
7,2018-11-22,17.58,17.79,17.37,17.44,1706700.0,,,
8,2018-11-23,17.46,17.56,16.39,16.44,2500500.0,,,
9,2018-11-26,16.48,16.79,16.43,16.58,1062900.0,,,
10,2018-11-27,16.61,16.85,16.59,16.66,930550.0,,,
11,2018-11-28,16.68,16.68,16.23,16.58,1148150.0,,,
12,2018-11-29,16.59,16.81,15.95,15.95,1301520.0,,,
13,2018-11-30,15.96,16.46,15.89,16.43,1212506.0,,,
14,2018-12-03,16.69,17.39,16.54,16.92,2264006.0,,,
15,2018-12-04,16.92,17.02,16.67,16.89,1408100.0,,,
16,2018-12-05,16.51,16.69,16.4,16.45,1622300.0,,,
17,2018-12-06,16.62,16.67,16.17,16.22,1232900.0,,,
18,2018-12-07,16.35,16.5,16.22,16.37,845100.0,,,
19,2018-12-10,16.23,17.02,16.23,16.56,1499300.0,,,
20,2018-12-11,16.52,16.82,16.34,16.53,1051000.0,,,
21,2018-12-12,16.51,16.62,16.5,16.53,867500.0,,,
22,2018-12-13,16.67,18.09,16.34,17.39,5687406.0,,,
23,2018-12-14,17.11,17.22,16.38,16.38,3925296.0,,,
24,2018-12-17,16.28,16.67,16.23,16.38,1958278.0,,,
25,2018-12-18,16.41,16.51,16.23,16.29,1244100.0,,,
26,2018-12-19,16.4,16.41,16.14,16.14,1186100.0,,,
27,2018-12-20,16.05,16.23,15.98,16.15,813400.0,,,
28,2018-12-21,16.2,16.2,15.88,15.94,975763.0,,,
29,2018-12-24,15.94,16.13,15.94,16.09,856010.0,,,
30,2018-12-25,15.99,15.99,14.77,15.78,1537720.0,,,
31,2018-12-26,15.69,15.88,15.32,15.55,853500.0,,,
32,2018-12-27,15.84,15.84,15.25,15.25,932200.0,,,
33,2018-12-28,15.26,15.45,14.89,14.89,905006.0,,,
34,2019-01-02,15.09,15.32,14.9,15.29,965715.0,,,
35,2019-01-03,15.29,15.35,14.98,14.99,715215.0,,,
36,2019-01-04,14.91,15.24,14.79,15.19,817300.0,,,
37,2019-01-07,15.24,15.42,15.18,15.3,1116800.0,,,
38,2019-01-08,15.33,15.59,15.24,15.28,1039237.0,,,
39,2019-01-09,15.44,15.46,15.26,15.29,1007900.0,,,
40,2019-01-10,15.34,15.34,15.15,15.16,795922.0,,,
41,2019-01-11,15.31,15.31,15.03,15.17,813021.0,,,
42,2019-01-14,15.21,15.28,14.99,15.06,643700.0,,,
43,2019-01-15,15.16,15.16,14.89,15.11,850474.0,,,
44,2019-01-16,15.11,15.29,15.04,15.17,970512.0,,,
45,2019-01-17,15.13,15.35,15.06,15.1,940900.0,,,
46,2019-01-18,15.05,15.18,14.96,15.06,771643.0,,,
47,2019-01-21,15.12,15.29,15.02,15.16,913019.0,,,
48,2019-01-22,15.26,15.26,14.9,15.03,861900.0,,,
49,2019-01-23,15.03,15.03,14.84,14.85,784016.0,,,
50,2019-01-24,14.86,15.32,14.83,15.21,1174990.0,,,
51,2019-01-25,15.3,16.73,15.26,15.31,2950316.0,,,
52,2019-01-28,15.34,15.72,15.12,15.17,1191830.0,,,
53,2019-01-29,15.17,15.17,13.87,14.16,1960902.0,,,
54,2019-01-30,14.09,14.32,13.69,13.73,1075132.0,,,
55,2019-01-31,13.78,13.95,12.54,12.83,2033016.0,,,
56,2019-02-01,12.87,14.06,12.87,13.71,1471500.0,,,
57,2019-02-11,14.47,14.47,13.67,13.88,1696900.0,,,
58,2019-02-12,13.82,13.98,13.74,13.92,1244100.0,,,
59,2019-02-13,13.99,14.23,13.89,14.21,1638500.0,,,
60,2019-02-14,14.13,14.37,14.09,14.22,1255300.0,,,
61,2019-02-15,14.32,14.32,14.1,14.18,963800.0,,,
62,2019-02-18,14.23,14.66,14.22,14.55,1730500.0,,,
63,2019-02-19,14.75,14.92,14.36,14.65,1928100.0,,,
64,2019-02-20,14.61,14.73,14.4,14.55,1330761.0,,,
65,2019-02-21,14.6,14.8,14.47,14.52,1752161.0,,,
66,2019-02-22,14.4,14.73,14.4,14.7,1430920.0,,,
67,2019-02-25,14.72,15.3,14.72,15.24,2784119.0,,,
68,2019-02-26,15.31,15.9,15.07,15.38,3446986.0,,,
69,2019-02-27,15.38,15.62,15.08,15.3,2362606.0,,,
70,2019-02-28,15.3,15.5,15.19,15.36,1664320.0,,,
71,2019-03-01,15.4,15.52,15.32,15.45,1675020.0,,,
72,2019-03-04,15.45,15.94,15.45,15.58,2839341.0,,,
73,2019-03-05,15.61,15.78,15.48,15.75,2214295.0,,,
74,2019-03-06,15.9,16.04,15.66,16.03,3049550.0,,,
75,2019-03-07,16.07,16.51,15.75,16.2,3797575.0,,,
76,2019-03-08,15.85,15.89,14.91,14.91,3562028.0,,,
77,2019-03-11,14.89,15.5,14.89,15.45,2206449.0,,,
78,2019-03-12,15.45,16.14,15.45,16.04,4317107.0,,,
79,2019-03-13,16.05,16.23,15.37,15.62,2797619.0,,,
80,2019-03-14,15.62,15.74,14.87,15.15,2697600.0,,,
81,2019-03-15,15.33,16.67,15.21,16.67,7206875.0,,,
82,2019-03-18,16.67,17.4,16.43,16.77,10410567.0,,,
83,2019-03-19,16.57,16.83,16.33,16.8,6054900.0,,,
84,2019-03-20,16.63,16.86,16.38,16.57,3988300.0,,,
85,2019-03-21,16.75,17.11,16.54,16.8,5623168.0,,,
86,2019-03-22,16.66,16.85,16.33,16.61,2394243.0,,,
87,2019-03-25,16.33,16.59,16.16,16.28,2404613.0,,,
88,2019-03-26,16.33,16.51,15.53,15.78,2743074.0,,,
89,2019-03-27,15.78,15.97,15.39,15.95,2422000.0,,,
90,2019-03-28,15.91,15.94,15.57,15.59,1855700.0,,,
91,2019-03-29,15.59,17.14,15.46,17.14,5693408.0,,,
92,2019-04-01,17.06,18.37,16.93,17.41,10663471.0,,,
93,2019-04-02,17.41,17.41,16.95,17.25,6177058.0,,,
94,2019-04-03,17.07,17.19,16.92,17.08,3217400.0,,,
95,2019-04-04,17.08,17.44,16.9,16.96,3411700.0,,,
96,2019-04-08,16.97,17.12,16.64,16.78,2655364.0,,,
97,2019-04-09,16.74,17.47,16.74,17.19,3559074.0,,,
98,2019-04-10,17.16,17.16,16.72,16.92,2691900.0,,,
99,2019-04-11,17.01,17.04,16.31,16.47,2005800.0,,,
100,2019-04-12,16.38,17.32,16.38,16.77,2481300.0,,,
101,2019-04-15,16.92,17.36,16.64,16.65,2131200.0,,,
102,2019-04-16,16.51,16.98,16.4,16.86,1747500.0,,,
103,2019-04-17,16.9,17.07,16.7,16.89,1816100.0,,,
104,2019-04-18,16.92,17.03,16.71,16.97,1761310.0,,,
105,2019-04-19,16.93,17.26,16.77,16.86,1776200.0,,,
