,date,open,high,low,close,volume,120,180,240
0,2018-11-13,8.61,8.8,8.59,8.78,1846719.0,,,
1,2018-11-14,8.77,9.0,8.71,8.89,1966300.0,,,
2,2018-11-15,8.9,9.29,8.76,9.19,3049719.0,,,
3,2018-11-16,9.24,9.56,9.11,9.35,2895351.0,,,
4,2018-11-19,9.29,9.38,9.17,9.29,1193692.0,,,
5,2018-11-20,9.21,9.21,8.87,8.93,1453800.0,,,
6,2018-11-21,8.79,8.98,8.76,8.97,965992.0,,,
7,2018-11-22,9.01,9.05,8.9,8.96,770700.0,,,
8,2018-11-23,8.95,8.97,8.56,8.7,1623578.0,,,
9,2018-11-26,8.66,8.86,8.48,8.53,767600.0,,,
10,2018-11-27,8.56,9.06,8.48,9.06,2577440.0,,,
11,2018-11-28,9.02,9.36,8.86,9.28,2318300.0,,,
12,2018-11-29,9.05,10.21,9.05,10.21,7704459.0,,,
13,2018-11-30,10.18,11.23,10.09,10.77,8487979.0,,,
14,2018-12-03,10.77,11.05,10.31,10.52,8446255.0,,,
15,2018-12-04,10.52,10.52,9.74,9.86,8143590.0,,,
16,2018-12-05,9.61,9.66,9.25,9.42,7658500.0,,,
17,2018-12-06,9.36,9.38,8.97,9.0,4703709.0,,,
18,2018-12-07,8.99,9.08,8.91,9.0,2439524.0,,,
19,2018-12-10,8.91,9.06,8.81,9.03,1969278.0,,,
20,2018-12-11,9.04,9.06,8.92,9.0,1593678.0,,,
21,2018-12-12,9.02,9.02,8.91,9.0,1621000.0,,,
22,2018-12-13,9.0,9.05,8.89,8.95,1851156.0,,,
23,2018-12-14,8.94,8.94,8.51,8.55,2549324.0,,,
24,2018-12-17,8.55,8.6,8.45,8.59,1219892.0,,,
25,2018-12-18,8.51,8.57,8.42,8.46,1335492.0,,,
26,2018-12-19,8.51,8.54,8.4,8.41,1087692.0,,,
27,2018-12-20,8.36,8.49,8.35,8.47,699192.0,,,
28,2018-12-21,8.43,8.49,8.37,8.43,736592.0,,,
29,2018-12-24,8.38,8.58,8.38,8.57,1031400.0,,,
30,2018-12-25,8.5,8.51,8.22,8.43,1252499.0,,,
31,2018-12-26,8.43,8.49,8.41,8.44,812200.0,,,
32,2018-12-27,8.53,8.62,8.47,8.47,1528500.0,,,
33,2018-12-28,8.5,8.51,8.31,8.31,931700.0,,,
34,2019-01-02,8.28,8.34,8.23,8.23,809800.0,,,
35,2019-01-03,8.25,8.34,8.13,8.13,664500.0,,,
36,2019-01-04,8.1,8.32,8.04,8.29,1350600.0,,,
37,2019-01-07,8.33,8.47,8.33,8.41,1097200.0,,,
38,2019-01-08,8.42,8.45,8.36,8.43,900700.0,,,
39,2019-01-09,8.45,8.61,8.41,8.42,1138600.0,,,
40,2019-01-10,8.43,8.47,8.37,8.39,938700.0,,,
41,2019-01-11,8.39,8.49,8.33,8.47,978400.0,,,
42,2019-01-14,8.48,8.5,8.36,8.37,791800.0,,,
43,2019-01-15,8.34,8.48,8.33,8.46,967900.0,,,
44,2019-01-16,8.45,8.58,8.45,8.55,1096800.0,,,
45,2019-01-17,8.54,8.56,8.34,8.35,1086300.0,,,
46,2019-01-18,8.4,8.45,8.36,8.43,599400.0,,,
47,2019-01-21,8.43,8.52,8.41,8.47,861100.0,,,
48,2019-01-22,8.52,8.52,8.41,8.46,745600.0,,,
49,2019-01-23,8.48,8.49,8.39,8.44,720800.0,,,
50,2019-01-24,8.51,8.58,8.48,8.53,1177200.0,,,
51,2019-01-25,8.55,8.56,8.47,8.48,1038200.0,,,
52,2019-01-28,8.51,8.58,8.38,8.41,706000.0,,,
53,2019-01-29,8.4,8.42,8.06,8.25,872792.0,,,
54,2019-01-30,8.25,8.33,8.17,8.19,547200.0,,,
55,2019-01-31,8.29,8.57,8.21,8.23,1938892.0,,,
56,2019-02-01,8.16,8.34,8.16,8.32,1241100.0,,,
57,2019-02-11,8.31,8.52,8.31,8.52,1189755.0,,,
58,2019-02-12,8.51,8.69,8.48,8.61,1676700.0,,,
59,2019-02-13,8.56,8.8,8.56,8.7,2164755.0,,,
60,2019-02-14,8.68,8.75,8.64,8.68,1448855.0,,,
61,2019-02-15,8.7,8.79,8.62,8.73,1818400.0,,,
62,2019-02-18,8.73,8.94,8.73,8.93,1857992.0,,,
63,2019-02-19,8.9,8.98,8.78,8.85,1717600.0,,,
64,2019-02-20,8.8,8.9,8.75,8.87,1189455.0,,,
65,2019-02-21,8.86,8.97,8.77,8.78,1841692.0,,,
66,2019-02-22,8.76,8.95,8.74,8.93,1631200.0,,,
67,2019-02-25,9.01,9.28,8.95,9.24,3180600.0,,,
68,2019-02-26,9.26,9.31,9.02,9.12,2700592.0,,,
69,2019-02-27,9.1,9.2,8.93,9.04,2298126.0,,,
70,2019-02-28,9.08,9.17,9.03,9.17,1641592.0,,,
71,2019-03-01,9.2,9.26,9.12,9.19,1552302.0,,,
72,2019-03-04,9.2,9.37,9.17,9.23,2678100.0,,,
73,2019-03-05,9.14,9.34,9.14,9.33,1860501.0,,,
74,2019-03-06,9.36,9.55,9.26,9.53,3210449.0,,,
75,2019-03-07,9.45,9.69,9.4,9.58,2817864.0,,,
76,2019-03-08,9.46,9.54,9.01,9.06,2725100.0,,,
77,2019-03-11,9.12,9.36,9.12,9.36,1915624.0,,,
78,2019-03-12,9.42,9.63,9.31,9.48,2661340.0,,,
79,2019-03-13,9.49,9.6,9.33,9.4,2258278.0,,,
80,2019-03-14,9.44,9.5,9.1,9.2,1933178.0,,,
81,2019-03-15,9.2,9.4,9.19,9.39,1745733.0,,,
82,2019-03-18,9.45,9.62,9.36,9.59,2375734.0,,,
83,2019-03-19,9.59,10.23,9.59,9.88,3800093.0,,,
84,2019-03-20,9.86,9.95,9.66,9.83,2327888.0,,,
85,2019-03-21,9.83,10.25,9.77,9.97,2859724.0,,,
86,2019-03-22,9.97,10.18,9.9,10.1,2100284.0,,,
87,2019-03-25,9.95,10.09,9.86,9.87,1693100.0,,,
88,2019-03-26,9.87,9.93,9.69,9.69,1853085.0,,,
89,2019-03-27,9.72,9.8,9.6,9.78,1315800.0,,,
90,2019-03-28,9.78,9.79,9.6,9.66,1046800.0,,,
91,2019-03-29,9.73,9.84,9.56,9.8,1234592.0,,,
92,2019-04-01,9.83,10.03,9.81,10.03,1514500.0,,,
93,2019-04-02,10.07,10.07,9.9,9.96,1346800.0,,,
94,2019-04-03,9.96,10.18,9.92,10.15,1866738.0,,,
95,2019-04-04,10.12,10.41,9.95,9.99,1997500.0,,,
96,2019-04-08,10.08,10.09,9.77,9.83,1825392.0,,,
97,2019-04-09,9.85,9.98,9.79,9.97,1185893.0,,,
98,2019-04-10,9.94,10.12,9.87,10.12,1878600.0,,,
99,2019-04-11,10.12,10.14,9.9,9.93,1481304.0,,,
100,2019-04-12,9.93,10.03,9.89,10.01,884178.0,,,
101,2019-04-15,10.03,10.16,9.77,9.84,1479000.0,,,
102,2019-04-16,9.78,9.92,9.63,9.9,1241392.0,,,
103,2019-04-17,9.9,10.02,9.86,9.94,900200.0,,,
104,2019-04-18,9.94,10.07,9.92,9.95,1127396.0,,,
105,2019-04-19,9.95,10.26,9.84,10.22,2293780.0,,,
106,2019-04-22,10.15,11.21,10.08,10.7,5307360.0,,,
107,2019-04-23,10.71,11.01,10.53,10.87,3521052.0,,,
108,2019-04-24,10.81,11.44,10.81,11.31,4028540.0,,,
109,2019-04-25,11.05,11.61,10.94,11.26,5750505.0,,,
110,2019-04-26,11.11,12.34,10.79,11.76,6659084.0,,,
111,2019-04-29,11.58,11.7,10.66,11.14,4026900.0,,,
112,2019-04-30,10.91,11.91,10.81,11.66,4894892.0,,,
113,2019-05-06,11.34,11.59,10.92,11.18,2783940.0,,,
114,2019-05-07,11.16,11.41,10.65,11.18,2613887.0,,,
115,2019-05-08,10.91,11.33,10.67,10.95,1641471.0,,,
116,2019-05-09,10.76,10.95,10.66,10.73,1351532.0,,,
117,2019-05-10,10.78,11.5,10.68,11.18,2960051.0,,,
118,2019-05-13,11.18,11.25,11.03,11.14,1472492.0,,,
119,2019-05-14,11.01,11.32,10.76,11.06,2051500.0,9.32983333333334,,
120,2019-05-15,11.05,11.35,10.94,11.32,2045996.0,9.351000000000006,,
121,2019-05-16,11.42,11.54,11.17,11.3,1554732.0,9.371083333333338,,
122,2019-05-17,11.26,11.26,10.76,10.79,1499312.0,9.384416666666672,,
123,2019-05-20,10.96,10.96,10.25,10.26,973987.0,9.392000000000005,,
124,2019-05-21,10.28,11.28,9.91,11.28,3803540.0,9.408583333333338,,
125,2019-05-22,11.18,11.62,11.09,11.37,2401200.0,9.428916666666671,,
126,2019-05-23,11.31,11.46,10.86,11.01,1543100.0,9.44591666666667,,
127,2019-05-24,11.01,11.16,10.67,11.01,952216.0,9.463000000000003,,
128,2019-05-27,11.0,11.14,10.81,11.09,885319.0,9.48291666666667,,
129,2019-05-28,11.09,11.2,10.92,10.98,1069419.0,9.503333333333336,,
130,2019-05-29,10.94,12.08,10.94,11.38,3663511.0,9.522666666666671,,
131,2019-05-30,11.31,12.13,11.18,11.71,1791655.0,9.542916666666672,,
132,2019-05-31,11.45,11.67,11.35,11.48,2367500.0,9.553500000000005,,
133,2019-06-03,11.48,11.48,10.38,10.53,3904680.0,9.551500000000004,,
134,2019-06-04,10.61,10.65,10.29,10.6,922229.0,9.55216666666667,,
135,2019-06-05,10.75,10.78,10.46,10.58,788680.0,9.55816666666667,,
136,2019-06-06,10.52,10.88,10.18,10.82,1471860.0,9.569833333333337,,
137,2019-06-10,10.75,11.3,10.61,10.95,1332820.0,9.586083333333336,,
138,2019-06-11,10.95,11.41,10.61,11.27,3616846.0,9.605000000000002,,
139,2019-06-12,11.1,11.31,10.96,11.19,2354540.0,9.623000000000003,,
140,2019-06-13,11.09,11.33,10.98,11.19,1349640.0,9.641250000000005,,
141,2019-06-14,11.22,11.72,11.04,11.24,1834020.0,9.659916666666671,,
142,2019-06-17,11.33,12.33,11.17,11.98,3794958.0,9.685166666666671,,
143,2019-06-18,11.84,12.23,11.67,12.16,2958574.0,9.715250000000005,,
144,2019-06-19,12.14,12.73,12.02,12.54,3702971.0,9.748166666666672,,
145,2019-06-20,12.4,12.85,12.09,12.3,4897020.0,9.780166666666672,,
146,2019-06-21,12.3,12.87,12.03,12.62,3740905.0,9.815250000000002,,
147,2019-06-24,12.61,12.61,12.21,12.36,1746774.0,9.847666666666669,,
148,2019-06-25,12.3,12.4,12.08,12.23,1077500.0,9.879333333333335,,
149,2019-06-26,12.23,12.36,11.72,12.13,2234314.0,9.909000000000002,,
150,2019-06-27,12.03,12.41,11.88,11.99,1777800.0,9.93866666666667,,
151,2019-06-28,12.08,12.08,11.8,12.01,1155580.0,9.968416666666668,,
152,2019-07-01,12.02,12.56,11.95,12.46,2639200.0,10.001666666666669,,
153,2019-07-02,12.46,13.5,12.1,13.26,5994108.0,10.042916666666668,,
154,2019-07-03,13.08,14.1,12.81,13.86,7366305.0,10.089833333333335,,
155,2019-07-04,13.75,14.28,13.23,13.61,3991641.0,10.1355,,
156,2019-07-05,13.72,13.75,13.16,13.57,6031616.0,10.179499999999999,,
157,2019-07-08,13.36,13.5,13.07,13.25,1134000.0,10.219833333333332,,
158,2019-07-09,13.31,13.84,13.14,13.75,2089982.0,10.264166666666664,,
159,2019-07-10,13.79,14.49,13.7,13.93,1792919.0,10.310083333333331,,
160,2019-07-11,14.0,14.13,13.43,13.77,1966280.0,10.354916666666664,,
161,2019-07-12,13.44,13.84,12.88,12.93,3581520.0,10.39208333333333,,
162,2019-07-15,12.73,12.95,12.37,12.69,5081829.0,10.428083333333332,,
163,2019-07-16,12.64,12.8,12.37,12.74,2953106.0,10.46375,,
164,2019-07-17,12.61,14.01,12.47,14.01,10239761.0,10.50925,,
165,2019-07-18,13.6,13.79,13.08,13.08,11521680.0,10.548666666666666,,
166,2019-07-19,12.87,13.26,12.63,12.92,7184090.0,10.586083333333333,,
167,2019-07-22,12.77,12.77,12.08,12.18,3609819.0,10.616999999999999,,
168,2019-07-23,12.15,12.37,12.13,12.15,3563054.0,10.64775,,
169,2019-07-24,12.1,12.23,12.06,12.17,2165265.0,10.678833333333333,,
170,2019-07-25,12.17,13.2,12.03,13.01,9626994.0,10.716166666666668,,
171,2019-07-26,12.8,13.15,12.6,12.86,5344520.0,10.752666666666666,,
172,2019-07-29,12.81,12.93,12.59,12.73,2220650.0,10.788666666666666,,
173,2019-07-30,13.29,13.29,12.66,12.74,3881300.0,10.826083333333333,,
174,2019-07-31,12.39,12.86,12.3,12.65,3575593.0,10.863249999999999,,
175,2019-08-01,12.51,12.92,12.37,12.51,3407660.0,10.898916666666667,,
176,2019-08-02,12.36,12.71,12.17,12.41,2388120.0,10.933,,
177,2019-08-05,12.64,12.64,12.37,12.37,1356260.0,10.965083333333332,,
178,2019-08-06,12.19,12.51,12.1,12.46,1858500.0,10.997166666666667,,
179,2019-08-07,12.44,12.9,12.14,12.14,3033233.0,11.025833333333335,10.263666666666671,
180,2019-08-08,12.77,13.36,12.51,13.36,8052208.0,11.064833333333333,10.289111111111115,
181,2019-08-09,13.48,14.28,12.8,12.84,10746327.0,11.099083333333333,10.311055555555559,
182,2019-08-12,12.83,13.43,12.59,12.87,4471041.0,11.131916666666664,10.331500000000002,
183,2019-08-13,12.87,14.15,12.65,14.15,10957720.0,11.176083333333333,10.35816666666667,
184,2019-08-14,14.14,14.33,13.61,13.67,9725404.0,11.216083333333334,10.382500000000004,
185,2019-08-15,13.23,15.03,13.17,15.03,11822001.0,11.268166666666668,10.416388888888891,
186,2019-08-16,14.94,15.2,13.53,13.53,22650360.0,11.3065,10.441722222222225,
187,2019-08-19,12.17,12.44,12.17,12.17,11909946.0,11.330916666666667,10.459555555555559,
188,2019-08-20,11.7,11.93,11.52,11.55,13321746.0,11.351166666666668,10.47538888888889,
189,2019-08-21,11.46,11.62,11.17,11.23,9608130.0,11.369416666666668,10.49038888888889,
190,2019-08-22,11.2,11.29,11.03,11.19,5114570.0,11.38625,10.502222222222226,
191,2019-08-23,11.22,11.23,11.02,11.03,4292195.0,11.401583333333333,10.511944444444447,
192,2019-08-26,10.8,10.8,10.61,10.64,4988769.0,11.413333333333334,10.514333333333337,
193,2019-08-27,10.71,10.87,10.68,10.86,4375265.0,11.426083333333334,10.514833333333335,
194,2019-08-28,10.81,10.92,10.76,10.8,3148862.0,11.436666666666667,10.516388888888892,
195,2019-08-29,10.8,10.82,10.7,10.71,2718060.0,11.446083333333336,10.521111111111114,
196,2019-08-30,10.73,10.78,10.33,10.42,3771465.0,11.457416666666669,10.52666666666667,
197,2019-09-02,10.45,10.62,10.36,10.61,3460939.0,11.467833333333337,10.535611111111114,
198,2019-09-03,10.65,10.65,10.53,10.57,2353099.0,11.47691666666667,10.544333333333336,
199,2019-09-04,10.55,10.63,10.49,10.62,2402374.0,11.487083333333334,10.55316666666667,
200,2019-09-05,10.66,10.85,10.63,10.7,4156499.0,11.499583333333334,10.562611111111114,
201,2019-09-06,10.71,10.91,10.69,10.87,3932300.0,11.511916666666666,10.573000000000002,
202,2019-09-09,10.96,10.99,10.81,10.91,3537060.0,11.522916666666667,10.583888888888891,
203,2019-09-10,10.9,10.9,10.75,10.82,3111220.0,11.53075,10.596500000000002,
204,2019-09-11,10.83,10.87,10.69,10.69,2522260.0,11.537916666666666,10.60816666666667,
205,2019-09-12,10.7,10.8,10.68,10.78,1854182.0,11.544666666666666,10.621055555555557,
206,2019-09-16,10.82,10.85,10.75,10.78,2154694.0,11.550333333333333,10.634222222222224,
207,2019-09-17,10.75,10.81,10.49,10.55,2646320.0,11.556000000000001,10.645777777777779,
208,2019-09-18,10.55,10.65,10.53,10.58,1593920.0,11.563416666666665,10.657722222222223,
209,2019-09-19,10.56,10.64,10.55,10.64,1353960.0,11.570583333333333,10.669222222222224,
210,2019-09-20,10.67,10.68,10.61,10.63,1360720.0,11.578666666666667,10.681444444444447,
211,2019-09-23,10.63,10.68,10.47,10.54,1844589.0,11.584833333333334,10.693111111111111,
212,2019-09-24,10.52,10.62,10.51,10.55,1261880.0,11.589166666666667,10.704666666666668,
213,2019-09-25,10.49,10.5,10.26,10.27,2201060.0,11.59175,10.715555555555557,
214,2019-09-26,10.32,10.38,9.83,9.85,2314860.0,11.589249999999998,10.724555555555556,
215,2019-09-27,9.76,9.95,9.76,9.91,1270904.0,11.588583333333332,10.734444444444446,
216,2019-09-30,9.86,9.98,9.78,9.8,1151120.0,11.588333333333333,10.742833333333333,
217,2019-10-08,9.83,10.04,9.81,9.91,1522080.0,11.587833333333332,10.751166666666666,
218,2019-10-09,9.84,10.01,9.83,10.0,1094480.0,11.586833333333335,10.759888888888888,
219,2019-10-10,10.03,10.16,10.03,10.12,1397660.0,11.588416666666665,10.769333333333332,
220,2019-10-11,10.12,10.2,10.03,10.11,1454175.0,11.589249999999998,10.778888888888886,
221,2019-10-14,10.17,10.24,10.13,10.2,1492643.0,11.59225,10.788499999999997,
222,2019-10-15,10.15,10.31,10.14,10.24,1661340.0,11.595083333333331,10.798888888888888,
223,2019-10-16,10.28,10.28,10.04,10.06,1150109.0,11.59608333333333,10.807777777777776,
224,2019-10-17,10.08,10.19,10.03,10.09,737700.0,11.597249999999997,10.816333333333331,
225,2019-10-18,10.1,10.1,9.79,9.87,1446600.0,11.59433333333333,10.824777777777776,
226,2019-10-21,9.91,9.91,9.72,9.86,1115429.0,11.587333333333328,10.83272222222222,
227,2019-10-22,9.82,10.0,9.82,9.96,1019075.0,11.579749999999995,10.840999999999998,
228,2019-10-23,9.94,10.46,9.94,10.1,2638854.0,11.569666666666661,10.850111111111108,
229,2019-10-24,9.93,10.02,9.83,9.92,1710580.0,11.558499999999997,10.858333333333329,
230,2019-10-25,9.88,10.0,9.83,9.96,992714.0,11.543499999999996,10.866277777777775,
231,2019-10-28,9.97,10.04,9.91,10.03,1222295.0,11.534249999999995,10.874888888888885,
232,2019-10-29,10.1,10.1,9.91,9.93,991854.0,11.51983333333333,10.88333333333333,
233,2019-10-30,9.86,9.92,9.77,9.83,929340.0,11.508583333333327,10.892111111111108,
234,2019-10-31,9.83,9.9,9.54,9.59,1350800.0,11.495333333333326,10.899888888888883,
235,2019-11-01,9.62,9.69,9.45,9.66,1005300.0,11.484583333333326,10.907833333333329,
236,2019-11-04,9.67,9.81,9.67,9.71,923739.0,11.476083333333326,10.915555555555551,
237,2019-11-05,9.71,9.76,9.5,9.74,1075660.0,11.464083333333326,10.922333333333329,
238,2019-11-06,9.76,9.77,9.53,9.59,854580.0,11.451166666666659,10.927777777777774,
