,date,open,high,low,close,volume,10,60,250
0,2020-03-18,18.64,18.87,18.4,18.4,710280.0,,,
1,2020-03-19,18.4,18.6,17.81,18.18,574133.0,,,
2,2020-03-20,18.31,18.43,18.12,18.32,392092.0,,,
3,2020-03-23,17.98,18.11,17.52,17.63,550155.0,,,
4,2020-03-24,17.84,18.26,17.65,18.06,517487.0,,,
5,2020-03-25,18.46,18.81,18.42,18.6,638900.0,,,
6,2020-03-26,18.86,19.35,18.86,19.05,1210776.0,,,
7,2020-03-27,19.07,19.54,18.85,18.87,932756.0,,,
8,2020-03-30,18.85,18.85,18.4,18.67,405953.0,,,
9,2020-03-31,18.67,18.92,18.54,18.78,490864.0,18.456000000000003,,
10,2020-04-01,18.88,18.9,18.44,18.45,456176.0,18.461000000000002,,
11,2020-04-02,18.34,18.56,18.11,18.53,448361.0,18.496000000000002,,
12,2020-04-03,18.48,18.73,18.29,18.45,411096.0,18.509,,
13,2020-04-07,18.71,19.07,18.62,19.03,582473.0,18.649,,
14,2020-04-08,19.09,19.74,18.89,19.42,864153.0,18.785000000000004,,
15,2020-04-09,19.44,19.46,19.11,19.14,543896.0,18.839000000000002,,
16,2020-04-10,19.14,19.23,18.67,18.73,414380.0,18.807,,
17,2020-04-13,18.6,18.72,18.47,18.6,237908.0,18.779999999999998,,
18,2020-04-14,18.64,18.89,18.58,18.83,347940.0,18.796,,
19,2020-04-15,18.83,18.89,18.62,18.67,317724.0,18.785,,
20,2020-04-16,18.68,18.81,18.58,18.74,308884.0,18.814,,
21,2020-04-17,18.89,18.89,18.74,18.78,329455.0,18.839000000000002,,
22,2020-04-20,18.93,19.03,18.69,19.02,446964.0,18.896000000000004,,
23,2020-04-21,19.01,19.56,18.96,19.35,826527.0,18.928000000000004,,
24,2020-04-22,19.27,19.34,18.99,19.18,567039.0,18.904000000000003,,
25,2020-04-23,19.32,19.56,19.18,19.5,718604.0,18.940000000000005,,
26,2020-04-24,19.7,19.76,19.26,19.5,717922.0,19.017000000000003,,
27,2020-04-27,19.26,19.49,19.14,19.18,461497.0,19.075000000000006,,
28,2020-04-28,19.56,19.56,18.6,19.1,863504.0,19.102000000000004,,
29,2020-04-29,18.99,19.21,18.74,18.83,784215.0,19.118000000000002,,
30,2020-04-30,18.83,19.18,18.83,19.01,746383.0,19.145,,
31,2020-05-06,18.83,19.18,18.65,19.16,726663.0,19.183,,
32,2020-05-07,19.16,19.7,19.15,19.61,1113767.0,19.241999999999997,,
33,2020-05-08,19.61,19.9,19.5,19.78,928200.0,19.285,,
34,2020-05-11,19.77,19.93,19.66,19.78,626652.0,19.345,,
35,2020-05-12,19.78,19.84,19.37,19.63,423271.0,19.357999999999997,,
36,2020-05-13,19.43,19.98,19.41,19.84,515824.0,19.392,,
37,2020-05-14,19.73,19.83,19.54,19.54,364744.0,19.427999999999997,,
38,2020-05-15,19.57,19.84,19.5,19.54,336120.0,19.471999999999998,,
39,2020-05-18,19.95,19.95,19.36,19.54,398144.0,19.542999999999996,,
40,2020-05-19,19.62,19.76,19.5,19.69,340500.0,19.610999999999997,,
41,2020-05-20,19.78,19.88,19.51,19.88,670241.0,19.682999999999996,,
42,2020-05-21,19.95,20.55,19.84,20.35,1280219.0,19.756999999999994,,
43,2020-05-22,20.22,20.38,19.36,19.4,893418.0,19.718999999999994,,
44,2020-05-25,19.05,19.66,19.05,19.65,427184.0,19.705999999999996,,
45,2020-05-26,19.77,20.15,19.54,20.12,600072.0,19.754999999999995,,
46,2020-05-27,19.93,20.16,19.79,19.79,462968.0,19.749999999999993,,
47,2020-05-28,19.82,20.13,19.37,19.74,420480.0,19.769999999999996,,
48,2020-05-29,19.71,20.04,19.61,19.72,538860.0,19.787999999999997,,
49,2020-06-01,19.72,20.1,19.72,20.09,764840.0,19.842999999999996,,
50,2020-06-02,20.08,20.51,19.98,20.38,815480.0,19.912,,
51,2020-06-03,20.4,20.41,20.15,20.21,499882.0,19.945,,
52,2020-06-04,20.21,20.35,20.14,20.35,429144.0,19.945,,
53,2020-06-05,20.28,20.6,20.25,20.6,543256.0,20.064999999999998,,
54,2020-06-08,20.81,21.7,20.62,21.37,2021464.0,20.237,,
55,2020-06-09,21.37,22.64,21.25,22.6,3319260.0,20.484999999999996,,
56,2020-06-10,22.49,22.59,21.96,21.99,1483520.0,20.705,,
57,2020-06-11,21.97,22.24,21.64,21.65,1403701.0,20.895999999999997,,
58,2020-06-12,21.25,22.27,21.12,21.78,1877288.0,21.101999999999997,,
59,2020-06-15,21.75,21.78,21.0,21.31,1266055.0,21.223999999999997,19.49483333333333,
60,2020-06-16,21.16,21.39,20.66,21.33,1969073.0,21.319,19.54366666666666,
61,2020-06-17,21.12,21.38,21.06,21.24,1092008.0,21.422,19.59466666666666,
62,2020-06-18,21.19,21.3,20.76,20.85,1578966.0,21.472,19.636833333333325,
63,2020-06-19,21.0,21.28,20.78,21.26,1087950.0,21.538,19.697333333333326,
64,2020-06-22,21.26,21.53,20.97,21.36,1135833.0,21.537,19.752333333333322,
65,2020-06-23,21.36,21.9,21.15,21.83,1475473.0,21.46,19.80616666666666,
66,2020-06-24,21.83,22.88,21.83,22.24,2556526.0,21.485,19.859333333333325,
67,2020-06-29,22.03,22.25,21.81,21.95,1287851.0,21.514999999999997,19.91066666666666,
68,2020-06-30,22.14,22.28,21.54,21.59,1843906.0,21.496,19.959333333333326,
69,2020-07-01,21.59,21.85,21.34,21.75,1194232.0,21.54,20.008833333333325,
70,2020-07-02,22.2,22.39,21.82,22.05,2163467.0,21.612000000000002,20.068833333333323,
71,2020-07-03,22.1,22.45,21.88,21.9,1905049.0,21.678,20.124999999999993,
72,2020-07-06,22.01,22.48,21.9,22.39,2485345.0,21.832,20.19066666666666,
