,date,open,high,low,close,volume,120,180,240
0,2018-11-13,8.94,9.32,8.88,9.2,5079507.0,,,
1,2018-11-14,9.18,9.3,9.04,9.11,3858596.0,,,
2,2018-11-15,9.09,9.49,9.07,9.45,6546237.0,,,
3,2018-11-16,9.47,9.67,9.36,9.61,6501876.0,,,
4,2018-11-19,9.57,9.62,9.27,9.5,4373867.0,,,
5,2018-11-20,9.34,9.51,9.1,9.26,4209228.0,,,
6,2018-11-21,9.15,9.16,8.84,9.02,3436859.0,,,
7,2018-11-22,9.07,9.24,9.01,9.11,2634642.0,,,
8,2018-11-23,9.06,9.14,8.29,8.31,4567539.0,,,
9,2018-11-26,8.34,8.51,8.24,8.26,2150908.0,,,
10,2018-11-27,8.38,8.53,8.32,8.42,1690896.0,,,
11,2018-11-28,8.45,8.52,8.26,8.51,1754511.0,,,
12,2018-11-29,8.58,8.67,8.22,8.34,2085308.0,,,
13,2018-11-30,8.31,8.53,8.03,8.36,2624001.0,,,
14,2018-12-03,8.57,8.74,8.48,8.65,2678744.0,,,
15,2018-12-04,8.63,8.74,8.55,8.7,1863772.0,,,
16,2018-12-05,8.52,8.72,8.47,8.64,1552030.0,,,
17,2018-12-06,8.61,8.8,8.42,8.45,2047346.0,,,
18,2018-12-07,8.45,8.7,8.44,8.54,1987700.0,,,
19,2018-12-10,8.43,8.53,8.34,8.36,1240137.0,,,
20,2018-12-11,8.46,8.57,8.36,8.55,1223271.0,,,
21,2018-12-12,8.59,8.64,8.38,8.42,1172273.0,,,
22,2018-12-13,8.51,8.62,8.38,8.47,1577795.0,,,
23,2018-12-14,8.48,8.53,8.09,8.17,1772586.0,,,
24,2018-12-17,8.08,8.27,7.88,8.03,2468486.0,,,
25,2018-12-18,8.03,8.03,7.56,7.83,3228330.0,,,
26,2018-12-19,7.83,7.92,7.77,7.8,2087031.0,,,
27,2018-12-20,7.8,8.01,7.8,7.92,1815300.0,,,
28,2018-12-21,7.92,8.03,7.8,7.96,1538632.0,,,
29,2018-12-24,7.93,8.11,7.84,8.09,1826982.0,,,
30,2018-12-25,7.98,8.21,7.61,8.05,2097723.0,,,
31,2018-12-26,8.03,8.19,7.98,8.07,1796155.0,,,
32,2018-12-27,8.19,8.25,7.82,7.98,2388613.0,,,
33,2018-12-28,7.88,8.05,7.82,7.92,1860445.0,,,
34,2019-01-02,7.94,8.05,7.69,7.95,2345497.0,,,
35,2019-01-03,7.88,8.01,7.77,7.87,2249660.0,,,
36,2019-01-04,7.78,8.18,7.73,8.12,2763922.0,,,
37,2019-01-07,8.16,8.33,8.07,8.26,2699896.0,,,
38,2019-01-08,8.23,8.33,8.16,8.21,1668794.0,,,
39,2019-01-09,8.24,8.34,8.14,8.16,2211568.0,,,
40,2019-01-10,8.19,8.27,8.12,8.19,1624471.0,,,
41,2019-01-11,8.53,8.72,8.24,8.26,3144258.0,,,
42,2019-01-14,8.17,8.26,7.96,7.99,2293806.0,,,
43,2019-01-15,7.98,8.22,7.98,8.21,2068878.0,,,
44,2019-01-16,8.16,8.59,8.16,8.36,3456875.0,,,
45,2019-01-17,8.36,8.43,8.21,8.28,2199512.0,,,
46,2019-01-18,8.26,8.35,8.01,8.15,2507206.0,,,
47,2019-01-21,8.17,8.45,8.17,8.21,1665167.0,,,
48,2019-01-22,8.21,8.26,7.99,8.03,1469621.0,,,
49,2019-01-23,8.02,8.07,7.96,8.03,695049.0,,,
50,2019-01-24,8.03,8.24,7.98,8.17,1699816.0,,,
51,2019-01-25,8.11,8.28,8.1,8.13,1871996.0,,,
52,2019-01-28,8.24,8.3,8.05,8.05,1710250.0,,,
53,2019-01-29,8.05,8.07,7.5,7.69,2171580.0,,,
54,2019-01-30,7.59,7.71,7.38,7.4,1549442.0,,,
55,2019-01-31,7.44,7.55,7.15,7.23,2086545.0,,,
56,2019-02-01,7.3,7.55,7.25,7.55,1060064.0,,,
57,2019-02-11,7.56,7.8,7.56,7.79,1335169.0,,,
58,2019-02-12,7.78,7.94,7.73,7.88,1508667.0,,,
59,2019-02-13,7.9,8.15,7.85,8.07,2280762.0,,,
60,2019-02-14,8.05,8.26,8.01,8.13,2342917.0,,,
61,2019-02-15,8.28,8.28,8.06,8.11,1799051.0,,,
62,2019-02-18,8.19,8.91,8.15,8.91,2973729.0,,,
63,2019-02-19,9.81,9.81,9.2,9.39,15121547.0,,,
64,2019-02-20,9.72,9.99,9.3,9.4,11775922.0,,,
65,2019-02-21,9.17,9.52,9.02,9.29,8139997.0,,,
66,2019-02-22,9.12,9.62,9.03,9.5,7296879.0,,,
67,2019-02-25,10.16,10.45,9.8,10.25,11883166.0,,,
68,2019-02-26,10.48,10.58,9.78,9.95,10898777.0,,,
69,2019-02-27,10.1,10.48,9.76,9.96,9154729.0,,,
70,2019-02-28,9.66,9.91,9.58,9.74,5179205.0,,,
71,2019-03-01,9.81,10.04,9.56,9.92,5546435.0,,,
72,2019-03-04,10.18,10.28,9.87,9.98,8243397.0,,,
73,2019-03-05,9.92,10.65,9.84,10.42,8754775.0,,,
74,2019-03-06,10.45,11.46,10.09,11.35,16749732.0,,,
75,2019-03-07,11.14,11.71,10.98,11.35,10152191.0,,,
76,2019-03-08,10.93,11.63,10.65,10.71,8349112.0,,,
77,2019-03-11,10.94,11.35,10.77,11.31,5895573.0,,,
78,2019-03-12,11.31,11.7,11.16,11.5,7490785.0,,,
79,2019-03-13,11.44,11.54,10.74,10.86,6039355.0,,,
80,2019-03-14,10.97,11.07,10.28,10.51,4637288.0,,,
81,2019-03-15,10.61,10.67,10.24,10.46,3443370.0,,,
82,2019-03-18,10.5,10.75,10.45,10.7,2875341.0,,,
83,2019-03-19,10.75,11.14,10.62,10.98,4780727.0,,,
84,2019-03-20,10.92,11.01,10.51,10.84,3292968.0,,,
85,2019-03-21,10.85,11.1,10.78,10.91,3954140.0,,,
86,2019-03-22,10.82,10.94,10.62,10.85,2810785.0,,,
87,2019-03-25,10.38,10.85,10.27,10.48,3907355.0,,,
88,2019-03-26,10.57,11.53,10.57,11.53,7134334.0,,,
89,2019-03-27,12.15,12.46,11.52,12.04,19519243.0,,,
90,2019-03-28,11.81,13.05,11.73,12.61,18955949.0,,,
91,2019-03-29,11.73,12.27,11.35,12.02,15477133.0,,,
92,2019-04-01,13.21,13.22,13.21,13.22,4840420.0,,,
93,2019-04-02,14.45,14.54,13.93,14.54,25545793.0,,,
94,2019-04-03,14.07,14.45,13.4,13.99,17085976.0,,,
95,2019-04-04,13.8,13.93,13.34,13.54,12276849.0,,,
96,2019-04-08,13.54,13.76,13.01,13.27,8620040.0,,,
97,2019-04-09,13.14,13.92,13.14,13.88,9983219.0,,,
98,2019-04-10,13.6,13.6,12.89,12.95,8358832.0,,,
99,2019-04-11,12.82,13.11,12.5,12.66,5287211.0,,,
100,2019-04-12,12.48,13.03,12.48,12.6,3918245.0,,,
101,2019-04-15,12.99,12.99,12.32,12.35,4084182.0,,,
102,2019-04-16,12.27,12.83,12.09,12.71,4013397.0,,,
103,2019-04-17,12.74,12.81,12.48,12.61,3642569.0,,,
104,2019-04-18,12.61,12.74,12.4,12.5,3276646.0,,,
105,2019-04-19,12.13,12.73,11.83,12.65,5806678.0,,,
106,2019-04-22,12.58,12.81,12.07,12.37,3927876.0,,,
107,2019-04-23,12.48,12.51,12.04,12.11,2905272.0,,,
108,2019-04-24,12.27,12.52,12.21,12.46,3223291.0,,,
109,2019-04-25,12.42,12.71,11.21,11.73,3936066.0,,,
110,2019-04-26,11.61,12.01,11.59,11.67,2438938.0,,,
111,2019-04-29,11.46,11.73,10.89,11.31,3266777.0,,,
112,2019-04-30,11.31,12.21,11.31,11.77,3548210.0,,,
113,2019-05-06,11.17,11.55,10.59,10.59,4353685.0,,,
114,2019-05-07,10.71,10.81,9.92,10.16,4701632.0,,,
115,2019-05-08,9.97,10.7,9.89,10.38,4480514.0,,,
116,2019-05-09,10.42,10.69,10.25,10.5,2902891.0,,,
117,2019-05-10,10.76,11.01,10.18,10.92,3836158.0,,,
118,2019-05-13,11.01,11.35,10.65,10.77,4003152.0,,,
119,2019-05-14,10.83,11.43,10.83,10.92,4597526.0,9.769916666666667,,
120,2019-05-15,10.96,11.14,10.81,11.08,3923076.0,9.785583333333333,,
121,2019-05-16,11.04,11.06,10.71,10.74,3426021.0,9.799166666666668,,
122,2019-05-17,10.79,10.94,10.27,10.31,2721767.0,9.806333333333333,,
123,2019-05-20,10.21,10.62,10.21,10.48,2125715.0,9.813583333333334,,
124,2019-05-21,10.58,10.88,10.2,10.75,2784918.0,9.824000000000002,,
125,2019-05-22,10.75,10.96,10.6,10.79,2611768.0,9.83675,,
126,2019-05-23,10.87,11.0,10.51,10.6,3039395.0,9.849916666666667,,
127,2019-05-24,10.4,10.69,10.4,10.52,2028544.0,9.861666666666668,,
128,2019-05-27,10.51,11.02,10.51,11.0,2596428.0,9.884083333333335,,
129,2019-05-28,11.05,11.6,10.94,11.19,4428830.0,9.908500000000002,,
130,2019-05-29,11.02,11.33,10.96,11.08,2532921.0,9.930666666666667,,
131,2019-05-30,11.08,11.13,10.76,10.97,2335201.0,9.951166666666667,,
132,2019-05-31,10.98,11.29,10.92,11.01,2437589.0,9.973416666666669,,
133,2019-06-03,11.13,11.13,10.75,10.85,1790284.0,9.994166666666668,,
134,2019-06-04,10.84,10.89,10.45,10.52,1681982.0,10.00975,,
135,2019-06-05,10.68,10.89,10.58,10.71,1656466.0,10.0265,,
136,2019-06-06,10.81,10.81,10.25,10.25,2016583.0,10.039916666666667,,
137,2019-06-10,10.33,10.53,10.14,10.38,1099967.0,10.056000000000001,,
138,2019-06-11,10.64,10.77,10.2,10.7,2090252.0,10.074000000000002,,
139,2019-06-12,10.7,10.81,10.62,10.73,1635324.0,10.093750000000002,,
140,2019-06-13,10.68,11.09,10.6,10.94,2893356.0,10.113666666666669,,
141,2019-06-14,10.99,10.99,10.48,10.51,2290808.0,10.131083333333335,,
142,2019-06-17,10.51,10.83,10.38,10.71,2313169.0,10.149750000000003,,
143,2019-06-18,10.75,11.06,10.6,10.98,3114439.0,10.173166666666669,,
144,2019-06-19,11.31,11.45,10.81,10.96,5162606.0,10.197583333333336,,
145,2019-06-20,10.83,11.15,10.52,11.15,4593497.0,10.225250000000004,,
146,2019-06-21,11.25,11.76,11.12,11.76,6055408.0,10.258250000000004,,
147,2019-06-24,12.01,12.13,11.43,11.5,6569063.0,10.288083333333336,,
148,2019-06-25,11.38,11.52,10.92,11.13,4226726.0,10.314500000000004,,
149,2019-06-26,11.2,11.69,11.09,11.32,5007246.0,10.341416666666671,,
150,2019-06-27,11.54,11.56,11.14,11.26,4078344.0,10.36816666666667,,
151,2019-06-28,11.02,11.02,10.61,10.7,3901692.0,10.390083333333338,,
152,2019-07-01,10.89,11.11,10.79,11.04,3155667.0,10.415583333333338,,
153,2019-07-02,11.03,11.13,10.84,10.92,2400002.0,10.440583333333338,,
154,2019-07-03,10.96,10.97,10.74,10.79,1346706.0,10.464250000000003,,
155,2019-07-04,10.79,10.83,10.51,10.7,2594446.0,10.487833333333338,,
156,2019-07-05,10.71,10.81,10.62,10.77,934479.0,10.509916666666673,,
157,2019-07-08,10.74,10.74,10.19,10.36,2035978.0,10.527416666666673,,
158,2019-07-09,10.69,10.69,10.32,10.44,1460892.0,10.546000000000005,,
159,2019-07-10,10.32,10.69,10.32,10.64,1790708.0,10.566666666666672,,
160,2019-07-11,10.64,10.71,10.44,10.44,917023.0,10.585416666666672,,
161,2019-07-12,10.49,10.58,10.35,10.48,635105.0,10.603916666666672,,
162,2019-07-15,10.55,10.95,10.33,10.83,1586280.0,10.62758333333334,,
163,2019-07-16,10.81,10.87,10.63,10.86,1723282.0,10.64966666666667,,
164,2019-07-17,10.75,10.89,10.69,10.77,1729662.0,10.669750000000004,,
165,2019-07-18,10.62,10.71,10.34,10.43,1290270.0,10.687666666666672,,
166,2019-07-19,10.43,10.93,10.4,10.91,3545643.0,10.710666666666672,,
167,2019-07-22,10.79,11.07,10.45,10.48,2349835.0,10.72958333333334,,
168,2019-07-23,10.52,10.67,10.44,10.67,1267803.0,10.75158333333334,,
169,2019-07-24,10.6,10.87,10.58,10.84,1831884.0,10.775000000000006,,
170,2019-07-25,10.9,11.01,10.78,10.81,2129517.0,10.797000000000004,,
171,2019-07-26,10.77,10.84,10.63,10.69,1090384.0,10.818333333333337,,
172,2019-07-29,10.69,10.83,10.48,10.83,1185872.0,10.841500000000003,,
173,2019-07-30,10.83,10.98,10.73,10.93,1707848.0,10.868500000000004,,
174,2019-07-31,10.93,10.93,10.69,10.69,1242954.0,10.89591666666667,,
175,2019-08-01,10.61,10.76,10.58,10.65,936515.0,10.924416666666671,,
176,2019-08-02,10.48,10.53,10.36,10.46,1403381.0,10.948666666666671,,
177,2019-08-05,10.5,10.71,10.37,10.48,1209031.0,10.971083333333338,,
178,2019-08-06,10.17,10.35,9.94,10.1,1778513.0,10.989583333333337,,
179,2019-08-07,10.1,10.32,9.96,9.96,751925.0,11.005333333333338,10.09966666666667,
180,2019-08-08,10.08,10.17,10.0,10.09,794309.0,11.02166666666667,10.104611111111113,
181,2019-08-09,10.09,10.3,10.09,10.14,1047361.0,11.038583333333339,10.110333333333337,
182,2019-08-12,10.18,10.48,10.12,10.48,1279900.0,11.051666666666671,10.116055555555558,
183,2019-08-13,10.26,10.54,10.22,10.43,954523.0,11.060333333333338,10.120611111111115,
184,2019-08-14,10.55,10.63,10.42,10.5,812007.0,11.069500000000003,10.12616666666667,
185,2019-08-15,10.34,10.58,10.23,10.58,1191713.0,11.080250000000003,10.133500000000003,
186,2019-08-16,10.56,10.71,10.52,10.59,1430044.0,11.089333333333336,10.142222222222225,
187,2019-08-19,11.65,11.65,11.17,11.26,6883827.0,11.097750000000001,10.15416666666667,
188,2019-08-20,11.31,12.06,11.31,11.52,7492415.0,11.110833333333336,10.172000000000004,
189,2019-08-21,11.81,11.81,11.32,11.45,4932219.0,11.123250000000002,10.189722222222226,
190,2019-08-22,11.53,12.6,11.42,12.6,9354422.0,11.147083333333335,10.212944444444448,
191,2019-08-23,13.35,13.86,12.89,13.02,19933052.0,11.172916666666667,10.238000000000003,
192,2019-08-26,11.94,12.49,11.94,11.97,11366611.0,11.1895,10.258166666666671,
193,2019-08-27,12.15,12.39,11.97,12.07,7344146.0,11.203249999999999,10.278777777777782,
194,2019-08-28,11.95,12.47,11.74,12.21,6596422.0,11.210416666666667,10.29855555555556,
195,2019-08-29,12.16,12.59,11.93,12.44,6025984.0,11.219500000000002,10.319333333333336,
196,2019-08-30,12.87,13.69,12.21,12.21,10484777.0,11.232000000000001,10.33916666666667,
197,2019-09-02,12.53,12.99,12.21,12.96,8094573.0,11.245750000000003,10.364222222222226,
198,2019-09-03,12.72,12.84,12.53,12.7,5647045.0,11.255750000000003,10.387333333333338,
199,2019-09-04,12.61,12.64,12.18,12.36,6890202.0,11.268250000000002,10.40955555555556,
200,2019-09-05,12.45,13.4,12.45,13.28,11215264.0,11.291333333333336,10.435833333333337,
201,2019-09-06,13.2,13.3,12.86,13.06,6582633.0,11.313,10.461611111111115,
202,2019-09-09,13.2,14.37,13.14,14.37,15065645.0,11.343583333333333,10.494388888888892,
203,2019-09-10,14.13,14.92,13.97,14.28,15100653.0,11.371083333333333,10.528333333333336,
204,2019-09-11,14.36,14.91,14.03,14.52,9921672.0,11.40175,10.56438888888889,
205,2019-09-12,14.58,15.72,14.29,14.98,9816597.0,11.435666666666666,10.604111111111113,
206,2019-09-16,15.43,16.48,15.43,16.48,17897530.0,11.482583333333334,10.652333333333337,
207,2019-09-17,15.99,16.55,15.28,15.44,17218759.0,11.523916666666668,10.694111111111114,
208,2019-09-18,15.7,16.29,14.95,15.34,11735590.0,11.555666666666667,10.735111111111113,
209,2019-09-19,15.44,15.46,14.85,15.27,9730874.0,11.582583333333334,10.775000000000002,
210,2019-09-20,15.23,15.89,15.03,15.23,9492110.0,11.604416666666669,10.814888888888891,
211,2019-09-23,15.06,16.09,15.06,15.84,11289353.0,11.63625,10.85805555555556,
212,2019-09-24,15.53,16.92,14.6,15.59,15798123.0,11.656,10.900333333333336,
213,2019-09-25,15.13,16.23,14.93,15.92,16463747.0,11.6675,10.94477777777778,
214,2019-09-26,15.66,15.69,14.32,14.32,13024507.0,11.670250000000001,10.980166666666669,
215,2019-09-27,13.93,14.45,13.61,13.75,9913348.0,11.672,11.012833333333335,
216,2019-09-30,13.75,14.13,13.61,13.66,5555058.0,11.675250000000002,11.043611111111115,
217,2019-10-08,13.88,14.2,13.53,13.67,6378991.0,11.6735,11.07366666666667,
218,2019-10-09,13.54,14.02,13.14,13.94,7729555.0,11.681750000000001,11.105500000000005,
219,2019-10-10,14.06,14.52,13.8,14.4,11965688.0,11.696250000000001,11.140166666666671,
220,2019-10-11,14.19,14.6,14.04,14.09,10541613.0,11.708666666666668,11.172944444444447,
221,2019-10-14,14.23,14.74,13.96,14.58,10884532.0,11.727250000000002,11.208055555555559,
222,2019-10-15,14.3,14.36,13.46,13.68,9108019.0,11.735333333333335,11.23966666666667,
223,2019-10-16,13.79,14.06,13.5,13.65,5003978.0,11.744000000000003,11.269888888888893,
224,2019-10-17,13.65,13.92,13.42,13.52,4923278.0,11.752500000000003,11.29855555555556,
225,2019-10-18,13.66,13.83,13.04,13.17,6088997.0,11.756833333333336,11.325722222222227,
226,2019-10-21,13.19,13.36,12.72,13.33,4687391.0,11.764833333333337,11.354500000000005,
227,2019-10-22,13.16,13.63,13.16,13.54,6025471.0,11.776750000000003,11.384111111111116,
228,2019-10-23,14.46,14.89,14.46,14.89,4294965.0,11.797000000000004,11.422222222222224,
229,2019-10-24,15.59,16.39,15.2,16.39,25247481.0,11.835833333333339,11.468666666666667,
230,2019-10-25,17.48,18.03,16.79,16.94,34191323.0,11.879750000000005,11.51738888888889,
231,2019-10-28,18.64,18.64,18.64,18.64,805608.0,11.94083333333334,11.575777777777777,
232,2019-10-29,20.5,20.5,19.96,20.5,20376835.0,12.01358333333334,11.644944444444443,
233,2019-10-30,21.23,22.55,20.5,21.24,45482958.0,12.102333333333341,11.720222222222219,
234,2019-10-31,19.12,19.77,19.12,19.12,25484526.0,12.177000000000005,11.785333333333329,
235,2019-11-01,17.58,18.73,17.58,18.03,26540744.0,12.240750000000004,11.84533333333333,
236,2019-11-04,19.24,19.83,18.98,19.25,34083706.0,12.313666666666672,11.910333333333329,
237,2019-11-05,20.23,21.17,20.1,21.17,31804407.0,12.399083333333339,11.984666666666662,
238,2019-11-06,21.4,23.29,21.1,23.29,37113494.0,12.503416666666672,12.070277777777774,
239,2019-11-07,24.63,25.61,24.12,25.61,37342978.0,12.625833333333336,12.167722222222217,11.197875000000005
240,2019-11-08,27.2,27.47,23.05,23.05,48953094.0,12.725583333333336,12.250611111111107,11.25558333333334
241,2019-11-11,22.2,22.89,21.74,21.99,31623695.0,12.819333333333336,12.327722222222215,11.309250000000004
242,2019-11-12,22.39,24.13,21.83,23.88,36779835.0,12.932416666666672,12.410888888888884,11.369375000000007
243,2019-11-13,23.19,23.55,21.89,23.17,30207466.0,13.038166666666672,12.48744444444444,11.425875000000007
244,2019-11-14,22.79,24.02,22.24,23.22,33033094.0,13.14208333333334,12.564222222222217,11.483041666666672
245,2019-11-15,22.75,24.87,22.6,23.7,33322003.0,13.249666666666673,12.644277777777772,11.543208333333336
246,2019-11-18,23.88,26.07,23.6,26.07,28149067.0,13.37858333333334,12.736333333333327,11.614250000000004
247,2019-11-19,26.88,27.13,23.52,24.0,42130363.0,13.490916666666672,12.812722222222217,11.67629166666667
248,2019-11-20,24.54,25.32,23.62,23.66,33071564.0,13.596416666666673,12.888888888888884,11.740250000000003
249,2019-11-21,22.56,23.52,22.42,22.76,24829196.0,13.69283333333334,12.959999999999996,11.80066666666667
250,2019-11-22,22.66,23.07,21.03,21.33,25617208.0,13.778250000000007,13.024388888888886,11.854458333333335
251,2019-11-25,19.72,20.63,19.49,20.29,22816262.0,13.855916666666673,13.081999999999995,11.903541666666667
252,2019-11-26,20.3,20.6,19.37,19.57,20016904.0,13.927250000000006,13.135277777777775,11.950333333333335
253,2019-11-27,19.82,20.09,19.31,19.96,18175158.0,14.003166666666674,13.188277777777774,11.998666666666669
254,2019-11-28,20.23,20.68,19.39,20.08,26358291.0,14.082833333333339,13.236777777777775,12.046291666666667
255,2019-11-29,20.19,20.63,19.51,19.77,19949796.0,14.158333333333339,13.283555555555553,12.092416666666669
256,2019-12-02,19.56,20.14,18.89,20.13,17973324.0,14.240666666666673,13.335888888888887,12.140291666666668
257,2019-12-03,19.79,19.84,19.13,19.57,15381813.0,14.317250000000005,13.381777777777776,12.186625000000003
258,2019-12-04,19.3,19.88,19.13,19.58,13430960.0,14.391250000000005,13.426666666666666,12.232625000000004
259,2019-12-05,19.91,21.06,19.6,20.82,27007842.0,14.475333333333337,13.482,12.284541666666671
260,2019-12-06,20.58,21.37,20.31,21.04,23618895.0,14.559500000000003,13.540499999999998,12.336583333333335
261,2019-12-09,20.7,23.14,20.7,23.14,35044394.0,14.664750000000003,13.61094444444444,12.397916666666669
262,2019-12-10,22.68,25.28,22.56,23.85,42225972.0,14.774250000000002,13.683999999999997,12.462000000000002
263,2019-12-11,23.61,26.24,23.61,26.24,32461434.0,14.90141666666667,13.768777777777773,12.537291666666668
264,2019-12-12,27.2,27.47,24.18,25.01,44637611.0,15.018500000000001,13.847499999999997,12.608041666666669
265,2019-12-13,25.14,26.13,24.47,25.62,34325388.0,15.139083333333334,13.929222222222219,12.682166666666667
266,2019-12-16,25.36,26.09,24.45,25.87,28981281.0,15.256666666666666,14.012666666666663,12.757458333333334
267,2019-12-17,25.54,28.26,25.35,27.31,42749670.0,15.388416666666666,14.106166666666663,12.838249999999999
268,2019-12-18,26.77,27.85,26.19,26.7,31982116.0,15.518166666666666,14.190444444444438,12.916333333333332
269,2019-12-19,26.85,27.86,25.64,25.71,30850781.0,15.638083333333332,14.266388888888883,12.989749999999997
270,2019-12-20,25.22,25.36,23.6,24.05,32634803.0,15.744666666666665,14.329944444444438,13.056416666666665
271,2019-12-23,24.35,24.35,23.22,23.36,17052191.0,15.850166666666665,14.39294444444444,13.120124999999998
272,2019-12-24,23.82,23.98,23.34,23.75,15256024.0,15.956083333333332,14.45144444444444,13.185833333333331
273,2019-12-25,23.88,25.1,23.87,24.29,24633629.0,16.0675,14.505611111111108,13.254041666666664
274,2019-12-26,23.69,23.79,22.68,23.51,24158157.0,16.173499999999997,14.558499999999999,13.318874999999998
275,2019-12-27,23.78,23.78,22.42,22.45,16759647.0,16.271416666666664,14.607999999999997,13.379624999999999
276,2019-12-30,22.41,22.82,21.24,22.51,14818306.0,16.369249999999997,14.659333333333333,13.439583333333333
277,2019-12-31,22.8,23.65,22.51,22.87,14610763.0,16.473499999999998,14.709277777777775,13.500458333333333
278,2020-01-02,23.09,23.8,22.72,23.72,16373356.0,16.584166666666665,14.769111111111108,13.56508333333333
279,2020-01-03,23.68,25.0,23.41,24.87,24694659.0,16.702749999999995,14.836944444444443,13.63470833333333
280,2020-01-06,24.18,24.92,24.03,24.22,17913421.0,16.817583333333328,14.901499999999997,13.701499999999998
281,2020-01-07,24.22,25.5,23.9,24.94,23227915.0,16.938083333333328,14.971444444444442,13.770999999999995
282,2020-01-08,24.55,24.61,23.23,23.25,20872674.0,17.04158333333333,15.029999999999998,13.834583333333331
283,2020-01-09,23.74,25.58,23.58,25.58,36258424.0,17.164249999999996,15.102055555555552,13.90695833333333
284,2020-01-10,25.76,27.46,25.01,26.72,38696697.0,17.297166666666662,15.18105555555555,13.983458333333328
285,2020-01-13,26.56,27.19,25.9,26.76,21955429.0,17.433249999999997,15.25944444444444,14.060458333333328
286,2020-01-14,26.46,29.01,26.27,27.13,29825220.0,17.568416666666668,15.341444444444441,14.139541666666663
287,2020-01-15,27.04,28.81,26.74,27.2,32341010.0,17.707749999999997,15.425277777777774,14.21866666666666
288,2020-01-16,25.87,26.64,25.06,26.21,23943609.0,17.837249999999997,15.501666666666663,14.29441666666666
289,2020-01-17,26.38,26.49,25.32,25.74,16872850.0,17.96141666666666,15.579499999999994,14.368208333333325
290,2020-01-20,26.32,26.47,25.61,25.98,14489998.0,18.08783333333333,15.658999999999994,14.442416666666658
291,2020-01-21,25.87,26.4,25.38,25.6,13886838.0,18.21208333333333,15.738388888888883,14.515208333333325
292,2020-01-22,25.21,26.11,24.71,25.69,14277085.0,18.335916666666662,15.815722222222217,14.588708333333324
293,2020-01-23,25.77,26.87,25.21,25.74,22117935.0,18.45933333333333,15.899888888888881,14.663916666666656
294,2020-02-03,23.17,23.17,23.17,23.17,770800.0,18.56333333333333,15.972166666666661,14.72962499999999
295,2020-02-04,20.85,22.89,20.85,22.2,24181738.0,18.659583333333327,16.037833333333325,14.79199999999999
296,2020-02-05,22.56,23.19,22.24,22.63,18230521.0,18.760999999999992,16.105222222222213,14.854833333333321
297,2020-02-06,23.35,23.79,22.89,23.61,20397682.0,18.87041666666666,16.175722222222216,14.92074999999999
298,2020-02-07,24.55,25.97,24.08,25.97,28927938.0,19.00266666666666,16.26016666666666,14.996124999999987
