,date,open,high,low,close,volume,120,180,240
0,2018-11-13,10.58,10.88,10.52,10.76,24459324.0,,,
1,2018-11-14,10.74,10.94,10.64,10.88,26828090.0,,,
2,2018-11-15,11.05,11.08,10.82,11.02,28798926.0,,,
3,2018-11-16,11.04,11.26,10.92,11.11,29959497.0,,,
4,2018-11-19,11.1,11.1,10.82,10.96,25603614.0,,,
5,2018-11-20,10.95,11.44,10.84,10.98,40881427.0,,,
6,2018-11-21,10.75,10.88,10.58,10.84,20366123.0,,,
7,2018-11-22,10.86,10.97,10.73,10.84,13178931.0,,,
8,2018-11-23,10.86,10.9,10.32,10.36,18140208.0,,,
9,2018-11-26,10.34,10.44,10.18,10.3,11647897.0,,,
10,2018-11-27,10.38,10.5,10.3,10.4,10323883.0,,,
11,2018-11-28,10.39,10.52,10.14,10.48,13885811.0,,,
12,2018-11-29,10.56,10.64,10.14,10.14,16040656.0,,,
13,2018-11-30,10.13,10.24,9.82,10.18,13956126.0,,,
14,2018-12-03,10.48,10.7,10.39,10.68,26642243.0,,,
15,2018-12-04,10.66,10.7,10.52,10.62,13642551.0,,,
16,2018-12-05,10.39,10.58,10.34,10.48,12057655.0,,,
17,2018-12-06,10.39,10.39,10.06,10.17,14408623.0,,,
18,2018-12-07,10.2,10.3,10.18,10.22,8033855.0,,,
19,2018-12-10,10.12,10.18,10.06,10.06,8196474.0,,,
20,2018-12-11,10.12,10.16,10.04,10.12,7217524.0,,,
21,2018-12-12,10.25,10.33,10.15,10.18,8929652.0,,,
22,2018-12-13,10.2,10.4,10.13,10.35,14029552.0,,,
23,2018-12-14,10.34,10.35,10.04,10.04,13216902.0,,,
24,2018-12-17,9.98,10.11,9.92,10.09,7343069.0,,,
25,2018-12-18,10.0,10.11,9.92,10.06,8198735.0,,,
26,2018-12-19,10.1,10.12,9.85,9.86,8999365.0,,,
27,2018-12-20,9.84,10.06,9.72,10.0,10470049.0,,,
28,2018-12-21,10.02,10.16,9.84,10.0,13144531.0,,,
29,2018-12-24,9.98,10.06,9.88,10.06,7504445.0,,,
30,2018-12-25,9.9,9.93,9.51,9.82,17008869.0,,,
31,2018-12-26,9.78,9.85,9.65,9.71,8760152.0,,,
32,2018-12-27,9.86,9.88,9.33,9.34,19287953.0,,,
33,2018-12-28,9.49,9.64,9.36,9.39,15449086.0,,,
34,2019-01-02,9.42,9.5,9.29,9.43,10865531.0,,,
35,2019-01-03,9.39,9.68,9.39,9.51,17677480.0,,,
36,2019-01-04,9.37,9.96,9.34,9.88,22966502.0,,,
37,2019-01-07,9.92,10.31,9.89,10.21,29739198.0,,,
38,2019-01-08,10.13,10.19,10.03,10.05,15531729.0,,,
39,2019-01-09,10.11,10.28,10.04,10.12,22458853.0,,,
40,2019-01-10,10.18,10.22,9.99,10.01,13606300.0,,,
41,2019-01-11,10.12,10.58,10.06,10.52,40510121.0,,,
42,2019-01-14,10.54,10.6,10.35,10.42,21808573.0,,,
43,2019-01-15,10.42,10.96,10.37,10.82,36175811.0,,,
44,2019-01-16,10.72,10.98,10.63,10.71,26907250.0,,,
45,2019-01-17,10.66,10.87,10.5,10.55,19391110.0,,,
46,2019-01-18,10.6,10.63,10.31,10.55,19001521.0,,,
47,2019-01-21,10.55,10.81,10.49,10.7,16736491.0,,,
48,2019-01-22,10.62,10.65,10.33,10.44,16057726.0,,,
49,2019-01-23,10.39,10.48,10.34,10.45,8862015.0,,,
50,2019-01-24,10.44,10.82,10.37,10.56,22270140.0,,,
51,2019-01-25,10.55,10.72,10.48,10.56,15382833.0,,,
52,2019-01-28,11.06,11.28,10.87,10.98,47220291.0,,,
53,2019-01-29,10.97,11.3,10.65,11.26,43706196.0,,,
54,2019-01-30,11.12,11.43,11.05,11.08,29926066.0,,,
55,2019-01-31,11.16,11.34,10.92,11.03,24582143.0,,,
56,2019-02-01,11.18,11.64,11.12,11.64,37601092.0,,,
57,2019-02-11,11.72,11.87,11.56,11.78,27431702.0,,,
58,2019-02-12,11.72,12.04,11.67,11.87,30141313.0,,,
59,2019-02-13,12.25,13.05,12.23,13.05,42815163.0,,,
60,2019-02-14,13.3,13.55,12.75,12.88,54037277.0,,,
61,2019-02-15,12.88,12.99,12.67,12.7,35058231.0,,,
62,2019-02-18,12.7,13.77,12.7,13.53,57555693.0,,,
63,2019-02-19,13.45,14.68,13.37,14.64,83693930.0,,,
64,2019-02-20,14.38,14.38,13.97,14.22,42834300.0,,,
65,2019-02-21,14.21,14.64,13.99,14.28,45543852.0,,,
66,2019-02-22,14.28,14.96,14.08,14.88,54152227.0,,,
67,2019-02-25,15.07,16.37,15.07,16.08,78912473.0,,,
68,2019-02-26,16.13,16.57,15.35,15.8,62497369.0,,,
69,2019-02-27,15.51,15.93,14.58,15.27,56773287.0,,,
70,2019-02-28,15.24,15.89,14.8,15.46,42903465.0,,,
71,2019-03-01,15.46,15.57,14.84,15.21,37330383.0,,,
72,2019-03-04,15.42,16.1,15.11,15.23,78751135.0,,,
73,2019-03-05,14.98,16.04,14.77,16.02,83534296.0,,,
74,2019-03-06,16.04,16.16,15.39,15.8,67275794.0,,,
75,2019-03-07,15.64,17.15,15.11,16.31,100439526.0,,,
76,2019-03-08,15.56,17.24,15.36,15.7,91484536.0,,,
77,2019-03-11,15.98,16.79,15.98,16.32,65499704.0,,,
78,2019-03-12,16.57,16.84,16.14,16.77,80175772.0,,,
79,2019-03-13,16.99,17.09,15.53,15.72,67943959.0,,,
80,2019-03-14,15.48,15.57,14.46,14.72,57044639.0,,,
81,2019-03-15,14.9,15.04,14.41,14.54,42633896.0,,,
82,2019-03-18,14.58,15.01,14.34,14.92,37536958.0,,,
83,2019-03-19,14.92,15.4,14.88,15.02,36732761.0,,,
84,2019-03-20,15.03,15.2,14.58,15.1,33464076.0,,,
85,2019-03-21,15.17,15.44,14.96,15.27,43933522.0,,,
86,2019-03-22,15.27,15.29,14.68,15.01,29922014.0,,,
87,2019-03-25,14.64,15.18,14.58,14.83,30772954.0,,,
88,2019-03-26,14.84,14.94,13.89,13.98,47070503.0,,,
89,2019-03-27,14.17,14.26,13.67,14.1,26696566.0,,,
90,2019-03-28,14.1,14.72,13.91,14.22,36834622.0,,,
91,2019-03-29,14.26,15.1,14.11,15.1,53465278.0,,,
92,2019-04-01,15.78,16.45,15.71,16.1,82516711.0,,,
93,2019-04-02,16.11,17.71,16.11,17.56,129920278.0,,,
94,2019-04-03,17.97,18.24,17.15,17.51,117531713.0,,,
95,2019-04-04,17.64,19.12,17.25,18.26,100616065.0,,,
96,2019-04-08,18.17,18.17,16.97,17.05,83632631.0,,,
97,2019-04-09,16.63,17.05,16.23,16.71,52338996.0,,,
98,2019-04-10,16.62,17.82,16.41,17.55,79510883.0,,,
99,2019-04-11,17.98,18.15,17.17,17.48,65139986.0,,,
100,2019-04-12,17.34,17.56,16.51,16.83,58158377.0,,,
101,2019-04-15,17.18,18.01,16.92,17.04,65438524.0,,,
102,2019-04-16,16.91,18.43,16.33,18.27,92410439.0,,,
103,2019-04-17,17.96,20.09,17.66,18.41,133429428.0,,,
104,2019-04-18,18.43,18.43,17.48,17.57,72354664.0,,,
105,2019-04-19,17.71,17.87,17.37,17.71,37432111.0,,,
106,2019-04-22,17.65,17.65,16.89,17.03,46434674.0,,,
107,2019-04-23,17.07,17.2,16.51,16.64,36622660.0,,,
