,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.95,4.95,4.95,4.95,2340060.0,,,
1,2018-11-14,5.45,5.45,5.45,5.45,1789297.0,,,
2,2018-11-15,5.56,5.56,5.01,5.16,57659914.0,,,
3,2018-11-16,5.03,5.68,4.9,5.55,64264243.0,,,
4,2018-11-19,5.26,5.41,5.19,5.2,35386484.0,,,
5,2018-11-20,5.08,5.15,4.89,4.95,21899689.0,,,
6,2018-11-21,4.86,4.9,4.74,4.87,15063746.0,,,
7,2018-11-22,4.89,4.94,4.71,4.73,14371676.0,,,
8,2018-11-23,4.75,4.8,4.48,4.57,15354407.0,,,
9,2018-11-26,4.53,4.64,4.44,4.53,9716515.0,,,
10,2018-11-27,4.61,4.62,4.46,4.56,8069008.0,,,
11,2018-11-28,4.55,4.59,4.4,4.56,9040397.0,,,
12,2018-11-29,4.6,4.61,4.3,4.33,8847200.0,,,
13,2018-11-30,4.29,4.39,4.24,4.36,8494197.0,,,
14,2018-12-03,4.41,4.53,4.39,4.48,11633432.0,,,
15,2018-12-04,4.51,4.61,4.44,4.58,9844390.0,,,
16,2018-12-05,4.45,4.51,4.38,4.44,7523941.0,,,
17,2018-12-06,4.43,4.53,4.34,4.49,8358840.0,,,
18,2018-12-07,4.46,4.49,4.41,4.44,3964801.0,,,
19,2018-12-10,4.42,4.51,4.4,4.43,5010850.0,,,
20,2018-12-11,4.41,4.45,4.38,4.44,4070700.0,,,
21,2018-12-12,4.53,4.55,4.45,4.48,5853150.0,,,
22,2018-12-13,4.49,4.51,4.32,4.43,10373400.0,,,
23,2018-12-14,4.38,4.41,4.23,4.25,6728600.0,,,
24,2018-12-17,4.29,4.32,4.21,4.31,4650101.0,,,
25,2018-12-18,4.26,4.36,4.23,4.32,4397900.0,,,
26,2018-12-19,4.27,4.32,4.21,4.26,4256300.0,,,
27,2018-12-20,4.22,4.3,4.21,4.26,3615161.0,,,
28,2018-12-21,4.25,4.3,4.22,4.24,3219768.0,,,
29,2018-12-24,4.21,4.25,4.15,4.2,4366500.0,,,
30,2018-12-25,4.14,4.14,3.91,4.02,7121101.0,,,
31,2018-12-26,4.07,4.13,4.05,4.06,5379100.0,,,
32,2018-12-27,4.18,4.36,4.16,4.19,15558141.0,,,
33,2018-12-28,4.13,4.19,3.98,4.19,12233695.0,,,
34,2019-01-02,4.18,4.18,4.04,4.09,6598869.0,,,
35,2019-01-03,4.02,4.09,3.99,4.0,5637759.0,,,
36,2019-01-04,4.0,4.11,3.93,4.09,7760124.0,,,
37,2019-01-07,4.12,4.19,4.09,4.17,7398311.0,,,
38,2019-01-08,4.2,4.22,4.13,4.19,6135409.0,,,
39,2019-01-09,4.16,4.29,4.16,4.2,7982701.0,,,
40,2019-01-10,4.25,4.35,4.22,4.25,7495901.0,,,
41,2019-01-11,4.3,4.3,4.19,4.26,5694321.0,,,
42,2019-01-14,4.24,4.28,4.18,4.22,5152800.0,,,
43,2019-01-15,4.19,4.27,4.19,4.26,4115820.0,,,
44,2019-01-16,4.26,4.27,4.22,4.23,3442600.0,,,
45,2019-01-17,4.28,4.34,4.23,4.27,8736803.0,,,
46,2019-01-18,4.22,4.26,4.18,4.24,6283289.0,,,
47,2019-01-21,4.22,4.3,4.18,4.23,6124309.0,,,
48,2019-01-22,4.23,4.23,4.07,4.08,6561600.0,,,
49,2019-01-23,4.09,4.23,4.08,4.22,6604365.0,,,
50,2019-01-24,4.18,4.24,4.18,4.22,4516201.0,,,
51,2019-01-25,4.33,4.35,4.18,4.18,6660600.0,,,
52,2019-01-28,4.19,4.26,4.14,4.15,4621100.0,,,
53,2019-01-29,4.12,4.16,3.85,4.03,5295700.0,,,
54,2019-01-30,4.03,4.12,4.0,4.01,3405900.0,,,
55,2019-01-31,3.98,4.06,3.9,3.94,4591305.0,,,
56,2019-02-01,3.95,4.1,3.95,4.06,3209492.0,,,
57,2019-02-11,4.1,4.21,4.06,4.2,5063656.0,,,
58,2019-02-12,4.23,4.29,4.2,4.26,5145430.0,,,
59,2019-02-13,4.26,4.35,4.25,4.31,7038675.0,,,
60,2019-02-14,4.32,4.33,4.26,4.31,4562700.0,,,
61,2019-02-15,4.3,4.34,4.28,4.32,4628737.0,,,
62,2019-02-18,4.34,4.6,4.32,4.51,11821067.0,,,
63,2019-02-19,4.51,4.53,4.39,4.46,9390305.0,,,
64,2019-02-20,4.45,4.49,4.39,4.45,5260221.0,,,
65,2019-02-21,4.47,4.54,4.4,4.45,8772336.0,,,
66,2019-02-22,4.43,4.55,4.38,4.55,9129814.0,,,
67,2019-02-25,4.66,4.75,4.57,4.75,16514944.0,,,
68,2019-02-26,4.72,4.85,4.63,4.7,19928509.0,,,
69,2019-02-27,4.66,5.05,4.64,4.84,20233312.0,,,
70,2019-02-28,4.85,4.85,4.71,4.77,12485561.0,,,
71,2019-03-01,4.78,4.79,4.69,4.75,10183144.0,,,
72,2019-03-04,4.74,5.23,4.72,4.96,29018393.0,,,
73,2019-03-05,4.87,5.02,4.85,4.99,18412479.0,,,
74,2019-03-06,5.01,5.15,4.9,5.09,18349589.0,,,
75,2019-03-07,5.12,5.56,5.07,5.37,30205744.0,,,
76,2019-03-08,5.16,5.35,4.96,5.07,24321910.0,,,
77,2019-03-11,5.03,5.26,5.0,5.24,15948738.0,,,
78,2019-03-12,5.26,5.4,5.15,5.26,19875681.0,,,
79,2019-03-13,5.25,5.74,5.16,5.42,32678391.0,,,
80,2019-03-14,5.52,5.96,5.48,5.96,21664525.0,,,
81,2019-03-15,6.56,6.56,6.33,6.56,25465097.0,,,
82,2019-03-18,6.56,7.22,6.27,7.22,115886871.0,,,
83,2019-03-19,7.62,7.94,7.55,7.94,32003948.0,,,
84,2019-03-20,8.73,8.73,8.44,8.73,39919518.0,,,
85,2019-03-21,9.61,9.61,9.61,9.61,4587836.0,,,
86,2019-03-22,10.56,10.57,10.36,10.57,98224533.0,,,
87,2019-03-25,11.21,11.63,10.5,10.5,182286923.0,,,
88,2019-03-26,9.58,10.92,9.45,10.47,167184895.0,,,
89,2019-03-27,9.74,11.52,9.53,11.52,148595748.0,,,
90,2019-03-28,11.91,12.51,10.72,10.8,184226465.0,,,
91,2019-03-29,9.78,10.77,9.78,9.98,126824042.0,,,
92,2019-04-01,9.79,10.71,9.79,10.27,107078543.0,,,
93,2019-04-02,10.17,11.3,10.02,11.3,155461498.0,,,
94,2019-04-03,10.92,11.4,10.56,10.98,125418530.0,,,
95,2019-04-04,9.9,10.8,9.9,10.49,110225569.0,,,
96,2019-04-08,10.47,11.54,10.03,11.54,123159525.0,,,
97,2019-04-09,12.11,12.69,12.03,12.69,53625039.0,,,
98,2019-04-10,13.58,13.96,11.52,11.81,162939404.0,,,
99,2019-04-11,11.6,12.8,11.27,12.45,147327083.0,,,
100,2019-04-12,12.07,12.26,11.21,11.21,109100780.0,,,
101,2019-04-15,11.05,11.85,10.86,11.28,81666748.0,,,
102,2019-04-16,10.47,10.99,10.28,10.95,92614277.0,,,
103,2019-04-17,10.87,11.59,10.63,11.31,93811481.0,,,
104,2019-04-18,11.22,12.45,10.98,12.45,145452650.0,,,
105,2019-04-19,12.51,13.69,12.36,13.69,152381825.0,,,
106,2019-04-22,14.22,15.06,13.89,14.39,163876551.0,,,
107,2019-04-23,14.9,15.11,12.95,12.95,146901666.0,,,
108,2019-04-24,12.4,12.53,11.76,11.91,109181272.0,,,
109,2019-04-25,11.91,12.12,10.72,10.73,109309903.0,,,
110,2019-04-26,10.47,11.26,10.31,10.9,73417056.0,,,
111,2019-04-29,10.75,10.9,9.83,10.13,66681645.0,,,
112,2019-04-30,10.13,10.49,9.53,10.0,66917397.0,,,
113,2019-05-06,9.64,9.67,9.0,9.0,39626339.0,,,
114,2019-05-07,8.85,9.41,8.57,9.38,72819614.0,,,
115,2019-05-08,8.93,9.62,8.78,9.11,61924436.0,,,
116,2019-05-09,8.98,9.48,8.95,9.13,45612407.0,,,
117,2019-05-10,9.31,9.91,8.74,9.69,82029827.0,,,
118,2019-05-13,9.43,9.88,9.23,9.49,60465853.0,,,
119,2019-05-14,9.23,9.73,9.18,9.61,58504920.0,6.480000000000001,,
120,2019-05-15,9.72,10.48,9.58,10.2,90430147.0,6.5237500000000015,,
121,2019-05-16,9.98,10.56,9.84,10.12,78884303.0,6.562666666666668,,
122,2019-05-17,9.93,10.08,9.13,9.18,64595431.0,6.596166666666667,,
123,2019-05-20,9.07,9.28,8.37,8.81,43703630.0,6.623333333333334,,
124,2019-05-21,8.88,9.29,8.79,9.12,39971373.0,6.656000000000001,,
125,2019-05-22,9.16,9.29,8.75,9.03,40241923.0,6.6899999999999995,,
126,2019-05-23,8.99,9.35,8.83,8.94,43561630.0,6.723916666666667,,
127,2019-05-24,8.72,9.09,8.64,8.85,32255811.0,6.75825,,
128,2019-05-27,8.91,9.46,8.54,9.12,49429678.0,6.796166666666666,,
129,2019-05-28,9.25,9.43,9.09,9.16,56462972.0,6.83475,,
130,2019-05-29,9.03,9.31,8.94,9.01,41996376.0,6.871833333333333,,
131,2019-05-30,8.98,9.16,8.84,9.05,41329471.0,6.90925,,
132,2019-05-31,9.05,9.09,8.77,8.78,36701358.0,6.946333333333333,,
133,2019-06-03,8.74,8.76,7.91,7.92,55181656.0,6.975999999999999,,
134,2019-06-04,7.63,8.09,7.63,7.95,36383543.0,7.004916666666666,,
135,2019-06-05,7.97,8.09,7.49,7.68,36001132.0,7.0307499999999985,,
