,date,open,high,low,close,volume,10,60,250
0,2020-03-18,11.7,11.73,11.14,11.14,27391651.0,,,
1,2020-03-19,11.08,11.18,10.69,10.87,29689704.0,,,
2,2020-03-20,10.91,10.98,10.63,10.79,27509257.0,,,
3,2020-03-23,10.41,10.64,10.18,10.43,24281025.0,,,
4,2020-03-24,10.59,10.82,10.52,10.78,24171489.0,,,
5,2020-03-25,11.14,11.26,11.0,11.18,24365159.0,,,
6,2020-03-26,11.11,11.2,10.93,10.95,13330959.0,,,
7,2020-03-27,11.13,11.41,11.03,11.06,18872822.0,,,
8,2020-03-30,11.07,11.28,10.84,11.09,23452830.0,,,
9,2020-03-31,11.19,11.78,11.1,11.45,40109070.0,10.974,,
10,2020-04-01,11.29,11.43,11.14,11.14,19822110.0,10.974,,
11,2020-04-02,11.08,11.29,10.99,11.22,12221820.0,11.009,,
12,2020-04-03,11.22,11.41,11.09,11.09,13485946.0,11.039000000000001,,
13,2020-04-07,11.26,11.7,11.22,11.62,25702211.0,11.158000000000001,,
14,2020-04-08,11.55,11.6,11.45,11.52,11196622.0,11.232000000000001,,
15,2020-04-09,11.6,11.65,11.44,11.51,10294678.0,11.265,,
16,2020-04-10,11.58,11.58,11.2,11.27,10585636.0,11.297,,
17,2020-04-13,11.19,11.31,11.09,11.2,6430822.0,11.311,,
18,2020-04-14,11.27,11.41,11.14,11.38,11176379.0,11.34,,
19,2020-04-15,11.33,11.42,11.16,11.19,8581636.0,11.313999999999998,,
20,2020-04-16,11.14,11.24,11.02,11.14,11221911.0,11.313999999999998,,
21,2020-04-17,11.3,11.62,11.25,11.41,19518147.0,11.332999999999998,,
22,2020-04-20,11.51,11.57,11.19,11.26,13906074.0,11.349999999999998,,
23,2020-04-21,11.26,11.26,11.08,11.18,14874206.0,11.305999999999997,,
24,2020-04-22,11.14,11.55,11.06,11.48,17437310.0,11.301999999999998,,
25,2020-04-23,11.51,12.17,11.49,11.99,43680466.0,11.349999999999998,,
26,2020-04-24,12.03,12.52,11.9,12.34,43591532.0,11.456999999999997,,
27,2020-04-27,12.47,12.67,12.18,12.39,26570665.0,11.575999999999997,,
28,2020-04-28,12.41,12.47,11.78,12.06,19188193.0,11.643999999999998,,
29,2020-04-29,12.06,12.81,12.06,12.62,27171390.0,11.786999999999997,,
30,2020-04-30,12.67,12.92,12.52,12.53,14329587.0,11.925999999999998,,
31,2020-05-06,12.4,12.52,12.22,12.48,9426038.0,12.032999999999998,,
32,2020-05-07,12.41,12.53,12.25,12.25,8308409.0,12.131999999999998,,
33,2020-05-08,12.26,12.4,12.23,12.36,6075618.0,12.249999999999996,,
34,2020-05-11,12.5,12.77,12.4,12.49,10831716.0,12.350999999999997,,
35,2020-05-12,12.45,12.84,12.39,12.82,13013552.0,12.434,,
36,2020-05-13,12.69,13.12,12.64,12.95,15476233.0,12.495,,
37,2020-05-14,12.81,12.95,12.47,12.67,16194747.0,12.522999999999998,,
38,2020-05-15,12.67,12.92,12.41,12.51,16842369.0,12.567999999999998,,
39,2020-05-18,12.57,13.26,12.16,13.22,37264221.0,12.627999999999997,,
40,2020-05-19,13.31,13.88,13.25,13.69,46252509.0,12.743999999999996,,
41,2020-05-20,13.69,14.0,13.6,13.65,27518514.0,12.860999999999999,,
42,2020-05-21,13.76,13.81,13.36,13.42,13510761.0,12.977999999999998,,
43,2020-05-22,13.4,13.66,13.25,13.43,16257612.0,13.084999999999997,,
44,2020-05-25,13.36,13.36,12.94,13.07,17125909.0,13.142999999999995,,
45,2020-05-26,13.18,13.41,12.94,13.18,17712252.0,13.178999999999997,,
46,2020-05-27,13.21,13.29,12.96,12.99,7601262.0,13.182999999999998,,
47,2020-05-28,12.98,13.13,12.53,12.72,11994258.0,13.187999999999999,,
48,2020-05-29,12.73,13.16,12.73,13.05,13285863.0,13.242,,
49,2020-06-01,13.15,13.56,13.07,13.42,20217337.0,13.262,,
50,2020-06-02,13.46,13.96,13.35,13.5,18604778.0,13.243,,
51,2020-06-03,13.61,13.8,13.55,13.6,14513250.0,13.238,,
52,2020-06-04,13.56,13.73,13.47,13.66,10054360.0,13.262,,
53,2020-06-05,13.65,14.9,13.46,14.53,36412803.0,13.372,,
54,2020-06-08,14.45,15.1,14.45,14.91,39887830.0,13.556000000000001,,
55,2020-06-09,14.96,15.94,14.92,15.86,34931374.0,13.824000000000002,,
56,2020-06-10,15.77,16.05,15.46,15.89,19207492.0,14.113999999999999,,
57,2020-06-11,15.88,16.25,15.65,15.78,20558702.0,14.419999999999998,,
58,2020-06-12,15.51,16.5,15.28,15.96,24558824.0,14.710999999999999,,
59,2020-06-15,16.03,16.86,16.03,16.32,36308972.0,15.001,12.494333333333334,
60,2020-06-16,16.39,17.5,16.18,16.98,24004745.0,15.348999999999998,12.591666666666667,
61,2020-06-17,17.05,17.3,16.62,16.8,15844680.0,15.669,12.690499999999998,
62,2020-06-18,16.79,16.99,16.39,16.71,14852749.0,15.974,12.789166666666667,
63,2020-06-19,16.9,16.9,16.07,16.27,44067298.0,16.148000000000003,12.886500000000002,
64,2020-06-22,16.75,16.76,14.95,15.23,51950874.0,16.18,12.960666666666668,
65,2020-06-23,15.38,15.45,14.88,14.99,25528002.0,16.093,13.02416666666667,
66,2020-06-24,15.05,15.09,14.62,14.69,15536367.0,15.973000000000003,13.086500000000003,
67,2020-06-29,14.89,14.98,14.32,14.41,18919255.0,15.836000000000002,13.142333333333337,
68,2020-06-30,14.44,14.63,14.41,14.56,13097894.0,15.696000000000002,13.200166666666668,
69,2020-07-01,14.6,15.22,14.5,15.19,23109319.0,15.583000000000002,13.262500000000001,
70,2020-07-02,15.14,15.35,14.94,15.07,18324696.0,15.392000000000001,13.328000000000003,
71,2020-07-03,15.07,15.25,14.9,15.19,17407648.0,15.231,13.39416666666667,
72,2020-07-06,15.19,15.67,15.09,15.51,23308345.0,15.110999999999999,13.467833333333337,
73,2020-07-07,15.58,16.34,15.36,15.95,29797295.0,15.078999999999997,13.540000000000003,
74,2020-07-08,15.91,16.03,15.48,15.81,31087732.0,15.136999999999997,13.611500000000003,
75,2020-07-09,15.81,16.05,15.61,15.78,23797776.0,15.215999999999998,13.68266666666667,
76,2020-07-10,15.79,16.18,15.51,15.69,19807773.0,15.315999999999997,13.756333333333338,
