,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.68,5.71,5.53,5.54,12042022.0,,,
1,2020-03-19,5.51,5.6,5.44,5.53,8670602.0,,,
2,2020-03-20,5.57,5.63,5.52,5.63,6931494.0,,,
3,2020-03-23,5.52,5.56,5.44,5.45,7654794.0,,,
4,2020-03-24,5.5,5.56,5.46,5.53,7067828.0,,,
5,2020-03-25,5.6,5.71,5.57,5.64,10561832.0,,,
6,2020-03-26,5.6,5.62,5.52,5.53,8354832.0,,,
7,2020-03-27,5.59,5.64,5.54,5.55,14341346.0,,,
8,2020-03-30,5.5,5.5,5.36,5.42,13822041.0,,,
9,2020-03-31,5.47,5.48,5.39,5.42,7398620.0,5.524,,
10,2020-04-01,5.4,5.48,5.39,5.4,6293612.0,5.51,,
11,2020-04-02,5.38,5.47,5.37,5.47,6385668.0,5.504,,
12,2020-04-03,5.47,5.47,5.4,5.44,5412123.0,5.484999999999999,,
13,2020-04-07,5.5,5.56,5.49,5.5,14047817.0,5.489999999999999,,
14,2020-04-08,5.48,5.49,5.44,5.47,8804997.0,5.483999999999999,,
15,2020-04-09,5.5,5.52,5.47,5.48,7334681.0,5.467999999999999,,
16,2020-04-10,5.5,5.5,5.44,5.46,6986532.0,5.460999999999999,,
17,2020-04-13,5.45,5.46,5.4,5.43,6138655.0,5.449,,
18,2020-04-14,5.43,5.53,5.43,5.52,9482419.0,5.458999999999999,,
19,2020-04-15,5.53,5.56,5.51,5.51,10077978.0,5.467999999999998,,
20,2020-04-16,5.51,5.53,5.47,5.52,6713944.0,5.479999999999999,,
21,2020-04-17,5.52,5.56,5.52,5.54,9130778.0,5.486999999999999,,
22,2020-04-20,5.55,5.56,5.5,5.53,9464864.0,5.4959999999999996,,
23,2020-04-21,5.51,5.52,5.42,5.47,7664160.0,5.492999999999999,,
24,2020-04-22,5.44,5.48,5.42,5.48,7179710.0,5.494,,
25,2020-04-23,5.52,5.52,5.44,5.44,6006265.0,5.489999999999999,,
26,2020-04-24,5.44,5.46,5.36,5.37,8504538.0,5.480999999999999,,
27,2020-04-27,5.37,5.43,5.37,5.39,6383252.0,5.4769999999999985,,
28,2020-04-28,5.42,5.45,5.29,5.34,9054409.0,5.458999999999999,,
29,2020-04-29,5.34,5.47,5.33,5.44,9087301.0,5.451999999999999,,
