,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.4,5.55,5.2,5.29,16151515.0,,,
1,2020-03-19,5.25,5.29,5.05,5.24,11627384.0,,,
2,2020-03-20,5.27,5.32,5.18,5.27,8101909.0,,,
3,2020-03-23,5.12,5.19,5.05,5.13,8247693.0,,,
4,2020-03-24,5.18,5.23,5.12,5.22,7073329.0,,,
5,2020-03-25,5.29,5.35,5.2,5.3,10067683.0,,,
6,2020-03-26,5.26,5.28,5.15,5.2,6193523.0,,,
7,2020-03-27,5.24,5.53,5.2,5.37,15326909.0,,,
8,2020-03-30,5.29,5.49,5.26,5.43,14575477.0,,,
9,2020-03-31,5.45,5.57,5.36,5.42,11369728.0,5.287,,
10,2020-04-01,5.43,5.46,5.22,5.29,11028105.0,5.287,,
11,2020-04-02,5.24,5.36,5.22,5.35,6515903.0,5.298,,
12,2020-04-03,5.33,5.35,5.26,5.3,4271535.0,5.300999999999999,,
13,2020-04-07,5.35,5.4,5.33,5.38,7790809.0,5.325999999999999,,
14,2020-04-08,5.36,5.37,5.28,5.31,6581939.0,5.334999999999999,,
15,2020-04-09,5.33,5.37,5.3,5.33,4703586.0,5.337999999999999,,
16,2020-04-10,5.35,5.36,5.23,5.28,6492270.0,5.345999999999999,,
17,2020-04-13,5.28,5.28,5.14,5.19,7627293.0,5.327999999999999,,
18,2020-04-14,5.18,5.24,5.18,5.23,4630831.0,5.307999999999999,,
19,2020-04-15,5.2,5.23,5.18,5.2,4300763.0,5.286,,
20,2020-04-16,5.19,5.21,5.13,5.18,5724056.0,5.2749999999999995,,
21,2020-04-17,5.2,5.21,5.15,5.2,5659961.0,5.26,,
22,2020-04-20,5.2,5.21,5.13,5.16,4537509.0,5.2459999999999996,,
23,2020-04-21,5.14,5.15,5.09,5.12,5691293.0,5.219999999999999,,
24,2020-04-22,5.1,5.14,5.08,5.13,4487776.0,5.201999999999999,,
25,2020-04-23,5.12,5.14,5.08,5.11,3976220.0,5.179999999999999,,
26,2020-04-24,5.12,5.12,5.04,5.06,4225125.0,5.1579999999999995,,
27,2020-04-27,5.06,5.12,5.06,5.07,3520773.0,5.145999999999999,,
28,2020-04-28,5.1,5.13,4.92,5.01,6409348.0,5.124,,
29,2020-04-29,4.99,5.02,4.96,5.01,3664859.0,5.104999999999999,,
30,2020-04-30,5.01,5.11,5.0,5.1,5824711.0,5.0969999999999995,,
31,2020-05-06,5.13,5.23,5.11,5.16,8086202.0,5.092999999999999,,
32,2020-05-07,5.14,5.17,5.09,5.1,4654930.0,5.086999999999999,,
33,2020-05-08,5.12,5.15,5.1,5.14,3786683.0,5.0889999999999995,,
34,2020-05-11,5.15,5.16,5.11,5.13,3481807.0,5.0889999999999995,,
35,2020-05-12,5.13,5.14,5.04,5.07,4099672.0,5.084999999999999,,
36,2020-05-13,5.07,5.1,5.01,5.02,5759496.0,5.080999999999999,,
37,2020-05-14,5.03,5.04,5.0,5.01,2791271.0,5.074999999999998,,
38,2020-05-15,5.0,5.06,5.0,5.02,3233949.0,5.075999999999999,,
39,2020-05-18,5.02,5.16,5.0,5.11,6570790.0,5.0859999999999985,,
40,2020-05-19,5.14,5.19,5.11,5.16,6154908.0,5.091999999999998,,
41,2020-05-20,5.16,5.18,5.11,5.13,4754746.0,5.088999999999999,,
42,2020-05-21,5.16,5.36,5.13,5.3,17082187.0,5.108999999999998,,
43,2020-05-22,5.32,5.34,5.21,5.23,8937137.0,5.117999999999998,,
44,2020-05-25,5.22,5.25,5.15,5.17,5458023.0,5.121999999999998,,
45,2020-05-26,5.18,5.21,5.17,5.19,4321838.0,5.133999999999998,,
46,2020-05-27,5.19,5.2,5.14,5.17,4968279.0,5.148999999999998,,
47,2020-05-28,5.2,5.23,5.16,5.18,3453992.0,5.165999999999999,,
48,2020-05-29,5.18,5.31,5.14,5.29,8590683.0,5.192999999999998,,
49,2020-06-01,5.3,5.4,5.28,5.35,11598731.0,5.216999999999998,,
50,2020-06-02,5.35,5.42,5.33,5.36,6022754.0,5.236999999999997,,
51,2020-06-03,5.36,5.41,5.3,5.33,5399522.0,5.256999999999997,,
52,2020-06-04,5.33,5.35,5.26,5.27,4009657.0,5.253999999999998,,
53,2020-06-05,5.29,5.49,5.27,5.45,12249953.0,5.275999999999998,,
54,2020-06-08,5.48,5.51,5.38,5.42,8725910.0,5.3009999999999975,,
