,date,open,high,low,close,volume,120,180,240
0,2020-09-22,9.86,11.84,9.86,11.84,265925.0,,,
1,2020-09-23,13.02,13.02,13.02,13.02,72001.0,,,
2,2020-09-24,14.32,14.32,14.32,14.32,70818.0,,,
3,2020-09-25,15.75,15.75,14.32,15.01,24387454.0,,,
4,2020-09-28,14.0,14.29,13.51,13.51,15408631.0,,,
5,2020-09-29,13.46,14.18,13.08,13.52,11302384.0,,,
6,2020-09-30,13.72,13.72,12.9,13.01,9161447.0,,,
7,2020-10-09,13.12,13.63,13.03,13.55,9416379.0,,,
8,2020-10-12,13.47,13.96,13.4,13.95,10461240.0,,,
9,2020-10-13,13.88,14.13,13.63,14.05,9496177.0,,,
10,2020-10-14,13.9,14.65,13.88,14.06,10365653.0,,,
11,2020-10-15,13.99,14.05,13.51,13.52,7751685.0,,,
12,2020-10-16,13.48,13.6,13.35,13.39,4077269.0,,,
13,2020-10-19,13.43,13.55,13.16,13.22,3898940.0,,,
14,2020-10-20,13.21,13.55,13.2,13.55,4550997.0,,,
15,2020-10-21,13.8,14.91,13.7,14.91,14917394.0,,,
16,2020-10-22,15.31,15.74,14.52,14.66,23928308.0,,,
17,2020-10-23,14.69,15.28,14.5,14.92,15092393.0,,,
18,2020-10-26,14.81,15.32,14.41,14.68,10941679.0,,,
19,2020-10-27,14.68,14.87,13.96,14.03,8397771.0,,,
20,2020-10-28,13.99,14.22,13.62,14.13,6058699.0,,,
21,2020-10-29,13.82,14.4,13.7,13.87,7345288.0,,,
22,2020-10-30,13.91,14.22,13.46,13.5,6220702.0,,,
23,2020-11-02,13.65,14.39,13.39,14.28,8159491.0,,,
24,2020-11-03,14.2,14.64,14.11,14.31,7138182.0,,,
25,2020-11-04,14.35,15.74,14.28,15.74,13029394.0,,,
26,2020-11-05,16.2,17.31,15.84,16.43,21131148.0,,,
27,2020-11-06,16.07,16.76,15.88,16.36,12305970.0,,,
28,2020-11-09,16.36,16.95,16.1,16.75,13106136.0,,,
29,2020-11-10,16.85,17.57,15.85,16.02,14070443.0,,,
30,2020-11-11,16.17,17.62,16.17,17.05,20150557.0,,,
31,2020-11-12,16.49,17.34,16.25,16.63,13821480.0,,,
32,2020-11-13,16.91,18.29,16.46,18.29,16243283.0,,,
33,2020-11-16,18.36,19.41,17.6,18.9,20943608.0,,,
34,2020-11-17,18.3,18.41,17.3,17.5,14514820.0,,,
35,2020-11-18,17.15,17.77,16.91,17.77,10950497.0,,,
36,2020-11-19,17.47,17.47,16.63,16.85,9001716.0,,,
37,2020-11-20,16.62,16.96,16.38,16.79,5981723.0,,,
38,2020-11-23,16.72,17.28,16.7,16.85,7037376.0,,,
39,2020-11-24,16.7,17.14,16.53,17.1,5673963.0,,,
40,2020-11-25,17.35,18.81,17.22,18.81,15405677.0,,,
41,2020-11-26,18.5,19.49,18.11,18.98,18090418.0,,,
42,2020-11-27,19.11,19.13,17.5,17.69,11230544.0,,,
43,2020-11-30,17.78,19.4,17.7,18.49,10700519.0,,,
44,2020-12-01,18.1,18.45,18.0,18.26,6844848.0,,,
45,2020-12-02,18.37,18.73,17.76,17.98,7379160.0,,,
46,2020-12-03,17.75,17.8,17.11,17.31,7007911.0,,,
47,2020-12-04,17.21,17.35,16.75,17.25,4785986.0,,,
48,2020-12-07,17.3,18.0,17.13,18.0,6873333.0,,,
49,2020-12-08,18.01,18.1,17.5,17.62,4628066.0,,,
50,2020-12-09,17.68,17.68,16.69,16.69,5652774.0,,,
51,2020-12-10,16.79,16.98,16.5,16.74,3498737.0,,,
52,2020-12-11,16.6,16.74,15.52,15.8,5747644.0,,,
53,2020-12-14,15.61,15.78,15.3,15.56,3470359.0,,,
