,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.68,3.82,3.67,3.79,20907442.0,,,
1,2018-11-14,3.78,3.86,3.74,3.78,17208941.0,,,
2,2018-11-15,3.77,3.93,3.76,3.91,21797801.0,,,
3,2018-11-16,3.9,4.06,3.88,4.02,29938874.0,,,
4,2018-11-19,4.06,4.14,4.0,4.04,34800472.0,,,
5,2018-11-20,3.98,4.01,3.9,3.9,20671230.0,,,
6,2018-11-21,3.89,4.07,3.87,4.04,27384701.0,,,
7,2018-11-22,4.0,4.02,3.89,3.92,17946312.0,,,
8,2018-11-23,3.92,3.92,3.75,3.79,17405062.0,,,
9,2018-11-26,3.82,3.89,3.79,3.89,12141968.0,,,
10,2018-11-27,3.96,3.99,3.83,3.87,15314523.0,,,
11,2018-11-28,3.88,3.88,3.76,3.86,9704451.0,,,
12,2018-11-29,3.86,3.9,3.79,3.79,10347380.0,,,
13,2018-11-30,3.79,3.81,3.71,3.8,7020473.0,,,
14,2018-12-03,3.88,3.91,3.86,3.88,11616711.0,,,
15,2018-12-04,3.87,3.94,3.87,3.9,10464698.0,,,
16,2018-12-05,3.83,3.88,3.81,3.86,7798826.0,,,
17,2018-12-06,3.86,3.86,3.75,3.77,9003618.0,,,
18,2018-12-07,3.77,3.81,3.75,3.79,4226622.0,,,
19,2018-12-10,3.75,3.79,3.75,3.75,3586518.0,,,
20,2018-12-11,3.75,3.78,3.75,3.77,3527800.0,,,
21,2018-12-12,3.78,3.81,3.77,3.78,4113182.0,,,
22,2018-12-13,3.79,3.86,3.77,3.85,8031924.0,,,
23,2018-12-14,3.83,3.85,3.78,3.79,6748282.0,,,
24,2018-12-17,3.77,3.85,3.77,3.84,8334667.0,,,
25,2018-12-18,3.81,3.84,3.77,3.78,5178006.0,,,
26,2018-12-19,3.79,3.81,3.77,3.79,3499025.0,,,
27,2018-12-20,3.77,3.8,3.76,3.77,4949510.0,,,
28,2018-12-21,3.77,3.79,3.73,3.74,4759922.0,,,
29,2018-12-24,3.74,3.8,3.72,3.79,4678065.0,,,
30,2018-12-25,3.79,3.79,3.73,3.78,6354380.0,,,
31,2018-12-26,3.78,3.82,3.76,3.81,4471221.0,,,
32,2018-12-27,3.84,3.86,3.77,3.78,5130619.0,,,
33,2018-12-28,3.78,3.81,3.76,3.76,4286511.0,,,
34,2019-01-02,3.78,3.79,3.74,3.76,3841755.0,,,
35,2019-01-03,3.77,3.8,3.75,3.76,4353150.0,,,
36,2019-01-04,3.73,3.85,3.73,3.84,7494431.0,,,
37,2019-01-07,3.85,3.91,3.82,3.91,8496901.0,,,
38,2019-01-08,3.9,3.95,3.88,3.9,7289265.0,,,
39,2019-01-09,3.9,3.96,3.89,3.89,8842779.0,,,
40,2019-01-10,3.89,3.92,3.87,3.88,4749173.0,,,
41,2019-01-11,3.88,3.91,3.87,3.89,4425199.0,,,
42,2019-01-14,3.89,3.89,3.85,3.86,4413976.0,,,
43,2019-01-15,3.88,3.91,3.86,3.89,5177050.0,,,
44,2019-01-16,3.9,3.91,3.89,3.89,3775452.0,,,
45,2019-01-17,3.89,3.91,3.86,3.87,4806045.0,,,
46,2019-01-18,3.87,3.89,3.86,3.87,4389818.0,,,
47,2019-01-21,3.89,3.91,3.86,3.87,5000125.0,,,
48,2019-01-22,3.88,3.88,3.79,3.8,6610850.0,,,
49,2019-01-23,3.78,3.81,3.77,3.77,5893200.0,,,
50,2019-01-24,3.78,3.82,3.76,3.81,6212347.0,,,
51,2019-01-25,3.79,3.81,3.77,3.77,4971511.0,,,
52,2019-01-28,3.78,3.82,3.76,3.77,5021711.0,,,
53,2019-01-29,3.76,3.78,3.64,3.7,10181752.0,,,
54,2019-01-30,3.71,3.72,3.65,3.66,5140911.0,,,
55,2019-01-31,3.66,3.72,3.66,3.69,5936314.0,,,
56,2019-02-01,3.69,3.76,3.69,3.75,6388333.0,,,
57,2019-02-11,3.77,3.89,3.76,3.85,9512356.0,,,
58,2019-02-12,3.85,3.89,3.84,3.86,7546729.0,,,
59,2019-02-13,3.87,3.94,3.86,3.91,14440704.0,,,
60,2019-02-14,3.92,3.94,3.89,3.91,8876880.0,,,
61,2019-02-15,3.92,3.94,3.88,3.9,7242924.0,,,
62,2019-02-18,3.91,4.04,3.91,4.03,17422149.0,,,
63,2019-02-19,4.03,4.06,3.96,4.01,12920507.0,,,
64,2019-02-20,4.01,4.02,3.97,3.99,7062052.0,,,
65,2019-02-21,4.01,4.04,3.94,3.95,11503774.0,,,
66,2019-02-22,3.96,4.13,3.93,4.11,21455292.0,,,
67,2019-02-25,4.2,4.39,4.2,4.37,41107480.0,,,
68,2019-02-26,4.37,4.39,4.27,4.27,38806438.0,,,
69,2019-02-27,4.27,4.35,4.22,4.25,23069620.0,,,
70,2019-02-28,4.25,4.3,4.22,4.25,12173175.0,,,
71,2019-03-01,4.25,4.29,4.2,4.29,14294606.0,,,
72,2019-03-04,4.33,4.41,4.28,4.32,29505726.0,,,
73,2019-03-05,4.32,4.51,4.3,4.48,33883758.0,,,
74,2019-03-06,4.46,4.55,4.43,4.51,32703006.0,,,
75,2019-03-07,4.56,4.86,4.56,4.77,57512209.0,,,
