,date,open,high,low,close,volume,120,180,240
0,2018-11-13,25.32,25.88,25.25,25.75,3005583.0,,,
1,2018-11-14,25.69,26.08,25.63,25.77,2022980.0,,,
2,2018-11-15,25.78,26.15,25.73,26.06,2427129.0,,,
3,2018-11-16,26.09,26.34,25.99,26.2,3036484.0,,,
4,2018-11-19,26.25,26.39,25.7,26.03,3461562.0,,,
5,2018-11-20,25.92,26.01,25.36,25.41,2885950.0,,,
6,2018-11-21,25.35,25.61,25.14,25.54,1817198.0,,,
7,2018-11-22,25.67,26.03,25.57,25.78,2164229.0,,,
8,2018-11-23,25.76,25.86,24.87,24.99,2528305.0,,,
9,2018-11-26,24.99,25.44,24.83,25.02,1347786.0,,,
10,2018-11-27,25.16,25.45,25.11,25.16,1261697.0,,,
11,2018-11-28,25.25,25.27,24.79,25.25,1437715.0,,,
12,2018-11-29,25.39,25.5,24.89,24.89,1736797.0,,,
13,2018-11-30,24.84,24.95,24.42,24.75,2016301.0,,,
14,2018-12-03,25.12,25.56,25.12,25.49,2710139.0,,,
15,2018-12-04,25.48,25.65,25.31,25.54,2001896.0,,,
16,2018-12-05,25.15,25.48,25.09,25.35,1307942.0,,,
17,2018-12-06,25.39,25.39,24.55,24.66,3138191.0,,,
18,2018-12-07,24.75,24.78,24.54,24.63,1769777.0,,,
19,2018-12-10,24.49,24.5,24.16,24.19,1958954.0,,,
20,2018-12-11,24.24,24.33,24.15,24.24,2041480.0,,,
21,2018-12-12,24.33,24.46,24.15,24.3,1032249.0,,,
22,2018-12-13,24.34,24.77,24.19,24.53,2278681.0,,,
23,2018-12-14,24.46,24.52,24.07,24.07,1947760.0,,,
24,2018-12-17,23.94,24.12,23.83,23.92,1833509.0,,,
25,2018-12-18,23.9,24.01,23.54,23.72,1622853.0,,,
26,2018-12-19,23.69,23.77,23.5,23.54,1088686.0,,,
27,2018-12-20,23.53,23.68,23.42,23.6,1467044.0,,,
28,2018-12-21,23.54,23.58,23.34,23.49,1282158.0,,,
29,2018-12-24,23.52,23.77,23.46,23.75,1007351.0,,,
30,2018-12-25,23.5,23.58,23.17,23.53,1337857.0,,,
31,2018-12-26,23.53,23.65,23.41,23.59,976038.0,,,
32,2018-12-27,23.86,23.93,23.4,23.48,1815200.0,,,
33,2018-12-28,23.57,23.61,23.36,23.45,1644757.0,,,
34,2019-01-02,23.52,23.63,23.38,23.52,1280454.0,,,
35,2019-01-03,23.37,23.86,23.36,23.63,1386044.0,,,
36,2019-01-04,23.52,24.04,23.41,23.98,1863088.0,,,
37,2019-01-07,24.04,24.27,23.99,24.16,1800628.0,,,
38,2019-01-08,24.16,24.22,24.02,24.09,965240.0,,,
39,2019-01-09,24.12,24.44,24.03,24.04,1867703.0,,,
40,2019-01-10,24.04,24.38,23.94,24.14,1477401.0,,,
41,2019-01-11,24.17,24.26,24.04,24.21,1221656.0,,,
42,2019-01-14,24.3,24.43,24.04,24.07,1350819.0,,,
43,2019-01-15,24.05,24.41,24.04,24.39,1213340.0,,,
44,2019-01-16,24.36,24.47,24.23,24.3,1369313.0,,,
45,2019-01-17,24.39,24.5,24.21,24.26,1419086.0,,,
46,2019-01-18,24.26,24.54,24.23,24.43,1746328.0,,,
47,2019-01-21,24.54,24.69,24.49,24.63,1615074.0,,,
48,2019-01-22,24.6,24.7,24.12,24.2,1483900.0,,,
49,2019-01-23,24.23,24.76,24.17,24.49,1930997.0,,,
50,2019-01-24,24.51,24.85,24.43,24.81,1962576.0,,,
51,2019-01-25,24.77,24.96,24.72,24.78,1535157.0,,,
52,2019-01-28,24.89,25.05,24.68,24.86,1966888.0,,,
53,2019-01-29,24.82,25.48,24.59,25.35,4369310.0,,,
54,2019-01-30,25.18,25.21,24.49,24.52,2689119.0,,,
55,2019-01-31,24.52,24.67,23.88,24.05,2771657.0,,,
56,2019-02-01,24.06,24.49,24.06,24.48,1862832.0,,,
57,2019-02-11,24.54,25.14,24.49,25.06,2431724.0,,,
58,2019-02-12,25.04,25.39,25.01,25.27,2665082.0,,,
59,2019-02-13,25.31,25.78,25.31,25.69,4067544.0,,,
60,2019-02-14,25.59,25.69,25.4,25.47,2802909.0,,,
61,2019-02-15,25.52,25.73,25.42,25.44,2101480.0,,,
62,2019-02-18,25.44,26.36,25.44,26.27,3965616.0,,,
63,2019-02-19,26.28,26.37,25.81,26.01,3053259.0,,,
64,2019-02-20,26.01,26.37,25.8,26.24,2373138.0,,,
65,2019-02-21,26.22,26.38,25.7,25.91,2954952.0,,,
66,2019-02-22,25.83,26.29,25.76,26.24,2225911.0,,,
67,2019-02-25,26.37,27.28,26.27,27.28,5567226.0,,,
68,2019-02-26,27.21,27.57,26.87,27.35,4709589.0,,,
69,2019-02-27,27.17,27.52,26.95,27.13,3631805.0,,,
