,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.61,5.18,4.61,5.01,24287568.0,,,
1,2018-11-14,4.93,5.22,4.9,5.1,22839805.0,,,
2,2018-11-15,5.02,5.1,4.95,5.04,13688358.0,,,
3,2018-11-16,5.05,5.26,4.97,5.17,17939971.0,,,
4,2018-11-19,5.14,5.17,4.9,4.95,15270700.0,,,
5,2018-11-20,4.91,5.04,4.76,4.81,8301434.0,,,
6,2018-11-21,4.74,4.87,4.73,4.87,6609258.0,,,
7,2018-11-22,4.88,4.89,4.77,4.82,4576551.0,,,
8,2018-11-23,4.82,4.86,4.48,4.54,8015901.0,,,
9,2018-11-26,4.6,4.66,4.54,4.61,4463360.0,,,
10,2018-11-27,4.61,4.72,4.61,4.69,4082559.0,,,
11,2018-11-28,4.7,4.71,4.55,4.62,6283100.0,,,
12,2018-11-29,4.62,4.65,4.31,4.4,9967882.0,,,
13,2018-11-30,4.39,4.42,4.29,4.4,5652764.0,,,
14,2018-12-03,4.48,4.61,4.46,4.57,8263482.0,,,
15,2018-12-04,4.6,4.7,4.55,4.64,5761140.0,,,
16,2018-12-05,4.62,4.64,4.54,4.58,3575218.0,,,
17,2018-12-06,4.6,4.61,4.48,4.5,3203682.0,,,
18,2018-12-07,4.46,4.53,4.44,4.53,2556601.0,,,
19,2018-12-10,4.5,4.51,4.39,4.47,2721500.0,,,
20,2018-12-11,4.49,4.55,4.44,4.55,2529987.0,,,
21,2018-12-12,4.56,4.58,4.51,4.54,2329288.0,,,
22,2018-12-13,4.53,4.63,4.53,4.6,3398365.0,,,
23,2018-12-14,4.6,4.6,4.34,4.38,4574800.0,,,
24,2018-12-17,4.39,4.43,4.3,4.42,2961800.0,,,
25,2018-12-18,4.38,4.47,4.35,4.41,2066800.0,,,
26,2018-12-19,4.41,4.5,4.3,4.37,2361386.0,,,
27,2018-12-20,4.41,4.45,4.35,4.44,2370400.0,,,
28,2018-12-21,4.47,4.47,4.32,4.36,1774000.0,,,
29,2018-12-24,4.38,4.42,4.32,4.39,1759200.0,,,
30,2018-12-25,4.35,4.38,4.11,4.29,4007300.0,,,
31,2018-12-26,4.25,4.32,4.25,4.29,1973871.0,,,
32,2018-12-27,4.33,4.39,4.18,4.18,2119600.0,,,
33,2018-12-28,4.19,4.27,4.13,4.18,2026600.0,,,
34,2019-01-02,4.2,4.25,4.13,4.17,2086800.0,,,
35,2019-01-03,4.16,4.26,4.13,4.17,2844856.0,,,
36,2019-01-04,4.15,4.54,4.11,4.5,7953345.0,,,
37,2019-01-07,4.5,4.53,4.4,4.49,5494526.0,,,
38,2019-01-08,4.48,4.53,4.43,4.51,3419600.0,,,
39,2019-01-09,4.54,4.55,4.47,4.48,4375500.0,,,
40,2019-01-10,4.49,4.53,4.43,4.46,3493979.0,,,
41,2019-01-11,4.46,4.56,4.43,4.52,5134500.0,,,
42,2019-01-14,4.53,4.56,4.5,4.54,3046043.0,,,
43,2019-01-15,4.55,4.57,4.48,4.55,3676987.0,,,
44,2019-01-16,4.55,4.58,4.51,4.53,2887913.0,,,
45,2019-01-17,4.55,4.56,4.41,4.43,3818383.0,,,
46,2019-01-18,4.44,4.48,4.42,4.46,2405678.0,,,
47,2019-01-21,4.49,4.54,4.47,4.47,3029866.0,,,
48,2019-01-22,4.5,4.68,4.47,4.66,12336429.0,,,
49,2019-01-23,4.62,4.72,4.54,4.71,13040621.0,,,
50,2019-01-24,4.68,4.76,4.61,4.68,9352594.0,,,
51,2019-01-25,4.65,4.69,4.54,4.54,6717743.0,,,
52,2019-01-28,4.56,4.6,4.48,4.5,3438671.0,,,
53,2019-01-29,4.52,4.52,4.2,4.47,5584200.0,,,
54,2019-01-30,4.43,4.45,4.26,4.26,3175400.0,,,
55,2019-01-31,4.27,4.38,4.17,4.22,5858539.0,,,
56,2019-02-01,4.25,4.32,4.21,4.31,3687433.0,,,
57,2019-02-11,4.31,4.48,4.31,4.46,4613800.0,,,
58,2019-02-12,4.46,4.64,4.43,4.53,7834165.0,,,
59,2019-02-13,4.53,4.62,4.51,4.59,7870245.0,,,
60,2019-02-14,4.56,4.8,4.54,4.7,12811263.0,,,
61,2019-02-15,4.67,4.94,4.66,4.83,16992435.0,,,
62,2019-02-18,4.8,4.91,4.79,4.88,16777973.0,,,
63,2019-02-19,4.89,4.96,4.77,4.83,13580640.0,,,
64,2019-02-20,4.89,4.97,4.78,4.84,12811425.0,,,
65,2019-02-21,4.9,4.97,4.79,4.79,15894016.0,,,
66,2019-02-22,4.8,5.01,4.79,4.9,18369441.0,,,
67,2019-02-25,4.89,5.21,4.89,5.18,20659531.0,,,
68,2019-02-26,5.13,5.27,5.03,5.11,19894577.0,,,
69,2019-02-27,5.16,5.24,5.07,5.16,13992706.0,,,
70,2019-02-28,5.19,5.21,5.06,5.09,11796579.0,,,
71,2019-03-01,5.13,5.18,5.08,5.14,8278167.0,,,
72,2019-03-04,5.16,5.28,5.14,5.19,18396369.0,,,
73,2019-03-05,5.2,5.43,5.17,5.38,18297097.0,,,
74,2019-03-06,5.4,5.46,5.28,5.45,15835052.0,,,
75,2019-03-07,5.45,5.71,5.41,5.61,20925504.0,,,
76,2019-03-08,5.5,5.66,5.31,5.38,18536415.0,,,
77,2019-03-11,5.48,5.6,5.45,5.59,15900451.0,,,
78,2019-03-12,5.61,6.15,5.57,6.15,34563916.0,,,
79,2019-03-13,6.1,6.13,5.7,5.81,29370244.0,,,
80,2019-03-14,5.79,5.82,5.34,5.4,17365200.0,,,
81,2019-03-15,5.4,5.54,5.37,5.48,8779137.0,,,
82,2019-03-18,5.48,5.62,5.42,5.59,9677889.0,,,
83,2019-03-19,5.58,5.59,5.48,5.53,8446557.0,,,
84,2019-03-20,5.5,5.63,5.39,5.53,13674357.0,,,
85,2019-03-21,5.53,5.64,5.47,5.6,15052401.0,,,
86,2019-03-22,5.6,5.66,5.49,5.58,9585604.0,,,
87,2019-03-25,5.5,5.55,5.43,5.5,9242680.0,,,
88,2019-03-26,5.52,5.65,5.46,5.5,14756350.0,,,
89,2019-03-27,5.53,5.54,5.33,5.42,11130943.0,,,
90,2019-03-28,5.42,5.45,5.25,5.27,8411513.0,,,
91,2019-03-29,5.28,5.48,5.25,5.46,9497628.0,,,
92,2019-04-01,5.48,5.69,5.48,5.65,17891089.0,,,
93,2019-04-02,5.69,5.7,5.61,5.67,11192715.0,,,
94,2019-04-03,5.64,5.79,5.64,5.73,11239019.0,,,
95,2019-04-04,5.75,5.92,5.69,5.88,16923092.0,,,
96,2019-04-08,5.91,6.04,5.68,5.79,14394400.0,,,
97,2019-04-09,5.78,5.88,5.73,5.82,8837285.0,,,
98,2019-04-10,5.82,5.82,5.66,5.76,8013770.0,,,
99,2019-04-11,5.77,5.79,5.59,5.6,7938177.0,,,
100,2019-04-12,5.6,5.72,5.57,5.67,7164711.0,,,
101,2019-04-15,5.75,5.85,5.65,5.66,7663425.0,,,
102,2019-04-16,5.61,5.79,5.48,5.79,10837805.0,,,
103,2019-04-17,5.79,5.86,5.74,5.81,12180168.0,,,
104,2019-04-18,5.82,6.1,5.79,5.95,21936185.0,,,
105,2019-04-19,5.91,6.07,5.82,6.06,14975134.0,,,
106,2019-04-22,6.15,6.29,5.92,5.96,14288146.0,,,
107,2019-04-23,5.94,6.27,5.76,6.08,17287452.0,,,
108,2019-04-24,6.06,6.06,5.78,5.88,15687704.0,,,
109,2019-04-25,5.8,5.92,5.29,5.48,15635554.0,,,
110,2019-04-26,5.44,5.55,5.35,5.38,8599577.0,,,
111,2019-04-29,5.38,5.46,4.88,4.93,11701219.0,,,
112,2019-04-30,4.95,5.1,4.86,5.08,7002764.0,,,
113,2019-05-06,4.91,5.04,4.67,4.75,6970897.0,,,
114,2019-05-07,4.81,5.02,4.77,4.97,7171748.0,,,
115,2019-05-08,4.85,5.18,4.77,5.0,7104261.0,,,
116,2019-05-09,4.92,5.1,4.89,5.09,5944698.0,,,
117,2019-05-10,5.1,5.2,5.02,5.19,10252139.0,,,
118,2019-05-13,5.17,5.3,5.09,5.19,6159557.0,,,
119,2019-05-14,5.07,5.27,5.04,5.06,6648556.0,4.972333333333333,,
120,2019-05-15,5.12,5.3,5.07,5.27,6741594.0,4.9745,,
121,2019-05-16,5.26,5.48,5.23,5.46,10320494.0,4.9775,,
122,2019-05-17,5.46,5.6,5.28,5.28,12047559.0,4.9795,,
123,2019-05-20,5.32,5.37,4.96,5.2,9107358.0,4.97975,,
124,2019-05-21,5.15,5.35,5.15,5.27,5592758.0,4.9824166666666665,,
125,2019-05-22,5.26,5.32,5.12,5.21,4602591.0,4.98575,,
126,2019-05-23,5.15,5.24,5.0,5.05,6644735.0,4.98725,,
127,2019-05-24,5.0,5.11,4.89,4.91,4622333.0,4.9879999999999995,,
128,2019-05-27,4.95,5.22,4.94,5.19,6689832.0,4.993416666666667,,
129,2019-05-28,5.23,5.27,5.14,5.18,6014727.0,4.998166666666666,,
130,2019-05-29,5.17,5.26,5.12,5.2,4653127.0,5.002416666666666,,
131,2019-05-30,5.22,5.42,5.17,5.29,9410318.0,5.007999999999999,,
132,2019-05-31,5.29,5.29,5.14,5.17,6113742.0,5.014416666666666,,
133,2019-06-03,5.17,5.2,5.05,5.1,6032094.0,5.02025,,
134,2019-06-04,5.07,5.09,4.88,4.93,6257190.0,5.023249999999999,,
135,2019-06-05,4.97,5.15,4.93,5.05,6719417.0,5.0266666666666655,,
136,2019-06-06,5.08,5.13,4.76,4.82,7464239.0,5.028666666666665,,
137,2019-06-10,4.38,4.54,4.34,4.34,10759401.0,5.027333333333332,,
138,2019-06-11,4.3,4.48,4.2,4.44,14769253.0,5.026583333333333,,
139,2019-06-12,4.42,4.54,4.38,4.53,10239258.0,5.027083333333333,,
140,2019-06-13,4.48,4.53,4.4,4.46,6615494.0,5.026333333333333,,
141,2019-06-14,4.46,4.52,4.33,4.34,6142380.0,5.024666666666667,,
142,2019-06-17,4.39,4.41,4.33,4.36,4689165.0,5.022666666666667,,
143,2019-06-18,4.36,4.39,4.28,4.3,5214771.0,5.022,,
144,2019-06-19,4.37,4.45,4.33,4.39,6654080.0,5.02175,,
145,2019-06-20,4.37,4.5,4.33,4.47,6447104.0,5.0222500000000005,,
146,2019-06-21,4.6,4.64,4.51,4.55,7417383.0,5.023750000000001,,
147,2019-06-24,4.56,4.64,4.53,4.64,6281404.0,5.025416666666667,,
148,2019-06-25,4.58,4.67,4.44,4.53,6593332.0,5.026833333333332,,
149,2019-06-26,4.55,4.62,4.49,4.56,4860300.0,5.028249999999999,,
150,2019-06-27,4.56,4.61,4.53,4.58,5316069.0,5.030666666666666,,
151,2019-06-28,4.58,4.59,4.42,4.52,4682238.0,5.032583333333333,,
152,2019-07-01,4.57,4.64,4.55,4.63,6626705.0,5.036333333333333,,
153,2019-07-02,4.63,4.71,4.62,4.67,5735106.0,5.040416666666667,,
154,2019-07-03,4.67,4.95,4.61,4.76,14479204.0,5.045333333333334,,
155,2019-07-04,4.68,4.73,4.54,4.6,10287756.0,5.048916666666668,,
156,2019-07-05,4.6,4.65,4.56,4.63,4925383.0,5.050000000000001,,
157,2019-07-08,4.57,4.6,4.43,4.45,5166136.0,5.049666666666668,,
158,2019-07-09,4.49,4.54,4.42,4.52,4586932.0,5.049750000000001,,
159,2019-07-10,4.5,4.54,4.43,4.47,3557958.0,5.049666666666668,,
160,2019-07-11,4.48,4.55,4.43,4.45,4489540.0,5.049583333333334,,
161,2019-07-12,4.46,4.48,4.39,4.41,4063600.0,5.0486666666666675,,
162,2019-07-15,4.42,4.5,4.35,4.49,4365821.0,5.048250000000001,,
163,2019-07-16,4.49,4.54,4.45,4.49,2868825.0,5.047750000000002,,
164,2019-07-17,4.49,4.55,4.46,4.52,3986201.0,5.047666666666669,,
165,2019-07-18,4.5,4.52,4.45,4.46,4586306.0,5.047916666666669,,
166,2019-07-19,4.48,4.52,4.46,4.5,2814601.0,5.048250000000002,,
167,2019-07-22,4.49,4.49,4.33,4.35,5217754.0,5.047250000000003,,
168,2019-07-23,4.33,4.37,4.3,4.35,2642286.0,5.04466666666667,,
169,2019-07-24,4.36,4.44,4.35,4.39,2705079.0,5.0420000000000025,,
170,2019-07-25,4.44,4.45,4.39,4.43,2349165.0,5.039916666666669,,
171,2019-07-26,4.43,4.43,4.38,4.42,1913701.0,5.038916666666669,,
172,2019-07-29,4.42,4.44,4.36,4.44,3364451.0,5.038416666666669,,
173,2019-07-30,4.41,4.47,4.41,4.46,2827128.0,5.038333333333337,,
174,2019-07-31,4.46,4.47,4.4,4.45,2689584.0,5.03991666666667,,
175,2019-08-01,4.42,4.46,4.38,4.42,1815800.0,5.041583333333336,,
176,2019-08-02,4.36,4.41,4.36,4.36,3132300.0,5.042000000000003,,
177,2019-08-05,4.36,4.43,4.35,4.35,2254193.0,5.0410833333333365,,
178,2019-08-06,4.33,4.33,3.97,4.1,5363528.0,5.037500000000004,,
179,2019-08-07,4.14,4.27,4.13,4.19,4146269.0,5.03416666666667,4.866833333333334,
180,2019-08-08,4.19,4.22,4.08,4.1,3192200.0,5.02916666666667,4.861777777777778,
181,2019-08-09,4.14,4.21,4.11,4.15,3125872.0,5.023500000000003,4.8565000000000005,
182,2019-08-12,4.18,4.24,4.13,4.24,3882699.0,5.01816666666667,4.852055555555556,
183,2019-08-13,4.2,4.24,4.1,4.12,3521285.0,5.012250000000003,4.846222222222223,
184,2019-08-14,4.16,4.19,4.09,4.11,2694357.0,5.00616666666667,4.841555555555557,
185,2019-08-15,4.04,4.13,3.97,4.09,3384299.0,5.000333333333336,4.837555555555557,
186,2019-08-16,4.08,4.16,4.06,4.14,2595326.0,4.994000000000003,4.833500000000001,
187,2019-08-19,4.14,4.3,4.14,4.29,4305696.0,4.986583333333337,4.830555555555557,
188,2019-08-20,4.29,4.35,4.24,4.29,3789428.0,4.979750000000004,4.8291666666666675,
189,2019-08-21,4.29,4.3,4.23,4.25,2276900.0,4.97216666666667,4.827166666666667,
190,2019-08-22,4.25,4.3,4.23,4.28,2552800.0,4.96541666666667,4.824888888888889,
