,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.96,4.09,3.95,4.06,9675972.0,,,
1,2018-11-14,4.05,4.13,4.04,4.05,7289720.0,,,
2,2018-11-15,4.05,4.12,4.04,4.11,8680352.0,,,
3,2018-11-16,4.11,4.17,4.1,4.14,8406716.0,,,
4,2018-11-19,4.14,4.36,4.14,4.33,13774134.0,,,
5,2018-11-20,4.28,4.35,4.11,4.11,12228997.0,,,
6,2018-11-21,4.06,4.14,4.03,4.11,6501429.0,,,
7,2018-11-22,4.15,4.18,4.11,4.16,5578231.0,,,
8,2018-11-23,4.15,4.34,4.05,4.09,19186968.0,,,
9,2018-11-26,4.07,4.1,3.94,3.99,10867426.0,,,
10,2018-11-27,4.02,4.11,3.95,4.02,8137640.0,,,
11,2018-11-28,4.02,4.07,3.98,4.05,6514380.0,,,
12,2018-11-29,4.07,4.11,3.94,3.96,8293230.0,,,
13,2018-11-30,3.98,3.99,3.85,3.92,8131794.0,,,
14,2018-12-03,3.99,4.06,3.97,4.03,7959065.0,,,
15,2018-12-04,4.02,4.11,3.99,4.08,7140089.0,,,
16,2018-12-05,4.02,4.06,3.99,4.04,5107142.0,,,
17,2018-12-06,4.04,4.04,3.93,3.95,6933958.0,,,
18,2018-12-07,3.96,4.03,3.95,3.99,4456514.0,,,
19,2018-12-10,3.97,3.97,3.85,3.89,5608958.0,,,
20,2018-12-11,3.9,3.95,3.89,3.94,3350830.0,,,
21,2018-12-12,3.95,3.98,3.94,3.95,2177909.0,,,
22,2018-12-13,3.95,4.04,3.95,4.0,5520620.0,,,
23,2018-12-14,4.05,4.05,3.93,3.93,5906813.0,,,
24,2018-12-17,3.95,3.96,3.88,3.93,4229880.0,,,
25,2018-12-18,3.93,3.97,3.86,3.89,3933132.0,,,
26,2018-12-19,3.89,3.91,3.88,3.89,2775524.0,,,
27,2018-12-20,3.89,3.9,3.83,3.86,3272170.0,,,
28,2018-12-21,3.86,3.9,3.8,3.83,2707810.0,,,
29,2018-12-24,3.82,3.87,3.8,3.85,2153730.0,,,
30,2018-12-25,3.83,3.83,3.72,3.77,2900930.0,,,
31,2018-12-26,3.79,3.83,3.76,3.78,1994110.0,,,
32,2018-12-27,3.83,3.87,3.75,3.78,2620225.0,,,
33,2018-12-28,3.78,3.79,3.74,3.75,3184151.0,,,
34,2019-01-02,3.79,3.8,3.75,3.75,2682545.0,,,
35,2019-01-03,3.75,3.79,3.73,3.76,4052471.0,,,
36,2019-01-04,3.75,3.84,3.69,3.84,5094564.0,,,
37,2019-01-07,3.85,3.9,3.84,3.89,4060873.0,,,
38,2019-01-08,3.88,3.9,3.84,3.88,3057705.0,,,
39,2019-01-09,3.87,3.95,3.87,3.88,5805420.0,,,
40,2019-01-10,3.89,3.94,3.87,3.91,3329194.0,,,
41,2019-01-11,3.91,3.95,3.9,3.93,3277272.0,,,
42,2019-01-14,3.91,3.95,3.89,3.9,3000129.0,,,
43,2019-01-15,3.89,3.95,3.89,3.95,4975384.0,,,
44,2019-01-16,3.95,4.24,3.92,4.1,29054455.0,,,
45,2019-01-17,4.05,4.08,3.95,3.96,14521107.0,,,
46,2019-01-18,3.97,4.01,3.91,3.96,8857860.0,,,
47,2019-01-21,3.97,3.98,3.87,3.9,12115854.0,,,
48,2019-01-22,3.91,3.92,3.83,3.83,8264301.0,,,
49,2019-01-23,3.82,3.85,3.8,3.83,3339890.0,,,
50,2019-01-24,3.82,3.88,3.82,3.85,4990279.0,,,
51,2019-01-25,3.86,3.91,3.83,3.84,5051043.0,,,
52,2019-01-28,3.85,3.87,3.75,3.76,6123299.0,,,
53,2019-01-29,3.76,3.77,3.67,3.75,5392490.0,,,
54,2019-01-30,3.74,3.77,3.71,3.74,2942235.0,,,
55,2019-01-31,3.5,3.64,3.5,3.61,9764893.0,,,
56,2019-02-01,3.59,3.66,3.59,3.64,4569803.0,,,
57,2019-02-11,3.66,3.75,3.66,3.7,4667657.0,,,
58,2019-02-12,3.72,3.75,3.7,3.74,6742257.0,,,
59,2019-02-13,3.73,3.77,3.72,3.77,7049000.0,,,
60,2019-02-14,3.76,3.77,3.74,3.75,5034706.0,,,
61,2019-02-15,3.75,3.78,3.73,3.74,6269718.0,,,
62,2019-02-18,3.75,3.82,3.74,3.82,11889388.0,,,
63,2019-02-19,3.79,3.85,3.75,3.79,9760105.0,,,
64,2019-02-20,3.8,3.83,3.77,3.81,7729030.0,,,
65,2019-02-21,3.81,3.84,3.76,3.78,8857355.0,,,
66,2019-02-22,3.77,3.83,3.76,3.83,8329880.0,,,
67,2019-02-25,3.84,4.01,3.82,3.99,24096763.0,,,
68,2019-02-26,3.99,4.11,3.94,4.04,26044831.0,,,
69,2019-02-27,4.08,4.1,4.01,4.04,19891437.0,,,
70,2019-02-28,4.04,4.08,4.0,4.04,10181690.0,,,
71,2019-03-01,4.04,4.08,4.0,4.08,13825613.0,,,
72,2019-03-04,4.11,4.15,4.07,4.11,20464298.0,,,
73,2019-03-05,4.1,4.3,4.08,4.19,24241374.0,,,
74,2019-03-06,4.17,4.25,4.14,4.24,23266321.0,,,
75,2019-03-07,4.26,4.33,4.22,4.29,26425794.0,,,
76,2019-03-08,4.22,4.25,3.96,4.0,25323337.0,,,
77,2019-03-11,4.0,4.27,4.0,4.21,23132550.0,,,
78,2019-03-12,4.2,4.37,4.16,4.29,35536742.0,,,
79,2019-03-13,4.72,4.72,4.43,4.72,64476981.0,,,
80,2019-03-14,5.19,5.19,4.72,4.76,114504378.0,,,
81,2019-03-15,4.83,4.96,4.38,4.56,72178987.0,,,
82,2019-03-18,4.38,4.52,4.38,4.51,41924866.0,,,
83,2019-03-19,4.52,4.54,4.41,4.46,31232658.0,,,
84,2019-03-20,4.46,4.49,4.31,4.46,27882646.0,,,
85,2019-03-21,4.45,4.51,4.41,4.48,29468008.0,,,
86,2019-03-22,4.49,4.71,4.48,4.63,43833815.0,,,
87,2019-03-25,4.55,4.82,4.49,4.61,34193589.0,,,
88,2019-03-26,4.69,4.98,4.61,4.92,63880854.0,,,
89,2019-03-27,4.92,4.92,4.59,4.71,46944816.0,,,
90,2019-03-28,4.66,4.82,4.52,4.6,31787028.0,,,
91,2019-03-29,4.6,4.7,4.51,4.66,27367660.0,,,
92,2019-04-01,4.66,4.79,4.63,4.78,34008622.0,,,
93,2019-04-02,4.76,4.79,4.68,4.72,30314856.0,,,
94,2019-04-03,4.72,4.76,4.68,4.74,17171592.0,,,
95,2019-04-04,4.74,4.8,4.72,4.77,24593087.0,,,
96,2019-04-08,4.83,4.95,4.74,4.8,29607544.0,,,
97,2019-04-09,4.79,4.79,4.66,4.75,18442050.0,,,
98,2019-04-10,4.71,4.72,4.62,4.66,19460290.0,,,
99,2019-04-11,4.63,4.66,4.49,4.53,18876500.0,,,
100,2019-04-12,4.46,4.48,4.4,4.43,16661983.0,,,
101,2019-04-15,4.47,4.51,4.38,4.38,12911137.0,,,
102,2019-04-16,4.36,4.46,4.32,4.46,10434118.0,,,
103,2019-04-17,4.46,4.52,4.45,4.5,12319885.0,,,
104,2019-04-18,4.47,4.5,4.45,4.46,9861255.0,,,
105,2019-04-19,4.45,4.49,4.44,4.48,8639272.0,,,
106,2019-04-22,4.47,4.5,4.36,4.38,12220422.0,,,
107,2019-04-23,4.38,4.39,4.25,4.27,12279521.0,,,
108,2019-04-24,4.28,4.32,4.24,4.31,7162021.0,,,
109,2019-04-25,4.3,4.31,4.09,4.1,13603820.0,,,
110,2019-04-26,4.08,4.1,4.01,4.02,11087145.0,,,
111,2019-04-29,3.97,3.99,3.82,3.83,13079820.0,,,
112,2019-04-30,3.83,3.91,3.81,3.89,7510322.0,,,
113,2019-05-06,3.77,3.81,3.6,3.64,12453040.0,,,
114,2019-05-07,3.67,3.74,3.61,3.71,6478447.0,,,
115,2019-05-08,3.64,3.77,3.62,3.72,7500000.0,,,
116,2019-05-09,3.72,4.05,3.68,3.85,15159681.0,,,
117,2019-05-10,3.8,4.07,3.78,3.99,21407458.0,,,
118,2019-05-13,3.85,3.89,3.81,3.85,13234436.0,,,
119,2019-05-14,3.79,3.81,3.71,3.72,9090411.0,4.089666666666668,,
120,2019-05-15,3.75,3.8,3.74,3.78,5495589.0,4.087333333333334,,
121,2019-05-16,3.78,4.16,3.76,4.16,17620890.0,4.088250000000001,,
122,2019-05-17,4.43,4.58,4.21,4.3,90475698.0,4.089833333333335,,
123,2019-05-20,4.04,4.34,4.02,4.19,48100113.0,4.090250000000001,,
124,2019-05-21,4.33,4.47,4.11,4.21,53350865.0,4.089250000000002,,
125,2019-05-22,4.12,4.15,4.03,4.07,31341536.0,4.088916666666668,,
126,2019-05-23,4.05,4.06,3.82,3.88,29425782.0,4.087000000000001,,
127,2019-05-24,3.83,3.9,3.78,3.79,12943995.0,4.083916666666668,,
128,2019-05-27,3.83,3.92,3.8,3.9,12048619.0,4.0823333333333345,,
129,2019-05-28,3.87,3.93,3.84,3.86,10682476.0,4.081250000000001,,
130,2019-05-29,3.87,3.97,3.85,3.88,16164750.0,4.080083333333334,,
131,2019-05-30,3.83,3.83,3.75,3.79,12932909.0,4.077916666666668,,
132,2019-05-31,3.78,3.81,3.75,3.79,7558075.0,4.076500000000001,,
133,2019-06-03,3.8,3.82,3.71,3.72,9036932.0,4.074833333333335,,
134,2019-06-04,3.72,3.72,3.66,3.68,7127518.0,4.071916666666668,,
135,2019-06-05,3.71,3.74,3.68,3.69,6348680.0,4.068666666666669,,
136,2019-06-06,3.69,3.72,3.63,3.66,7543853.0,4.065500000000002,,
137,2019-06-10,3.66,3.71,3.65,3.69,4967420.0,4.063333333333335,,
138,2019-06-11,3.67,3.9,3.67,3.82,11037971.0,4.061916666666669,,
139,2019-06-12,3.78,3.82,3.77,3.79,7512071.0,4.061083333333335,,
140,2019-06-13,3.78,3.82,3.75,3.8,5081843.0,4.059916666666669,,
141,2019-06-14,3.81,3.82,3.68,3.69,6174920.0,4.057750000000002,,
142,2019-06-17,3.71,3.85,3.68,3.78,7450082.0,4.055916666666669,,
143,2019-06-18,3.75,3.79,3.72,3.72,5296900.0,4.054166666666669,,
144,2019-06-19,3.78,3.8,3.75,3.75,6112820.0,4.052666666666669,,
145,2019-06-20,3.76,3.84,3.74,3.81,6454530.0,4.052000000000002,,
146,2019-06-21,3.82,3.86,3.82,3.84,8332133.0,4.051583333333336,,
147,2019-06-24,3.84,3.86,3.82,3.85,4566200.0,4.0515000000000025,,
148,2019-06-25,3.84,3.84,3.74,3.8,5713010.0,4.051250000000002,,
149,2019-06-26,3.76,3.8,3.74,3.76,4954190.0,4.050500000000002,,
150,2019-06-27,3.77,3.81,3.75,3.77,3711720.0,4.050500000000002,,
151,2019-06-28,3.77,3.77,3.71,3.73,5560120.0,4.050083333333336,,
152,2019-07-01,3.76,3.81,3.76,3.8,7981601.0,4.050250000000003,,
153,2019-07-02,3.8,3.82,3.77,3.79,5446860.0,4.0505833333333365,,
154,2019-07-03,3.8,3.8,3.75,3.78,5063150.0,4.050833333333336,,
155,2019-07-04,3.77,3.86,3.77,3.81,7430160.0,4.051250000000003,,
156,2019-07-05,3.78,3.79,3.76,3.77,3804080.0,4.05066666666667,,
157,2019-07-08,3.77,3.77,3.63,3.67,10094831.0,4.048833333333337,,
158,2019-07-09,3.65,3.82,3.65,3.82,13428907.0,4.0483333333333364,,
159,2019-07-10,3.82,4.04,3.79,3.96,22504164.0,4.049000000000003,,
160,2019-07-11,4.04,4.17,3.74,3.77,32746755.0,4.047833333333336,,
161,2019-07-12,3.77,3.8,3.69,3.71,11320926.0,4.046000000000003,,
162,2019-07-15,3.7,3.75,3.66,3.73,5539368.0,4.044583333333336,,
163,2019-07-16,3.73,3.73,3.7,3.72,4389773.0,4.04266666666667,,
164,2019-07-17,3.71,3.73,3.7,3.71,4509260.0,4.0394166666666695,,
165,2019-07-18,3.7,3.7,3.66,3.67,3626154.0,4.0370000000000035,,
166,2019-07-19,3.68,3.72,3.67,3.68,3611130.0,4.03466666666667,,
167,2019-07-22,3.69,3.69,3.6,3.62,5485440.0,4.032333333333337,,
168,2019-07-23,3.61,3.64,3.61,3.64,2570517.0,4.030750000000004,,
169,2019-07-24,3.65,3.69,3.64,3.66,2771930.0,4.029333333333337,,
170,2019-07-25,3.66,3.67,3.63,3.65,2522050.0,4.02766666666667,,
171,2019-07-26,3.64,3.66,3.63,3.64,2329375.0,4.026000000000004,,
172,2019-07-29,3.63,3.65,3.6,3.62,2364302.0,4.024833333333337,,
173,2019-07-30,3.62,3.66,3.62,3.63,3004980.0,4.023833333333338,,
174,2019-07-31,3.61,3.63,3.59,3.61,2993578.0,4.022750000000004,,
175,2019-08-01,3.59,3.61,3.54,3.56,5140873.0,4.0223333333333375,,
176,2019-08-02,3.51,3.52,3.45,3.48,6421040.0,4.021000000000004,,
177,2019-08-05,3.47,3.47,3.38,3.4,6806220.0,4.018500000000004,,
178,2019-08-06,3.34,3.35,3.16,3.26,9085597.0,4.0145000000000035,,
179,2019-08-07,3.27,3.29,3.24,3.24,2956080.0,4.010083333333338,3.9783888888888876,
180,2019-08-08,3.25,3.27,3.24,3.25,2106952.0,4.00591666666667,3.973888888888888,
181,2019-08-09,3.26,3.27,3.19,3.19,3467964.0,4.001333333333338,3.969111111111111,
182,2019-08-12,3.2,3.23,3.17,3.22,2296223.0,3.9963333333333377,3.9641666666666664,
183,2019-08-13,3.21,3.23,3.18,3.2,2502641.0,3.991416666666671,3.9589444444444446,
184,2019-08-14,3.23,3.25,3.2,3.21,2804570.0,3.9864166666666705,3.9527222222222225,
185,2019-08-15,3.13,3.19,3.11,3.18,3684500.0,3.9814166666666706,3.9475555555555553,
