,date,open,high,low,close,volume,10,60,250
0,2020-03-18,29.09,29.85,27.89,27.96,4287263.0,,,
1,2020-03-19,27.96,28.47,26.62,27.55,3645155.0,,,
2,2020-03-20,27.88,28.21,26.91,27.55,2271083.0,,,
3,2020-03-23,26.78,27.05,24.91,25.04,3177795.0,,,
4,2020-03-24,25.8,25.88,24.66,25.8,2142799.0,,,
5,2020-03-25,26.56,27.4,26.2,27.13,2846434.0,,,
6,2020-03-26,26.84,26.97,26.1,26.22,1973256.0,,,
7,2020-03-27,26.78,26.99,26.01,26.06,1998558.0,,,
8,2020-03-30,25.4,25.68,24.71,25.26,2100800.0,,,
9,2020-03-31,25.9,25.9,25.01,25.35,1218804.0,26.392000000000003,,
10,2020-04-01,24.96,25.65,24.91,25.12,1238226.0,26.108000000000004,,
11,2020-04-02,24.96,25.58,24.89,25.58,1371343.0,25.911,,
12,2020-04-03,25.33,25.99,25.32,25.54,1409342.0,25.71,,
13,2020-04-07,26.1,26.42,25.9,26.28,1666264.0,25.833999999999996,,
14,2020-04-08,26.05,26.63,25.9,26.42,1211429.0,25.895999999999997,,
15,2020-04-09,26.47,26.66,26.13,26.17,1159508.0,25.8,,
16,2020-04-10,26.17,26.26,25.01,25.17,1446282.0,25.695000000000004,,
17,2020-04-13,25.01,25.34,24.72,24.99,805837.0,25.588000000000005,,
18,2020-04-14,25.56,25.57,25.23,25.49,925558.0,25.611000000000008,,
19,2020-04-15,25.51,25.67,25.26,25.4,910486.0,25.616000000000003,,
20,2020-04-16,25.25,25.67,25.1,25.42,976631.0,25.646000000000004,,
21,2020-04-17,25.45,26.92,25.45,26.54,3085535.0,25.742000000000008,,
22,2020-04-20,26.83,26.85,26.2,26.36,1813851.0,25.824000000000005,,
23,2020-04-21,26.36,26.38,25.78,26.07,1192607.0,25.803000000000008,,
24,2020-04-22,26.1,26.45,25.85,26.37,1059155.0,25.79800000000001,,
25,2020-04-23,26.31,26.49,26.05,26.15,1103005.0,25.796000000000003,,
26,2020-04-24,26.4,26.4,25.55,26.05,1303331.0,25.884000000000004,,
27,2020-04-27,25.93,26.43,25.61,25.95,1065703.0,25.98,,
28,2020-04-28,25.96,25.96,21.55,23.99,2623349.0,25.830000000000002,,
29,2020-04-29,23.71,24.48,23.61,23.72,1125305.0,25.662,,
30,2020-04-30,23.73,24.89,23.67,24.41,1854420.0,25.561,,
31,2020-05-06,24.42,26.06,24.02,25.99,2294561.0,25.506000000000004,,
32,2020-05-07,26.08,26.25,25.35,25.48,1816168.0,25.418,,
33,2020-05-08,25.65,26.05,25.41,25.57,1468849.0,25.368000000000002,,
34,2020-05-11,25.8,25.82,25.01,25.32,913594.0,25.262999999999998,,
35,2020-05-12,25.32,25.52,24.51,24.74,1357497.0,25.122,,
36,2020-05-13,24.61,25.02,24.36,24.99,841125.0,25.016,,
37,2020-05-14,24.91,24.91,24.34,24.34,1480875.0,24.854999999999997,,
38,2020-05-15,24.36,24.7,24.14,24.59,1130973.0,24.914999999999992,,
39,2020-05-18,24.85,24.86,23.86,24.01,1272922.0,24.943999999999992,,
40,2020-05-19,24.24,24.49,24.21,24.24,1603021.0,24.92699999999999,,
41,2020-05-20,24.34,25.29,24.09,24.81,2488980.0,24.808999999999987,,
42,2020-05-21,25.09,25.2,24.01,24.06,1751607.0,24.666999999999987,,
43,2020-05-22,24.06,24.21,23.2,23.4,1397110.0,24.44999999999999,,
44,2020-05-25,23.24,23.79,22.79,23.09,1020169.0,24.226999999999986,,
45,2020-05-26,23.27,24.65,23.11,24.57,2303244.0,24.209999999999987,,
46,2020-05-27,24.61,25.03,23.91,23.98,1652587.0,24.108999999999988,,
47,2020-05-28,23.96,24.26,23.33,24.02,1432640.0,24.076999999999984,,
48,2020-05-29,24.15,24.59,23.91,24.35,1415473.0,24.052999999999983,,
49,2020-06-01,24.16,25.15,24.16,24.97,2147535.0,24.148999999999983,,
50,2020-06-02,24.97,25.49,24.91,25.32,2047116.0,24.256999999999984,,
51,2020-06-03,25.4,25.51,24.87,24.97,1953803.0,24.272999999999985,,
52,2020-06-04,24.99,26.39,24.83,26.0,4379802.0,24.466999999999985,,
53,2020-06-05,25.99,26.25,25.51,25.73,2287083.0,24.699999999999985,,
54,2020-06-08,25.73,26.0,25.48,25.51,1359806.0,24.941999999999986,,
55,2020-06-09,25.78,25.78,24.94,25.01,1827393.0,24.98599999999999,,
56,2020-06-10,24.93,25.06,24.62,24.74,1181944.0,25.06199999999999,,
57,2020-06-11,24.97,25.1,24.35,24.78,1341520.0,25.13799999999999,,
58,2020-06-12,24.23,24.68,24.09,24.45,1146945.0,25.147999999999993,,
59,2020-06-15,24.35,25.0,24.33,24.43,1050470.0,25.09399999999999,25.309500000000003,
60,2020-06-16,24.44,24.97,24.44,24.93,1097786.0,25.05499999999999,25.259000000000004,
61,2020-06-17,24.95,25.17,24.8,25.14,1767802.0,25.07199999999999,25.21883333333334,
62,2020-06-18,25.19,25.55,25.11,25.37,1756508.0,25.008999999999986,25.182500000000005,
63,2020-06-19,25.5,25.5,24.93,25.01,1801726.0,24.936999999999987,25.182000000000006,
64,2020-06-22,25.15,25.78,25.15,25.27,1948040.0,24.91299999999999,25.17316666666667,
65,2020-06-23,25.27,25.28,24.6,24.61,1923673.0,24.87299999999999,25.13116666666667,
66,2020-06-24,24.88,24.88,24.0,24.43,2013226.0,24.84199999999999,25.101333333333336,
67,2020-06-29,24.19,24.41,23.9,24.0,1435525.0,24.76399999999999,25.067000000000004,
68,2020-06-30,24.23,24.37,24.0,24.18,1551593.0,24.736999999999988,25.049000000000003,
69,2020-07-01,24.18,24.48,24.08,24.24,1642958.0,24.71799999999999,25.030500000000007,
70,2020-07-02,24.22,24.63,24.15,24.5,1474355.0,24.67499999999999,25.020166666666675,
71,2020-07-03,24.69,24.88,24.52,24.7,1820354.0,24.63099999999999,25.00550000000001,
72,2020-07-06,24.97,26.88,24.89,26.53,4932792.0,24.746999999999993,25.02200000000001,
73,2020-07-07,26.85,27.65,26.54,27.14,5399022.0,24.95999999999999,25.036333333333346,
74,2020-07-08,27.58,27.58,26.85,27.3,3353868.0,25.16299999999999,25.05100000000001,
75,2020-07-09,27.3,28.96,27.01,28.46,4962513.0,25.54799999999999,25.089166666666678,
76,2020-07-10,28.5,28.82,27.66,27.84,3967570.0,25.88899999999999,25.133666666666674,
77,2020-07-13,27.3,28.0,26.6,28.0,5814581.0,26.288999999999987,25.18383333333334,
78,2020-07-14,27.8,28.35,27.06,27.97,4344218.0,26.66799999999999,25.225166666666674,
79,2020-07-15,28.2,30.18,28.04,28.26,7558181.0,27.069999999999986,25.272833333333338,
80,2020-07-16,27.72,27.72,25.63,25.95,4538289.0,27.214999999999986,25.281666666666673,
81,2020-07-17,25.95,26.33,25.51,25.72,2023724.0,27.31699999999999,25.268000000000008,
82,2020-07-20,25.74,25.95,24.69,25.68,2637130.0,27.231999999999992,25.256666666666675,
83,2020-07-21,25.76,25.89,25.15,25.15,1913396.0,27.032999999999994,25.241333333333344,
84,2020-07-22,25.05,25.15,23.16,23.16,15616853.0,26.618999999999993,25.187833333333348,
85,2020-07-23,23.3,23.59,22.37,22.72,9156518.0,26.044999999999998,25.13066666666668,
86,2020-07-24,22.68,22.68,21.74,21.9,6421064.0,25.450999999999997,25.061500000000017,
87,2020-07-27,21.58,21.84,20.78,21.05,6291072.0,24.755999999999993,24.97983333333335,
88,2020-07-28,21.18,21.2,20.39,20.49,9829081.0,24.007999999999996,24.921500000000016,
89,2020-07-29,20.53,21.02,19.91,21.0,11980759.0,23.281999999999993,24.87616666666668,
90,2020-07-30,20.78,21.03,20.65,20.71,7095291.0,22.757999999999996,24.814500000000013,
91,2020-07-31,20.67,20.99,20.53,20.9,5847900.0,22.275999999999996,24.72966666666668,
92,2020-08-03,21.09,22.0,20.96,21.93,8557722.0,21.900999999999996,24.670500000000015,
93,2020-08-04,22.02,22.07,21.47,21.51,5845884.0,21.536999999999995,24.60283333333335,
94,2020-08-05,21.68,21.69,21.36,21.58,4415013.0,21.378999999999994,24.540500000000016,
