,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.35,5.52,5.23,5.52,44144116.0,,,
1,2020-03-19,5.3,5.41,5.02,5.09,38083251.0,,,
2,2020-03-20,5.15,5.6,5.12,5.6,15409688.0,,,
3,2020-03-23,5.98,6.16,5.6,5.68,73882074.0,,,
4,2020-03-24,5.63,5.7,5.12,5.61,47817687.0,,,
5,2020-03-25,5.4,5.56,5.37,5.43,26891879.0,,,
6,2020-03-26,5.31,5.97,5.3,5.71,46500718.0,,,
7,2020-03-27,5.55,5.66,5.38,5.47,30504236.0,,,
8,2020-03-30,5.49,5.58,5.21,5.3,17061505.0,,,
9,2020-03-31,5.32,5.36,5.06,5.2,20506497.0,5.461,,
10,2020-04-01,5.12,5.21,5.06,5.09,10767959.0,5.418000000000001,,
11,2020-04-02,5.02,5.15,4.96,5.13,11100941.0,5.4220000000000015,,
12,2020-04-03,5.15,5.45,5.11,5.17,12571357.0,5.379000000000001,,
13,2020-04-07,5.34,5.35,5.21,5.26,12163639.0,5.3370000000000015,,
14,2020-04-08,5.25,5.26,5.17,5.19,10711986.0,5.295000000000001,,
15,2020-04-09,5.21,5.22,5.15,5.2,9882754.0,5.272000000000001,,
16,2020-04-10,5.19,5.2,5.01,5.07,11470900.0,5.208000000000001,,
17,2020-04-13,5.05,5.07,4.96,5.02,6021900.0,5.163000000000001,,
18,2020-04-14,5.06,5.17,5.01,5.14,6858516.0,5.147000000000001,,
19,2020-04-15,5.13,5.14,5.04,5.07,5869701.0,5.134000000000001,,
20,2020-04-16,5.08,5.29,5.07,5.22,12360848.0,5.147000000000001,,
21,2020-04-17,5.18,5.18,5.0,5.1,12176451.0,5.144000000000001,,
22,2020-04-20,5.05,5.12,5.02,5.08,6493971.0,5.135000000000001,,
23,2020-04-21,5.06,5.06,5.0,5.02,5083083.0,5.111000000000001,,
24,2020-04-22,4.97,5.07,4.92,5.04,4101180.0,5.096000000000001,,
25,2020-04-23,5.05,5.05,4.96,4.96,6010300.0,5.072000000000001,,
26,2020-04-24,4.95,5.03,4.88,4.89,5547286.0,5.054,,
27,2020-04-27,4.89,4.98,4.86,4.9,3783208.0,5.042,,
28,2020-04-28,4.85,4.9,4.6,4.85,5392097.0,5.013,,
29,2020-04-29,4.67,4.85,4.67,4.7,4711667.0,4.976000000000001,,
30,2020-04-30,4.73,4.81,4.73,4.79,3860920.0,4.933000000000001,,
31,2020-05-06,4.78,4.85,4.71,4.85,3398810.0,4.908,,
32,2020-05-07,4.84,4.93,4.81,4.82,3287700.0,4.882000000000001,,
33,2020-05-08,4.82,4.92,4.81,4.89,4902055.0,4.8690000000000015,,
34,2020-05-11,4.94,4.94,4.85,4.87,2491254.0,4.852000000000001,,
35,2020-05-12,4.87,4.9,4.76,4.79,3134903.0,4.835000000000001,,
36,2020-05-13,4.84,4.88,4.76,4.86,3151828.0,4.832000000000001,,
37,2020-05-14,4.84,4.84,4.79,4.81,2721512.0,4.823000000000001,,
38,2020-05-15,4.89,4.89,4.79,4.8,2299700.0,4.8180000000000005,,
39,2020-05-18,4.8,4.8,4.7,4.72,4421316.0,4.82,,
40,2020-05-19,4.7,4.8,4.7,4.75,2426711.0,4.816000000000001,,
41,2020-05-20,4.71,4.84,4.71,4.76,4412816.0,4.807,,
42,2020-05-21,4.76,4.82,4.69,4.7,3494801.0,4.795,,
43,2020-05-22,4.65,4.7,4.56,4.61,3849873.0,4.767,,
44,2020-05-25,4.57,4.64,4.56,4.62,1987100.0,4.742,,
45,2020-05-26,4.63,4.7,4.61,4.69,2348211.0,4.732,,
46,2020-05-27,4.66,4.71,4.66,4.71,2447302.0,4.7170000000000005,,
47,2020-05-28,4.7,4.73,4.6,4.64,3567592.0,4.7,,
48,2020-05-29,4.64,4.71,4.61,4.65,2076910.0,4.6850000000000005,,
49,2020-06-01,4.68,4.75,4.66,4.73,4076912.0,4.686,,
50,2020-06-02,4.74,4.78,4.7,4.78,4042003.0,4.689,,
51,2020-06-03,4.76,4.96,4.76,4.79,8253699.0,4.692,,
52,2020-06-04,4.83,4.84,4.74,4.83,3860011.0,4.705,,
53,2020-06-05,4.81,4.95,4.8,4.92,8208348.0,4.736,,
54,2020-06-08,4.97,5.0,4.82,4.84,4596003.0,4.758000000000001,,
55,2020-06-09,4.84,4.87,4.77,4.8,3197200.0,4.769,,
56,2020-06-10,4.79,4.83,4.72,4.73,4030300.0,4.771,,
57,2020-06-11,4.74,4.95,4.72,4.85,7250904.0,4.792,,
58,2020-06-12,4.75,4.83,4.74,4.82,3569400.0,4.809,,
59,2020-06-15,4.78,4.82,4.71,4.74,4561510.0,4.8100000000000005,4.981166666666666,
60,2020-06-16,4.8,4.84,4.76,4.8,4470300.0,4.812,4.969166666666666,
61,2020-06-17,4.82,4.82,4.73,4.77,3855600.0,4.8100000000000005,4.963833333333333,
62,2020-06-18,4.74,4.79,4.74,4.79,2859692.0,4.806,4.950333333333333,
63,2020-06-19,4.79,4.96,4.74,4.84,6578345.0,4.798,4.936333333333333,
64,2020-06-22,4.84,4.86,4.78,4.8,4419705.0,4.794,4.922833333333332,
65,2020-06-23,4.8,4.82,4.77,4.78,3103223.0,4.792,4.911999999999998,
66,2020-06-24,4.82,4.82,4.75,4.76,3232700.0,4.795,4.896166666666665,
67,2020-06-29,4.76,4.78,4.6,4.66,4710100.0,4.776,4.882666666666665,
68,2020-06-30,4.69,4.71,4.67,4.67,2531700.0,4.761,4.872166666666666,
69,2020-07-01,4.7,4.7,4.64,4.68,2869363.0,4.755,4.863499999999999,
70,2020-07-02,4.69,4.79,4.66,4.77,6191394.0,4.752,4.858166666666666,
71,2020-07-03,4.78,4.81,4.76,4.8,7049162.0,4.755,4.852666666666666,
72,2020-07-06,4.8,4.94,4.79,4.93,17363927.0,4.769,4.848666666666666,
73,2020-07-07,4.93,4.99,4.88,4.93,15239662.0,4.7780000000000005,4.843166666666666,
74,2020-07-08,4.95,5.12,4.94,5.07,18803017.0,4.805000000000001,4.841166666666666,
75,2020-07-09,5.07,5.12,5.02,5.11,15566951.0,4.838,4.839666666666667,
76,2020-07-10,5.1,5.1,5.02,5.03,11076305.0,4.865,4.8389999999999995,
77,2020-07-13,5.0,5.11,5.0,5.11,13383834.0,4.910000000000001,4.8405000000000005,
78,2020-07-14,5.11,5.18,5.02,5.08,11840393.0,4.9510000000000005,4.8395,
79,2020-07-15,5.1,5.11,4.97,4.99,9339398.0,4.982000000000001,4.838166666666667,
80,2020-07-16,4.98,5.04,4.82,4.82,9151912.0,4.987,4.8315,
81,2020-07-17,4.83,4.9,4.79,4.82,5292138.0,4.989000000000001,4.826833333333332,
82,2020-07-20,4.87,4.93,4.81,4.92,6838951.0,4.988000000000001,4.824166666666667,
83,2020-07-21,4.91,4.97,4.89,4.91,5418393.0,4.986000000000001,4.822333333333334,
84,2020-07-22,4.91,4.96,4.87,4.93,5232256.0,4.972,4.8205,
85,2020-07-23,4.93,4.93,4.76,4.87,7769499.0,4.948,4.819000000000001,
86,2020-07-24,4.83,4.88,4.68,4.73,6270869.0,4.918000000000001,4.8163333333333345,
87,2020-07-27,4.73,4.79,4.68,4.71,4205125.0,4.878000000000001,4.813166666666668,
88,2020-07-28,4.71,4.78,4.71,4.73,4450186.0,4.843000000000001,4.811166666666668,
89,2020-07-29,4.74,4.79,4.69,4.78,4510694.0,4.822000000000001,4.812500000000001,
90,2020-07-30,4.8,4.82,4.77,4.77,3834481.0,4.817000000000001,4.812166666666667,
91,2020-07-31,4.76,4.82,4.74,4.78,4324106.0,4.813000000000001,4.810999999999999,
92,2020-08-03,4.81,4.92,4.79,4.9,8750163.0,4.811000000000001,4.812333333333332,
93,2020-08-04,4.91,4.92,4.81,4.83,6882680.0,4.803,4.811333333333333,
94,2020-08-05,4.86,4.88,4.79,4.87,5756361.0,4.797,4.811333333333333,
95,2020-08-06,4.88,4.88,4.77,4.84,5382195.0,4.7940000000000005,4.812166666666665,
96,2020-08-07,4.84,4.84,4.67,4.72,9285400.0,4.793000000000001,4.809833333333332,
97,2020-08-10,4.7,4.79,4.7,4.77,4944300.0,4.799,4.809166666666665,
98,2020-08-11,4.77,4.84,4.72,4.74,7203254.0,4.8,4.808166666666665,
99,2020-08-12,4.69,4.74,4.65,4.73,6829401.0,4.795,4.808333333333332,
100,2020-08-13,4.73,4.78,4.7,4.75,5864100.0,4.793000000000001,4.808333333333332,
101,2020-08-14,4.75,4.8,4.72,4.79,4654201.0,4.7940000000000005,4.8088333333333315,
102,2020-08-17,4.79,4.85,4.78,4.84,6799838.0,4.788,4.811166666666665,
103,2020-08-18,4.84,4.87,4.81,4.87,6308189.0,4.792,4.815499999999998,
104,2020-08-19,4.88,4.88,4.79,4.81,5698400.0,4.7860000000000005,4.818666666666664,
105,2020-08-20,4.78,4.91,4.75,4.86,7935934.0,4.788000000000001,4.821499999999999,
106,2020-08-21,4.87,4.9,4.83,4.87,4716838.0,4.803000000000001,4.824166666666666,
107,2020-08-24,4.92,4.96,4.82,4.85,5160833.0,4.811000000000002,4.8276666666666666,
108,2020-08-25,4.79,4.89,4.75,4.83,4509895.0,4.820000000000001,4.830666666666667,
109,2020-08-26,4.81,4.84,4.74,4.74,5268095.0,4.821000000000001,4.830833333333333,
110,2020-08-27,4.76,4.83,4.71,4.78,3288454.0,4.824000000000001,4.830833333333333,
111,2020-08-28,4.78,4.9,4.77,4.85,5486633.0,4.830000000000001,4.831833333333333,
112,2020-08-31,4.87,4.9,4.84,4.85,6940183.0,4.831000000000001,4.832166666666667,
113,2020-09-01,4.88,4.9,4.8,4.85,5030896.0,4.829000000000002,4.831,
114,2020-09-02,4.85,4.87,4.75,4.8,6564428.0,4.828000000000001,4.830333333333334,
115,2020-09-03,4.78,4.82,4.77,4.8,3844183.0,4.822000000000001,4.830333333333334,
116,2020-09-04,4.77,5.03,4.71,4.97,20340755.0,4.832000000000002,4.834333333333334,
117,2020-09-07,4.97,5.07,4.92,4.95,16593388.0,4.842000000000001,4.836,
118,2020-09-08,5.02,5.03,4.94,4.99,9164500.0,4.858000000000002,4.838833333333334,
119,2020-09-09,4.96,5.07,4.91,4.93,12950688.0,4.877000000000002,4.8420000000000005,
120,2020-09-10,4.95,5.0,4.77,4.77,11081586.0,4.876000000000002,4.8415,
121,2020-09-11,4.71,4.81,4.71,4.72,8641512.0,4.863000000000001,4.840666666666667,
122,2020-09-14,4.73,4.78,4.63,4.69,9924079.0,4.847000000000001,4.839,
123,2020-09-15,4.68,4.7,4.62,4.66,5412765.0,4.828000000000001,4.836000000000001,
