,date,open,high,low,close,volume,120,180,240
0,2018-11-05,6.51,6.51,6.51,6.51,4586506.0,,,
1,2018-11-06,7.16,7.16,6.72,6.78,381228057.0,,,
2,2018-11-07,6.46,6.68,6.2,6.51,232851445.0,,,
3,2018-11-08,6.54,6.58,5.92,6.01,238808494.0,,,
4,2018-11-09,5.88,6.08,5.78,5.86,139903711.0,,,
5,2018-11-12,5.81,6.27,5.71,6.13,187938479.0,,,
6,2018-11-13,6.0,6.63,5.96,6.24,237292790.0,,,
7,2018-11-14,6.11,6.27,5.93,5.98,152531167.0,,,
8,2018-11-15,5.89,6.31,5.85,6.21,166129090.0,,,
9,2018-11-16,6.17,6.51,6.05,6.23,201738595.0,,,
10,2018-11-19,6.14,6.86,6.12,6.86,171530529.0,,,
11,2018-11-20,7.12,7.55,6.89,7.02,263029177.0,,,
12,2018-11-21,7.16,7.43,6.74,7.2,282616791.0,,,
13,2018-11-22,7.09,7.2,6.58,6.63,200257795.0,,,
14,2018-11-23,6.53,6.66,6.07,6.13,151371173.0,,,
15,2018-11-26,6.13,6.2,5.95,6.11,89968016.0,,,
16,2018-11-27,6.16,6.17,5.91,6.0,80874471.0,,,
17,2018-11-28,5.98,6.28,5.9,6.1,130165099.0,,,
18,2018-11-29,6.13,6.14,5.49,5.49,143581927.0,,,
19,2018-11-30,5.35,5.51,5.08,5.42,136991123.0,,,
20,2018-12-03,5.68,5.69,5.46,5.51,114349884.0,,,
21,2018-12-04,5.44,5.75,5.4,5.73,104772997.0,,,
22,2018-12-05,5.54,5.65,5.5,5.52,75611332.0,,,
23,2018-12-06,5.43,5.63,5.41,5.49,70277030.0,,,
24,2018-12-07,5.51,5.61,5.46,5.51,51761419.0,,,
25,2018-12-10,5.39,5.45,5.27,5.31,55150054.0,,,
26,2018-12-11,5.35,5.37,5.27,5.32,36585189.0,,,
27,2018-12-12,5.34,5.47,5.31,5.37,52825658.0,,,
28,2018-12-13,5.37,5.56,5.23,5.46,87068158.0,,,
29,2018-12-14,5.43,5.44,5.21,5.25,60462548.0,,,
30,2018-12-17,5.2,5.34,5.2,5.29,31732496.0,,,
31,2018-12-18,5.28,5.33,5.12,5.21,40682148.0,,,
32,2018-12-19,5.22,5.26,5.15,5.17,29006651.0,,,
33,2018-12-20,5.13,5.69,5.12,5.48,113885192.0,,,
34,2018-12-21,5.4,5.67,5.39,5.66,145203656.0,,,
35,2018-12-24,5.61,5.68,5.44,5.51,98911989.0,,,
36,2018-12-25,5.39,5.74,5.26,5.71,136952003.0,,,
37,2018-12-26,5.62,5.69,5.52,5.6,93351994.0,,,
38,2018-12-27,5.75,5.8,5.42,5.44,97914444.0,,,
39,2018-12-28,5.44,5.72,5.39,5.51,89665935.0,,,
40,2019-01-02,5.52,5.56,5.23,5.39,75475146.0,,,
41,2019-01-03,5.4,5.7,5.37,5.47,109380287.0,,,
42,2019-01-04,5.34,6.02,5.34,6.02,126934471.0,,,
43,2019-01-07,6.51,6.62,6.25,6.45,295455785.0,,,
44,2019-01-08,6.32,6.52,6.14,6.37,197108932.0,,,
45,2019-01-09,6.28,6.89,6.21,6.55,213524709.0,,,
46,2019-01-10,6.45,6.69,6.3,6.36,163217556.0,,,
47,2019-01-11,6.28,6.61,6.25,6.48,138593294.0,,,
48,2019-01-14,6.67,6.82,6.35,6.38,131100537.0,,,
49,2019-01-15,6.32,7.02,6.28,6.86,235011666.0,,,
50,2019-01-16,6.71,6.78,6.58,6.66,131878099.0,,,
51,2019-01-17,6.66,6.71,6.42,6.5,109114107.0,,,
52,2019-01-18,6.51,6.54,6.26,6.37,95350117.0,,,
53,2019-01-21,6.36,6.49,6.3,6.43,59846382.0,,,
54,2019-01-22,6.38,6.69,6.28,6.47,101002335.0,,,
55,2019-01-23,6.43,6.53,6.32,6.45,61353566.0,,,
56,2019-01-24,6.57,7.1,6.51,6.79,250752407.0,,,
57,2019-01-25,6.69,6.74,6.42,6.43,164450802.0,,,
58,2019-01-28,6.56,6.66,6.32,6.47,114983582.0,,,
59,2019-01-29,6.36,6.44,6.04,6.3,86439944.0,,,
60,2019-01-30,6.24,6.41,6.13,6.19,54896103.0,,,
61,2019-01-31,6.21,6.32,5.99,6.05,73725987.0,,,
62,2019-02-01,6.2,6.35,6.13,6.32,69328493.0,,,
63,2019-02-11,6.28,6.52,6.24,6.47,84628736.0,,,
64,2019-02-12,6.46,6.59,6.35,6.5,88726241.0,,,
65,2019-02-13,6.43,7.06,6.41,6.73,164339912.0,,,
66,2019-02-14,6.59,6.7,6.55,6.62,93562234.0,,,
67,2019-02-15,6.6,6.83,6.54,6.59,96235331.0,,,
68,2019-02-18,6.63,7.25,6.62,7.04,172490360.0,,,
69,2019-02-19,6.94,7.27,6.92,7.03,165758160.0,,,
70,2019-02-20,7.05,7.11,6.85,7.01,84978240.0,,,
71,2019-02-21,6.75,7.27,6.54,6.88,189635066.0,,,
72,2019-02-22,6.9,7.57,6.67,7.57,226758265.0,,,
73,2019-02-25,7.96,8.33,7.82,8.33,221280624.0,,,
74,2019-02-26,8.75,9.16,8.62,8.69,254365443.0,,,
75,2019-02-27,8.71,9.4,8.35,9.09,261215579.0,,,
76,2019-02-28,8.64,8.79,8.18,8.18,138106464.0,,,
77,2019-03-01,8.29,8.78,8.0,8.53,139201819.0,,,
78,2019-03-04,8.74,9.39,8.35,8.97,227394546.0,,,
79,2019-03-05,8.66,9.24,8.58,9.08,167448890.0,,,
80,2019-03-06,9.02,9.99,8.92,9.99,226148895.0,,,
81,2019-03-07,10.27,10.99,9.86,10.99,206386631.0,,,
82,2019-03-08,9.89,10.77,9.89,9.89,193917349.0,,,
83,2019-03-11,9.54,10.02,9.01,9.84,119209697.0,,,
84,2019-03-12,9.97,10.77,9.82,10.35,159103154.0,,,
85,2019-03-13,10.39,10.7,9.74,10.17,135435006.0,,,
86,2019-03-14,9.81,10.37,9.57,9.78,102257773.0,,,
87,2019-03-15,9.99,10.4,9.78,9.94,103871519.0,,,
88,2019-03-18,9.72,9.97,9.07,9.94,99229163.0,,,
89,2019-03-19,9.85,10.09,9.74,9.83,71040847.0,,,
90,2019-03-20,9.75,10.08,9.63,10.03,84488917.0,,,
91,2019-03-21,10.08,10.6,9.9,10.13,129390315.0,,,
92,2019-03-22,9.94,10.1,9.66,9.88,72450921.0,,,
93,2019-03-25,9.59,9.84,9.34,9.36,72423898.0,,,
94,2019-03-26,9.38,9.5,8.97,9.09,59178982.0,,,
95,2019-03-27,9.15,9.33,8.95,9.16,51328236.0,,,
96,2019-03-28,9.02,9.25,8.85,8.93,49088479.0,,,
97,2019-03-29,9.02,9.71,8.99,9.66,106780799.0,,,
98,2019-04-01,9.7,10.13,9.46,9.88,111606347.0,,,
99,2019-04-02,9.84,10.02,9.59,9.69,85873452.0,,,
100,2019-04-03,9.56,9.99,9.48,9.9,90365894.0,,,
101,2019-04-04,9.96,9.96,9.63,9.71,72842560.0,,,
102,2019-04-08,9.77,9.84,9.24,9.39,53031614.0,,,
103,2019-04-09,9.45,9.68,9.38,9.51,40443271.0,,,
104,2019-04-10,9.52,9.6,9.17,9.4,52934812.0,,,
105,2019-04-11,9.3,9.34,9.1,9.1,32252475.0,,,
106,2019-04-12,9.15,9.25,9.06,9.1,26049000.0,,,
107,2019-04-15,9.3,9.37,9.02,9.02,28705096.0,,,
108,2019-04-16,8.84,9.15,8.71,9.07,48339651.0,,,
109,2019-04-17,9.05,9.05,8.81,8.88,42470305.0,,,
110,2019-04-18,8.91,8.95,8.75,8.78,34685110.0,,,
111,2019-04-19,8.72,8.95,8.72,8.79,35479834.0,,,
112,2019-04-22,8.92,8.95,8.68,8.72,32887176.0,,,
113,2019-04-23,8.71,9.13,8.57,8.99,65176403.0,,,
114,2019-04-24,8.88,9.03,8.86,8.92,32537044.0,,,
115,2019-04-25,8.95,9.1,8.58,8.63,55880409.0,,,
116,2019-04-26,8.4,8.63,8.13,8.15,50231434.0,,,
117,2019-04-29,8.15,8.25,7.49,7.53,49249939.0,,,
118,2019-04-30,7.52,7.62,7.39,7.51,29590100.0,,,
119,2019-05-06,7.08,7.3,6.76,6.76,48616913.0,7.349416666666667,,
120,2019-05-07,6.81,7.18,6.59,7.08,58563363.0,7.354166666666668,,
121,2019-05-08,6.85,7.07,6.76,6.91,34766981.0,7.355250000000001,,
122,2019-05-09,6.82,7.14,6.81,6.95,43213553.0,7.358916666666668,,
123,2019-05-10,7.04,7.31,6.87,7.23,60705174.0,7.369083333333335,,
124,2019-05-13,7.1,7.18,7.03,7.1,28119383.0,7.3794166666666685,,
125,2019-05-14,6.98,7.33,6.98,7.24,49211909.0,7.388666666666668,,
126,2019-05-15,7.27,7.35,7.18,7.28,48667465.0,7.397333333333335,,
127,2019-05-16,7.24,7.26,7.15,7.2,28216649.0,7.4075000000000015,,
128,2019-05-17,7.2,7.22,6.67,6.81,37313900.0,7.4125000000000005,,
129,2019-05-20,6.79,7.0,6.61,6.88,27237644.0,7.417916666666668,,
130,2019-05-21,6.85,7.02,6.82,6.95,26430757.0,7.418666666666668,,
131,2019-05-22,6.96,6.96,6.74,6.83,22608175.0,7.417083333333335,,
132,2019-05-23,6.76,7.15,6.76,6.93,39730459.0,7.414833333333334,,
133,2019-05-24,6.91,7.16,6.91,7.16,54157981.0,7.419250000000001,,
134,2019-05-27,7.26,7.88,7.13,7.88,69123064.0,7.433833333333334,,
135,2019-05-28,7.92,8.47,7.8,8.12,127779048.0,7.450583333333333,,
136,2019-05-29,8.04,8.65,7.98,8.37,110337169.0,7.4703333333333335,,
137,2019-05-30,8.14,8.21,7.98,8.09,70938196.0,7.4869166666666676,,
138,2019-05-31,8.15,8.34,8.1,8.16,74524064.0,7.509166666666667,,
139,2019-06-03,8.44,8.83,8.22,8.27,95939998.0,7.532916666666667,,
140,2019-06-04,8.04,8.43,7.92,8.33,69875670.0,7.556416666666667,,
141,2019-06-05,8.49,8.73,8.18,8.3,84576619.0,7.577833333333333,,
142,2019-06-06,8.13,8.48,8.12,8.28,56730604.0,7.600833333333333,,
143,2019-06-10,8.29,8.3,7.61,8.03,56799904.0,7.622,,
144,2019-06-11,8.04,8.66,7.92,8.64,101643335.0,7.648083333333333,,
145,2019-06-12,8.52,8.82,8.46,8.5,94742767.0,7.674666666666667,,
146,2019-06-13,8.38,8.99,8.35,8.84,108630337.0,7.704,,
147,2019-06-14,8.75,8.97,8.57,8.67,85643224.0,7.7315,,
148,2019-06-17,8.66,8.81,8.58,8.72,37903678.0,7.758666666666667,,
149,2019-06-18,8.85,8.92,8.69,8.71,41729144.0,7.7875,,
150,2019-06-19,9.58,9.59,8.89,8.95,114051681.0,7.8180000000000005,,
151,2019-06-20,8.75,9.84,8.73,9.84,183086665.0,7.856583333333334,,
152,2019-06-21,9.76,10.16,9.62,9.71,154092089.0,7.894416666666668,,
153,2019-06-24,9.91,9.95,9.36,9.49,95366700.0,7.927833333333335,,
154,2019-06-25,9.51,10.42,9.36,10.21,140336920.0,7.965750000000002,,
155,2019-06-26,9.49,9.7,9.19,9.2,110965247.0,7.996500000000002,,
156,2019-06-27,9.29,9.84,9.23,9.46,89091685.0,8.027750000000003,,
157,2019-06-28,9.41,9.77,9.39,9.59,67699036.0,8.061000000000002,,
158,2019-07-01,10.0,10.31,9.76,10.04,113779785.0,8.099333333333336,,
159,2019-07-02,9.89,10.05,9.71,9.81,67333035.0,8.135166666666668,,
160,2019-07-03,9.78,9.8,9.42,9.62,54552800.0,8.170416666666668,,
161,2019-07-04,9.67,9.8,9.38,9.55,46815597.0,8.204416666666667,,
162,2019-07-05,9.44,9.6,9.39,9.46,28265199.0,8.233083333333335,,
163,2019-07-08,9.38,9.67,9.31,9.44,58257232.0,8.258000000000001,,
164,2019-07-09,9.38,9.53,8.68,9.03,70981683.0,8.280166666666668,,
165,2019-07-10,9.01,9.01,8.7,8.76,39663896.0,8.298583333333335,,
166,2019-07-11,8.87,8.93,8.58,8.7,38924151.0,8.318083333333336,,
167,2019-07-12,8.69,8.74,8.59,8.63,26530321.0,8.336000000000002,,
168,2019-07-15,8.64,9.01,8.5,8.9,47165197.0,8.357000000000001,,
169,2019-07-16,8.87,8.97,8.8,8.85,26400780.0,8.373583333333334,,
170,2019-07-17,8.77,8.96,8.77,8.86,22386084.0,8.391916666666669,,
171,2019-07-18,8.8,8.84,8.69,8.7,24295570.0,8.410250000000001,,
172,2019-07-19,8.77,8.99,8.77,8.93,37305271.0,8.431583333333334,,
173,2019-07-22,9.02,9.09,8.65,8.66,32843880.0,8.450166666666668,,
174,2019-07-23,8.66,8.76,8.57,8.66,18946800.0,8.468416666666668,,
175,2019-07-24,8.73,8.79,8.61,8.65,25451500.0,8.48675,,
176,2019-07-25,8.62,8.64,8.39,8.46,37036252.0,8.500666666666667,,
177,2019-07-26,8.4,8.4,8.07,8.12,42555380.0,8.514750000000001,,
178,2019-07-29,8.19,8.19,8.11,8.17,19474141.0,8.528916666666667,,
179,2019-07-30,8.17,8.45,8.16,8.31,32929106.0,8.545666666666667,7.706388888888891,
180,2019-07-31,8.31,8.31,8.19,8.24,15448627.0,8.56275,7.716000000000002,
181,2019-08-01,8.16,8.27,8.08,8.14,17058427.0,8.580166666666667,7.723555555555558,
182,2019-08-02,7.87,7.98,7.78,7.9,26934300.0,8.593333333333335,7.731277777777781,
183,2019-08-05,7.85,8.13,7.8,7.93,26426400.0,8.605500000000003,7.741944444444448,
184,2019-08-06,7.7,8.48,7.61,8.19,63509590.0,8.619583333333336,7.754888888888893,
185,2019-08-07,8.08,8.08,7.81,7.86,43671420.0,8.629000000000001,7.7645000000000035,
186,2019-08-08,8.1,8.18,7.88,7.89,33083107.0,8.639583333333338,7.773666666666671,
187,2019-08-09,7.93,7.97,7.71,7.74,23338700.0,8.649166666666671,7.783444444444448,
188,2019-08-12,7.8,7.93,7.8,7.93,26745001.0,8.656583333333339,7.793000000000004,
189,2019-08-13,7.78,7.87,7.75,7.81,14899225.0,8.663083333333338,7.801777777777781,
190,2019-08-14,7.93,7.98,7.78,7.78,19858400.0,8.669500000000005,7.806888888888893,
191,2019-08-15,7.52,7.74,7.44,7.67,26160093.0,8.676083333333338,7.810500000000005,
192,2019-08-16,7.63,7.83,7.62,7.67,25160690.0,8.676916666666672,7.813111111111116,
193,2019-08-19,7.82,8.18,7.71,8.16,63723854.0,8.675500000000007,7.821611111111116,
194,2019-08-20,8.16,8.24,7.97,8.02,43553699.0,8.669916666666673,7.832111111111114,
195,2019-08-21,8.01,8.05,7.93,7.96,23763698.0,8.660500000000008,7.842388888888893,
196,2019-08-22,8.01,8.01,7.89,7.95,15518413.0,8.658583333333342,7.853222222222227,
197,2019-08-23,7.95,8.03,7.88,7.93,16694099.0,8.65358333333334,7.8633888888888945,
198,2019-08-26,7.71,7.87,7.67,7.81,16694359.0,8.643916666666675,7.876277777777783,
199,2019-08-27,7.83,8.08,7.83,7.92,30145815.0,8.634250000000009,7.890166666666672,
200,2019-08-28,7.9,7.9,7.77,7.78,20603046.0,8.615833333333342,7.902777777777783,
201,2019-08-29,7.77,7.81,7.7,7.73,17556499.0,8.588666666666676,7.913888888888894,
202,2019-08-30,7.79,7.85,7.61,7.63,17615026.0,8.569833333333342,7.925611111111117,
203,2019-09-02,7.65,7.85,7.64,7.78,22234176.0,8.552666666666676,7.938333333333339,
204,2019-09-03,7.79,7.84,7.72,7.8,19306999.0,8.531416666666676,7.951055555555561,
205,2019-09-04,7.77,8.05,7.74,7.96,43869090.0,8.513000000000009,7.965777777777784,
206,2019-09-05,8.08,8.76,8.08,8.31,92732336.0,8.500750000000009,7.982388888888895,
207,2019-09-06,8.39,8.44,8.21,8.33,46916220.0,8.487333333333341,7.998833333333339,
208,2019-09-09,8.56,8.62,8.37,8.42,51469096.0,8.474666666666675,8.015277777777785,
209,2019-09-10,8.41,8.73,8.29,8.57,59325600.0,8.464166666666674,8.033722222222227,
210,2019-09-11,8.69,8.77,8.52,8.62,57011735.0,8.452416666666673,8.052222222222229,
211,2019-09-12,8.61,8.78,8.51,8.77,45141569.0,8.44108333333334,8.072000000000005,
212,2019-09-16,8.77,8.77,8.54,8.59,37573433.0,8.43033333333334,8.091000000000005,
213,2019-09-17,8.59,8.7,8.3,8.41,41268300.0,8.422416666666674,8.107277777777783,
214,2019-09-18,8.41,8.45,8.25,8.28,23696353.0,8.415666666666674,8.121833333333338,
215,2019-09-19,8.32,8.39,8.26,8.38,21674321.0,8.409166666666673,8.137777777777783,
216,2019-09-20,8.37,8.39,8.27,8.33,22152818.0,8.404166666666674,8.152333333333338,
217,2019-09-23,8.3,8.3,8.1,8.18,19464179.0,8.391833333333341,8.166666666666671,
218,2019-09-24,8.18,8.24,8.09,8.15,20507627.0,8.377416666666674,8.181722222222227,
219,2019-09-25,8.09,8.2,8.01,8.01,20265609.0,8.363416666666673,8.195611111111116,
220,2019-09-26,8.05,8.1,7.59,7.72,27421756.0,8.345250000000007,8.208555555555561,
221,2019-09-27,7.7,7.8,7.7,7.72,12924100.0,8.328666666666674,8.22105555555556,
222,2019-09-30,7.73,7.79,7.57,7.6,12300322.0,8.313750000000008,8.229833333333337,
223,2019-10-08,7.48,7.63,7.48,7.49,12987487.0,8.296916666666673,8.235611111111115,
224,2019-10-09,7.5,7.61,7.44,7.57,12544225.0,8.281666666666675,8.242277777777783,
225,2019-10-10,7.6,7.69,7.55,7.64,13022472.0,8.269500000000008,8.248333333333338,
226,2019-10-11,7.67,7.84,7.5,7.7,23906231.0,8.257833333333341,8.255777777777784,
227,2019-10-14,7.8,7.88,7.72,7.76,28058101.0,8.24733333333334,8.262888888888895,
228,2019-10-15,7.68,7.68,7.47,7.5,19736128.0,8.234250000000008,8.269111111111117,
229,2019-10-16,7.5,7.6,7.29,7.32,18192754.0,8.221250000000008,8.271666666666672,
