,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.49,9.79,9.49,9.75,3248257.0,,,
1,2018-11-14,9.75,9.79,9.64,9.67,1817678.0,,,
2,2018-11-15,9.72,9.99,9.64,9.95,3653576.0,,,
3,2018-11-16,9.95,10.22,9.86,10.09,4578035.0,,,
4,2018-11-19,10.09,10.1,9.94,10.02,2776895.0,,,
5,2018-11-20,9.97,10.08,9.73,9.74,3143478.0,,,
6,2018-11-21,9.66,9.87,9.61,9.81,2901540.0,,,
7,2018-11-22,9.84,10.26,9.84,10.19,6001699.0,,,
8,2018-11-23,10.19,10.23,9.76,9.87,4734807.0,,,
9,2018-11-26,9.93,10.06,9.69,9.88,3101324.0,,,
10,2018-11-27,9.92,9.96,9.69,9.83,3437874.0,,,
11,2018-11-28,9.81,9.94,9.62,9.92,3602258.0,,,
12,2018-11-29,9.97,10.0,9.63,9.73,2729364.0,,,
13,2018-11-30,9.69,9.69,9.39,9.64,3086924.0,,,
14,2018-12-03,9.88,10.0,9.74,9.91,4587394.0,,,
15,2018-12-04,9.92,10.21,9.86,10.11,5024245.0,,,
16,2018-12-05,9.98,10.15,9.94,10.06,2508552.0,,,
17,2018-12-06,10.02,10.17,9.9,9.98,2424180.0,,,
18,2018-12-07,9.97,10.13,9.9,9.99,1333847.0,,,
19,2018-12-10,9.94,9.94,9.73,9.75,2156191.0,,,
20,2018-12-11,9.82,9.9,9.7,9.87,1626340.0,,,
21,2018-12-12,9.87,9.91,9.74,9.76,1341300.0,,,
22,2018-12-13,9.8,9.97,9.7,9.87,1798900.0,,,
23,2018-12-14,9.89,9.91,9.62,9.65,1576600.0,,,
24,2018-12-17,9.55,9.7,9.55,9.62,1872676.0,,,
25,2018-12-18,9.63,9.69,9.56,9.58,1377046.0,,,
26,2018-12-19,9.69,9.72,9.48,9.54,1326804.0,,,
27,2018-12-20,9.55,9.59,9.34,9.46,2242509.0,,,
28,2018-12-21,9.39,9.5,9.31,9.43,1213857.0,,,
29,2018-12-24,9.42,9.48,9.31,9.38,2010943.0,,,
30,2018-12-25,9.32,9.32,9.04,9.27,2352409.0,,,
31,2018-12-26,9.27,9.27,9.17,9.22,1148901.0,,,
32,2018-12-27,9.3,9.53,9.22,9.28,2156812.0,,,
33,2018-12-28,9.27,9.47,9.2,9.29,1781800.0,,,
34,2019-01-02,9.36,9.57,9.26,9.48,1512222.0,,,
35,2019-01-03,9.49,9.86,9.45,9.7,2896125.0,,,
36,2019-01-04,9.62,10.07,9.54,10.01,4982827.0,,,
37,2019-01-07,10.07,10.26,9.97,10.22,5963186.0,,,
38,2019-01-08,10.14,10.14,9.97,10.01,3544065.0,,,
39,2019-01-09,10.09,10.36,9.97,9.97,4865689.0,,,
40,2019-01-10,10.04,10.26,9.97,10.08,2795114.0,,,
41,2019-01-11,10.05,10.32,10.05,10.3,3077518.0,,,
42,2019-01-14,10.22,10.29,10.06,10.1,2376893.0,,,
43,2019-01-15,10.15,10.31,10.1,10.31,2497115.0,,,
44,2019-01-16,10.29,10.52,10.25,10.26,4235524.0,,,
45,2019-01-17,10.21,10.39,10.15,10.16,3208079.0,,,
46,2019-01-18,10.16,10.32,10.09,10.2,2028258.0,,,
47,2019-01-21,10.25,10.53,10.1,10.31,3680301.0,,,
48,2019-01-22,10.26,10.39,10.15,10.22,1611462.0,,,
49,2019-01-23,10.21,10.29,10.11,10.17,1447100.0,,,
50,2019-01-24,10.2,10.42,10.17,10.31,2066177.0,,,
51,2019-01-25,10.31,10.35,10.19,10.21,1754804.0,,,
52,2019-01-28,10.21,10.36,9.98,10.0,2787101.0,,,
53,2019-01-29,9.98,10.07,9.72,9.97,2574901.0,,,
54,2019-01-30,9.92,10.14,9.86,9.88,2605594.0,,,
