,date,open,high,low,close,volume,120,180,240
0,2018-11-13,16.35,16.65,16.31,16.53,21160376.0,,,
1,2018-11-14,16.52,16.52,16.27,16.3,20919381.0,,,
2,2018-11-15,16.3,16.43,16.26,16.42,19976298.0,,,
3,2018-11-16,16.45,16.6,16.33,16.54,28541815.0,,,
4,2018-11-19,16.49,16.89,16.47,16.82,24494297.0,,,
5,2018-11-20,16.72,16.74,16.45,16.54,18061080.0,,,
6,2018-11-21,16.45,16.7,16.4,16.65,14418634.0,,,
7,2018-11-22,16.69,16.71,16.49,16.59,10677836.0,,,
8,2018-11-23,16.61,16.73,16.26,16.29,21023371.0,,,
9,2018-11-26,16.29,16.49,16.28,16.41,8854617.0,,,
10,2018-11-27,16.38,16.49,16.09,16.23,15737131.0,,,
11,2018-11-28,16.23,16.5,16.15,16.48,12724370.0,,,
12,2018-11-29,16.51,16.54,16.14,16.16,14971867.0,,,
13,2018-11-30,16.17,16.36,16.02,16.36,12950330.0,,,
14,2018-12-03,16.62,16.83,16.5,16.67,25661433.0,,,
15,2018-12-04,16.65,16.77,16.53,16.62,14356263.0,,,
16,2018-12-05,16.46,16.57,16.37,16.46,12754175.0,,,
17,2018-12-06,16.43,16.43,16.19,16.21,12718320.0,,,
18,2018-12-07,16.28,16.3,16.15,16.22,6995529.0,,,
19,2018-12-10,16.13,16.14,15.67,15.82,23413460.0,,,
20,2018-12-11,15.84,15.86,15.67,15.73,11489722.0,,,
21,2018-12-12,15.77,15.9,15.73,15.8,10499477.0,,,
22,2018-12-13,15.83,16.01,15.73,16.0,15193638.0,,,
23,2018-12-14,15.92,15.97,15.86,15.86,10344520.0,,,
24,2018-12-17,15.82,15.86,15.73,15.81,11986524.0,,,
25,2018-12-18,15.82,15.93,15.72,15.8,13072727.0,,,
26,2018-12-19,15.81,15.94,15.69,15.75,14153514.0,,,
27,2018-12-20,15.73,15.86,14.88,15.36,29078219.0,,,
28,2018-12-21,15.17,15.27,14.89,15.15,20712387.0,,,
29,2018-12-24,15.11,15.44,15.11,15.42,17336302.0,,,
30,2018-12-25,15.28,15.6,15.26,15.59,16342281.0,,,
31,2018-12-26,15.57,15.85,15.54,15.67,15248951.0,,,
32,2018-12-27,15.76,15.88,15.52,15.6,15217119.0,,,
33,2018-12-28,15.72,15.83,15.62,15.69,14260257.0,,,
34,2019-01-02,15.69,15.82,15.41,15.47,11257447.0,,,
35,2019-01-03,15.48,15.81,15.44,15.57,11120273.0,,,
36,2019-01-04,15.53,15.96,15.51,15.91,14360564.0,,,
37,2019-01-07,15.94,16.04,15.75,16.01,13552540.0,,,
38,2019-01-08,15.91,15.95,15.64,15.75,7655753.0,,,
39,2019-01-09,15.73,16.04,15.73,15.95,15029072.0,,,
40,2019-01-10,15.91,16.11,15.82,15.86,12690529.0,,,
41,2019-01-11,15.86,16.05,15.83,15.97,7140574.0,,,
42,2019-01-14,15.93,15.93,15.77,15.83,5945190.0,,,
43,2019-01-15,15.82,16.03,15.75,16.02,9634309.0,,,
44,2019-01-16,15.98,16.11,15.92,16.04,7064252.0,,,
45,2019-01-17,16.1,16.15,15.91,16.03,8341190.0,,,
46,2019-01-18,16.02,16.3,16.02,16.3,11291719.0,,,
47,2019-01-21,16.25,16.42,16.18,16.33,8540744.0,,,
48,2019-01-22,16.3,16.41,16.2,16.26,6584036.0,,,
49,2019-01-23,16.25,16.49,16.2,16.36,5256448.0,,,
50,2019-01-24,16.42,16.67,16.36,16.59,13319889.0,,,
51,2019-01-25,16.7,16.86,16.65,16.8,16940763.0,,,
52,2019-01-28,16.88,17.0,16.5,16.6,16894095.0,,,
53,2019-01-29,16.63,16.82,16.53,16.73,8941700.0,,,
54,2019-01-30,16.72,16.92,16.67,16.75,6971000.0,,,
55,2019-01-31,16.76,16.96,16.76,16.88,10232022.0,,,
56,2019-02-01,16.9,17.01,16.79,17.01,8093232.0,,,
57,2019-02-11,17.01,17.09,16.87,17.01,11938848.0,,,
58,2019-02-12,17.02,17.41,16.93,17.35,15062039.0,,,
59,2019-02-13,17.35,17.59,17.23,17.4,13536041.0,,,
60,2019-02-14,17.43,17.58,17.16,17.31,13961541.0,,,
61,2019-02-15,17.27,17.35,17.03,17.04,13050728.0,,,
62,2019-02-18,17.17,17.59,17.11,17.59,17244270.0,,,
63,2019-02-19,17.61,17.86,17.43,17.48,14549994.0,,,
64,2019-02-20,17.54,17.61,17.36,17.54,7663531.0,,,
65,2019-02-21,17.54,17.58,17.31,17.37,11154806.0,,,
66,2019-02-22,17.34,17.57,17.03,17.56,17853325.0,,,
67,2019-02-25,17.78,19.05,17.61,18.77,48451431.0,,,
68,2019-02-26,18.54,18.83,18.1,18.13,33414487.0,,,
69,2019-02-27,18.16,19.09,17.8,18.52,43551036.0,,,
70,2019-02-28,18.67,19.05,18.62,18.67,35992499.0,,,
71,2019-03-01,18.73,19.12,18.47,19.04,25679949.0,,,
72,2019-03-04,19.16,19.69,18.88,19.27,37572921.0,,,
73,2019-03-05,19.16,19.51,18.95,19.18,23044872.0,,,
74,2019-03-06,19.19,19.62,19.03,19.44,23253028.0,,,
75,2019-03-07,19.64,19.68,19.25,19.26,27724015.0,,,
76,2019-03-08,18.96,19.1,18.27,18.52,30490165.0,,,
77,2019-03-11,18.46,18.92,18.22,18.86,26414502.0,,,
78,2019-03-12,18.96,19.31,18.69,18.86,30828213.0,,,
79,2019-03-13,18.86,19.01,18.49,18.93,22589072.0,,,
80,2019-03-14,18.86,19.15,18.8,18.88,13792063.0,,,
81,2019-03-15,18.99,19.27,18.77,18.83,17447307.0,,,
82,2019-03-18,18.84,19.29,18.75,19.2,18855559.0,,,
83,2019-03-19,19.3,20.01,19.25,19.44,41042263.0,,,
84,2019-03-20,19.45,20.19,19.41,20.18,34608410.0,,,
85,2019-03-21,20.07,20.07,19.49,20.01,25699225.0,,,
86,2019-03-22,19.81,20.16,19.63,20.01,13508115.0,,,
87,2019-03-25,19.75,20.03,19.63,19.78,21776546.0,,,
88,2019-03-26,19.83,19.92,17.81,19.18,22340969.0,,,
89,2019-03-27,19.26,19.54,19.01,19.52,18119828.0,,,
90,2019-03-28,19.37,19.59,19.15,19.55,8516831.0,,,
91,2019-03-29,19.54,20.6,19.45,20.55,25688426.0,,,
92,2019-04-01,20.41,21.86,20.4,21.48,33489144.0,,,
93,2019-04-02,21.41,21.84,21.41,21.63,19646178.0,,,
94,2019-04-03,21.57,22.08,21.43,22.06,16579450.0,,,
95,2019-04-04,22.17,22.7,21.86,22.54,29056074.0,,,
96,2019-04-08,22.65,23.79,22.6,23.01,37591604.0,,,
97,2019-04-09,22.73,23.14,22.35,22.49,21347035.0,,,
98,2019-04-10,22.47,22.71,22.1,22.38,23884039.0,,,
99,2019-04-11,22.54,22.99,22.01,22.38,22702061.0,,,
100,2019-04-12,22.27,22.56,21.88,22.21,13697601.0,,,
101,2019-04-15,22.8,23.65,22.39,22.46,34548535.0,,,
102,2019-04-16,22.35,23.33,22.06,22.83,30154578.0,,,
103,2019-04-17,22.82,22.92,22.34,22.36,20354381.0,,,
104,2019-04-18,22.25,22.67,22.21,22.37,17179361.0,,,
105,2019-04-19,22.43,22.73,22.15,22.63,15773364.0,,,
106,2019-04-22,22.73,22.78,21.77,21.87,19735168.0,,,
107,2019-04-23,21.96,22.38,21.91,22.03,24404208.0,,,
108,2019-04-24,22.15,22.3,21.78,22.03,14402332.0,,,
109,2019-04-25,22.08,22.17,21.75,21.98,18657271.0,,,
110,2019-04-26,21.84,22.0,21.24,21.48,23436568.0,,,
111,2019-04-29,21.52,22.23,21.52,21.96,24474872.0,,,
112,2019-04-30,22.08,22.44,21.77,22.15,22139114.0,,,
113,2019-05-06,21.77,21.81,20.53,20.71,29571935.0,,,
114,2019-05-07,20.88,21.73,20.88,21.44,23008984.0,,,
115,2019-05-08,21.3,21.64,21.05,21.09,13294681.0,,,
116,2019-05-09,20.97,20.99,20.33,20.57,16299957.0,,,
117,2019-05-10,20.78,21.28,20.43,21.19,15750389.0,,,
118,2019-05-13,21.03,21.53,20.99,21.43,16011719.0,,,
119,2019-05-14,21.18,21.56,20.78,21.19,14630494.0,18.239583333333336,,
120,2019-05-15,21.37,22.04,21.34,21.85,14309659.0,18.283916666666666,,
