,date,open,high,low,close,volume,120,180,240
0,2018-11-13,37.55,38.89,37.08,38.78,1303722.0,,,
1,2018-11-14,38.78,38.78,37.03,38.13,1368538.0,,,
2,2018-11-15,37.55,37.92,36.85,37.55,1727206.0,,,
3,2018-11-16,37.65,37.65,36.13,36.32,2533364.0,,,
4,2018-11-19,36.31,36.31,35.37,35.82,2341591.0,,,
5,2018-11-20,35.41,36.76,35.37,35.7,1210238.0,,,
6,2018-11-21,35.76,35.94,35.01,35.56,744426.0,,,
7,2018-11-22,35.82,36.27,34.87,35.96,1464642.0,,,
8,2018-11-23,35.83,36.34,35.4,36.29,909640.0,,,
9,2018-11-26,36.25,36.44,35.57,36.03,470520.0,,,
10,2018-11-27,36.06,36.38,35.61,35.69,310371.0,,,
11,2018-11-28,35.74,36.54,35.57,36.43,594165.0,,,
12,2018-11-29,36.7,37.87,36.56,37.05,983888.0,,,
13,2018-11-30,37.05,37.72,36.16,37.37,638530.0,,,
14,2018-12-03,37.92,39.62,37.6,39.4,1798825.0,,,
15,2018-12-04,38.94,39.62,38.53,39.11,1057137.0,,,
16,2018-12-05,39.11,39.11,37.74,37.94,1961099.0,,,
17,2018-12-06,37.94,37.94,36.85,37.5,1393087.0,,,
18,2018-12-07,37.59,37.59,36.57,37.25,1268329.0,,,
19,2018-12-10,36.57,37.4,36.18,36.57,1303184.0,,,
20,2018-12-11,36.76,37.64,36.76,37.48,1140266.0,,,
21,2018-12-12,37.53,37.79,37.07,37.32,1495008.0,,,
22,2018-12-13,37.28,40.38,36.65,39.47,2807622.0,,,
23,2018-12-14,39.32,39.32,37.68,38.21,1600364.0,,,
24,2018-12-17,38.21,38.33,36.65,37.53,1530392.0,,,
25,2018-12-18,37.15,37.73,36.76,37.37,895677.0,,,
26,2018-12-19,37.56,37.66,35.57,36.06,1451653.0,,,
27,2018-12-20,36.06,36.34,35.69,36.33,702029.0,,,
28,2018-12-21,36.29,36.44,35.7,36.01,578196.0,,,
29,2018-12-24,36.01,37.7,36.01,36.89,1836943.0,,,
30,2018-12-25,36.59,37.52,36.59,37.36,845700.0,,,
31,2018-12-26,37.29,37.9,36.81,36.97,601700.0,,,
32,2018-12-27,37.57,37.65,36.21,36.46,1129372.0,,,
33,2018-12-28,36.3,36.76,35.57,36.36,772443.0,,,
34,2019-01-02,36.56,36.83,34.32,34.85,2115993.0,,,
35,2019-01-03,34.66,35.02,33.52,33.84,1240002.0,,,
36,2019-01-04,33.55,35.33,33.43,34.68,1204682.0,,,
37,2019-01-07,35.13,36.58,34.68,36.46,1643779.0,,,
38,2019-01-08,36.24,36.76,35.97,36.25,835443.0,,,
39,2019-01-09,36.25,37.43,35.58,36.4,1368237.0,,,
40,2019-01-10,36.16,36.84,36.08,36.19,614343.0,,,
41,2019-01-11,36.19,36.84,35.82,36.48,854684.0,,,
42,2019-01-14,36.41,36.55,35.72,35.77,603400.0,,,
43,2019-01-15,36.05,36.76,35.45,36.66,951764.0,,,
44,2019-01-16,36.66,37.65,36.06,36.66,1541976.0,,,
45,2019-01-17,36.64,38.04,36.36,37.56,1407949.0,,,
46,2019-01-18,37.37,38.73,36.95,38.38,1597950.0,,,
47,2019-01-21,38.4,38.4,34.54,35.64,9057681.0,,,
48,2019-01-22,35.57,35.93,35.1,35.75,4091172.0,,,
49,2019-01-23,35.22,36.43,35.17,36.03,2889654.0,,,
50,2019-01-24,36.04,36.53,35.77,36.07,1186479.0,,,
51,2019-01-25,36.1,38.5,35.92,37.84,2076800.0,,,
52,2019-01-28,37.4,37.72,36.06,36.64,2497245.0,,,
53,2019-01-29,37.32,37.32,35.79,36.07,1491777.0,,,
54,2019-01-30,35.67,36.37,34.68,35.03,1636634.0,,,
55,2019-01-31,34.58,36.06,33.59,35.57,2670267.0,,,
56,2019-02-01,34.91,35.39,34.68,35.08,1367463.0,,,
57,2019-02-11,35.07,36.24,34.66,36.06,1532913.0,,,
58,2019-02-12,36.14,36.28,35.69,35.77,1150785.0,,,
59,2019-02-13,35.76,36.42,35.76,36.19,1391232.0,,,
60,2019-02-14,36.2,36.42,35.47,36.26,2008419.0,,,
61,2019-02-15,36.02,36.2,35.29,35.38,2033118.0,,,
62,2019-02-18,35.09,36.36,35.08,35.91,2890585.0,,,
63,2019-02-19,35.86,35.87,34.5,34.87,3342196.0,,,
64,2019-02-20,34.78,35.39,34.11,34.87,2128004.0,,,
