,date,open,high,low,close,volume,120,180,240
0,2018-10-29,4.16,4.18,3.93,4.05,1823920.0,,,
1,2018-10-30,4.05,4.07,3.91,4.03,1366848.0,,,
2,2018-10-31,4.05,4.15,4.0,4.07,2016493.0,,,
3,2018-11-01,4.09,4.16,4.04,4.16,2050200.0,,,
4,2018-11-02,4.17,4.26,4.14,4.18,2922830.0,,,
5,2018-11-05,4.17,4.42,4.09,4.26,4253700.0,,,
6,2018-11-06,4.25,4.25,4.09,4.17,2726570.0,,,
7,2018-11-07,4.15,4.21,4.12,4.17,2336404.0,,,
8,2018-11-08,4.19,4.22,4.14,4.15,2721119.0,,,
9,2018-11-09,4.15,4.21,4.12,4.17,2694010.0,,,
10,2018-11-12,4.16,4.2,4.09,4.19,3707552.0,,,
11,2018-11-13,4.16,4.32,4.14,4.32,4575696.0,,,
12,2018-11-14,4.34,4.42,4.24,4.25,4774423.0,,,
13,2018-11-15,4.22,4.34,4.17,4.32,3447085.0,,,
14,2018-11-16,4.32,4.42,4.29,4.41,4228143.0,,,
15,2018-11-19,4.43,4.46,4.36,4.4,3127894.0,,,
16,2018-11-20,4.36,4.4,4.16,4.22,3153692.0,,,
17,2018-11-21,4.19,4.4,4.17,4.37,3256371.0,,,
18,2018-11-22,4.41,4.41,4.28,4.3,2160340.0,,,
19,2018-11-23,4.3,4.34,4.03,4.09,3116305.0,,,
20,2018-11-26,4.09,4.15,3.95,4.0,1683080.0,,,
21,2018-11-27,4.04,4.08,4.02,4.05,1551220.0,,,
22,2018-11-28,4.05,4.09,3.96,4.08,1476793.0,,,
23,2018-11-29,4.09,4.15,4.06,4.07,1762161.0,,,
24,2018-11-30,4.04,4.06,3.88,4.0,2177028.0,,,
25,2018-12-03,4.05,4.18,4.05,4.17,2275238.0,,,
26,2018-12-04,4.18,4.19,4.12,4.17,1381587.0,,,
27,2018-12-05,4.08,4.19,4.05,4.11,1909781.0,,,
28,2018-12-06,4.1,4.12,4.05,4.07,1347590.0,,,
29,2018-12-07,4.09,4.09,4.03,4.07,610440.0,,,
30,2018-12-10,4.05,4.05,3.98,4.01,1258440.0,,,
31,2018-12-11,4.03,4.05,3.98,4.02,1156630.0,,,
32,2018-12-12,4.04,4.05,4.0,4.03,626250.0,,,
33,2018-12-13,4.03,4.11,4.0,4.11,1447138.0,,,
34,2018-12-14,4.11,4.11,3.92,3.93,1655300.0,,,
35,2018-12-17,3.93,3.97,3.88,3.96,952300.0,,,
36,2018-12-18,3.92,3.95,3.76,3.86,1787347.0,,,
37,2018-12-19,3.86,3.87,3.75,3.79,1142370.0,,,
38,2018-12-20,3.8,3.85,3.76,3.8,814340.0,,,
39,2018-12-21,3.77,3.79,3.72,3.77,728450.0,,,
40,2018-12-24,3.77,3.84,3.75,3.81,604000.0,,,
41,2018-12-25,3.81,3.83,3.65,3.75,1180361.0,,,
42,2018-12-26,3.71,3.76,3.68,3.68,967320.0,,,
43,2018-12-27,3.73,3.77,3.63,3.64,996060.0,,,
44,2018-12-28,3.64,3.68,3.59,3.64,706620.0,,,
45,2019-01-02,3.65,3.69,3.62,3.69,789090.0,,,
46,2019-01-03,3.68,3.73,3.65,3.7,745524.0,,,
47,2019-01-04,3.69,3.79,3.65,3.79,1016245.0,,,
48,2019-01-07,3.79,3.87,3.77,3.84,1593730.0,,,
49,2019-01-08,3.84,3.84,3.71,3.81,1148773.0,,,
50,2019-01-09,3.81,3.87,3.81,3.81,1706609.0,,,
51,2019-01-10,3.8,3.87,3.76,3.76,1642540.0,,,
52,2019-01-11,3.8,3.88,3.79,3.83,1805722.0,,,
53,2019-01-14,3.89,3.91,3.79,3.81,1867261.0,,,
54,2019-01-15,3.81,3.88,3.79,3.87,1467020.0,,,
55,2019-01-16,3.87,3.89,3.83,3.86,1160252.0,,,
56,2019-01-17,3.88,3.88,3.77,3.77,1581526.0,,,
57,2019-02-01,3.76,3.76,3.42,3.54,3461220.0,,,
58,2019-02-11,3.56,3.63,3.52,3.63,3359136.0,,,
59,2019-02-12,3.57,3.67,3.56,3.64,2841711.0,,,
60,2019-02-13,3.65,3.71,3.64,3.71,2500157.0,,,
61,2019-02-14,3.72,3.78,3.67,3.76,2144981.0,,,
62,2019-02-15,3.75,3.77,3.7,3.74,1388450.0,,,
63,2019-02-18,3.75,3.87,3.75,3.85,2380260.0,,,
