,date,open,high,low,close,volume,10,60,250
0,2020-03-18,8.33,8.39,8.08,8.09,19801502.0,,,
1,2020-03-19,8.04,8.11,7.79,7.93,21003768.0,,,
2,2020-03-20,8.06,8.14,7.96,8.1,13580391.0,,,
3,2020-03-23,8.04,8.04,7.81,7.84,11707908.0,,,
4,2020-03-24,7.92,8.01,7.81,7.95,10767377.0,,,
5,2020-03-25,8.12,8.17,7.99,8.08,13692458.0,,,
6,2020-03-26,8.05,8.08,8.0,8.05,9363876.0,,,
7,2020-03-27,8.13,8.17,8.04,8.05,9559877.0,,,
8,2020-03-30,8.01,8.05,7.85,7.87,9432986.0,,,
9,2020-03-31,7.95,7.96,7.86,7.87,6461556.0,7.983,,
10,2020-04-01,7.86,7.9,7.77,7.78,7486200.0,7.952,,
11,2020-04-02,7.74,7.82,7.67,7.81,9006103.0,7.94,,
12,2020-04-03,7.82,7.99,7.81,7.94,11826903.0,7.924000000000001,,
13,2020-04-07,8.05,8.12,7.99,8.12,12576477.0,7.952000000000001,,
14,2020-04-08,8.12,8.2,8.07,8.14,10445376.0,7.971000000000001,,
15,2020-04-09,8.14,8.21,8.1,8.13,8319094.0,7.976000000000001,,
16,2020-04-10,8.13,8.15,7.96,7.98,9438127.0,7.969000000000001,,
17,2020-04-13,8.13,8.48,8.06,8.4,30977614.0,8.004000000000001,,
18,2020-04-14,8.52,8.58,8.32,8.46,20693654.0,8.063000000000002,,
19,2020-04-15,8.5,8.5,8.31,8.31,14154945.0,8.107000000000003,,
20,2020-04-16,8.3,8.3,8.2,8.21,10507700.0,8.150000000000002,,
21,2020-04-17,8.22,8.29,8.21,8.24,9799019.0,8.193000000000001,,
22,2020-04-20,8.3,8.35,8.26,8.32,9220572.0,8.231000000000003,,
23,2020-04-21,8.25,8.26,8.1,8.13,10034885.0,8.232000000000003,,
24,2020-04-22,8.07,8.09,8.01,8.08,7267160.0,8.226000000000003,,
25,2020-04-23,8.08,8.22,8.08,8.09,8026901.0,8.222000000000003,,
26,2020-04-24,8.07,8.38,8.05,8.27,20452134.0,8.251000000000001,,
27,2020-04-27,8.25,8.32,8.14,8.15,10012285.0,8.226000000000003,,
28,2020-04-28,8.09,8.09,7.49,7.76,15317495.0,8.156000000000002,,
29,2020-04-29,7.76,7.91,7.73,7.76,7051000.0,8.101000000000003,,
30,2020-04-30,7.8,7.92,7.8,7.89,7350326.0,8.069000000000003,,
31,2020-05-06,7.86,7.93,7.81,7.93,6562283.0,8.038000000000004,,
32,2020-05-07,7.94,7.94,7.88,7.88,6206500.0,7.994000000000002,,
33,2020-05-08,7.9,7.94,7.89,7.91,6191900.0,7.972000000000003,,
34,2020-05-11,7.91,8.39,7.9,8.38,25934690.0,8.002000000000002,,
35,2020-05-12,8.4,8.5,8.24,8.47,25393833.0,8.040000000000003,,
36,2020-05-13,8.4,8.59,8.24,8.51,22390497.0,8.064000000000004,,
37,2020-05-14,8.48,8.7,8.43,8.66,25231520.0,8.115000000000002,,
38,2020-05-15,8.71,8.92,8.56,8.57,36955106.0,8.196000000000002,,
39,2020-05-18,8.65,8.77,8.39,8.39,21257036.0,8.259000000000002,,
40,2020-05-19,8.5,8.52,8.39,8.47,12102953.0,8.317000000000002,,
41,2020-05-20,8.46,8.46,8.24,8.27,12517708.0,8.351000000000003,,
42,2020-05-21,8.3,8.33,8.22,8.23,7282682.0,8.386000000000003,,
43,2020-05-22,8.21,8.23,8.05,8.06,7866100.0,8.401000000000003,,
44,2020-05-25,8.07,8.09,8.0,8.04,4043200.0,8.367000000000004,,
45,2020-05-26,8.04,8.13,8.04,8.12,5090821.0,8.332000000000004,,
46,2020-05-27,8.11,8.25,8.11,8.19,6438774.0,8.300000000000004,,
47,2020-05-28,8.16,8.24,8.06,8.08,6054278.0,8.242000000000004,,
48,2020-05-29,8.14,8.36,8.14,8.32,11729898.0,8.217000000000004,,
49,2020-06-01,8.36,8.49,8.3,8.46,9830137.0,8.224000000000006,,
50,2020-06-02,8.52,8.52,8.42,8.45,8147623.0,8.222000000000005,,
51,2020-06-03,8.5,8.58,8.47,8.52,13672723.0,8.247000000000005,,
52,2020-06-04,8.81,8.82,8.68,8.69,9947769.0,8.293000000000005,,
53,2020-06-05,8.7,8.74,8.62,8.69,5279413.0,8.356000000000005,,
54,2020-06-08,8.76,8.76,8.71,8.71,5633905.0,8.423000000000005,,
55,2020-06-09,8.74,8.95,8.74,8.86,8939019.0,8.497000000000003,,
56,2020-06-10,8.86,8.88,8.69,8.7,7763018.0,8.548000000000005,,
57,2020-06-11,8.67,8.72,8.62,8.62,6294538.0,8.602000000000006,,
58,2020-06-12,8.5,8.61,8.48,8.58,5853008.0,8.628000000000005,,
59,2020-06-15,8.68,8.68,8.45,8.53,5312118.0,8.635000000000005,8.218166666666667,
60,2020-06-16,8.53,8.6,8.53,8.6,4883574.0,8.650000000000004,8.226666666666667,
61,2020-06-17,8.62,8.63,8.57,8.62,4464674.0,8.660000000000005,8.238166666666666,
