,date,open,high,low,close,volume,120,180,240
0,2018-11-13,13.92,14.36,13.7,14.21,6187294.0,,,
1,2018-11-14,14.08,14.42,13.86,13.93,4536800.0,,,
2,2018-11-15,13.93,14.49,13.93,14.38,5242359.0,,,
3,2018-11-16,14.34,14.88,14.18,14.69,6228996.0,,,
4,2018-11-19,14.49,14.77,13.71,14.22,4715400.0,,,
5,2018-11-20,14.03,14.41,13.87,13.96,3080800.0,,,
6,2018-11-21,13.88,13.88,13.41,13.74,2313800.0,,,
7,2018-11-22,13.86,13.87,13.43,13.53,2262130.0,,,
8,2018-11-23,13.49,13.53,12.32,12.72,3094946.0,,,
9,2018-11-26,12.63,13.83,12.32,13.77,4823371.0,,,
10,2018-11-27,13.46,13.73,13.2,13.39,3433393.0,,,
11,2018-11-28,13.26,13.36,12.73,13.11,1995200.0,,,
12,2018-11-29,13.14,13.49,12.72,12.72,1785200.0,,,
13,2018-11-30,12.62,12.81,12.38,12.65,1981700.0,,,
14,2018-12-03,13.03,13.22,12.84,12.94,2129769.0,,,
15,2018-12-04,12.94,13.24,12.87,13.14,1987998.0,,,
16,2018-12-05,12.9,12.94,12.67,12.69,1798700.0,,,
17,2018-12-06,12.74,12.82,12.48,12.5,1261900.0,,,
18,2018-12-07,12.53,12.79,12.47,12.68,1061700.0,,,
19,2018-12-10,12.41,12.68,12.41,12.47,812700.0,,,
20,2018-12-11,12.56,13.71,12.08,13.71,4943632.0,,,
21,2018-12-12,13.81,14.52,13.7,14.22,8218423.0,,,
22,2018-12-13,14.01,14.08,13.73,13.87,4274870.0,,,
23,2018-12-14,13.82,14.04,13.1,13.24,3569869.0,,,
24,2018-12-17,13.39,14.57,12.84,14.57,6573592.0,,,
25,2018-12-18,14.72,15.52,14.34,14.87,9522333.0,,,
26,2018-12-19,14.78,16.35,14.36,16.35,10923985.0,,,
27,2018-12-20,15.78,16.38,15.58,15.8,8897756.0,,,
28,2018-12-21,15.98,16.13,15.62,15.67,7524362.0,,,
29,2018-12-24,15.65,15.68,14.72,14.9,6818563.0,,,
30,2018-12-25,14.71,15.6,14.42,15.16,9018243.0,,,
31,2018-12-26,15.17,15.45,14.74,14.87,7080062.0,,,
32,2018-12-27,14.99,15.25,13.47,13.73,5697101.0,,,
33,2018-12-28,13.91,14.77,13.91,14.13,4899620.0,,,
34,2019-01-02,14.47,15.54,14.19,15.54,6444666.0,,,
35,2019-01-03,15.49,16.05,15.26,15.4,10822782.0,,,
36,2019-01-04,15.05,15.7,14.93,15.36,7235262.0,,,
37,2019-01-07,15.32,15.81,15.07,15.57,6924901.0,,,
38,2019-01-08,15.45,15.45,14.48,14.81,5658933.0,,,
39,2019-01-09,14.59,14.92,14.28,14.46,4288428.0,,,
