,date,open,high,low,close,volume,10,60,250
0,2020-03-18,28.82,29.66,28.38,28.98,15163326.0,,,
1,2020-03-19,29.12,31.87,27.66,31.87,19676291.0,,,
2,2020-03-20,33.81,35.06,29.35,30.77,29238151.0,,,
3,2020-03-23,27.7,28.68,27.7,27.7,4368100.0,,,
4,2020-03-24,26.58,30.28,25.98,30.11,24548369.0,,,
5,2020-03-25,29.28,31.19,28.61,28.77,20489470.0,,,
6,2020-03-26,27.66,30.18,26.53,28.43,15539684.0,,,
7,2020-03-27,29.15,29.51,26.28,26.28,14680776.0,,,
8,2020-03-30,24.42,25.28,23.84,24.59,11673296.0,,,
9,2020-03-31,25.2,27.05,25.1,27.05,15222052.0,28.455000000000002,,
10,2020-04-01,26.39,29.66,26.39,28.28,18685969.0,28.385,,
11,2020-04-02,28.47,31.11,27.75,31.11,16077500.0,28.309000000000005,,
12,2020-04-03,30.12,34.15,29.88,31.27,20511539.0,28.359,,
13,2020-04-07,30.74,33.8,30.74,32.05,17906379.0,28.794000000000004,,
14,2020-04-08,31.12,33.03,30.74,30.95,15559945.0,28.878000000000004,,
15,2020-04-09,30.77,32.1,29.58,31.22,13585344.0,29.123,,
16,2020-04-10,30.58,30.87,28.1,28.1,13814359.0,29.090000000000003,,
17,2020-04-13,27.29,29.31,27.11,29.02,10392150.0,29.363999999999997,,
18,2020-04-14,29.28,29.73,28.45,29.61,10200285.0,29.866000000000003,,
19,2020-04-15,29.28,29.74,28.06,28.29,10380193.0,29.990000000000002,,
20,2020-04-16,27.69,31.11,27.69,31.11,16609406.0,30.273000000000003,,
21,2020-04-17,31.11,33.35,30.69,32.82,19683756.0,30.444,,
22,2020-04-20,32.04,32.73,31.43,32.58,11740887.0,30.575,,
23,2020-04-21,31.74,32.1,30.41,31.31,10909653.0,30.500999999999998,,
24,2020-04-22,30.77,34.45,30.66,33.66,16338958.0,30.772,,
25,2020-04-23,32.81,33.3,31.5,31.5,11826122.0,30.8,,
26,2020-04-24,31.13,32.66,28.98,30.78,10330230.0,31.067999999999994,,
27,2020-04-27,30.44,32.1,29.2,31.58,9569925.0,31.323999999999995,,
28,2020-04-28,31.45,34.74,30.21,34.74,15732057.0,31.836999999999996,,
29,2020-04-29,33.29,38.03,33.04,35.35,22018471.0,32.54299999999999,,
30,2020-04-30,36.88,38.88,35.75,38.88,16036919.0,33.31999999999999,,
31,2020-05-06,40.3,42.77,40.28,42.77,11147467.0,34.31499999999999,,
32,2020-05-07,47.05,47.05,43.88,47.05,27174296.0,35.76199999999999,,
33,2020-05-08,46.95,49.85,44.45,47.87,25145291.0,37.41799999999999,,
34,2020-05-11,48.41,52.66,45.8,52.66,24557038.0,39.318,,
35,2020-05-12,50.33,51.1,47.4,47.4,22453652.0,40.907999999999994,,
36,2020-05-13,46.1,47.53,44.71,46.1,17147358.0,42.44,,
