,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.6,5.82,5.36,5.45,22179874.0,,,
1,2020-03-19,5.48,5.48,5.2,5.38,16268537.0,,,
2,2020-03-20,5.43,5.53,5.22,5.35,13618614.0,,,
3,2020-03-23,5.16,5.25,4.87,4.9,18142603.0,,,
4,2020-03-24,5.02,5.08,4.87,5.03,15460151.0,,,
5,2020-03-25,5.22,5.54,5.15,5.49,34617529.0,,,
6,2020-03-26,5.26,5.35,5.09,5.22,21418954.0,,,
7,2020-03-27,5.21,5.26,5.03,5.05,14786965.0,,,
8,2020-03-30,4.89,5.07,4.87,4.95,12605578.0,,,
9,2020-03-31,5.04,5.31,4.98,5.25,21101003.0,5.207,,
10,2020-04-01,5.34,5.53,5.15,5.17,20733874.0,5.179,,
11,2020-04-02,5.2,5.31,5.1,5.27,10592245.0,5.168,,
12,2020-04-03,5.26,5.38,5.09,5.1,11087362.0,5.143,,
13,2020-04-07,5.25,5.32,5.17,5.27,15068813.0,5.180000000000001,,
14,2020-04-08,5.27,5.27,5.08,5.16,12030140.0,5.1930000000000005,,
15,2020-04-09,5.18,5.25,5.11,5.25,11213440.0,5.1690000000000005,,
16,2020-04-10,5.25,5.25,4.95,5.09,13508520.0,5.156000000000001,,
17,2020-04-13,5.02,5.03,4.86,4.92,10310240.0,5.143000000000001,,
18,2020-04-14,4.94,5.08,4.93,5.04,8059540.0,5.152,,
19,2020-04-15,5.1,5.16,5.0,5.0,10010360.0,5.127000000000001,,
20,2020-04-16,5.01,5.16,5.01,5.09,9939972.0,5.119,,
21,2020-04-17,5.11,5.14,4.91,4.97,15158228.0,5.089,,
22,2020-04-20,4.97,4.98,4.89,4.93,6963627.0,5.072,,
23,2020-04-21,4.93,4.95,4.69,4.77,16910481.0,5.022,,
24,2020-04-22,4.71,4.79,4.62,4.79,9481291.0,4.984999999999999,,
25,2020-04-23,4.87,4.87,4.71,4.77,8190732.0,4.936999999999999,,
26,2020-04-24,4.79,4.81,4.57,4.61,11030776.0,4.8889999999999985,,
27,2020-04-27,4.62,4.65,4.47,4.51,9417848.0,4.847999999999998,,
28,2020-04-28,4.52,4.57,4.19,4.35,11961479.0,4.778999999999998,,
29,2020-04-29,4.34,4.51,4.31,4.4,9151640.0,4.7189999999999985,,
30,2020-04-30,4.48,4.6,4.42,4.57,9610648.0,4.666999999999999,,
31,2020-05-06,4.49,4.69,4.49,4.69,9497614.0,4.6389999999999985,,
32,2020-05-07,4.66,4.66,4.56,4.57,7271709.0,4.602999999999999,,
33,2020-05-08,4.59,4.78,4.59,4.75,14024813.0,4.600999999999999,,
34,2020-05-11,4.79,4.91,4.75,4.81,13319522.0,4.603,,
35,2020-05-12,4.85,4.85,4.68,4.75,6304408.0,4.600999999999999,,
36,2020-05-13,4.76,4.86,4.63,4.86,8629200.0,4.6259999999999994,,
37,2020-05-14,4.86,4.86,4.69,4.76,8569231.0,4.650999999999999,,
38,2020-05-15,4.79,4.79,4.66,4.7,7447580.0,4.685999999999999,,
39,2020-05-18,4.73,4.74,4.48,4.57,11961883.0,4.702999999999999,,
40,2020-05-19,4.64,4.64,4.51,4.58,6299319.0,4.703999999999999,,
41,2020-05-20,4.59,4.71,4.57,4.61,8901887.0,4.696,,
42,2020-05-21,4.67,4.68,4.49,4.55,7393860.0,4.693999999999999,,
43,2020-05-22,4.53,4.53,4.35,4.45,9101899.0,4.664,,
44,2020-05-25,4.45,4.5,4.38,4.46,4741652.0,4.629,,
45,2020-05-26,4.46,4.54,4.44,4.53,4949593.0,4.606999999999999,,
46,2020-05-27,4.55,4.68,4.48,4.68,12001780.0,4.5889999999999995,,
47,2020-05-28,4.76,5.15,4.69,4.95,34810981.0,4.608,,
48,2020-05-29,5.34,5.45,5.05,5.45,45329027.0,4.683,,
49,2020-06-01,5.43,5.99,5.26,5.99,45455716.0,4.825,,
50,2020-06-02,6.17,6.6,6.17,6.6,38568887.0,5.027,,
51,2020-06-03,6.81,6.93,5.93,6.36,68898161.0,5.202,,
52,2020-06-04,6.36,6.72,6.03,6.3,50286899.0,5.377000000000001,,
