,date,open,high,low,close,volume,120,180,240
0,2021-01-28,21.36,27.75,20.98,26.35,20197584.0,,,
1,2021-01-29,25.15,39.25,24.66,31.8,19922555.0,,,
2,2021-02-01,29.52,42.24,29.52,38.29,18075910.0,,,
3,2021-02-02,36.5,37.67,28.31,28.9,14571136.0,,,
4,2021-02-03,27.51,31.0,27.1,28.03,9744178.0,,,
5,2021-02-04,27.9,29.29,24.95,25.2,8915449.0,,,
6,2021-02-05,24.81,25.49,21.91,22.17,7499556.0,,,
7,2021-02-08,22.14,22.5,20.58,20.78,4603846.0,,,
8,2021-02-09,20.99,21.44,20.4,20.72,3661687.0,,,
9,2021-02-10,20.61,20.94,20.06,20.06,3516071.0,,,
10,2021-02-18,20.3,22.23,20.13,21.47,5495148.0,,,
11,2021-02-19,21.2,22.38,20.88,22.1,4504457.0,,,
12,2021-02-22,21.88,23.38,21.88,22.15,4355320.0,,,
13,2021-02-23,22.58,23.95,22.13,23.61,5051699.0,,,
14,2021-02-24,23.4,25.94,23.2,25.05,6503289.0,,,
15,2021-02-25,25.72,25.72,23.6,24.39,3398454.0,,,
16,2021-02-26,23.8,23.88,22.6,23.41,2911012.0,,,
17,2021-03-01,23.73,23.82,22.58,23.26,2700854.0,,,
18,2021-03-02,23.23,23.3,22.0,22.41,2743954.0,,,
19,2021-03-03,22.26,23.5,22.09,22.95,2454362.0,,,
20,2021-03-04,22.75,23.44,22.6,22.84,2037048.0,,,
21,2021-03-05,22.68,23.23,22.68,22.84,1396836.0,,,
22,2021-03-08,23.1,23.89,22.76,23.55,2678965.0,,,
23,2021-03-09,23.3,23.64,21.51,21.98,2212298.0,,,
24,2021-03-10,22.19,22.44,20.88,21.1,1758376.0,,,
25,2021-03-11,21.1,21.79,20.83,21.46,1035208.0,,,
26,2021-03-12,21.57,22.0,21.34,21.62,1000284.0,,,
27,2021-03-15,21.62,21.62,20.94,21.17,1102258.0,,,
28,2021-03-16,21.31,21.37,20.92,21.23,942255.0,,,
29,2021-03-17,21.23,21.92,21.03,21.7,1303591.0,,,
30,2021-03-18,21.75,22.28,21.5,22.13,1705364.0,,,
31,2021-03-19,21.99,22.53,21.53,22.14,1427120.0,,,
32,2021-03-22,22.2,23.36,21.98,23.08,2511098.0,,,
33,2021-03-23,23.12,23.6,22.5,23.2,2332760.0,,,
34,2021-03-24,23.0,24.6,22.81,23.92,3138186.0,,,
35,2021-03-25,23.82,24.19,22.47,22.55,2510614.0,,,
36,2021-03-26,22.79,22.92,22.0,22.54,1526407.0,,,
37,2021-03-29,22.59,23.06,22.36,22.4,1478028.0,,,
38,2021-03-30,22.47,22.95,21.82,22.89,1901784.0,,,
39,2021-03-31,22.58,23.29,22.5,22.85,1886875.0,,,
40,2021-04-01,22.9,23.26,22.12,22.24,1629473.0,,,
41,2021-04-02,22.28,22.77,21.9,22.75,1392288.0,,,
42,2021-04-06,22.84,23.2,22.6,22.79,1265832.0,,,
43,2021-04-07,22.77,23.97,22.55,23.79,2584767.0,,,
44,2021-04-08,24.03,24.28,23.2,23.63,2565009.0,,,
45,2021-04-09,23.6,24.58,23.39,24.12,2131816.0,,,
46,2021-04-12,24.64,24.77,23.61,23.97,1763073.0,,,
47,2021-04-13,24.07,24.36,23.12,23.17,1613460.0,,,
48,2021-04-14,23.02,24.38,23.02,23.72,1501260.0,,,
49,2021-04-15,23.72,24.08,22.71,22.83,1709583.0,,,
50,2021-04-16,22.56,23.47,22.56,23.24,1316458.0,,,
51,2021-04-19,23.17,24.6,23.1,24.31,2570009.0,,,
52,2021-04-20,24.67,24.71,23.74,23.89,1717602.0,,,
53,2021-04-21,23.9,23.97,23.3,23.79,1126494.0,,,
54,2021-04-22,23.75,23.86,23.22,23.36,983714.0,,,
55,2021-04-23,23.2,23.66,23.11,23.15,845627.0,,,
56,2021-04-26,23.1,23.24,22.56,22.61,1146581.0,,,
57,2021-04-27,22.62,22.89,21.24,21.6,1776418.0,,,
58,2021-04-28,21.45,21.78,21.4,21.56,805244.0,,,
59,2021-04-29,21.98,22.22,21.75,21.92,835432.0,,,
60,2021-04-30,21.97,22.19,21.75,22.12,903924.0,,,
