,date,open,high,low,close,volume,120,180,240
0,2018-11-13,32.21,33.63,32.0,33.26,7970423.0,,,
1,2018-11-14,33.27,33.38,32.55,32.61,5318749.0,,,
2,2018-11-15,32.89,33.12,32.54,32.83,3930612.0,,,
3,2018-11-16,33.04,33.33,32.69,33.01,4719555.0,,,
4,2018-11-19,33.14,34.18,32.82,33.9,7410763.0,,,
5,2018-11-20,33.49,33.69,32.53,32.77,5372080.0,,,
6,2018-11-21,32.42,33.27,32.04,32.94,3957593.0,,,
7,2018-11-22,32.93,33.09,32.53,32.87,2471088.0,,,
8,2018-11-23,32.73,33.0,31.71,31.93,4395196.0,,,
9,2018-11-26,31.94,32.08,31.49,31.61,2299004.0,,,
10,2018-11-27,31.82,31.82,31.33,31.74,2805450.0,,,
11,2018-11-28,31.92,32.57,31.57,32.27,3077067.0,,,
12,2018-11-29,32.64,33.51,32.52,33.12,8704893.0,,,
13,2018-11-30,33.21,35.38,32.74,35.23,11925412.0,,,
14,2018-12-03,36.21,38.3,35.48,37.42,13543954.0,,,
15,2018-12-04,37.19,37.89,36.56,37.47,6865260.0,,,
16,2018-12-05,36.57,39.7,36.57,39.04,11629394.0,,,
17,2018-12-06,38.33,39.11,37.46,37.99,8332492.0,,,
18,2018-12-07,37.93,38.62,37.33,37.68,6594705.0,,,
19,2018-12-10,37.39,38.19,36.73,37.24,6455428.0,,,
20,2018-12-11,37.48,38.01,36.77,37.48,5115115.0,,,
21,2018-12-12,37.7,37.76,36.9,37.34,4203011.0,,,
22,2018-12-13,37.38,38.38,37.15,37.76,6668747.0,,,
23,2018-12-14,38.62,39.38,38.23,38.36,15157241.0,,,
24,2018-12-17,38.33,39.2,37.54,38.08,6592514.0,,,
25,2018-12-18,37.8,38.13,37.11,37.55,4633300.0,,,
26,2018-12-19,37.55,38.29,36.96,37.25,3314722.0,,,
27,2018-12-20,36.84,37.3,36.0,37.11,5189729.0,,,
28,2018-12-21,36.55,36.83,35.36,35.97,5548846.0,,,
