,date,open,high,low,close,volume,120,180,240
0,2018-11-13,12.07,12.46,12.05,12.37,34103393.0,,,
1,2018-11-14,12.37,12.47,12.27,12.28,25854575.0,,,
2,2018-11-15,12.26,12.62,12.25,12.58,42473501.0,,,
3,2018-11-16,12.6,12.65,12.46,12.55,35226540.0,,,
4,2018-11-19,12.58,12.75,12.48,12.71,33478260.0,,,
5,2018-11-20,12.59,12.62,12.29,12.32,30572833.0,,,
6,2018-11-21,12.18,12.29,12.1,12.22,19255414.0,,,
7,2018-11-22,12.22,12.27,12.11,12.13,17918921.0,,,
8,2018-11-23,12.16,12.17,11.5,11.53,33461384.0,,,
9,2018-11-26,11.53,11.63,11.42,11.45,13373511.0,,,
10,2018-11-27,11.51,11.58,11.34,11.38,15579709.0,,,
11,2018-11-28,11.38,11.51,11.28,11.51,15817102.0,,,
12,2018-11-29,11.58,11.61,11.18,11.19,24771458.0,,,
13,2018-11-30,11.19,11.3,11.05,11.25,15017916.0,,,
14,2018-12-03,11.74,11.84,11.64,11.71,46133491.0,,,
15,2018-12-04,11.75,11.83,11.7,11.81,33016519.0,,,
16,2018-12-05,11.61,12.07,11.56,12.01,40940652.0,,,
17,2018-12-06,11.86,11.87,11.65,11.67,26961972.0,,,
18,2018-12-07,11.7,11.74,11.62,11.64,12842106.0,,,
19,2018-12-10,11.53,11.72,11.43,11.64,15715146.0,,,
20,2018-12-11,11.62,11.8,11.59,11.71,16377246.0,,,
21,2018-12-12,11.77,11.84,11.71,11.8,17347200.0,,,
22,2018-12-13,11.86,12.02,11.8,11.95,27563800.0,,,
23,2018-12-14,11.93,12.09,11.73,11.77,41803262.0,,,
24,2018-12-17,11.71,12.01,11.68,11.99,28516826.0,,,
25,2018-12-18,11.91,12.0,11.79,11.94,15654444.0,,,
26,2018-12-19,11.95,11.99,11.62,11.64,17789658.0,,,
27,2018-12-20,11.64,11.7,11.41,11.5,20742755.0,,,
28,2018-12-21,11.43,11.52,11.35,11.48,12494213.0,,,
29,2018-12-24,11.47,11.67,11.45,11.62,12881216.0,,,
30,2018-12-25,11.45,11.54,11.22,11.5,18790533.0,,,
31,2018-12-26,11.45,11.56,11.44,11.5,10828178.0,,,
32,2018-12-27,11.64,11.68,11.28,11.28,15349120.0,,,
33,2018-12-28,11.32,11.44,11.26,11.31,12788348.0,,,
34,2019-01-02,11.38,11.42,11.25,11.32,11544000.0,,,
35,2019-01-03,11.29,11.41,11.24,11.24,10639586.0,,,
36,2019-01-04,11.09,11.38,10.95,11.37,20738257.0,,,
37,2019-01-07,11.48,11.48,11.33,11.46,19142910.0,,,
38,2019-01-08,11.42,11.56,11.38,11.45,14429906.0,,,
39,2019-01-09,11.5,12.05,11.43,11.83,54144684.0,,,
40,2019-01-10,11.79,11.85,11.67,11.74,22561240.0,,,
41,2019-01-11,11.73,11.96,11.73,11.88,22902782.0,,,
42,2019-01-14,11.92,12.0,11.79,11.81,16924854.0,,,
43,2019-01-15,11.78,12.05,11.74,11.99,29298825.0,,,
44,2019-01-16,12.01,12.02,11.79,11.83,20722113.0,,,
45,2019-01-17,11.86,11.89,11.64,11.66,18955904.0,,,
46,2019-01-18,11.63,11.8,11.63,11.76,17226953.0,,,
47,2019-01-21,11.73,11.83,11.71,11.78,15562934.0,,,
48,2019-01-22,11.78,11.8,11.54,11.6,15209698.0,,,
49,2019-01-23,11.58,11.65,11.55,11.56,11145124.0,,,
50,2019-01-24,11.57,11.61,11.42,11.57,13255149.0,,,
51,2019-01-25,11.59,11.64,11.51,11.52,13503771.0,,,
52,2019-01-28,11.6,11.64,11.47,11.48,11265865.0,,,
53,2019-01-29,11.45,11.49,11.18,11.28,16048591.0,,,
54,2019-01-30,11.29,11.44,11.29,11.3,10307376.0,,,
55,2019-01-31,11.36,11.44,11.22,11.23,14152099.0,,,
56,2019-02-01,11.3,11.65,11.27,11.62,18711481.0,,,
57,2019-02-11,11.59,11.87,11.58,11.86,26465800.0,,,
58,2019-02-12,12.0,12.33,12.0,12.24,56973778.0,,,
59,2019-02-13,12.3,13.46,12.17,13.46,82666364.0,,,
60,2019-02-14,13.96,13.96,13.37,13.53,117628590.0,,,
61,2019-02-15,13.39,13.44,13.14,13.23,65245176.0,,,
62,2019-02-18,13.36,13.65,13.21,13.62,84810061.0,,,
63,2019-02-19,13.64,13.85,13.38,13.59,73863547.0,,,
64,2019-02-20,13.6,13.61,13.32,13.53,42006397.0,,,
65,2019-02-21,13.49,13.73,13.29,13.35,62057045.0,,,
66,2019-02-22,13.32,13.76,13.28,13.75,77443823.0,,,
67,2019-02-25,14.1,14.98,13.96,14.8,136439232.0,,,
68,2019-02-26,14.82,15.32,14.47,14.74,118926307.0,,,
69,2019-02-27,14.69,14.84,14.28,14.57,65136521.0,,,
70,2019-02-28,14.5,14.93,14.47,14.73,49258091.0,,,
71,2019-03-01,14.85,14.99,14.51,14.72,45672432.0,,,
72,2019-03-04,14.77,15.51,14.77,14.94,93890490.0,,,
73,2019-03-05,14.94,15.18,14.79,15.08,56170233.0,,,
74,2019-03-06,15.18,16.49,15.18,16.32,145963737.0,,,
75,2019-03-07,16.35,17.45,16.11,16.78,132132929.0,,,
76,2019-03-08,16.11,16.94,15.35,15.44,117987360.0,,,
77,2019-03-11,15.45,16.01,15.33,15.93,65964385.0,,,
78,2019-03-12,16.11,16.19,15.53,15.79,96418582.0,,,
79,2019-03-13,15.62,15.62,14.86,14.95,81528169.0,,,
80,2019-03-14,14.93,14.93,14.17,14.38,63503160.0,,,
81,2019-03-15,14.49,14.74,14.36,14.5,39783031.0,,,
82,2019-03-18,14.59,14.84,14.48,14.83,41559831.0,,,
83,2019-03-19,14.88,15.08,14.82,14.9,37186457.0,,,
84,2019-03-20,14.84,14.86,14.49,14.7,32045123.0,,,
85,2019-03-21,14.75,15.06,14.65,14.93,46659783.0,,,
86,2019-03-22,14.92,14.92,14.53,14.73,35394321.0,,,
87,2019-03-25,14.43,14.58,14.31,14.32,34826991.0,,,
88,2019-03-26,14.37,14.46,13.86,13.9,39008488.0,,,
89,2019-03-27,14.01,14.09,13.77,13.91,23466455.0,,,
90,2019-03-28,13.9,14.28,13.76,13.96,39017950.0,,,
91,2019-03-29,13.94,14.41,13.86,14.4,42742886.0,,,
92,2019-04-01,14.84,15.34,14.75,15.19,77435854.0,,,
93,2019-04-02,15.29,16.35,15.29,15.63,105140026.0,,,
94,2019-04-03,15.65,15.85,15.37,15.7,51538111.0,,,
95,2019-04-04,15.72,15.81,15.32,15.46,58496183.0,,,
96,2019-04-08,15.53,15.7,14.98,15.25,50572418.0,,,
97,2019-04-09,15.57,15.95,15.51,15.82,80529071.0,,,
98,2019-04-10,15.61,15.73,15.32,15.52,43719130.0,,,
99,2019-04-11,15.5,15.67,15.3,15.3,33355365.0,,,
100,2019-04-12,15.35,15.47,15.14,15.33,21874269.0,,,
101,2019-04-15,15.58,15.66,15.13,15.13,35038328.0,,,
102,2019-04-16,15.11,15.94,14.96,15.89,81788794.0,,,
103,2019-04-17,16.21,17.48,15.92,17.48,217742662.0,,,
104,2019-04-18,17.96,19.23,17.47,19.14,358084248.0,,,
105,2019-04-19,18.09,18.21,17.27,17.46,228710776.0,,,
106,2019-04-22,17.3,17.31,16.61,16.67,113487539.0,,,
107,2019-04-23,16.74,17.1,16.05,16.77,130567689.0,,,
108,2019-04-24,16.53,16.69,16.27,16.53,69579626.0,,,
109,2019-04-25,16.28,16.52,15.77,15.78,72613888.0,,,
110,2019-04-26,15.72,16.04,15.63,15.63,48443134.0,,,
111,2019-04-29,15.76,15.84,15.1,15.13,52834178.0,,,
112,2019-04-30,15.09,15.49,14.84,15.05,50072016.0,,,
113,2019-05-06,14.84,14.84,13.55,13.59,79092558.0,,,
114,2019-05-07,13.63,13.99,13.57,13.84,48698968.0,,,
115,2019-05-08,13.47,13.96,13.31,13.63,39025298.0,,,
116,2019-05-09,13.44,13.71,13.37,13.5,31252408.0,,,
117,2019-05-10,13.68,13.95,12.87,13.88,60500408.0,,,
118,2019-05-13,13.67,13.7,13.44,13.55,33926226.0,,,
119,2019-05-14,13.28,13.51,13.24,13.28,31586133.0,13.356333333333342,,
120,2019-05-15,13.43,13.64,13.39,13.56,37111348.0,13.36625000000001,,
121,2019-05-16,13.55,13.55,13.39,13.5,27161991.0,13.376416666666676,,
122,2019-05-17,13.52,13.61,12.82,12.88,46704370.0,13.378916666666678,,
123,2019-05-20,12.85,12.98,12.47,12.88,29273436.0,13.38166666666668,,
124,2019-05-21,12.87,13.26,12.82,13.18,32485319.0,13.385583333333347,,
125,2019-05-22,13.23,13.42,12.99,13.05,29547537.0,13.39166666666668,,
126,2019-05-23,13.05,13.05,12.67,12.73,28908029.0,13.39591666666668,,
127,2019-05-24,12.72,12.82,12.59,12.59,19365123.0,13.399750000000012,,
128,2019-05-27,12.65,13.0,12.59,12.94,24870822.0,13.411500000000013,,
129,2019-05-28,12.94,13.08,12.86,13.08,25860635.0,13.425083333333344,,
130,2019-05-29,12.97,13.42,12.93,13.3,39533630.0,13.441083333333344,,
131,2019-05-30,13.17,13.2,13.04,13.15,19824746.0,13.454750000000011,,
132,2019-05-31,13.17,13.42,13.09,13.35,31520256.0,13.47275000000001,,
133,2019-06-03,13.28,13.32,12.88,13.06,27627408.0,13.487833333333343,,
134,2019-06-04,13.05,13.14,12.67,12.77,24829479.0,13.496666666666675,,
135,2019-06-05,12.9,12.97,12.74,12.77,18437606.0,13.504666666666676,,
136,2019-06-06,12.72,12.72,12.45,12.52,22934315.0,13.508916666666675,,
137,2019-06-10,11.27,11.6,11.27,11.4,180559096.0,13.506666666666677,,
138,2019-06-11,11.31,11.91,11.23,11.81,111753677.0,13.50808333333334,,
139,2019-06-12,11.72,11.9,11.57,11.63,69893962.0,13.508000000000008,,
140,2019-06-13,11.55,11.83,11.34,11.65,60770061.0,13.50750000000001,,
141,2019-06-14,11.6,11.79,11.5,11.53,48407354.0,13.505250000000009,,
142,2019-06-17,11.54,11.62,11.4,11.41,37316946.0,13.500750000000009,,
143,2019-06-18,11.42,11.51,11.32,11.37,32139554.0,13.497416666666675,,
144,2019-06-19,11.71,11.81,11.54,11.56,63691801.0,13.49383333333334,,
145,2019-06-20,11.6,11.82,11.47,11.79,57442805.0,13.49258333333334,,
146,2019-06-21,11.79,12.28,11.78,12.16,75204212.0,13.496916666666673,,
147,2019-06-24,12.14,12.14,11.98,12.08,33418241.0,13.501750000000007,,
148,2019-06-25,12.1,12.1,11.72,11.88,36830797.0,13.50508333333334,,
149,2019-06-26,11.8,12.09,11.77,11.95,34578768.0,13.507833333333341,,
150,2019-06-27,12.0,12.15,11.96,11.99,33283858.0,13.511916666666675,,
151,2019-06-28,12.04,12.08,11.82,11.89,24416090.0,13.515166666666676,,
