,date,open,high,low,close,volume,10,60,250
0,2020-03-18,11.2,11.9,10.8,11.0,154840511.0,,,
1,2020-03-19,10.9,11.44,10.77,11.43,112757727.0,,,
2,2020-03-20,11.5,11.57,10.29,10.31,168818572.0,,,
3,2020-03-23,9.86,10.33,9.39,9.59,120600555.0,,,
4,2020-03-24,9.87,9.98,9.13,9.94,114582550.0,,,
5,2020-03-25,10.17,10.42,10.03,10.27,96433829.0,,,
6,2020-03-26,10.15,10.55,10.08,10.1,99039936.0,,,
7,2020-03-27,10.22,10.3,9.5,9.54,107315367.0,,,
8,2020-03-30,9.25,9.28,8.72,8.87,90988691.0,,,
9,2020-03-31,9.03,9.15,8.6,8.68,61759289.0,9.972999999999999,,
10,2020-04-01,8.79,9.08,8.65,8.74,72735398.0,9.746999999999998,,
11,2020-04-02,8.75,9.22,8.64,9.18,98233757.0,9.521999999999997,,
12,2020-04-03,9.05,9.11,8.75,8.8,69918614.0,9.370999999999997,,
13,2020-04-07,9.0,9.5,8.98,9.36,85177847.0,9.347999999999995,,
14,2020-04-08,9.36,9.62,9.09,9.14,77259166.0,9.267999999999997,,
15,2020-04-09,9.21,9.31,9.1,9.26,56012212.0,9.166999999999998,,
16,2020-04-10,9.2,9.2,8.57,8.6,72366041.0,9.016999999999998,,
17,2020-04-13,8.42,8.85,8.25,8.71,50904256.0,8.933999999999997,,
18,2020-04-14,8.68,8.86,8.58,8.85,47286425.0,8.931999999999997,,
19,2020-04-15,8.68,9.06,8.56,8.7,69992004.0,8.933999999999997,,
20,2020-04-16,8.61,9.43,8.6,9.29,120950463.0,8.988999999999997,,
21,2020-04-17,9.25,9.52,9.14,9.36,94976534.0,9.006999999999996,,
22,2020-04-20,9.46,9.97,9.23,9.8,91566789.0,9.106999999999996,,
23,2020-04-21,9.7,10.27,9.65,10.16,96762437.0,9.186999999999996,,
24,2020-04-22,10.0,10.03,9.71,9.86,67442137.0,9.258999999999997,,
25,2020-04-23,9.8,9.82,9.42,9.42,63567761.0,9.274999999999995,,
26,2020-04-24,9.36,9.54,8.78,8.86,69231782.0,9.300999999999997,,
27,2020-04-27,8.89,9.05,8.62,8.64,41782279.0,9.293999999999997,,
28,2020-04-28,8.68,8.76,8.05,8.58,49185676.0,9.266999999999998,,
29,2020-04-29,8.58,8.66,8.4,8.52,23311815.0,9.248999999999997,,
30,2020-04-30,8.6,9.09,8.58,8.99,46930116.0,9.218999999999998,,
31,2020-05-06,8.95,9.47,8.85,9.42,54772372.0,9.224999999999998,,
32,2020-05-07,9.67,9.67,9.18,9.19,52998559.0,9.163999999999998,,
33,2020-05-08,9.32,9.83,9.27,9.55,68738980.0,9.102999999999998,,
34,2020-05-11,9.59,9.66,9.3,9.39,47700643.0,9.055999999999997,,
35,2020-05-12,9.38,9.39,9.07,9.32,39570134.0,9.045999999999996,,
36,2020-05-13,9.21,9.72,9.13,9.7,69134173.0,9.129999999999997,,
37,2020-05-14,9.7,10.47,9.62,10.19,129041016.0,9.284999999999997,,
38,2020-05-15,10.35,11.21,10.23,11.21,132107005.0,9.547999999999998,,
39,2020-05-18,11.23,11.35,10.09,10.09,160408957.0,9.704999999999998,,
40,2020-05-19,10.0,10.19,9.55,10.16,135923064.0,9.822,,
41,2020-05-20,9.88,10.1,9.62,9.68,74135131.0,9.847999999999997,,
42,2020-05-21,9.77,9.79,9.33,9.37,58080428.0,9.865999999999998,,
43,2020-05-22,9.34,9.64,9.2,9.41,45945760.0,9.851999999999999,,
44,2020-05-25,9.3,9.55,9.09,9.15,37644877.0,9.828,,
45,2020-05-26,9.23,9.84,9.21,9.74,59854514.0,9.87,,
46,2020-05-27,9.95,9.96,9.54,9.56,53763650.0,9.855999999999998,,
47,2020-05-28,9.46,9.71,9.08,9.27,47787565.0,9.764,,
48,2020-05-29,9.24,9.37,9.13,9.2,28938999.0,9.562999999999999,,
49,2020-06-01,9.36,9.92,9.33,9.89,76710214.0,9.543,,
50,2020-06-02,9.96,10.34,9.77,10.2,93052466.0,9.547,,
51,2020-06-03,10.27,10.64,10.19,10.32,106301587.0,9.610999999999999,,
52,2020-06-04,10.44,10.51,9.85,10.03,86252830.0,9.676999999999998,,
53,2020-06-05,10.03,10.98,9.99,10.45,113830468.0,9.780999999999999,,
54,2020-06-08,10.5,10.79,10.29,10.6,91638584.0,9.925999999999998,,
55,2020-06-09,10.53,10.65,10.27,10.51,54657890.0,10.002999999999998,,
56,2020-06-10,10.5,10.5,10.12,10.28,51617309.0,10.075,,
57,2020-06-11,10.28,10.55,10.15,10.28,61333380.0,10.175999999999998,,
58,2020-06-12,10.07,10.31,9.93,10.27,47140778.0,10.282999999999998,,
59,2020-06-15,10.1,10.45,10.05,10.05,46758998.0,10.298999999999998,9.617166666666662,
60,2020-06-16,10.3,10.3,10.01,10.1,46643148.0,10.288999999999998,9.602166666666664,
61,2020-06-17,10.11,10.11,9.73,9.93,51058569.0,10.249999999999996,9.577166666666663,
62,2020-06-18,9.9,10.16,9.83,10.01,36217803.0,10.247999999999998,9.572166666666664,
63,2020-06-19,10.08,10.08,9.86,9.95,37307984.0,10.197999999999997,9.578166666666664,
64,2020-06-22,10.01,10.15,9.91,9.93,34654867.0,10.130999999999997,9.577999999999996,
65,2020-06-23,9.85,9.88,9.59,9.6,45312734.0,10.039999999999996,9.56683333333333,
66,2020-06-24,9.52,10.04,9.51,9.87,46015001.0,9.998999999999997,9.562999999999995,
67,2020-06-29,9.85,10.07,9.79,9.98,35400803.0,9.968999999999998,9.57033333333333,
68,2020-06-30,10.0,10.57,9.84,10.44,86647057.0,9.985999999999997,9.596499999999997,
69,2020-07-01,10.41,10.76,10.27,10.67,92947056.0,10.047999999999998,9.629666666666663,
70,2020-07-02,10.6,10.73,10.4,10.6,63101030.0,10.097999999999997,9.660666666666664,
71,2020-07-03,10.68,11.09,10.52,10.95,78404436.0,10.199999999999998,9.690166666666666,
72,2020-07-06,10.94,11.33,10.79,11.15,101272457.0,10.313999999999997,9.729333333333333,
73,2020-07-07,11.21,11.21,10.6,10.82,162028108.0,10.400999999999998,9.753666666666668,
74,2020-07-08,11.22,11.69,10.99,11.38,146600268.0,10.545999999999998,9.791,
75,2020-07-09,11.28,12.52,11.2,12.52,201354272.0,10.837999999999997,9.845333333333334,
76,2020-07-10,12.67,12.67,12.0,12.22,162740188.0,11.072999999999997,9.905666666666667,
77,2020-07-13,12.1,12.66,12.03,12.47,109084677.0,11.321999999999997,9.968333333333334,
78,2020-07-14,12.49,12.72,11.91,12.06,99270655.0,11.483999999999998,10.021833333333332,
79,2020-07-15,11.8,11.92,10.85,10.85,132897420.0,11.501999999999997,10.057666666666666,
80,2020-07-16,10.82,10.9,10.04,10.1,77243414.0,11.451999999999996,10.071166666666667,
81,2020-07-17,10.06,10.29,9.96,10.14,45859632.0,11.370999999999997,10.084166666666667,
82,2020-07-20,10.25,10.76,10.04,10.6,54417134.0,11.315999999999995,10.0975,
83,2020-07-21,10.55,10.88,10.45,10.48,44506079.0,11.281999999999996,10.102833333333335,
84,2020-07-22,10.4,10.75,10.31,10.48,43435406.0,11.191999999999997,10.113166666666668,
85,2020-07-23,10.05,10.2,9.58,9.95,81972867.0,10.934999999999999,10.122000000000003,
86,2020-07-24,9.89,10.05,9.11,9.24,61408406.0,10.636999999999997,10.128333333333336,
87,2020-07-27,9.24,9.32,8.88,9.03,34308509.0,10.292999999999997,10.134833333333336,
88,2020-07-28,9.13,9.28,9.08,9.19,24365036.0,10.005999999999997,10.145000000000003,
89,2020-07-29,9.18,9.63,9.1,9.56,41970323.0,9.876999999999999,10.162333333333335,
90,2020-07-30,9.55,9.59,9.26,9.29,35726328.0,9.795999999999998,10.167333333333335,
91,2020-07-31,9.33,9.56,9.27,9.45,34141490.0,9.726999999999999,10.167833333333336,
92,2020-08-03,9.45,9.85,9.44,9.79,43693581.0,9.645999999999997,10.177833333333334,
93,2020-08-04,9.95,10.01,9.61,9.76,46823586.0,9.573999999999998,10.181333333333335,
94,2020-08-05,9.95,10.05,9.74,9.88,44155701.0,9.513999999999998,10.189500000000002,
95,2020-08-06,9.82,10.28,9.55,10.12,71471990.0,9.530999999999997,10.202833333333334,
96,2020-08-07,9.97,10.09,9.62,9.92,54308743.0,9.598999999999998,10.2065,
97,2020-08-10,10.1,10.55,10.09,10.42,70355954.0,9.737999999999998,10.210333333333331,
98,2020-08-11,10.39,10.64,10.13,10.22,60478906.0,9.840999999999998,10.193833333333332,
99,2020-08-12,10.34,10.59,9.93,10.51,72531329.0,9.935999999999998,10.20083333333333,
100,2020-08-13,10.37,10.55,10.14,10.2,46428555.0,10.026999999999997,10.2015,
101,2020-08-14,10.17,10.3,10.0,10.21,33250798.0,10.102999999999998,10.210333333333333,
102,2020-08-17,10.34,10.65,10.31,10.49,62512177.0,10.172999999999998,10.229000000000001,
103,2020-08-18,10.36,10.53,10.25,10.33,46378578.0,10.229999999999999,10.244333333333335,
104,2020-08-19,10.25,10.25,9.89,9.94,44657601.0,10.235999999999999,10.257500000000002,
105,2020-08-20,9.84,10.04,9.66,9.74,26954689.0,10.197999999999997,10.257500000000002,
106,2020-08-21,9.82,9.93,9.56,9.68,25792621.0,10.173999999999996,10.259500000000003,
107,2020-08-24,9.66,9.77,9.5,9.7,22205037.0,10.101999999999997,10.266666666666671,
108,2020-08-25,9.65,9.75,9.46,9.48,26832916.0,10.027999999999997,10.271333333333336,
109,2020-08-26,9.49,9.52,9.13,9.16,29931825.0,9.892999999999997,10.259166666666669,
110,2020-08-27,9.16,9.32,9.04,9.2,20115719.0,9.792999999999996,10.242500000000003,
111,2020-08-28,9.25,9.38,9.12,9.35,19742940.0,9.706999999999997,10.226333333333336,
112,2020-08-31,9.37,9.68,9.37,9.5,29017514.0,9.607999999999997,10.217500000000003,
113,2020-09-01,9.45,9.54,9.35,9.42,16340717.0,9.516999999999998,10.200333333333335,
114,2020-09-02,9.44,9.65,9.38,9.53,23795702.0,9.475999999999997,10.182500000000001,
115,2020-09-03,9.54,9.55,9.2,9.23,23927772.0,9.424999999999999,10.161166666666668,
116,2020-09-04,9.08,9.36,9.02,9.34,19050330.0,9.391,10.145500000000002,
117,2020-09-07,9.61,9.72,9.4,9.49,37220585.0,9.37,10.132333333333337,
118,2020-09-08,9.55,9.59,9.22,9.53,27773904.0,9.374999999999998,10.120000000000003,
119,2020-09-09,9.4,9.43,9.14,9.19,21146053.0,9.377999999999998,10.105666666666671,
120,2020-09-10,9.23,9.32,8.77,8.93,26597365.0,9.350999999999997,10.086166666666669,
