,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.44,7.46,7.04,7.1,39639901.0,,,
1,2020-03-19,7.07,7.11,6.81,6.85,45722083.0,,,
2,2020-03-20,6.9,6.97,6.74,6.8,46507141.0,,,
3,2020-03-23,6.62,6.62,6.36,6.42,41668744.0,,,
4,2020-03-24,6.54,6.62,6.4,6.51,35981573.0,,,
5,2020-03-25,6.67,7.02,6.58,6.89,47005885.0,,,
6,2020-03-26,6.8,7.0,6.74,6.95,35576037.0,,,
7,2020-03-27,6.99,7.17,6.88,6.97,24254502.0,,,
8,2020-03-30,6.85,6.9,6.6,6.73,34282528.0,,,
9,2020-03-31,6.76,6.87,6.67,6.67,18433940.0,6.789,,
10,2020-04-01,6.73,6.79,6.62,6.67,15714696.0,6.746,,
11,2020-04-02,6.59,6.71,6.58,6.71,14519340.0,6.732000000000001,,
12,2020-04-03,6.68,6.82,6.63,6.67,15466064.0,6.719000000000001,,
13,2020-04-07,6.81,6.83,6.7,6.75,21105168.0,6.752000000000001,,
14,2020-04-08,6.71,6.79,6.7,6.72,17034815.0,6.773000000000001,,
15,2020-04-09,6.75,6.81,6.73,6.74,10207141.0,6.758,,
16,2020-04-10,6.75,6.99,6.7,6.84,27081500.0,6.747,,
17,2020-04-13,6.76,6.79,6.5,6.56,32310158.0,6.706,,
18,2020-04-14,6.57,6.68,6.55,6.63,20929602.0,6.696,,
19,2020-04-15,6.63,6.69,6.55,6.57,16952356.0,6.686,,
20,2020-04-16,6.53,6.59,6.5,6.55,26022322.0,6.6739999999999995,,
21,2020-04-17,6.57,6.7,6.56,6.61,28482305.0,6.664,,
22,2020-04-20,6.63,6.76,6.55,6.73,25063303.0,6.67,,
23,2020-04-21,6.73,6.87,6.64,6.74,20866335.0,6.669,,
24,2020-04-22,6.75,6.76,6.66,6.7,16039001.0,6.667,,
25,2020-04-23,6.72,6.74,6.53,6.54,41831424.0,6.647000000000001,,
26,2020-04-24,6.54,6.58,6.31,6.32,52111286.0,6.5950000000000015,,
27,2020-04-27,6.35,6.75,6.32,6.6,57456891.0,6.599000000000001,,
28,2020-04-28,6.57,6.63,6.43,6.47,30249581.0,6.583000000000001,,
29,2020-04-29,6.47,7.02,6.45,6.96,81309500.0,6.622,,
30,2020-04-30,7.0,7.14,6.89,6.96,47930141.0,6.662999999999999,,
31,2020-05-06,6.9,6.95,6.77,6.88,38442183.0,6.6899999999999995,,
32,2020-05-07,6.89,6.92,6.67,6.69,47604897.0,6.685999999999998,,
33,2020-05-08,6.73,6.89,6.69,6.82,35643413.0,6.693999999999998,,
34,2020-05-11,6.79,6.89,6.66,6.7,37273236.0,6.693999999999998,,
35,2020-05-12,6.7,6.75,6.61,6.66,23170868.0,6.705999999999998,,
36,2020-05-13,6.65,6.67,6.59,6.65,19384326.0,6.738999999999999,,
37,2020-05-14,6.61,6.63,6.54,6.57,28163806.0,6.735999999999999,,
38,2020-05-15,6.6,6.62,6.49,6.5,26199876.0,6.738999999999999,,
39,2020-05-18,6.46,6.55,6.46,6.5,18240211.0,6.693,,
40,2020-05-19,6.58,6.76,6.53,6.7,45065846.0,6.667,,
41,2020-05-20,6.69,6.92,6.62,6.81,54066767.0,6.660000000000001,,
42,2020-05-21,6.81,6.92,6.76,6.89,45152363.0,6.6800000000000015,,
43,2020-05-22,6.89,6.95,6.76,6.84,40804850.0,6.682000000000002,,
44,2020-05-25,6.84,6.86,6.61,6.63,29304728.0,6.675000000000002,,
45,2020-05-26,6.67,6.7,6.53,6.6,26731152.0,6.669000000000001,,
46,2020-05-27,6.61,6.79,6.55,6.7,27740754.0,6.674000000000001,,
47,2020-05-28,6.73,7.03,6.7,6.97,56960089.0,6.714000000000001,,
48,2020-05-29,6.92,7.16,6.87,7.1,36209027.0,6.774000000000001,,
49,2020-06-01,7.1,7.2,7.02,7.14,30289548.0,6.838000000000001,,
50,2020-06-02,7.19,7.4,7.19,7.27,32240017.0,6.8950000000000005,,
51,2020-06-03,7.31,7.73,7.31,7.4,46850564.0,6.954000000000001,,
52,2020-06-04,7.4,7.59,7.29,7.49,27106072.0,7.014,,
53,2020-06-05,7.51,7.61,7.46,7.51,19084239.0,7.081,,
54,2020-06-08,7.61,7.64,7.33,7.51,35443607.0,7.169000000000001,,
55,2020-06-09,7.55,7.56,7.44,7.53,14313455.0,7.262000000000002,,
56,2020-06-10,7.59,7.59,7.39,7.48,21607605.0,7.340000000000002,,
57,2020-06-11,7.48,7.54,7.12,7.18,33187051.0,7.3610000000000015,,
58,2020-06-12,7.11,7.24,7.02,7.14,25291627.0,7.365000000000002,,
59,2020-06-15,7.13,7.25,7.04,7.06,19414097.0,7.357000000000002,6.830833333333332,
60,2020-06-16,7.11,7.23,7.06,7.15,19795947.0,7.345000000000003,6.831666666666664,
61,2020-06-17,7.17,7.17,6.97,7.05,21970780.0,7.310000000000002,6.834999999999997,
62,2020-06-18,6.97,7.12,6.88,7.05,32184144.0,7.266000000000003,6.839166666666665,
63,2020-06-19,7.04,7.27,7.02,7.18,29615854.0,7.233000000000002,6.851833333333331,
64,2020-06-22,7.15,7.32,7.09,7.14,26369462.0,7.196000000000002,6.86233333333333,
65,2020-06-23,7.13,7.21,7.05,7.07,17320539.0,7.150000000000003,6.86533333333333,
66,2020-06-24,7.11,7.46,7.07,7.3,32974167.0,7.132000000000002,6.871166666666665,
67,2020-06-29,7.32,7.44,7.23,7.36,24451188.0,7.150000000000003,6.877666666666665,
68,2020-06-30,7.33,7.43,7.23,7.32,26937333.0,7.168000000000002,6.8874999999999975,
69,2020-07-01,7.34,7.44,7.2,7.32,48974302.0,7.194000000000003,6.89833333333333,
70,2020-07-02,7.34,7.73,7.28,7.68,62138615.0,7.2470000000000026,6.915166666666663,
71,2020-07-03,7.7,7.96,7.7,7.87,69880165.0,7.329000000000003,6.934499999999997,
72,2020-07-06,8.05,8.66,8.01,8.66,121976405.0,7.490000000000004,6.967666666666664,
73,2020-07-07,8.69,8.98,8.27,8.31,105027845.0,7.603000000000003,6.993666666666664,
74,2020-07-08,8.11,8.52,8.11,8.4,79993933.0,7.729000000000004,7.021666666666663,
75,2020-07-09,8.32,8.37,8.13,8.21,91357474.0,7.8430000000000035,7.046166666666663,
76,2020-07-10,8.1,8.17,7.8,7.85,89988435.0,7.898000000000003,7.062999999999997,
77,2020-07-13,7.79,7.94,7.75,7.88,70370576.0,7.950000000000003,7.084999999999996,
78,2020-07-14,7.88,8.02,7.8,8.0,68200653.0,8.018000000000004,7.10783333333333,
79,2020-07-15,7.96,8.02,7.77,7.83,47188871.0,8.069000000000003,7.12883333333333,
80,2020-07-16,7.85,8.24,7.82,7.92,84213077.0,8.093000000000004,7.151666666666663,
81,2020-07-17,7.93,8.1,7.62,7.72,62656745.0,8.078000000000003,7.170166666666663,
82,2020-07-20,7.74,8.02,7.56,7.99,63436875.0,8.011000000000003,7.191166666666663,
83,2020-07-21,7.93,7.95,7.81,7.85,34112727.0,7.965000000000002,7.209666666666664,
84,2020-07-22,7.81,7.98,7.76,7.78,38230823.0,7.903000000000001,7.227666666666663,
85,2020-07-23,7.73,7.8,7.55,7.65,36565436.0,7.847000000000003,7.246166666666663,
86,2020-07-24,7.65,7.72,7.35,7.41,38236145.0,7.803000000000003,7.2643333333333295,
87,2020-07-27,7.41,7.5,7.21,7.33,40350366.0,7.748000000000003,7.276499999999996,
88,2020-07-28,7.36,7.54,7.36,7.45,28445301.0,7.693000000000003,7.292833333333329,
89,2020-07-29,7.42,7.63,7.37,7.58,26147314.0,7.668000000000004,7.3031666666666615,
90,2020-07-30,7.6,7.61,7.44,7.44,23134665.0,7.620000000000003,7.311166666666662,
91,2020-07-31,7.4,7.56,7.35,7.45,28509781.0,7.5930000000000035,7.320666666666662,
92,2020-08-03,7.53,7.7,7.51,7.58,31248231.0,7.552000000000004,7.335499999999995,
93,2020-08-04,7.59,7.86,7.5,7.79,67151325.0,7.546000000000005,7.351666666666662,
94,2020-08-05,7.7,7.71,7.55,7.63,31945746.0,7.531000000000004,7.367166666666662,
95,2020-08-06,7.64,7.71,7.55,7.68,22488476.0,7.534000000000003,7.384166666666662,
96,2020-08-07,7.64,7.81,7.57,7.75,38814723.0,7.568000000000003,7.402499999999995,
97,2020-08-10,7.71,7.85,7.62,7.79,33296281.0,7.614000000000004,7.42283333333333,
98,2020-08-11,7.75,8.34,7.75,7.94,80032987.0,7.663000000000004,7.44683333333333,
99,2020-08-12,7.93,8.3,7.92,8.12,80360150.0,7.717000000000004,7.47383333333333,
100,2020-08-13,8.05,8.25,7.91,8.17,47645350.0,7.7900000000000045,7.49833333333333,
101,2020-08-14,8.13,8.38,8.11,8.38,53008574.0,7.8830000000000044,7.524499999999997,
102,2020-08-17,8.45,8.9,8.45,8.77,93584405.0,8.002000000000004,7.55583333333333,
103,2020-08-18,8.65,8.77,8.53,8.76,49847969.0,8.099000000000004,7.5878333333333305,
104,2020-08-19,8.73,8.82,8.54,8.55,46716678.0,8.191000000000004,7.619833333333331,
105,2020-08-20,8.48,8.7,8.39,8.42,39828207.0,8.265000000000004,7.650166666666664,
106,2020-08-21,8.55,8.59,8.15,8.23,34231780.0,8.313000000000004,7.675666666666664,
107,2020-08-24,8.26,8.32,7.96,8.02,50102410.0,8.336000000000002,7.693166666666664,
108,2020-08-25,8.05,8.14,7.9,7.95,30547891.0,8.337000000000003,7.707333333333329,
109,2020-08-26,7.9,8.09,7.8,7.98,46597459.0,8.323000000000004,7.72133333333333,
