,date,open,high,low,close,volume,120,180,240
0,2018-11-13,10.12,10.36,10.1,10.25,107249762.0,,,
1,2018-11-14,10.24,10.26,10.13,10.15,77423985.0,,,
2,2018-11-15,10.15,10.35,10.13,10.33,90146198.0,,,
3,2018-11-16,10.32,10.43,10.2,10.28,105959259.0,,,
4,2018-11-19,10.28,10.58,10.28,10.55,136088709.0,,,
5,2018-11-20,10.46,10.5,10.23,10.28,103387753.0,,,
6,2018-11-21,10.21,10.38,10.19,10.32,66615733.0,,,
7,2018-11-22,10.38,10.38,10.19,10.26,50026785.0,,,
8,2018-11-23,10.24,10.29,10.03,10.04,70035815.0,,,
9,2018-11-26,10.06,10.17,10.02,10.06,51656911.0,,,
10,2018-11-27,10.07,10.11,9.88,9.9,73344838.0,,,
11,2018-11-28,9.89,10.03,9.88,10.0,53775145.0,,,
12,2018-11-29,10.07,10.11,9.91,9.92,48528405.0,,,
13,2018-11-30,9.94,10.08,9.89,10.08,59471532.0,,,
14,2018-12-03,10.3,10.37,10.18,10.3,106409717.0,,,
15,2018-12-04,10.28,10.33,10.24,10.3,53481305.0,,,
16,2018-12-05,10.2,10.22,10.12,10.16,58154527.0,,,
17,2018-12-06,10.08,10.09,9.95,9.97,57886648.0,,,
18,2018-12-07,10.02,10.11,9.99,10.0,34021615.0,,,
19,2018-12-10,9.94,9.99,9.85,9.89,49481887.0,,,
20,2018-12-11,9.93,9.98,9.89,9.95,29908962.0,,,
21,2018-12-12,10.02,10.04,9.92,9.96,36637903.0,,,
22,2018-12-13,9.97,10.19,9.92,10.11,79084521.0,,,
23,2018-12-14,10.06,10.07,9.88,9.89,52667513.0,,,
24,2018-12-17,9.88,10.05,9.82,10.01,57127487.0,,,
25,2018-12-18,9.92,10.04,9.82,9.84,53774430.0,,,
26,2018-12-19,9.86,9.9,9.63,9.67,59800701.0,,,
27,2018-12-20,9.65,9.7,9.37,9.44,99028479.0,,,
28,2018-12-21,9.41,9.43,9.07,9.19,100061676.0,,,
29,2018-12-24,9.14,9.19,9.06,9.16,50911767.0,,,
30,2018-12-25,9.04,9.17,8.96,9.08,58661545.0,,,
31,2018-12-26,9.09,9.16,9.02,9.05,42114060.0,,,
32,2018-12-27,9.19,9.23,9.03,9.03,62459327.0,,,
33,2018-12-28,9.06,9.2,9.06,9.12,57660400.0,,,
34,2019-01-02,9.13,9.16,8.91,8.94,53938632.0,,,
35,2019-01-03,8.93,9.07,8.9,9.03,41553795.0,,,
36,2019-01-04,8.99,9.55,8.97,9.48,148115906.0,,,
37,2019-01-07,9.57,9.58,9.37,9.47,86568766.0,,,
38,2019-01-08,9.46,9.47,9.36,9.4,40238811.0,,,
39,2019-01-09,9.47,9.8,9.43,9.67,123348636.0,,,
40,2019-01-10,9.6,9.92,9.59,9.82,107181766.0,,,
41,2019-01-11,9.83,9.94,9.77,9.92,69636455.0,,,
42,2019-01-14,9.94,9.97,9.79,9.83,50044359.0,,,
43,2019-01-15,9.83,10.0,9.81,9.96,54216055.0,,,
44,2019-01-16,9.96,10.21,9.95,10.19,97769937.0,,,
45,2019-01-17,10.25,10.28,9.89,9.97,88281192.0,,,
46,2019-01-18,10.06,10.2,10.0,10.14,73879326.0,,,
47,2019-01-21,10.06,10.18,10.04,10.06,65935576.0,,,
48,2019-01-22,10.06,10.15,9.98,10.0,42441357.0,,,
49,2019-01-23,10.01,10.18,10.01,10.07,53787663.0,,,
50,2019-01-24,10.12,10.26,10.09,10.23,67924088.0,,,
51,2019-01-25,10.27,10.74,10.26,10.7,210836185.0,,,
52,2019-01-28,10.74,10.83,10.58,10.64,103590980.0,,,
53,2019-01-29,10.66,10.77,10.48,10.7,82663110.0,,,
54,2019-01-30,10.65,10.87,10.56,10.65,71200101.0,,,
55,2019-01-31,10.68,10.89,10.64,10.8,83162275.0,,,
56,2019-02-01,10.89,10.94,10.66,10.89,101427007.0,,,
57,2019-02-11,10.78,10.9,10.67,10.9,80193663.0,,,
58,2019-02-12,10.89,11.0,10.73,10.88,95993690.0,,,
59,2019-02-13,10.88,11.1,10.82,11.07,113736574.0,,,
60,2019-02-14,10.99,11.02,10.88,10.94,86918519.0,,,
61,2019-02-15,10.92,10.92,10.6,10.65,110012746.0,,,
62,2019-02-18,10.75,11.05,10.74,11.05,125552221.0,,,
63,2019-02-19,11.05,11.3,10.93,10.96,127088204.0,,,
64,2019-02-20,11.02,11.21,10.94,11.1,83262987.0,,,
65,2019-02-21,11.07,11.23,10.97,11.05,75424648.0,,,
66,2019-02-22,11.04,11.25,10.84,11.22,118404779.0,,,
67,2019-02-25,11.38,12.29,11.25,12.21,282493502.0,,,
68,2019-02-26,12.21,12.23,11.82,11.87,201754493.0,,,
69,2019-02-27,11.9,12.31,11.82,12.06,197901388.0,,,
70,2019-02-28,12.1,12.26,11.93,12.02,111309980.0,,,
71,2019-03-01,12.14,12.43,11.87,12.41,171267916.0,,,
72,2019-03-04,12.35,13.01,12.27,12.63,245683039.0,,,
73,2019-03-05,12.56,12.93,12.49,12.7,140842222.0,,,
74,2019-03-06,12.7,12.79,12.49,12.72,124576020.0,,,
75,2019-03-07,12.7,12.7,12.21,12.39,178205731.0,,,
76,2019-03-08,12.15,12.35,11.91,11.96,177816210.0,,,
77,2019-03-11,11.96,12.15,11.72,11.98,115765077.0,,,
78,2019-03-12,12.15,12.29,11.9,12.02,141179492.0,,,
79,2019-03-13,12.0,12.21,11.8,12.03,126942716.0,,,
80,2019-03-14,11.99,12.27,11.93,12.09,105746790.0,,,
81,2019-03-15,12.0,12.33,12.0,12.16,104540603.0,,,
82,2019-03-18,12.19,12.59,11.98,12.56,148645480.0,,,
83,2019-03-19,12.57,12.59,12.26,12.44,95719646.0,,,
84,2019-03-20,12.33,12.53,12.27,12.4,92999638.0,,,
85,2019-03-21,12.42,12.45,12.24,12.34,86014080.0,,,
86,2019-03-22,12.34,12.39,12.16,12.25,71350206.0,,,
87,2019-03-25,12.06,12.06,11.77,11.78,117988326.0,,,
88,2019-03-26,11.9,11.95,11.68,11.77,93539327.0,,,
89,2019-03-27,11.9,12.13,11.85,12.04,92282680.0,,,
90,2019-03-28,11.97,11.97,11.77,11.89,73246744.0,,,
91,2019-03-29,11.92,12.47,11.88,12.47,166950647.0,,,
92,2019-04-01,12.48,13.18,12.48,12.82,195140119.0,,,
93,2019-04-02,12.92,13.11,12.87,12.99,110038404.0,,,
94,2019-04-03,12.85,13.08,12.79,13.07,79291579.0,,,
95,2019-04-04,13.06,13.62,13.06,13.48,203436500.0,,,
96,2019-04-08,13.52,14.03,13.34,13.58,174317620.0,,,
97,2019-04-09,13.49,13.6,13.37,13.43,78133238.0,,,
98,2019-04-10,13.37,13.5,13.03,13.35,94713506.0,,,
99,2019-04-11,13.35,13.58,13.12,13.17,65535662.0,,,
100,2019-04-12,13.12,13.22,12.85,13.05,77432464.0,,,
101,2019-04-15,13.34,13.7,13.29,13.32,153389068.0,,,
102,2019-04-16,13.3,14.18,13.18,14.18,237937518.0,,,
103,2019-04-17,14.03,14.19,13.84,13.96,100410987.0,,,
104,2019-04-18,13.91,13.98,13.72,13.95,50704530.0,,,
105,2019-04-19,14.05,14.39,13.91,14.33,124603609.0,,,
106,2019-04-22,14.2,14.43,13.69,13.76,132227390.0,,,
107,2019-04-23,13.71,13.81,13.59,13.68,94068734.0,,,
108,2019-04-24,14.05,14.2,13.77,14.04,194972363.0,,,
109,2019-04-25,13.99,14.24,13.74,13.74,111147637.0,,,
110,2019-04-26,13.69,13.86,13.32,13.41,100942124.0,,,
111,2019-04-29,13.52,13.94,13.48,13.71,103069575.0,,,
112,2019-04-30,13.61,13.67,13.22,13.47,111657027.0,,,
113,2019-05-06,12.74,12.98,12.36,12.52,210866784.0,,,
114,2019-05-07,12.67,12.73,12.37,12.6,107265841.0,,,
115,2019-05-08,12.37,12.56,12.16,12.25,97545081.0,,,
116,2019-05-09,12.18,12.24,11.72,11.83,155715161.0,,,
117,2019-05-10,12.0,12.4,11.77,12.33,119239908.0,,,
118,2019-05-13,11.99,12.2,11.9,11.96,74191779.0,,,
119,2019-05-14,11.87,12.4,11.83,12.15,118259819.0,11.268666666666666,,
120,2019-05-15,12.24,12.75,12.23,12.57,110398851.0,11.288,,
121,2019-05-16,12.58,12.63,12.43,12.5,63490143.0,11.307583333333332,,
122,2019-05-17,12.57,12.58,12.02,12.1,96500085.0,11.322333333333331,,
123,2019-05-20,12.01,12.2,11.91,12.04,78643518.0,11.336999999999998,,
124,2019-05-21,12.06,12.38,12.02,12.22,73121051.0,11.350916666666667,,
125,2019-05-22,12.23,12.23,11.98,12.06,50623072.0,11.365749999999998,,
126,2019-05-23,11.9,12.08,11.81,11.95,66685543.0,11.379333333333333,,
127,2019-05-24,12.01,12.11,11.97,12.01,49552620.0,11.393916666666666,,
128,2019-05-27,11.88,12.08,11.6,12.03,104842598.0,11.4105,,
129,2019-05-28,11.97,12.21,11.92,12.15,88070312.0,11.427916666666668,,
130,2019-05-29,12.02,12.25,11.92,12.06,66641150.0,11.445916666666667,,
131,2019-05-30,11.98,12.04,11.78,11.89,64628465.0,11.461666666666668,,
132,2019-05-31,11.83,12.06,11.78,11.85,68679439.0,11.477749999999999,,
133,2019-06-03,11.89,11.99,11.5,11.57,151271905.0,11.490166666666665,,
134,2019-06-04,11.56,11.61,11.28,11.53,97465534.0,11.500416666666666,,
135,2019-06-05,11.64,11.81,11.59,11.64,74889231.0,11.511583333333334,,
136,2019-06-06,11.64,11.74,11.56,11.59,43366526.0,11.5235,,
137,2019-06-10,11.68,12.13,11.65,12.0,114466882.0,11.540416666666665,,
138,2019-06-11,12.0,12.37,11.96,12.3,125108751.0,11.559583333333332,,
139,2019-06-12,12.28,12.31,12.1,12.23,65731018.0,11.579083333333331,,
140,2019-06-13,12.2,12.33,12.09,12.25,53000026.0,11.598249999999998,,
141,2019-06-14,12.25,12.34,12.11,12.15,48319173.0,11.616499999999998,,
142,2019-06-17,12.14,12.44,12.14,12.32,61981588.0,11.634916666666665,,
143,2019-06-18,12.32,12.5,12.25,12.45,48355512.0,11.656249999999998,,
144,2019-06-19,12.93,13.02,12.65,12.71,114322639.0,11.678749999999999,,
145,2019-06-20,12.81,13.57,12.76,13.42,152919147.0,11.708583333333333,,
146,2019-06-21,13.38,13.49,13.21,13.27,101112915.0,11.738583333333333,,
147,2019-06-24,13.32,13.45,13.24,13.32,65957285.0,11.770916666666665,,
148,2019-06-25,13.34,13.34,12.71,13.06,146922707.0,11.803166666666664,,
149,2019-06-26,13.05,13.27,12.97,13.15,54650476.0,11.836416666666663,,
150,2019-06-27,13.27,13.62,13.22,13.48,92507494.0,11.873083333333332,,
151,2019-06-28,13.5,13.56,13.35,13.55,49809369.0,11.910583333333332,,
152,2019-07-01,13.78,13.94,13.64,13.7,96063600.0,11.949499999999999,,
153,2019-07-02,13.65,14.0,13.63,13.94,105274486.0,11.989666666666666,,
154,2019-07-03,13.94,13.97,13.64,13.78,76907849.0,12.03,,
155,2019-07-04,13.78,14.04,13.65,13.76,62129252.0,12.069416666666665,,
156,2019-07-05,13.72,13.75,13.46,13.69,74919609.0,12.1045,,
157,2019-07-08,13.59,13.65,13.22,13.36,77841390.0,12.136916666666666,,
158,2019-07-09,13.4,13.48,13.21,13.36,49429611.0,12.169916666666664,,
159,2019-07-10,13.38,13.47,13.26,13.33,35822079.0,12.200416666666662,,
160,2019-07-11,13.45,13.55,13.3,13.31,48418314.0,12.229499999999996,,
161,2019-07-12,13.37,13.99,13.35,13.88,146536652.0,12.262499999999996,,
162,2019-07-15,13.79,13.88,13.61,13.77,84128276.0,12.29533333333333,,
163,2019-07-16,13.74,13.76,13.48,13.52,72278079.0,12.324999999999996,,
164,2019-07-17,13.47,13.58,13.38,13.46,41002063.0,12.352249999999996,,
165,2019-07-18,13.42,13.58,13.33,13.44,42282622.0,12.381166666666664,,
166,2019-07-19,13.51,13.84,13.45,13.76,86639070.0,12.411333333333328,,
167,2019-07-22,13.73,13.78,13.53,13.62,58228330.0,12.440999999999995,,
168,2019-07-23,13.63,13.64,13.42,13.53,50400423.0,12.470416666666662,,
169,2019-07-24,13.64,13.78,13.56,13.65,57027622.0,12.500249999999996,,
170,2019-07-25,13.69,14.03,13.62,13.96,108782641.0,12.531333333333329,,
171,2019-07-26,13.94,14.01,13.84,13.99,63530571.0,12.558749999999996,,
172,2019-07-29,14.01,14.21,13.94,14.05,71557619.0,12.587166666666661,,
173,2019-07-30,14.07,14.31,14.05,14.13,79663432.0,12.615749999999995,,
174,2019-07-31,14.06,14.08,13.84,13.89,63472348.0,12.642749999999996,,
