,date,open,high,low,close,volume,120,180,240
0,2020-02-11,40.6,74.88,40.29,51.57,28042741.0,,,
1,2020-02-12,45.45,52.9,43.62,52.8,17076327.0,,,
2,2020-02-13,51.23,52.31,47.09,47.59,12472717.0,,,
3,2020-02-14,45.53,49.09,44.25,44.75,9721580.0,,,
4,2020-02-17,44.74,50.67,43.84,48.55,13710199.0,,,
5,2020-02-18,48.61,48.61,45.73,46.68,10928501.0,,,
6,2020-02-19,46.88,48.33,45.16,45.62,8793467.0,,,
7,2020-02-20,45.53,46.76,43.98,44.59,6544538.0,,,
8,2020-02-21,44.47,44.47,42.2,42.26,7471548.0,,,
9,2020-02-24,41.37,42.71,40.93,42.39,4422643.0,,,
10,2020-02-25,40.81,42.97,40.81,42.62,4614476.0,,,
11,2020-02-26,41.73,45.31,41.73,43.7,9062284.0,,,
12,2020-02-27,42.82,43.69,40.5,40.5,6722452.0,,,
13,2020-02-28,38.52,39.14,36.26,36.47,6642925.0,,,
14,2020-03-02,36.25,38.75,36.25,38.15,4365544.0,,,
15,2020-03-03,38.83,39.63,37.6,37.78,4822534.0,,,
16,2020-03-04,37.11,40.15,36.91,39.95,5947675.0,,,
17,2020-03-05,40.6,40.74,39.12,39.34,3958506.0,,,
18,2020-03-06,38.77,39.39,38.28,38.83,2773425.0,,,
19,2020-03-09,37.9,38.29,36.51,36.59,3415169.0,,,
20,2020-03-10,35.27,37.21,34.88,37.01,3649437.0,,,
21,2020-03-11,37.12,37.57,35.85,35.9,2570502.0,,,
22,2020-03-12,35.35,35.46,34.52,34.64,2408839.0,,,
23,2020-03-13,32.8,33.7,31.56,32.94,3362477.0,,,
24,2020-03-16,33.23,33.89,31.69,31.76,2628247.0,,,
25,2020-03-17,32.34,32.54,29.84,31.09,2505213.0,,,
26,2020-03-18,31.47,31.87,30.05,30.07,2242939.0,,,
27,2020-03-19,30.16,30.76,29.44,30.61,2460139.0,,,
28,2020-03-20,30.69,31.83,30.69,31.46,2440375.0,,,
29,2020-03-23,30.88,30.88,29.59,29.67,2009394.0,,,
30,2020-03-24,30.2,30.62,29.5,30.56,1614478.0,,,
31,2020-03-25,31.17,32.51,31.17,31.73,2819314.0,,,
32,2020-03-26,31.11,31.68,30.78,30.81,1690298.0,,,
33,2020-03-27,31.3,31.68,30.4,30.52,1489743.0,,,
34,2020-03-30,30.13,30.47,29.08,29.55,1845442.0,,,
35,2020-03-31,30.09,30.1,29.09,29.18,1120808.0,,,
36,2020-04-01,29.22,29.84,29.13,29.34,1030454.0,,,
37,2020-04-02,29.31,30.3,29.17,30.23,1278836.0,,,
38,2020-04-03,30.13,30.46,29.62,29.65,1203475.0,,,
39,2020-04-07,30.46,30.77,30.19,30.56,1613052.0,,,
40,2020-04-08,30.41,31.98,30.23,31.94,2587696.0,,,
41,2020-04-09,32.35,32.59,31.39,31.5,2258931.0,,,
