,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.5,5.92,5.5,5.82,13081907.0,,,
1,2018-11-14,5.82,5.88,5.78,5.82,6243154.0,,,
2,2018-11-15,5.83,5.91,5.83,5.91,6378802.0,,,
3,2018-11-16,5.91,6.28,5.85,6.22,12239464.0,,,
4,2018-11-19,6.23,6.23,6.05,6.15,9031815.0,,,
5,2018-11-20,6.11,6.14,5.84,5.92,8277675.0,,,
6,2018-11-21,5.85,5.97,5.82,5.94,4435899.0,,,
7,2018-11-22,5.98,6.02,5.88,5.89,5211843.0,,,
8,2018-11-23,5.88,5.94,5.67,5.68,6749772.0,,,
9,2018-11-26,5.71,5.77,5.64,5.69,3964401.0,,,
10,2018-11-27,5.74,5.85,5.74,5.78,4767093.0,,,
11,2018-11-28,5.78,5.89,5.75,5.89,4328419.0,,,
12,2018-11-29,5.9,5.94,5.64,5.72,5371982.0,,,
13,2018-11-30,5.69,5.75,5.62,5.7,3520895.0,,,
14,2018-12-03,5.81,5.96,5.81,5.92,6002004.0,,,
15,2018-12-04,5.92,5.99,5.88,5.95,3944161.0,,,
16,2018-12-05,5.83,5.96,5.8,5.91,3084296.0,,,
17,2018-12-06,5.88,5.91,5.76,5.81,3019008.0,,,
18,2018-12-07,5.81,5.86,5.78,5.82,1659983.0,,,
19,2018-12-10,5.81,5.84,5.71,5.74,2724439.0,,,
20,2018-12-11,5.76,5.79,5.7,5.77,2071617.0,,,
21,2018-12-12,5.77,5.84,5.74,5.77,2411426.0,,,
22,2018-12-13,5.8,5.86,5.7,5.79,5786973.0,,,
23,2018-12-14,5.79,5.83,5.6,5.61,5225378.0,,,
24,2018-12-17,5.62,5.63,5.51,5.55,3810617.0,,,
25,2018-12-18,5.54,5.55,5.45,5.5,3214653.0,,,
26,2018-12-19,5.52,5.55,5.43,5.45,1897090.0,,,
27,2018-12-20,5.44,5.49,5.38,5.42,4011692.0,,,
28,2018-12-21,5.42,5.42,5.34,5.37,2254533.0,,,
29,2018-12-24,5.35,5.41,5.34,5.39,2070901.0,,,
30,2018-12-25,5.35,5.35,5.2,5.28,4538287.0,,,
31,2018-12-26,5.26,5.35,5.25,5.35,4214705.0,,,
32,2018-12-27,5.39,5.41,5.27,5.27,2973782.0,,,
33,2018-12-28,5.28,5.31,5.23,5.3,2401901.0,,,
34,2019-01-02,5.3,5.32,5.25,5.27,2228871.0,,,
35,2019-01-03,5.28,5.34,5.25,5.29,2048667.0,,,
36,2019-01-04,5.26,5.42,5.26,5.4,3973599.0,,,
37,2019-01-07,5.43,5.46,5.41,5.46,4109223.0,,,
38,2019-01-08,5.46,5.46,5.41,5.44,3291400.0,,,
39,2019-01-09,5.44,5.57,5.43,5.49,5582644.0,,,
40,2019-01-10,5.49,5.55,5.45,5.47,3792400.0,,,
41,2019-01-11,5.48,5.56,5.45,5.56,3548410.0,,,
42,2019-01-14,5.55,5.59,5.5,5.52,3019827.0,,,
43,2019-01-15,5.53,5.68,5.5,5.66,5150455.0,,,
44,2019-01-16,5.63,5.66,5.54,5.59,4097582.0,,,
45,2019-01-17,5.57,5.59,5.5,5.52,3320488.0,,,
46,2019-01-18,5.53,5.56,5.45,5.54,4244806.0,,,
47,2019-01-21,5.55,5.58,5.52,5.57,3603725.0,,,
48,2019-01-22,5.56,5.56,5.46,5.49,2827424.0,,,
49,2019-01-23,5.46,5.78,5.44,5.73,11146796.0,,,
50,2019-01-24,5.84,5.93,5.66,5.67,17432900.0,,,
51,2019-01-25,5.65,5.69,5.56,5.59,10487444.0,,,
52,2019-01-28,5.64,5.64,5.51,5.54,5415409.0,,,
53,2019-01-29,5.35,5.35,5.11,5.23,11078547.0,,,
54,2019-01-30,5.22,5.24,5.13,5.17,3804462.0,,,
55,2019-01-31,5.18,5.23,5.13,5.16,3082738.0,,,
56,2019-02-01,5.17,5.28,5.17,5.27,2675028.0,,,
