,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.07,6.39,6.04,6.29,13351285.0,,,
1,2018-11-14,6.29,6.48,6.26,6.29,12142922.0,,,
2,2018-11-15,6.33,6.42,6.28,6.4,9894975.0,,,
3,2018-11-16,6.4,6.59,6.3,6.56,16561330.0,,,
4,2018-11-19,6.57,6.71,6.46,6.67,12597655.0,,,
5,2018-11-20,6.61,7.02,6.45,6.46,10413000.0,,,
6,2018-11-21,6.41,6.51,6.32,6.46,7397983.0,,,
7,2018-11-22,6.49,6.84,6.46,6.55,7583000.0,,,
8,2018-11-23,6.59,6.59,6.26,6.41,9510970.0,,,
9,2018-11-26,6.41,6.41,6.28,6.34,4640700.0,,,
10,2018-11-27,6.36,6.39,6.27,6.31,3554900.0,,,
11,2018-11-28,6.35,6.46,6.11,6.44,6585886.0,,,
12,2018-11-29,6.41,6.42,6.07,6.16,6810285.0,,,
13,2018-11-30,6.12,6.23,6.01,6.16,5415566.0,,,
14,2018-12-03,6.24,6.41,6.2,6.36,6422335.0,,,
15,2018-12-04,6.33,6.43,6.31,6.39,5222000.0,,,
16,2018-12-05,6.26,6.47,6.16,6.46,8475665.0,,,
17,2018-12-06,6.44,6.47,6.26,6.27,4541650.0,,,
18,2018-12-07,6.24,6.44,6.09,6.09,5873322.0,,,
19,2018-12-10,6.05,6.08,5.93,6.06,3443815.0,,,
20,2018-12-11,6.05,6.05,6.01,6.04,2366825.0,,,
21,2018-12-12,6.04,6.07,5.99,6.02,1876500.0,,,
22,2018-12-13,6.03,6.16,5.96,6.08,3156850.0,,,
23,2018-12-14,6.08,6.08,5.97,6.04,2300503.0,,,
24,2018-12-17,6.01,6.03,5.9,5.97,1813354.0,,,
25,2018-12-18,5.97,6.04,5.94,5.98,1708929.0,,,
26,2018-12-19,5.99,5.99,5.88,5.97,1874400.0,,,
27,2018-12-20,5.94,6.01,5.9,6.01,2943364.0,,,
28,2018-12-21,5.99,5.99,5.91,5.96,2531626.0,,,
29,2018-12-24,5.94,5.98,5.88,5.97,6264672.0,,,
30,2018-12-25,5.91,5.97,5.67,5.92,4819567.0,,,
31,2018-12-26,5.86,5.94,5.81,5.92,2395996.0,,,
32,2018-12-27,5.93,5.96,5.85,5.85,4035350.0,,,
33,2018-12-28,5.86,5.88,5.79,5.86,2239400.0,,,
34,2019-01-02,5.86,5.89,5.81,5.82,927055.0,,,
35,2019-01-03,5.81,5.84,5.76,5.81,1586300.0,,,
36,2019-01-04,5.78,6.05,5.71,5.92,5081306.0,,,
37,2019-01-07,5.91,5.95,5.87,5.91,4989500.0,,,
38,2019-01-08,5.89,5.9,5.78,5.83,5049549.0,,,
39,2019-01-09,5.84,5.89,5.79,5.83,4516923.0,,,
40,2019-01-10,5.82,5.86,5.74,5.82,6078080.0,,,
41,2019-01-11,5.8,5.83,5.76,5.82,4512500.0,,,
42,2019-01-14,5.81,5.81,5.75,5.81,3324350.0,,,
43,2019-01-15,5.8,5.82,5.73,5.78,4985588.0,,,
44,2019-01-16,5.78,5.93,5.75,5.89,11498088.0,,,
45,2019-01-17,5.93,6.09,5.89,6.0,17043515.0,,,
46,2019-01-18,6.05,6.09,5.82,5.87,15948492.0,,,
47,2019-01-21,5.86,5.94,5.77,5.84,7423688.0,,,
48,2019-01-22,5.84,5.84,5.73,5.73,4679700.0,,,
49,2019-01-23,5.7,5.78,5.52,5.54,10511050.0,,,
50,2019-01-24,5.56,5.56,5.27,5.34,12018242.0,,,
51,2019-01-25,5.32,5.35,5.2,5.2,7650201.0,,,
52,2019-01-28,5.22,5.24,5.18,5.21,4740772.0,,,
53,2019-01-29,5.2,5.22,4.89,5.21,8627460.0,,,
54,2019-01-30,5.16,5.18,5.07,5.16,4569296.0,,,
55,2019-01-31,5.12,5.16,4.95,5.08,6173385.0,,,
56,2019-02-01,5.07,5.22,5.07,5.19,4132993.0,,,
57,2019-02-11,5.2,5.23,5.14,5.22,8288007.0,,,
58,2019-02-12,5.21,5.37,5.21,5.36,9046582.0,,,
59,2019-02-13,5.35,5.4,5.28,5.37,8488445.0,,,
60,2019-02-14,5.35,5.39,5.33,5.37,5919095.0,,,
61,2019-02-15,5.36,5.43,5.32,5.38,6070344.0,,,
62,2019-02-18,5.41,5.58,5.39,5.54,8630223.0,,,
63,2019-02-19,5.54,5.61,5.42,5.52,8530345.0,,,
64,2019-02-20,5.51,5.61,5.46,5.58,8891122.0,,,
65,2019-02-21,5.57,5.66,5.5,5.52,9540954.0,,,
66,2019-02-22,5.48,5.61,5.48,5.6,7048145.0,,,
67,2019-02-25,5.63,5.83,5.58,5.82,12977446.0,,,
68,2019-02-26,5.81,6.04,5.76,5.92,17964661.0,,,
69,2019-02-27,5.94,5.98,5.82,5.89,9969362.0,,,
70,2019-02-28,5.91,6.03,5.88,5.96,7757306.0,,,
71,2019-03-01,5.99,6.01,5.84,5.94,7576417.0,,,
72,2019-03-04,5.94,6.09,5.92,6.0,13255923.0,,,
73,2019-03-05,6.01,6.22,5.97,6.22,13029345.0,,,
74,2019-03-06,6.25,6.49,6.15,6.48,15170776.0,,,
75,2019-03-07,6.49,6.79,6.43,6.62,17679983.0,,,
76,2019-03-08,6.49,6.67,6.35,6.38,15066461.0,,,
77,2019-03-11,6.43,6.64,6.39,6.63,11304863.0,,,
78,2019-03-12,6.73,6.95,6.64,6.81,17056070.0,,,
79,2019-03-13,6.81,6.9,6.62,6.69,9042896.0,,,
80,2019-03-14,6.74,6.76,6.39,6.5,8237637.0,,,
81,2019-03-15,6.58,6.63,6.39,6.48,6029764.0,,,
82,2019-03-18,6.54,6.72,6.47,6.69,6859353.0,,,
83,2019-03-19,6.72,6.72,6.51,6.59,6080251.0,,,
