,date,open,high,low,close,volume,120,180,240
0,2018-11-13,34.25,35.1,34.08,34.84,3818307.0,,,
1,2018-11-14,34.67,35.99,34.67,35.24,4427920.0,,,
2,2018-11-15,35.35,37.54,35.33,37.05,6711590.0,,,
3,2018-11-16,36.98,37.65,36.59,36.91,5077465.0,,,
4,2018-11-19,36.87,37.86,36.74,37.26,3635564.0,,,
5,2018-11-20,36.84,36.98,35.68,35.84,3538079.0,,,
6,2018-11-21,35.23,36.26,35.06,36.09,2705349.0,,,
7,2018-11-22,36.01,37.13,36.01,36.7,3138476.0,,,
8,2018-11-23,36.59,36.87,35.41,35.61,2565017.0,,,
9,2018-11-26,35.55,36.11,34.92,35.11,2112857.0,,,
10,2018-11-27,35.35,35.54,34.84,35.11,1678946.0,,,
11,2018-11-28,35.04,35.65,34.43,35.65,1993859.0,,,
12,2018-11-29,35.89,35.95,33.68,33.73,2907918.0,,,
13,2018-11-30,33.38,33.84,33.0,33.74,1803904.0,,,
14,2018-12-03,34.48,35.43,34.17,35.36,3214600.0,,,
15,2018-12-04,35.05,35.41,34.86,35.38,2223671.0,,,
16,2018-12-05,34.64,35.93,34.5,35.76,2599240.0,,,
17,2018-12-06,35.41,36.34,34.58,34.61,3423147.0,,,
18,2018-12-07,34.47,34.94,33.84,33.99,2570975.0,,,
19,2018-12-10,33.48,33.66,33.11,33.42,1895298.0,,,
20,2018-12-11,33.39,33.7,33.13,33.55,1278068.0,,,
21,2018-12-12,33.66,33.81,33.39,33.43,1278588.0,,,
22,2018-12-13,33.68,33.96,33.39,33.66,1481016.0,,,
23,2018-12-14,33.66,33.67,32.49,32.56,1827927.0,,,
24,2018-12-17,32.13,32.84,32.12,32.8,1145128.0,,,
25,2018-12-18,32.58,32.78,32.17,32.51,1027756.0,,,
26,2018-12-19,32.53,32.7,32.0,32.0,1244489.0,,,
27,2018-12-20,31.87,32.51,31.75,32.28,1111104.0,,,
28,2018-12-21,32.39,32.41,31.93,32.26,909647.0,,,
29,2018-12-24,32.28,32.95,32.05,32.89,2199607.0,,,
30,2018-12-25,32.51,32.82,31.84,32.67,1928109.0,,,
31,2018-12-26,32.76,33.28,32.61,32.61,1725486.0,,,
32,2018-12-27,33.12,33.27,31.96,31.98,1536773.0,,,
33,2018-12-28,32.1,32.24,31.24,31.24,1665809.0,,,
34,2019-01-02,31.05,31.24,30.25,30.36,1565562.0,,,
35,2019-01-03,30.33,30.62,29.59,29.59,1682748.0,,,
36,2019-01-04,29.19,30.27,29.03,30.12,1799499.0,,,
37,2019-01-07,30.17,30.35,29.9,30.23,1703578.0,,,
38,2019-01-08,30.17,30.21,29.7,29.83,1286891.0,,,
39,2019-01-09,29.94,30.44,29.79,29.92,1687483.0,,,
40,2019-01-10,29.89,30.13,29.66,29.75,1202148.0,,,
41,2019-01-11,29.66,30.85,29.49,30.69,2911966.0,,,
42,2019-01-14,30.76,30.77,29.95,29.99,1971258.0,,,
43,2019-01-15,29.98,30.41,29.74,30.22,1326834.0,,,
44,2019-01-16,30.23,30.58,30.15,30.38,1411906.0,,,
45,2019-01-17,30.32,30.42,29.74,29.83,1202859.0,,,
46,2019-01-18,29.84,30.73,29.83,30.57,2019931.0,,,
47,2019-01-21,30.73,30.77,30.4,30.44,1420963.0,,,
48,2019-01-22,30.39,31.39,30.38,30.85,2308573.0,,,
49,2019-01-23,30.71,30.98,30.48,30.88,1324471.0,,,
50,2019-01-24,30.94,31.63,30.76,31.44,2216461.0,,,
51,2019-01-25,31.3,31.49,30.46,30.47,1766077.0,,,
52,2019-01-28,30.61,30.85,29.68,29.83,1651700.0,,,
53,2019-01-29,29.76,29.82,28.52,28.99,1633968.0,,,
54,2019-01-30,28.92,29.33,28.79,28.95,848300.0,,,
55,2019-01-31,29.0,29.17,28.21,28.26,1385000.0,,,
56,2019-02-01,28.55,29.19,28.53,29.11,980780.0,,,
57,2019-02-11,29.13,29.93,29.04,29.87,1268880.0,,,
58,2019-02-12,29.99,31.1,29.71,30.54,2401323.0,,,
59,2019-02-13,30.43,30.9,30.12,30.79,2251478.0,,,
60,2019-02-14,30.7,31.23,30.54,30.98,1927334.0,,,
61,2019-02-15,30.98,31.06,30.66,30.76,1317060.0,,,
62,2019-02-18,30.95,31.68,30.92,31.68,2218802.0,,,
63,2019-02-19,31.7,31.95,31.32,31.56,2350263.0,,,
64,2019-02-20,31.63,31.78,31.33,31.56,1399487.0,,,
65,2019-02-21,31.51,33.11,31.49,31.94,3667008.0,,,
66,2019-02-22,32.03,33.34,32.01,33.04,2905717.0,,,
67,2019-02-25,33.16,34.55,32.71,34.29,5464734.0,,,
68,2019-02-26,34.05,35.32,33.7,33.94,4212533.0,,,
69,2019-02-27,33.79,34.28,33.43,33.62,2448962.0,,,
70,2019-02-28,33.68,34.41,33.63,33.99,1937288.0,,,
71,2019-03-01,34.16,34.55,33.87,34.2,1787864.0,,,
72,2019-03-04,34.55,35.31,34.32,34.56,3668593.0,,,
73,2019-03-05,34.24,35.13,34.23,34.96,2502336.0,,,
74,2019-03-06,35.03,35.21,34.56,35.1,2839909.0,,,
75,2019-03-07,35.1,37.57,35.1,36.72,4567619.0,,,
76,2019-03-08,36.11,36.48,34.55,34.55,3113140.0,,,
