,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.05,4.13,3.89,3.92,15780028.0,,,
1,2020-03-19,3.9,4.31,3.89,4.27,65133392.0,,,
2,2020-03-20,4.14,4.33,4.12,4.31,56433629.0,,,
3,2020-03-23,4.17,4.59,4.14,4.38,55081795.0,,,
4,2020-03-24,4.46,4.82,4.35,4.57,89028399.0,,,
5,2020-03-25,4.5,4.59,4.38,4.41,62019696.0,,,
6,2020-03-26,4.3,4.33,4.16,4.17,35914260.0,,,
7,2020-03-27,4.19,4.25,4.07,4.08,22864099.0,,,
8,2020-03-30,4.0,4.03,3.88,4.0,20258808.0,,,
9,2020-03-31,4.04,4.08,3.88,3.88,13812123.0,4.199,,
10,2020-04-01,3.84,3.99,3.79,3.86,13747596.0,4.193,,
11,2020-04-02,3.83,4.25,3.79,4.25,14324037.0,4.191,,
12,2020-04-03,4.68,4.68,4.51,4.68,134509513.0,4.228,,
13,2020-04-07,4.65,5.15,4.55,5.15,120449322.0,4.304999999999999,,
14,2020-04-08,5.1,5.45,4.86,5.0,157718194.0,4.347999999999999,,
15,2020-04-09,4.82,5.1,4.54,5.1,97030636.0,4.416999999999999,,
16,2020-04-10,5.02,5.19,4.66,4.67,72982570.0,4.466999999999999,,
17,2020-04-13,4.78,5.14,4.58,5.14,92283657.0,4.572999999999999,,
18,2020-04-14,5.0,5.41,4.92,5.14,109077340.0,4.686999999999999,,
19,2020-04-15,5.07,5.16,4.92,4.97,61921126.0,4.7959999999999985,,
20,2020-04-16,4.84,4.9,4.67,4.72,52157422.0,4.881999999999999,,
21,2020-04-17,4.76,5.19,4.68,5.19,59225870.0,4.975999999999998,,
22,2020-04-20,5.28,5.34,5.03,5.21,85772350.0,5.028999999999998,,
23,2020-04-21,5.13,5.64,5.04,5.22,92685902.0,5.035999999999999,,
24,2020-04-22,5.1,5.55,4.95,5.44,89224435.0,5.079999999999998,,
25,2020-04-23,5.38,5.65,5.2,5.33,80993848.0,5.102999999999998,,
26,2020-04-24,5.2,5.28,4.9,4.99,56472796.0,5.134999999999998,,
27,2020-04-27,4.91,4.97,4.49,4.49,52893452.0,5.0699999999999985,,
28,2020-04-28,4.36,4.54,4.25,4.52,35216307.0,5.007999999999998,,
29,2020-04-29,4.52,4.55,4.28,4.3,26472470.0,4.940999999999998,,
