,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.68,5.82,5.6,5.62,7786800.0,,,
1,2020-03-19,5.59,5.69,5.54,5.69,6187104.0,,,
2,2020-03-20,5.75,5.79,5.65,5.75,5148400.0,,,
3,2020-03-23,5.54,5.63,5.46,5.48,7389200.0,,,
4,2020-03-24,5.6,5.6,5.38,5.54,5560102.0,,,
5,2020-03-25,5.65,5.68,5.59,5.64,5966649.0,,,
6,2020-03-26,5.64,5.65,5.53,5.54,4144247.0,,,
7,2020-03-27,5.63,5.66,5.55,5.61,4577298.0,,,
8,2020-03-30,5.53,5.57,5.38,5.44,5681998.0,,,
9,2020-03-31,5.47,5.53,5.41,5.42,3580936.0,5.5729999999999995,,
10,2020-04-01,5.44,5.45,5.28,5.3,6078900.0,5.5409999999999995,,
11,2020-04-02,5.3,5.43,5.24,5.42,3783403.0,5.514,,
12,2020-04-03,5.64,5.96,5.64,5.71,17990010.0,5.51,,
13,2020-04-07,5.78,5.86,5.72,5.82,11819903.0,5.544,,
14,2020-04-08,5.8,6.14,5.77,6.07,16139013.0,5.5969999999999995,,
15,2020-04-09,6.1,6.13,6.03,6.05,9699900.0,5.638,,
16,2020-04-10,5.98,6.06,5.8,5.85,10098917.0,5.669,,
17,2020-04-13,5.87,5.9,5.75,5.77,5302002.0,5.685,,
18,2020-04-14,5.79,5.84,5.74,5.83,4111606.0,5.723999999999999,,
19,2020-04-15,5.82,5.84,5.74,5.75,4410502.0,5.757,,
20,2020-04-16,5.75,5.77,5.71,5.74,3531604.0,5.801,,
21,2020-04-17,5.76,5.8,5.69,5.7,4663100.0,5.829,,
22,2020-04-20,5.7,5.75,5.7,5.74,3937400.0,5.832,,
23,2020-04-21,5.73,5.81,5.7,5.8,5170310.0,5.83,,
24,2020-04-22,5.79,6.01,5.74,5.96,11207208.0,5.819000000000001,,
25,2020-04-23,5.92,5.97,5.85,5.91,6755900.0,5.8050000000000015,,
26,2020-04-24,5.91,5.92,5.74,5.78,5241296.0,5.798000000000001,,
27,2020-04-27,5.77,5.78,5.56,5.58,6323597.0,5.779000000000001,,
28,2020-04-28,5.61,5.64,5.31,5.49,6283096.0,5.745000000000001,,
29,2020-04-29,5.44,5.59,5.44,5.54,3360608.0,5.724000000000001,,
30,2020-04-30,5.54,5.67,5.54,5.65,3754900.0,5.715000000000001,,
31,2020-05-06,5.63,5.72,5.57,5.7,3536602.0,5.715000000000001,,
32,2020-05-07,5.71,5.75,5.67,5.68,3428200.0,5.7090000000000005,,
