,date,open,high,low,close,volume,120,180,240
0,2018-11-13,27.2,28.08,27.13,27.95,1438403.0,,,
1,2018-11-14,27.95,28.1,27.77,27.83,1001758.0,,,
2,2018-11-15,27.91,28.15,27.81,28.09,1374448.0,,,
3,2018-11-16,28.12,28.5,28.12,28.37,1227106.0,,,
4,2018-11-19,28.32,28.62,28.18,28.33,1450462.0,,,
5,2018-11-20,28.18,28.28,27.52,27.55,1164394.0,,,
6,2018-11-21,27.33,27.62,27.25,27.53,1003989.0,,,
7,2018-11-22,27.64,27.69,27.23,27.52,802180.0,,,
8,2018-11-23,27.57,27.61,26.68,26.69,1119110.0,,,
9,2018-11-26,26.69,26.83,26.0,26.22,1007647.0,,,
10,2018-11-27,26.35,26.44,26.17,26.36,470533.0,,,
11,2018-11-28,26.36,26.51,26.02,26.49,936851.0,,,
12,2018-11-29,26.62,26.89,26.04,26.12,1444237.0,,,
13,2018-11-30,26.13,26.56,25.98,26.39,1464111.0,,,
14,2018-12-03,26.89,27.3,26.52,27.13,3850306.0,,,
15,2018-12-04,27.06,27.08,26.77,27.0,1415926.0,,,
16,2018-12-05,26.65,27.06,26.43,26.78,1642164.0,,,
17,2018-12-06,26.65,26.74,26.27,26.38,1335166.0,,,
18,2018-12-07,26.41,26.61,26.34,26.38,666822.0,,,
19,2018-12-10,26.34,26.44,26.18,26.23,684605.0,,,
20,2018-12-11,26.23,26.47,26.06,26.17,864717.0,,,
21,2018-12-12,26.19,27.32,26.19,27.28,2756454.0,,,
22,2018-12-13,27.38,27.41,26.89,27.18,2103818.0,,,
23,2018-12-14,27.13,27.14,26.57,26.65,1561052.0,,,
24,2018-12-17,26.57,26.74,26.23,26.45,1155633.0,,,
25,2018-12-18,26.2,26.5,25.99,26.36,1092417.0,,,
26,2018-12-19,26.29,26.51,26.16,26.22,762042.0,,,
27,2018-12-20,26.14,26.7,26.08,26.58,1004240.0,,,
28,2018-12-21,26.54,26.54,26.16,26.31,708826.0,,,
29,2018-12-24,26.27,26.46,26.17,26.35,803523.0,,,
30,2018-12-25,26.12,26.16,25.4,25.63,1918805.0,,,
31,2018-12-26,25.63,25.7,25.08,25.08,1290190.0,,,
32,2018-12-27,25.35,25.63,25.03,25.03,1019284.0,,,
33,2018-12-28,25.19,25.25,24.83,25.02,1013528.0,,,
34,2019-01-02,25.04,25.2,24.63,24.73,878013.0,,,
35,2019-01-03,24.75,24.94,24.18,24.24,1145650.0,,,
36,2019-01-04,24.06,24.6,23.91,24.58,1367411.0,,,
37,2019-01-07,24.78,25.11,24.64,25.09,1462093.0,,,
38,2019-01-08,24.92,25.01,24.78,24.85,825827.0,,,
39,2019-01-09,24.87,25.34,24.87,24.93,1420339.0,,,
40,2019-01-10,24.88,25.08,24.8,24.92,770659.0,,,
41,2019-01-11,25.02,25.17,24.92,25.1,820944.0,,,
42,2019-01-14,25.14,25.14,24.68,24.71,828435.0,,,
43,2019-01-15,24.83,25.8,24.69,25.71,2250740.0,,,
44,2019-01-16,25.65,25.65,25.15,25.42,1877326.0,,,
