,date,open,high,low,close,volume,10,60,250
0,2020-03-18,3.19,3.23,3.02,3.05,45042636.0,,,
1,2020-03-19,3.04,3.24,2.98,3.15,51329220.0,,,
2,2020-03-20,3.19,3.36,3.16,3.27,57835450.0,,,
3,2020-03-23,3.13,3.32,3.09,3.16,43428389.0,,,
4,2020-03-24,3.21,3.27,3.09,3.21,39065000.0,,,
5,2020-03-25,3.28,3.37,3.24,3.28,42530220.0,,,
6,2020-03-26,3.26,3.28,3.16,3.17,28728650.0,,,
7,2020-03-27,3.23,3.24,3.07,3.08,31236800.0,,,
8,2020-03-30,3.02,3.05,2.85,2.95,30245063.0,,,
9,2020-03-31,2.99,3.01,2.85,2.85,23166100.0,3.117,,
10,2020-04-01,2.82,2.96,2.82,2.91,24496308.0,3.1029999999999998,,
11,2020-04-02,2.89,2.99,2.88,2.99,22925102.0,3.0869999999999997,,
12,2020-04-03,2.99,3.19,2.97,3.16,48788696.0,3.076,,
13,2020-04-07,3.3,3.3,3.14,3.18,53031081.0,3.0780000000000003,,
14,2020-04-08,3.15,3.28,3.11,3.19,37783050.0,3.0760000000000005,,
15,2020-04-09,3.19,3.26,3.17,3.21,28998985.0,3.0690000000000004,,
16,2020-04-10,3.2,3.2,3.04,3.06,32690089.0,3.0580000000000007,,
17,2020-04-13,3.06,3.11,3.01,3.02,17831750.0,3.052000000000001,,
18,2020-04-14,3.03,3.07,3.02,3.05,16095653.0,3.0620000000000007,,
19,2020-04-15,3.09,3.36,2.97,3.36,71328622.0,3.113000000000001,,
20,2020-04-16,3.36,3.65,3.21,3.5,151102038.0,3.172000000000001,,
21,2020-04-17,3.49,3.49,3.22,3.23,91160679.0,3.1960000000000006,,
22,2020-04-20,3.24,3.55,3.19,3.55,72159888.0,3.2350000000000008,,
23,2020-04-21,3.53,3.7,3.39,3.57,143615578.0,3.274000000000001,,
24,2020-04-22,3.5,3.93,3.39,3.93,176227256.0,3.348000000000001,,
25,2020-04-23,4.32,4.32,4.21,4.32,82569040.0,3.459000000000001,,
26,2020-04-24,4.75,4.75,4.12,4.28,326732117.0,3.581000000000001,,
27,2020-04-27,4.59,4.71,4.32,4.39,319787164.0,3.718000000000001,,
28,2020-04-28,3.95,3.95,3.95,3.95,15662800.0,3.808000000000001,,
29,2020-04-29,3.56,3.56,3.56,3.56,8082800.0,3.8280000000000016,,
30,2020-04-30,3.36,3.5,3.2,3.2,273050256.0,3.798000000000002,,
31,2020-05-06,3.11,3.23,3.03,3.16,112496700.0,3.7910000000000017,,
32,2020-05-07,3.1,3.22,3.07,3.1,94766130.0,3.746000000000002,,
33,2020-05-08,3.11,3.15,3.08,3.13,56588444.0,3.7020000000000026,,
34,2020-05-11,3.13,3.19,3.07,3.08,57836281.0,3.617000000000002,,
35,2020-05-12,3.07,3.11,2.97,3.01,68876105.0,3.486000000000002,,
36,2020-05-13,3.0,3.07,2.95,3.03,45855805.0,3.361000000000002,,
37,2020-05-14,3.0,3.06,2.99,3.05,33493544.0,3.2270000000000016,,
38,2020-05-15,3.06,3.07,2.99,3.0,33769400.0,3.132000000000002,,
39,2020-05-18,2.97,2.99,2.89,2.9,49355180.0,3.066000000000002,,
40,2020-05-19,2.91,2.98,2.9,2.94,33854700.0,3.0400000000000023,,
41,2020-05-20,2.95,2.96,2.9,2.92,23306900.0,3.0160000000000022,,
42,2020-05-21,2.95,2.95,2.87,2.88,23911221.0,2.994000000000002,,
43,2020-05-22,2.9,3.09,2.88,2.98,58965521.0,2.979000000000002,,
44,2020-05-25,2.91,2.99,2.91,2.98,26897950.0,2.969000000000002,,
45,2020-05-26,2.98,3.06,2.96,3.03,31951300.0,2.9710000000000023,,
46,2020-05-27,3.02,3.04,2.95,2.96,27924050.0,2.964000000000002,,
47,2020-05-28,2.96,3.05,2.94,3.0,29512900.0,2.9590000000000023,,
48,2020-05-29,2.98,3.02,2.95,2.99,20065950.0,2.958000000000002,,
49,2020-06-01,3.0,3.05,2.97,3.04,40920750.0,2.972000000000002,,
50,2020-06-02,3.08,3.08,3.03,3.05,31910100.0,2.9830000000000014,,
51,2020-06-03,3.06,3.1,3.04,3.06,30349250.0,2.997000000000001,,
52,2020-06-04,3.05,3.06,3.01,3.02,25457400.0,3.011000000000002,,
53,2020-06-05,3.02,3.02,2.96,2.98,24690050.0,3.011000000000002,,
54,2020-06-08,2.98,2.98,2.89,2.91,31575950.0,3.004000000000002,,
55,2020-06-09,2.91,3.08,2.89,3.05,51564000.0,3.0060000000000016,,
56,2020-06-10,3.02,3.04,2.96,2.97,28443600.0,3.0070000000000014,,
57,2020-06-11,2.93,3.02,2.92,2.95,17689400.0,3.0020000000000016,,
58,2020-06-12,2.89,2.97,2.88,2.93,17298000.0,2.9960000000000013,,
