,date,open,high,low,close,volume,10,60,250
0,2020-03-18,35.96,36.83,34.16,34.21,5372247.0,,,
1,2020-03-19,34.58,35.04,33.28,34.69,5111190.0,,,
2,2020-03-20,35.28,35.44,32.75,33.76,8331126.0,,,
3,2020-03-23,32.78,33.24,30.47,30.68,7433952.0,,,
4,2020-03-24,31.59,32.37,29.19,31.3,10837968.0,,,
5,2020-03-25,32.27,34.23,32.12,32.7,10899567.0,,,
6,2020-03-26,32.58,33.54,32.05,32.17,6289590.0,,,
7,2020-03-27,32.85,33.03,31.37,31.44,4255768.0,,,
8,2020-03-30,30.75,31.55,29.38,31.0,6946763.0,,,
9,2020-03-31,31.47,32.07,30.23,30.37,4349669.0,32.232000000000006,,
10,2020-04-01,30.59,31.75,30.36,30.75,5073740.0,31.886000000000006,,
11,2020-04-02,30.69,32.22,30.38,32.01,5711244.0,31.618000000000006,,
12,2020-04-03,32.36,32.36,31.28,31.71,5177061.0,31.413000000000004,,
13,2020-04-07,32.27,33.65,32.08,32.77,5138130.0,31.622000000000003,,
14,2020-04-08,32.87,33.0,32.12,32.34,3400374.0,31.726000000000006,,
15,2020-04-09,32.67,33.32,32.17,33.1,3697543.0,31.76600000000001,,
16,2020-04-10,33.1,33.1,31.48,31.87,4656611.0,31.736000000000008,,
17,2020-04-13,31.17,31.78,30.26,31.47,3378252.0,31.739000000000004,,
18,2020-04-14,31.8,32.77,31.57,32.67,3511919.0,31.906000000000006,,
19,2020-04-15,32.69,34.11,32.47,33.47,5157080.0,32.21600000000001,,
20,2020-04-16,33.37,33.81,32.48,33.57,2664414.0,32.498000000000005,,
21,2020-04-17,34.71,35.05,33.46,33.83,3654875.0,32.68000000000001,,
22,2020-04-20,33.84,34.83,33.47,34.59,3199207.0,32.96800000000001,,
23,2020-04-21,34.07,34.72,33.62,34.54,3711192.0,33.14500000000002,,
24,2020-04-22,33.89,36.35,33.89,36.1,4723609.0,33.521000000000015,,
25,2020-04-23,36.26,36.73,35.65,35.97,3590938.0,33.808000000000014,,
26,2020-04-24,36.35,36.53,35.32,35.5,2677115.0,34.171000000000014,,
27,2020-04-27,35.23,36.85,34.66,36.26,3465820.0,34.65000000000001,,
28,2020-04-28,36.18,36.51,34.66,35.91,3120552.0,34.974000000000004,,
29,2020-04-29,35.93,37.34,35.86,37.15,3266369.0,35.342000000000006,,
30,2020-04-30,39.87,40.87,39.36,40.87,5192959.0,36.07200000000001,,
31,2020-05-06,41.83,44.67,41.04,43.56,9339941.0,37.04500000000001,,
32,2020-05-07,43.24,44.21,42.76,43.63,5601452.0,37.94900000000001,,
33,2020-05-08,43.58,45.48,43.33,44.15,5951082.0,38.91000000000001,,
