,date,open,high,low,close,volume,120,180,240
0,2018-11-13,23.28,24.46,23.26,23.85,3535054.0,,,
1,2018-11-14,23.45,23.89,23.15,23.45,3111354.0,,,
2,2018-11-15,23.94,25.62,23.45,24.62,6794968.0,,,
3,2018-11-16,24.35,24.82,24.15,24.24,4625470.0,,,
4,2018-11-19,23.74,23.76,23.07,23.57,3590678.0,,,
5,2018-11-20,23.3,23.79,23.13,23.19,2258625.0,,,
6,2018-11-21,22.93,23.34,22.63,23.27,1680739.0,,,
7,2018-11-22,23.38,23.51,23.06,23.18,1828500.0,,,
8,2018-11-23,23.17,23.17,21.52,21.52,2811568.0,,,
9,2018-11-26,21.38,21.56,20.68,20.95,1575835.0,,,
10,2018-11-27,21.11,21.22,20.83,21.01,972400.0,,,
11,2018-11-28,21.06,21.31,20.6,21.18,1080900.0,,,
12,2018-11-29,21.3,21.4,20.48,20.48,1242200.0,,,
13,2018-11-30,20.46,20.77,19.69,20.58,1488300.0,,,
14,2018-12-03,20.96,21.36,20.81,21.18,1739202.0,,,
15,2018-12-04,20.98,21.33,20.97,21.2,1160502.0,,,
16,2018-12-05,20.68,20.95,20.48,20.86,1081100.0,,,
17,2018-12-06,20.82,20.84,20.33,20.33,988900.0,,,
18,2018-12-07,20.38,20.58,20.28,20.37,678100.0,,,
19,2018-12-10,20.13,20.28,19.81,19.95,898200.0,,,
20,2018-12-11,19.95,20.28,19.88,20.18,642600.0,,,
21,2018-12-12,20.14,20.44,20.14,20.42,829375.0,,,
22,2018-12-13,20.28,20.58,19.98,20.42,840600.0,,,
23,2018-12-14,20.49,21.14,20.36,20.56,1964300.0,,,
24,2018-12-17,20.31,20.93,20.31,20.9,1538500.0,,,
25,2018-12-18,20.71,20.85,20.48,20.84,1189100.0,,,
26,2018-12-19,20.89,20.91,20.51,20.51,1012000.0,,,
27,2018-12-20,20.49,20.73,20.29,20.66,782200.0,,,
28,2018-12-21,20.46,20.65,20.21,20.48,703675.0,,,
29,2018-12-24,20.46,21.01,20.42,21.0,1606075.0,,,
30,2018-12-25,20.79,20.79,20.17,20.73,1528500.0,,,
31,2018-12-26,20.54,20.84,20.54,20.73,1092375.0,,,
32,2018-12-27,21.07,21.12,20.06,20.1,1234545.0,,,
33,2018-12-28,20.24,20.33,19.85,19.86,831400.0,,,
34,2019-01-02,19.81,20.07,19.71,19.89,539400.0,,,
35,2019-01-03,19.89,20.23,19.44,19.57,731900.0,,,
36,2019-01-04,19.19,19.98,18.81,19.89,1237145.0,,,
37,2019-01-07,19.9,20.16,19.76,20.09,1217200.0,,,
38,2019-01-08,20.09,20.1,19.72,19.75,834245.0,,,
39,2019-01-09,19.9,20.08,19.68,19.69,1109600.0,,,
40,2019-01-10,19.6,19.77,19.17,19.31,1145100.0,,,
41,2019-01-11,19.32,19.77,19.25,19.75,895845.0,,,
42,2019-01-14,19.75,19.75,19.19,19.27,809875.0,,,
43,2019-01-15,19.24,19.49,19.14,19.45,759467.0,,,
44,2019-01-16,19.54,19.62,19.34,19.42,752745.0,,,
45,2019-01-17,19.39,19.45,18.99,18.99,660800.0,,,
46,2019-01-18,18.99,19.29,18.94,19.21,753400.0,,,
47,2019-01-21,19.26,19.37,19.11,19.29,638632.0,,,
48,2019-01-22,19.36,19.6,19.22,19.47,1019606.0,,,
49,2019-01-23,19.35,19.59,19.3,19.51,709502.0,,,
50,2019-01-24,19.54,19.67,19.32,19.57,949781.0,,,
51,2019-01-25,19.24,19.24,18.15,18.17,2787120.0,,,
52,2019-01-28,18.35,18.35,18.0,18.07,765283.0,,,
53,2019-01-29,17.97,18.06,17.14,17.44,1028200.0,,,
54,2019-01-30,17.47,17.53,17.03,17.06,673500.0,,,
55,2019-01-31,17.09,17.16,16.27,16.53,1068395.0,,,
56,2019-02-01,16.63,17.04,16.54,17.0,721777.0,,,
57,2019-02-11,17.11,17.48,16.93,17.41,813604.0,,,
58,2019-02-12,17.45,17.58,17.31,17.51,1320975.0,,,
59,2019-02-13,17.5,17.96,17.43,17.84,1589569.0,,,
60,2019-02-14,17.78,17.97,17.67,17.84,1276300.0,,,
61,2019-02-15,17.73,18.16,17.73,17.92,1119975.0,,,
62,2019-02-18,17.92,18.7,17.92,18.66,1784975.0,,,
63,2019-02-19,18.66,18.92,18.38,18.92,1984475.0,,,
64,2019-02-20,18.8,19.24,18.71,18.87,1326925.0,,,
65,2019-02-21,18.88,19.28,18.61,18.74,1685975.0,,,
66,2019-02-22,18.74,19.14,18.5,19.11,1409175.0,,,
67,2019-02-25,19.17,19.87,18.99,19.87,2519102.0,,,
68,2019-02-26,19.81,20.1,19.33,19.63,2719117.0,,,
69,2019-02-27,19.76,19.98,19.17,19.44,1678300.0,,,
70,2019-02-28,19.66,19.89,19.44,19.77,1747275.0,,,
71,2019-03-01,19.88,19.91,19.57,19.8,1461523.0,,,
72,2019-03-04,20.16,20.23,19.81,20.15,2580175.0,,,
73,2019-03-05,20.01,20.38,19.8,20.37,2454406.0,,,
74,2019-03-06,20.36,21.13,20.3,20.75,3276026.0,,,
75,2019-03-07,20.75,21.27,20.34,21.22,3399007.0,,,
76,2019-03-08,20.73,21.31,19.93,19.93,3157375.0,,,
77,2019-03-11,19.82,21.17,19.82,21.12,2971056.0,,,
78,2019-03-12,21.27,21.52,20.73,21.2,3112025.0,,,
79,2019-03-13,21.2,21.29,20.45,20.65,2454275.0,,,
80,2019-03-14,20.46,20.76,19.69,20.02,2146002.0,,,
81,2019-03-15,20.04,20.53,20.04,20.39,1700700.0,,,
82,2019-03-18,20.27,20.78,20.27,20.74,1655759.0,,,
83,2019-03-19,20.99,21.11,20.74,20.92,1996995.0,,,
84,2019-03-20,21.15,23.02,21.07,23.02,7443331.0,,,
85,2019-03-21,22.88,23.92,22.63,22.78,8916829.0,,,
86,2019-03-22,22.79,23.02,21.8,22.11,5315746.0,,,
87,2019-03-25,21.66,22.12,21.47,21.61,2694046.0,,,
88,2019-03-26,21.79,21.94,21.05,21.18,2235450.0,,,
89,2019-03-27,21.3,21.7,20.97,21.57,2574180.0,,,
90,2019-03-28,21.42,22.51,21.22,22.25,4334532.0,,,
91,2019-03-29,22.11,23.0,21.79,22.84,3998629.0,,,
92,2019-04-01,22.88,23.4,22.61,23.07,4368963.0,,,
93,2019-04-02,25.37,25.37,23.07,24.14,5833567.0,,,
94,2019-04-03,23.87,24.15,23.26,23.87,2760755.0,,,
95,2019-04-04,23.89,24.1,23.54,23.69,1863100.0,,,
96,2019-04-08,24.21,25.31,23.87,24.23,4602266.0,,,
97,2019-04-09,24.34,24.57,23.13,23.57,2541675.0,,,
98,2019-04-10,23.05,23.57,22.41,23.3,2264408.0,,,
99,2019-04-11,23.15,23.25,22.3,22.6,1662601.0,,,
100,2019-04-12,22.37,22.81,21.42,21.81,1905830.0,,,
101,2019-04-15,22.05,22.41,21.52,21.72,1585601.0,,,
102,2019-04-16,21.39,21.86,21.3,21.77,1431700.0,,,
103,2019-04-17,21.86,22.26,21.65,22.14,1909695.0,,,
104,2019-04-18,22.16,22.16,21.69,21.69,1143182.0,,,
105,2019-04-19,21.75,21.93,21.59,21.82,806495.0,,,
106,2019-04-22,22.14,22.14,21.36,21.44,855775.0,,,
107,2019-04-23,21.76,21.76,20.97,21.11,995300.0,,,
108,2019-04-24,21.11,21.5,20.77,21.49,832670.0,,,
