,date,open,high,low,close,volume,120,180,240
0,2021-03-11,53.98,65.9,48.0,65.25,27039044.0,,,
1,2021-03-12,56.0,57.95,48.41,48.8,19475035.0,,,
2,2021-03-15,50.45,53.0,46.02,46.6,15961365.0,,,
3,2021-03-16,44.0,46.38,43.0,44.35,14405176.0,,,
4,2021-03-17,44.41,45.96,42.01,42.35,15455124.0,,,
5,2021-03-18,40.54,41.57,39.11,39.3,15168052.0,,,
6,2021-03-19,38.83,40.79,38.52,39.41,13490942.0,,,
7,2021-03-22,39.36,40.58,38.67,39.94,11077360.0,,,
8,2021-03-23,39.5,39.6,37.07,37.48,11629064.0,,,
9,2021-03-24,37.1,37.98,36.8,37.48,6504813.0,,,
10,2021-03-25,37.9,39.17,37.31,37.34,8165708.0,,,
11,2021-03-26,36.44,37.63,35.89,36.89,6781668.0,,,
12,2021-03-29,37.02,37.58,36.57,37.16,5496638.0,,,
13,2021-03-30,37.16,38.38,37.1,37.47,6422025.0,,,
14,2021-03-31,36.87,36.87,35.41,35.5,7402519.0,,,
15,2021-04-01,35.19,36.2,34.71,36.01,6033207.0,,,
16,2021-04-02,35.79,36.6,35.58,36.01,5435207.0,,,
17,2021-04-06,36.05,36.55,35.86,36.37,3924820.0,,,
18,2021-04-07,36.25,38.2,36.08,37.78,8929460.0,,,
19,2021-04-08,37.75,38.33,36.77,36.81,8020875.0,,,
20,2021-04-09,36.19,36.66,35.24,35.88,5482814.0,,,
21,2021-04-12,35.8,36.57,35.55,35.86,3907425.0,,,
22,2021-04-13,35.4,37.5,35.38,36.51,5585238.0,,,
23,2021-04-14,36.19,36.19,35.31,35.77,4265706.0,,,
24,2021-04-15,35.8,35.85,33.93,33.97,4736153.0,,,
25,2021-04-16,33.81,34.45,33.8,34.22,2555527.0,,,
26,2021-04-19,34.3,34.99,34.11,34.72,2516086.0,,,
27,2021-04-20,34.74,34.92,33.71,33.77,3689045.0,,,
28,2021-04-21,33.9,33.91,32.6,32.74,3692546.0,,,
29,2021-04-22,32.74,33.4,32.41,32.89,2316897.0,,,
30,2021-04-23,33.18,33.3,31.57,31.69,3703304.0,,,
31,2021-04-26,31.6,31.87,31.06,31.14,2538802.0,,,
32,2021-04-27,31.25,31.56,29.8,30.03,3290610.0,,,
33,2021-04-28,29.82,30.81,29.51,30.57,3068061.0,,,
34,2021-04-29,30.42,30.66,29.31,29.38,3227002.0,,,
35,2021-04-30,29.39,30.26,28.41,29.78,4257800.0,,,
