,date,open,high,low,close,volume,120,180,240
0,2018-11-13,15.32,15.6,15.19,15.54,677020.0,,,
1,2018-11-14,15.44,15.69,15.37,15.46,392620.0,,,
2,2018-11-15,15.5,16.35,15.5,16.31,931070.0,,,
3,2018-11-16,16.14,16.38,16.12,16.18,640965.0,,,
4,2018-11-19,16.18,16.38,15.94,16.37,516700.0,,,
5,2018-11-20,16.19,16.35,15.66,15.72,520320.0,,,
6,2018-11-21,15.71,15.98,15.57,15.89,294000.0,,,
7,2018-11-22,16.25,16.25,15.85,16.05,248950.0,,,
8,2018-11-23,16.21,16.22,15.41,15.51,459910.0,,,
9,2018-11-26,15.35,15.71,15.2,15.36,250970.0,,,
10,2018-11-27,15.5,15.57,15.32,15.47,182750.0,,,
11,2018-11-28,15.69,15.69,15.3,15.6,237320.0,,,
12,2018-11-29,15.74,15.74,14.87,14.9,297860.0,,,
13,2018-11-30,14.86,14.97,14.58,14.9,425810.0,,,
14,2018-12-03,15.35,15.43,15.17,15.3,479691.0,,,
15,2018-12-04,15.38,15.83,15.17,15.67,520382.0,,,
16,2018-12-05,15.4,15.4,15.14,15.17,493690.0,,,
17,2018-12-06,15.17,15.17,14.9,15.0,292349.0,,,
18,2018-12-07,14.98,15.2,14.93,15.12,142261.0,,,
19,2018-12-10,15.13,15.13,14.79,14.87,125760.0,,,
20,2018-12-11,15.11,15.18,14.86,15.17,151920.0,,,
21,2018-12-12,15.94,15.94,15.23,15.32,304149.0,,,
22,2018-12-13,15.6,15.6,15.06,15.26,357812.0,,,
23,2018-12-14,15.15,15.54,14.95,14.96,359306.0,,,
24,2018-12-17,14.93,15.0,14.71,14.89,146200.0,,,
25,2018-12-18,14.76,15.03,14.63,14.87,187580.0,,,
26,2018-12-19,14.99,15.01,14.62,14.78,165360.0,,,
27,2018-12-20,15.46,15.46,14.79,14.93,228400.0,,,
28,2018-12-21,15.01,15.01,14.56,14.92,188400.0,,,
29,2018-12-24,14.66,15.1,14.66,15.06,168565.0,,,
30,2018-12-25,14.78,15.04,14.56,15.01,244879.0,,,
31,2018-12-26,14.84,15.03,14.84,14.91,122620.0,,,
32,2018-12-27,15.05,15.12,14.87,14.97,190079.0,,,
33,2018-12-28,14.91,15.14,14.81,14.93,157560.0,,,
34,2019-01-02,14.93,15.0,14.72,14.81,116879.0,,,
35,2019-01-03,14.81,14.93,14.57,14.61,142119.0,,,
36,2019-01-04,14.56,14.87,14.41,14.87,198550.0,,,
37,2019-01-07,14.99,15.24,14.87,15.1,287375.0,,,
38,2019-01-08,15.1,15.1,14.91,15.01,146300.0,,,
39,2019-01-09,15.09,15.32,14.99,15.07,283610.0,,,
40,2019-01-10,15.23,15.23,14.93,14.95,144080.0,,,
41,2019-01-11,14.9,15.09,14.87,15.06,153893.0,,,
42,2019-01-14,15.07,15.13,14.96,15.02,111040.0,,,
43,2019-01-15,15.1,15.35,14.87,15.2,332562.0,,,
44,2019-01-16,15.32,15.59,15.22,15.41,512450.0,,,
45,2019-01-17,15.26,15.44,15.18,15.26,296638.0,,,
46,2019-01-18,15.27,15.27,15.05,15.21,294950.0,,,
47,2019-01-21,15.13,15.23,15.04,15.13,300820.0,,,
48,2019-01-22,15.2,15.2,14.93,15.01,204860.0,,,
49,2019-01-23,15.01,15.1,14.87,14.89,217074.0,,,
50,2019-01-24,15.02,15.11,14.87,15.08,287900.0,,,
51,2019-01-25,15.08,15.12,14.94,14.94,183260.0,,,
52,2019-01-28,14.94,15.16,14.75,14.81,202800.0,,,
53,2019-01-29,14.94,14.94,14.29,14.53,269965.0,,,
54,2019-01-30,14.52,14.52,13.24,13.25,770020.0,,,
55,2019-01-31,13.34,13.5,12.82,13.23,516921.0,,,
56,2019-02-01,13.27,13.52,13.16,13.47,306585.0,,,
57,2019-02-11,13.45,13.62,13.36,13.62,273520.0,,,
58,2019-02-12,13.58,13.8,13.53,13.71,387500.0,,,
59,2019-02-13,13.74,13.93,13.67,13.91,470494.0,,,
60,2019-02-14,14.07,14.07,13.81,13.9,420560.0,,,
61,2019-02-15,13.94,13.94,13.75,13.8,399271.0,,,
62,2019-02-18,13.95,14.2,13.87,14.2,532434.0,,,
63,2019-02-19,14.25,14.32,14.08,14.15,491445.0,,,
64,2019-02-20,14.15,14.25,14.02,14.22,473400.0,,,
65,2019-02-21,14.02,14.37,14.02,14.14,569492.0,,,
66,2019-02-22,14.14,14.22,13.93,14.22,467717.0,,,
67,2019-02-25,14.25,14.98,14.22,14.9,954641.0,,,
68,2019-02-26,14.84,14.9,14.62,14.69,1221573.0,,,
69,2019-02-27,14.68,14.86,14.47,14.56,726200.0,,,
70,2019-02-28,14.66,14.92,14.58,14.92,732625.0,,,
71,2019-03-01,14.99,15.16,14.76,15.03,1117527.0,,,
72,2019-03-04,15.05,15.33,14.9,15.05,939338.0,,,
73,2019-03-05,15.11,15.77,14.97,15.73,996483.0,,,
74,2019-03-06,15.67,15.89,15.4,15.84,1302119.0,,,
75,2019-03-07,15.77,16.06,15.59,15.86,903310.0,,,
76,2019-03-08,15.74,15.83,15.18,15.24,932772.0,,,
77,2019-03-11,15.23,15.71,15.18,15.66,721569.0,,,
78,2019-03-12,15.83,15.95,15.59,15.87,831055.0,,,
79,2019-03-13,16.96,16.96,15.54,15.66,1110530.0,,,
80,2019-03-14,15.6,15.77,15.1,15.24,541490.0,,,
81,2019-03-15,15.24,15.54,15.24,15.46,362940.0,,,
82,2019-03-18,15.57,15.81,15.48,15.78,451550.0,,,
83,2019-03-19,15.89,15.89,15.61,15.85,519990.0,,,
84,2019-03-20,15.89,15.89,15.52,15.72,387470.0,,,
85,2019-03-21,15.72,16.09,15.68,15.99,785225.0,,,
86,2019-03-22,16.02,17.22,15.89,16.35,1371648.0,,,
87,2019-03-25,16.08,16.85,15.8,16.51,1150680.0,,,
88,2019-03-26,16.51,16.54,15.63,15.66,962394.0,,,
89,2019-03-27,15.78,15.81,15.17,15.34,1081920.0,,,
90,2019-03-28,15.29,15.5,15.11,15.46,764667.0,,,
91,2019-03-29,15.43,15.77,15.28,15.72,724776.0,,,
92,2019-04-01,15.87,16.08,15.78,15.98,956820.0,,,
93,2019-04-02,15.98,16.51,15.95,16.15,1038108.0,,,
94,2019-04-03,16.14,16.25,15.97,16.2,674055.0,,,
95,2019-04-04,17.06,17.4,16.63,16.81,3039930.0,,,
96,2019-04-08,16.72,16.86,16.19,16.37,1657840.0,,,
97,2019-04-09,16.25,16.5,16.1,16.29,729370.0,,,
98,2019-04-10,16.29,16.29,15.79,15.96,869660.0,,,
99,2019-04-11,15.96,16.19,15.8,15.87,685750.0,,,
100,2019-04-12,15.84,15.99,15.78,15.81,373860.0,,,
101,2019-04-15,15.95,16.08,15.57,15.63,412120.0,,,
102,2019-04-16,15.59,15.77,15.4,15.77,457560.0,,,
103,2019-04-17,15.8,16.2,15.76,16.14,701834.0,,,
104,2019-04-18,16.72,17.08,16.23,16.41,1471150.0,,,
105,2019-04-19,16.26,16.34,16.02,16.28,698992.0,,,
106,2019-04-22,16.29,16.51,16.11,16.15,541940.0,,,
107,2019-04-23,16.11,16.17,15.96,16.13,486808.0,,,
108,2019-04-24,16.25,16.69,16.15,16.69,840889.0,,,
109,2019-04-25,16.81,16.81,16.17,16.4,792469.0,,,
110,2019-04-26,16.61,17.46,16.52,17.0,2403596.0,,,
111,2019-04-29,15.93,17.05,15.93,16.58,1152054.0,,,
112,2019-04-30,16.11,16.69,16.11,16.45,500400.0,,,
113,2019-05-06,16.37,16.62,14.87,15.31,892160.0,,,
114,2019-05-07,15.47,16.84,15.47,16.84,946802.0,,,
115,2019-05-08,17.36,18.53,17.36,18.53,2811369.0,,,
116,2019-05-09,19.84,20.38,19.84,20.38,2796671.0,,,
117,2019-05-10,22.42,22.42,22.42,22.42,867938.0,,,
118,2019-05-13,24.57,24.57,22.45,22.93,12113057.0,,,
119,2019-05-14,21.0,22.75,20.64,20.64,6813260.0,15.553083333333337,,
120,2019-05-15,20.03,20.23,19.3,20.23,8199374.0,15.59216666666667,,
121,2019-05-16,19.97,19.97,19.46,19.78,5545964.0,15.628166666666669,,
122,2019-05-17,19.63,19.95,18.55,18.88,5206032.0,15.649583333333338,,
123,2019-05-20,18.81,19.39,18.81,18.9,3408042.0,15.672250000000004,,
124,2019-05-21,18.81,19.09,18.22,19.02,3054413.0,15.694333333333338,,
125,2019-05-22,18.75,18.81,17.6,17.97,3966203.0,15.713083333333339,,
126,2019-05-23,17.73,17.87,16.84,17.05,3023402.0,15.722750000000003,,
127,2019-05-24,16.85,17.19,16.68,16.79,1779580.0,15.72891666666667,,
128,2019-05-27,16.72,17.41,16.72,17.33,2456832.0,15.744083333333338,,
129,2019-05-28,17.33,17.45,16.88,17.05,2021024.0,15.758166666666671,,
130,2019-05-29,17.05,17.31,16.76,17.15,1711064.0,15.77216666666667,,
131,2019-05-30,17.05,17.06,16.21,16.66,1973400.0,15.781000000000006,,
132,2019-05-31,16.58,16.87,16.57,16.66,1250485.0,15.795666666666673,,
133,2019-06-03,16.65,16.72,16.03,16.15,1172238.0,15.806083333333339,,
134,2019-06-04,16.16,16.54,16.13,16.25,1002760.0,15.814000000000005,,
135,2019-06-05,16.45,16.51,16.2,16.24,1028860.0,15.818750000000005,,
136,2019-06-06,16.24,16.37,15.64,15.75,1047780.0,15.823583333333339,,
137,2019-06-10,15.78,16.25,15.17,16.06,934550.0,15.83241666666667,,
138,2019-06-11,16.2,16.85,15.89,16.6,1706050.0,15.844750000000005,,
139,2019-06-12,16.51,16.62,16.25,16.28,1328160.0,15.856500000000006,,
140,2019-06-13,16.28,16.83,16.21,16.62,2125520.0,15.868583333333337,,
141,2019-06-14,16.59,16.68,15.84,15.84,1727040.0,15.87291666666667,,
142,2019-06-17,15.99,16.28,15.84,16.07,817540.0,15.87966666666667,,
143,2019-06-18,16.1,16.37,15.94,16.36,1012620.0,15.891333333333336,,
144,2019-06-19,16.73,16.73,16.37,16.48,1654140.0,15.904583333333335,,
145,2019-06-20,16.43,16.56,16.21,16.52,1385160.0,15.918333333333335,,
146,2019-06-21,16.77,17.9,16.71,17.42,3225212.0,15.940333333333337,,
147,2019-06-24,17.48,18.08,17.05,17.84,2869482.0,15.964583333333335,,
148,2019-06-25,17.6,17.81,17.23,17.66,1728770.0,15.987416666666668,,
149,2019-06-26,18.08,18.09,17.08,17.09,2075580.0,16.004333333333335,,
150,2019-06-27,16.99,17.29,16.99,17.16,1221800.0,16.022250000000003,,
