,date,open,high,low,close,volume,10,60,250
0,2020-03-16,4.3,4.34,4.2,4.22,2235192.0,,,
1,2020-03-17,4.2,4.25,4.08,4.18,1113502.0,,,
2,2020-03-18,4.22,4.23,4.11,4.11,1121129.0,,,
3,2020-03-19,4.12,4.19,4.04,4.1,1489580.0,,,
4,2020-03-20,4.12,4.15,4.1,4.15,973078.0,,,
5,2020-03-23,4.1,4.11,4.01,4.02,1025700.0,,,
6,2020-03-24,4.1,4.13,4.03,4.09,847920.0,,,
7,2020-03-25,4.19,4.28,4.11,4.26,2026435.0,,,
8,2020-03-26,4.39,4.68,4.39,4.68,7097126.0,,,
9,2020-03-27,5.15,5.15,5.15,5.15,2552968.0,4.295999999999999,,
10,2020-03-30,5.66,5.66,5.51,5.66,25367791.0,4.4399999999999995,,
11,2020-03-31,5.49,6.23,5.26,6.23,59978154.0,4.645,,
12,2020-04-01,5.6,5.79,5.6,5.6,26870390.0,4.794,,
13,2020-04-02,5.15,5.5,5.04,5.34,45866087.0,4.918,,
14,2020-04-03,5.12,5.87,5.01,5.87,48921056.0,5.09,,
15,2020-04-07,5.94,6.46,5.29,6.46,57221189.0,5.3340000000000005,,
16,2020-04-08,6.27,7.1,6.11,7.1,34646395.0,5.635000000000001,,
17,2020-04-09,6.53,7.33,6.41,6.41,61476821.0,5.8500000000000005,,
18,2020-04-10,6.09,6.23,5.76,5.88,42227830.0,5.970000000000001,,
19,2020-04-13,5.64,5.76,5.31,5.34,26731840.0,5.989000000000001,,
20,2020-04-14,5.34,5.59,5.33,5.53,22345285.0,5.976000000000001,,
21,2020-04-15,5.47,5.48,5.3,5.3,17757470.0,5.883,,
22,2020-04-16,5.29,5.4,5.08,5.38,18479518.0,5.860999999999999,,
23,2020-04-17,5.34,5.4,5.16,5.17,13843440.0,5.843999999999999,,
24,2020-04-20,5.13,5.24,5.08,5.17,8251103.0,5.774,,
25,2020-04-21,5.24,5.34,5.15,5.26,12224200.0,5.654,,
26,2020-04-22,5.15,5.43,5.05,5.36,15940103.0,5.4799999999999995,,
27,2020-04-23,5.45,5.68,5.31,5.33,18889919.0,5.372,,
28,2020-04-24,5.23,5.34,4.85,4.92,18699534.0,5.276,,
29,2020-04-27,4.92,5.01,4.76,4.91,9588433.0,5.233,,
30,2020-04-28,4.91,4.91,4.48,4.64,9641514.0,5.144,,
31,2020-04-29,4.59,4.67,4.47,4.47,8415600.0,5.061,,
32,2020-04-30,4.49,4.69,4.48,4.62,8217175.0,4.984999999999999,,
33,2020-05-06,4.59,4.9,4.54,4.83,9729655.0,4.950999999999999,,
34,2020-05-07,4.78,4.8,4.58,4.7,10019818.0,4.903999999999999,,
35,2020-05-08,4.73,4.88,4.66,4.87,14159318.0,4.864999999999999,,
36,2020-05-11,4.79,4.9,4.68,4.84,14391239.0,4.813,,
37,2020-05-12,4.95,5.0,4.77,4.79,12389839.0,4.7589999999999995,,
38,2020-05-13,4.8,4.86,4.62,4.8,13068079.0,4.746999999999999,,
39,2020-05-14,4.87,5.06,4.76,4.77,17187463.0,4.733,,
40,2020-05-15,4.77,4.84,4.65,4.65,11584803.0,4.734,,
41,2020-05-18,4.7,4.81,4.49,4.74,14310006.0,4.761,,
42,2020-05-19,4.73,5.02,4.67,4.96,18470306.0,4.795,,
