,date,open,high,low,close,volume,10,60,250
0,2020-07-16,100.0,121.0,89.98,109.01,12926421.0,,,
1,2020-07-17,103.55,105.58,80.52,82.69,8600418.0,,,
2,2020-07-20,77.5,78.97,68.28,74.35,6186499.0,,,
3,2020-07-21,72.99,78.8,71.76,76.12,4820335.0,,,
4,2020-07-22,72.83,74.8,70.0,72.47,4392421.0,,,
5,2020-07-23,72.48,76.8,71.11,76.29,4726243.0,,,
6,2020-07-24,73.62,74.8,65.2,66.11,4779098.0,,,
7,2020-07-27,66.0,66.77,61.99,62.59,2703328.0,,,
8,2020-07-28,63.11,64.44,62.7,63.95,1594465.0,,,
9,2020-07-29,63.63,65.84,62.68,65.81,2099858.0,74.93900000000001,,
10,2020-07-30,65.82,69.79,65.13,67.14,2701617.0,70.75200000000001,,
11,2020-07-31,66.69,67.97,65.4,67.0,1963381.0,69.18300000000002,,
12,2020-08-03,67.23,68.98,67.23,68.96,1995216.0,68.64400000000002,,
13,2020-08-04,69.0,71.5,68.26,69.54,2331721.0,67.98600000000002,,
14,2020-08-05,69.5,69.74,67.01,68.27,1681494.0,67.566,,
15,2020-08-06,68.68,68.75,65.19,66.4,1727769.0,66.57700000000001,,
16,2020-08-07,66.12,66.45,62.74,63.1,1725320.0,66.27600000000001,,
17,2020-08-10,63.0,63.96,62.75,63.5,1029892.0,66.367,,
18,2020-08-11,63.8,63.8,61.8,62.0,1277331.0,66.172,,
19,2020-08-12,62.04,62.07,58.68,59.98,1577390.0,65.58900000000001,,
20,2020-08-13,60.02,60.47,59.15,60.06,822438.0,64.881,,
21,2020-08-14,60.16,60.58,59.18,60.35,821771.0,64.21600000000001,,
22,2020-08-17,60.35,61.59,60.21,61.3,782653.0,63.45,,
23,2020-08-18,61.3,61.54,60.38,60.9,845536.0,62.586,,
24,2020-08-19,60.99,60.99,58.78,58.9,941476.0,61.649,,
25,2020-08-20,58.74,58.74,56.83,57.05,842817.0,60.714,,
26,2020-08-21,57.1,58.5,57.1,58.08,794854.0,60.212,,
27,2020-08-24,57.89,58.78,56.3,58.01,732007.0,59.663,,
28,2020-08-25,58.0,59.59,58.0,58.5,652839.0,59.313,,
29,2020-08-26,58.16,58.85,56.85,57.0,652746.0,59.015,,
30,2020-08-27,57.0,57.98,55.86,56.72,727030.0,58.681,,
31,2020-08-28,56.72,57.0,56.1,56.73,528007.0,58.318999999999996,,
32,2020-08-31,56.73,59.5,56.73,58.14,802183.0,58.003,,
33,2020-09-01,58.14,58.91,57.14,57.51,447745.0,57.664,,
34,2020-09-02,58.07,58.1,56.6,56.81,577823.0,57.455000000000005,,
35,2020-09-03,56.8,57.32,56.26,56.75,430833.0,57.42500000000001,,
36,2020-09-04,56.01,58.84,56.01,58.4,722239.0,57.45700000000001,,
37,2020-09-07,58.66,59.35,57.18,57.74,560936.0,57.43000000000001,,
38,2020-09-08,57.72,58.19,56.74,56.77,484242.0,57.257000000000005,,
39,2020-09-09,56.83,56.83,52.0,52.12,1160360.0,56.769000000000005,,
40,2020-09-10,52.42,52.99,50.66,51.0,725461.0,56.197,,
41,2020-09-11,51.01,51.79,49.99,51.32,560834.0,55.656000000000006,,
42,2020-09-14,51.39,52.52,51.32,51.5,558508.0,54.992000000000004,,
