,date,open,high,low,close,volume,120,180,240
0,2018-11-13,2.65,2.89,2.64,2.89,98216170.0,,,
1,2018-11-14,2.9,2.95,2.8,2.83,85869105.0,,,
2,2018-11-15,2.79,2.84,2.76,2.83,52295840.0,,,
3,2018-11-16,2.82,2.84,2.76,2.81,45203700.0,,,
4,2018-11-19,2.78,2.86,2.77,2.8,40381073.0,,,
5,2018-11-20,2.8,2.81,2.73,2.74,30811828.0,,,
6,2018-11-21,2.69,2.84,2.66,2.79,46426666.0,,,
7,2018-11-22,2.79,2.79,2.74,2.74,28400420.0,,,
8,2018-11-23,2.74,2.74,2.47,2.54,46066730.0,,,
9,2018-11-26,2.51,2.57,2.48,2.51,19380077.0,,,
10,2018-11-27,2.52,2.55,2.5,2.52,11674661.0,,,
11,2018-11-28,2.53,2.55,2.46,2.55,16743308.0,,,
12,2018-11-29,2.56,2.58,2.47,2.49,22142863.0,,,
13,2018-11-30,2.47,2.52,2.45,2.51,21835191.0,,,
14,2018-12-03,2.58,2.6,2.53,2.56,38591317.0,,,
15,2018-12-04,2.56,2.58,2.54,2.57,17176852.0,,,
16,2018-12-05,2.53,2.57,2.5,2.55,15815160.0,,,
17,2018-12-06,2.54,2.54,2.49,2.51,17766509.0,,,
18,2018-12-07,2.5,2.52,2.49,2.51,8124919.0,,,
19,2018-12-10,2.48,2.51,2.45,2.49,15191900.0,,,
20,2018-12-11,2.48,2.5,2.46,2.5,10093400.0,,,
21,2018-12-12,2.49,2.52,2.48,2.5,12991343.0,,,
22,2018-12-13,2.5,2.55,2.48,2.51,14918100.0,,,
23,2018-12-14,2.5,2.52,2.46,2.49,19050985.0,,,
24,2018-12-17,2.46,2.48,2.41,2.47,16903843.0,,,
25,2018-12-18,2.45,2.48,2.43,2.47,14547234.0,,,
26,2018-12-19,2.46,2.46,2.4,2.44,16300502.0,,,
27,2018-12-20,2.42,2.46,2.41,2.44,11436902.0,,,
28,2018-12-21,2.43,2.44,2.4,2.44,12648963.0,,,
29,2018-12-24,2.43,2.44,2.41,2.44,7927233.0,,,
30,2018-12-25,2.42,2.42,2.34,2.38,14334260.0,,,
31,2018-12-26,2.37,2.39,2.35,2.38,9781084.0,,,
32,2018-12-27,2.41,2.41,2.33,2.34,10934522.0,,,
33,2018-12-28,2.34,2.35,2.3,2.35,9543700.0,,,
34,2019-01-02,2.34,2.35,2.29,2.31,17253742.0,,,
35,2019-01-03,2.3,2.32,2.23,2.23,22157890.0,,,
36,2019-01-04,2.2,2.27,2.17,2.25,27904870.0,,,
37,2019-01-07,2.26,2.31,2.25,2.29,24277903.0,,,
38,2019-01-08,2.29,2.35,2.27,2.31,23938680.0,,,
39,2019-01-09,2.32,2.36,2.31,2.32,26294980.0,,,
40,2019-01-10,2.31,2.34,2.29,2.29,19574652.0,,,
41,2019-01-11,2.3,2.4,2.29,2.39,31322159.0,,,
42,2019-01-14,2.39,2.49,2.35,2.37,34424807.0,,,
43,2019-01-15,2.36,2.39,2.33,2.38,17505231.0,,,
44,2019-01-16,2.38,2.4,2.35,2.36,11167268.0,,,
45,2019-01-17,2.36,2.4,2.33,2.38,17601250.0,,,
46,2019-01-18,2.38,2.51,2.37,2.42,33962170.0,,,
47,2019-01-21,2.41,2.42,2.38,2.4,17321615.0,,,
48,2019-01-22,2.39,2.4,2.33,2.34,15323254.0,,,
49,2019-01-23,2.33,2.45,2.31,2.36,20401018.0,,,
50,2019-01-24,2.34,2.37,2.32,2.36,14350208.0,,,
51,2019-01-25,2.37,2.38,2.32,2.32,16525130.0,,,
52,2019-01-28,2.33,2.36,2.28,2.28,14032399.0,,,
53,2019-01-29,2.19,2.19,2.05,2.13,37437288.0,,,
54,2019-01-30,2.11,2.15,2.08,2.11,14293649.0,,,
55,2019-01-31,2.11,2.14,2.06,2.08,18740431.0,,,
56,2019-02-01,2.08,2.15,2.08,2.13,14255000.0,,,
57,2019-02-11,2.14,2.19,2.13,2.18,13960985.0,,,
58,2019-02-12,2.18,2.25,2.17,2.24,18537325.0,,,
59,2019-02-13,2.24,2.29,2.22,2.27,20474081.0,,,
60,2019-02-14,2.28,2.32,2.26,2.29,16680800.0,,,
61,2019-02-15,2.27,2.3,2.26,2.28,15890696.0,,,
62,2019-02-18,2.29,2.36,2.28,2.36,22776046.0,,,
63,2019-02-19,2.38,2.47,2.35,2.38,33584005.0,,,
64,2019-02-20,2.37,2.41,2.35,2.4,24362149.0,,,
65,2019-02-21,2.39,2.42,2.36,2.36,28857925.0,,,
66,2019-02-22,2.35,2.53,2.33,2.48,62190835.0,,,
67,2019-02-25,2.49,2.62,2.42,2.59,66334033.0,,,
68,2019-02-26,2.57,2.85,2.53,2.85,104729293.0,,,
69,2019-02-27,2.8,3.13,2.76,2.98,146658103.0,,,
70,2019-02-28,2.88,2.92,2.76,2.84,66054993.0,,,
71,2019-03-01,2.82,2.85,2.74,2.8,43118043.0,,,
72,2019-03-04,2.8,2.89,2.78,2.82,60744204.0,,,
73,2019-03-05,2.8,3.05,2.77,3.01,80030984.0,,,
74,2019-03-06,3.05,3.09,2.9,3.04,86958937.0,,,
75,2019-03-07,3.0,3.3,2.97,3.19,89029187.0,,,
76,2019-03-08,3.06,3.12,2.87,2.87,84957323.0,,,
77,2019-03-11,2.83,3.0,2.83,2.99,41938673.0,,,
78,2019-03-12,3.02,3.07,2.94,3.0,50513631.0,,,
79,2019-03-13,3.01,3.15,2.93,3.08,77154286.0,,,
80,2019-03-14,3.04,3.06,2.79,2.86,56752501.0,,,
81,2019-03-15,2.85,2.94,2.85,2.9,28501408.0,,,
82,2019-03-18,2.92,2.95,2.85,2.95,27097616.0,,,
83,2019-03-19,2.93,3.14,2.9,3.09,72343990.0,,,
84,2019-03-20,3.03,3.14,2.99,3.08,66009535.0,,,
85,2019-03-21,3.07,3.18,3.03,3.14,70957562.0,,,
86,2019-03-22,3.14,3.35,3.13,3.24,78665274.0,,,
87,2019-03-25,3.16,3.56,3.13,3.31,105962480.0,,,
88,2019-03-26,3.34,3.43,3.18,3.2,75712499.0,,,
89,2019-03-27,3.26,3.26,3.01,3.13,54417674.0,,,
90,2019-03-28,3.27,3.44,3.21,3.44,61243007.0,,,
91,2019-03-29,3.5,3.73,3.35,3.53,186988131.0,,,
92,2019-04-01,3.4,3.8,3.36,3.69,151310134.0,,,
93,2019-04-02,3.61,3.71,3.56,3.56,102334630.0,,,
94,2019-04-03,3.51,3.57,3.48,3.54,56221806.0,,,
95,2019-04-04,3.55,3.56,3.43,3.48,62040711.0,,,
96,2019-04-08,3.5,3.52,3.32,3.39,54962460.0,,,
