,date,open,high,low,close,volume,120,180,240
0,2018-11-13,17.91,18.52,17.91,18.34,14486321.0,,,
1,2018-11-14,18.32,18.61,17.86,18.1,11661659.0,,,
2,2018-11-15,17.91,18.24,17.72,18.15,12537044.0,,,
3,2018-11-16,18.06,18.54,17.7,18.25,11961437.0,,,
4,2018-11-19,18.15,18.17,17.55,17.84,7052354.0,,,
5,2018-11-20,17.7,17.76,17.02,17.09,9708656.0,,,
6,2018-11-21,16.96,17.23,16.53,16.75,13853892.0,,,
7,2018-11-22,16.88,17.16,16.71,17.02,8500019.0,,,
8,2018-11-23,17.09,17.09,16.22,16.22,10692099.0,,,
9,2018-11-26,16.05,16.39,16.05,16.32,5095951.0,,,
10,2018-11-27,16.51,16.74,16.32,16.71,6047708.0,,,
11,2018-11-28,16.6,16.87,16.24,16.85,6920454.0,,,
12,2018-11-29,17.15,17.38,16.79,16.83,11835385.0,,,
13,2018-11-30,16.77,17.44,16.55,17.39,9417025.0,,,
14,2018-12-03,17.91,18.0,17.42,17.66,14011711.0,,,
15,2018-12-04,17.5,17.53,17.27,17.46,5420572.0,,,
16,2018-12-05,17.16,17.75,17.08,17.61,6763392.0,,,
17,2018-12-06,17.46,17.49,16.94,16.94,7171254.0,,,
18,2018-12-07,16.88,17.12,16.64,16.94,4832638.0,,,
19,2018-12-10,16.8,16.89,16.42,16.53,5190450.0,,,
20,2018-12-11,16.68,16.73,16.3,16.47,5977000.0,,,
21,2018-12-12,16.48,16.62,16.37,16.38,4646999.0,,,
22,2018-12-13,16.46,16.89,16.24,16.8,7911414.0,,,
23,2018-12-14,16.7,16.75,16.17,16.19,7267021.0,,,
24,2018-12-17,16.09,16.2,14.63,14.96,17339686.0,,,
25,2018-12-18,14.9,15.37,14.78,15.06,8571017.0,,,
26,2018-12-19,15.06,15.18,14.88,15.01,4137585.0,,,
27,2018-12-20,14.99,15.1,14.43,14.72,9659684.0,,,
28,2018-12-21,14.73,14.91,14.58,14.68,4114904.0,,,
29,2018-12-24,14.69,15.2,14.65,15.02,6594284.0,,,
30,2018-12-25,14.91,15.37,14.68,15.24,6185037.0,,,
31,2018-12-26,15.16,15.52,14.95,14.96,5141430.0,,,
32,2018-12-27,15.3,15.49,15.14,15.16,6594919.0,,,
33,2018-12-28,15.12,15.33,14.61,14.81,7780727.0,,,
34,2019-01-02,14.87,14.97,14.58,14.85,5294961.0,,,
35,2019-01-03,14.48,14.97,14.05,14.25,7049600.0,,,
36,2019-01-04,14.1,15.37,14.1,15.25,9331531.0,,,
37,2019-01-07,15.2,15.57,15.19,15.42,7181701.0,,,
38,2019-01-08,15.38,15.56,15.27,15.43,3856951.0,,,
39,2019-01-09,15.44,15.73,15.14,15.3,5394008.0,,,
40,2019-01-10,15.3,15.59,15.23,15.29,4305543.0,,,
41,2019-01-11,15.26,15.39,14.71,15.05,7531682.0,,,
42,2019-01-14,15.04,15.13,14.64,14.77,9079113.0,,,
43,2019-01-15,14.8,15.76,14.77,15.63,11633062.0,,,
44,2019-01-16,15.62,15.98,15.62,15.76,8295679.0,,,
45,2019-01-17,15.88,16.06,15.52,15.61,8357962.0,,,
46,2019-01-18,15.77,15.87,15.55,15.83,5279745.0,,,
47,2019-01-21,15.78,15.99,15.54,15.82,5310944.0,,,
48,2019-01-22,15.77,15.96,15.57,15.75,3081592.0,,,
49,2019-01-23,15.7,15.7,15.49,15.56,3338377.0,,,
50,2019-01-24,15.57,16.06,15.56,15.84,4331707.0,,,
51,2019-01-25,15.86,15.87,15.67,15.81,2990025.0,,,
52,2019-01-28,15.9,15.91,15.26,15.53,9765485.0,,,
53,2019-01-29,15.44,15.5,15.14,15.29,3555252.0,,,
54,2019-01-30,15.26,15.49,14.87,14.96,5275020.0,,,
55,2019-01-31,15.01,15.11,14.75,14.97,5057391.0,,,
56,2019-02-01,15.09,15.46,14.97,15.39,4490700.0,,,
57,2019-02-11,15.44,16.2,15.3,16.03,8262210.0,,,
58,2019-02-12,16.02,16.57,15.93,16.38,7355233.0,,,
59,2019-02-13,16.46,17.23,16.32,16.65,11106685.0,,,
60,2019-02-14,16.71,16.93,16.54,16.7,5655491.0,,,
61,2019-02-15,16.7,16.92,16.56,16.6,5460065.0,,,
62,2019-02-18,16.72,17.55,16.66,17.39,9836134.0,,,
63,2019-02-19,17.47,17.65,17.16,17.43,8259872.0,,,
64,2019-02-20,17.31,17.43,17.01,17.31,5204461.0,,,
65,2019-02-21,17.37,17.65,16.95,17.1,7235814.0,,,
66,2019-02-22,17.04,18.0,17.03,18.0,8422411.0,,,
67,2019-02-25,18.25,18.7,17.51,18.62,22966237.0,,,
68,2019-02-26,18.34,18.42,17.87,17.97,15094660.0,,,
69,2019-02-27,17.74,18.19,17.55,17.78,10474874.0,,,
70,2019-02-28,17.85,18.49,17.72,18.03,8717073.0,,,
71,2019-03-01,18.04,18.08,16.9,17.67,15177313.0,,,
72,2019-03-04,17.67,17.91,17.13,17.3,27263622.0,,,
73,2019-03-05,17.28,17.77,17.08,17.75,15889204.0,,,
74,2019-03-06,17.82,18.39,17.38,17.72,18178318.0,,,
75,2019-03-07,17.72,18.03,17.29,17.76,17975849.0,,,
76,2019-03-08,17.49,17.61,16.97,17.09,15371595.0,,,
77,2019-03-11,17.18,17.78,16.88,17.78,21778812.0,,,
78,2019-03-12,17.76,19.08,17.72,19.0,32409180.0,,,
79,2019-03-13,19.05,19.12,17.61,17.74,22176132.0,,,
80,2019-03-14,17.62,17.62,16.61,16.87,17430950.0,,,
81,2019-03-15,16.94,17.21,16.65,16.88,12571869.0,,,
82,2019-03-18,16.88,17.33,16.56,17.28,11474770.0,,,
83,2019-03-19,17.19,17.26,16.73,16.86,15252089.0,,,
84,2019-03-20,16.83,17.03,16.51,16.87,12062153.0,,,
85,2019-03-21,16.88,17.07,16.66,16.96,11698041.0,,,
86,2019-03-22,16.96,17.02,16.6,16.79,8831159.0,,,
87,2019-03-25,16.64,16.69,16.5,16.57,7246224.0,,,
88,2019-03-26,16.59,16.88,16.4,16.58,9981491.0,,,
89,2019-03-27,16.62,16.78,16.14,16.74,12403898.0,,,
90,2019-03-28,16.61,17.09,16.49,16.9,11513083.0,,,
91,2019-03-29,16.92,17.11,16.64,17.04,10758662.0,,,
92,2019-04-01,17.03,17.76,16.94,17.56,18465235.0,,,
93,2019-04-02,17.51,17.65,17.34,17.47,10961819.0,,,
94,2019-04-03,17.35,17.61,17.13,17.29,10666317.0,,,
95,2019-04-04,17.22,17.26,16.67,16.76,15468686.0,,,
96,2019-04-08,16.75,16.86,16.32,16.5,13008337.0,,,
97,2019-04-09,16.44,16.62,16.34,16.6,11270413.0,,,
98,2019-04-10,16.51,16.52,16.09,16.31,13678298.0,,,
99,2019-04-11,16.32,16.79,16.12,16.58,12631074.0,,,
100,2019-04-12,16.54,16.57,16.22,16.33,7967615.0,,,
101,2019-04-15,16.49,16.78,16.48,16.52,9528835.0,,,
102,2019-04-16,16.58,16.58,15.92,16.53,10303798.0,,,
103,2019-04-17,16.6,16.6,16.32,16.33,8889398.0,,,
104,2019-04-18,16.41,16.41,16.01,16.03,9467112.0,,,
105,2019-04-19,16.05,16.12,15.84,16.02,5282136.0,,,
106,2019-04-22,16.05,16.14,15.84,15.85,7415477.0,,,
107,2019-04-23,15.87,15.94,15.47,15.53,9304824.0,,,
108,2019-04-24,15.5,15.61,14.93,15.28,16456803.0,,,
109,2019-04-25,15.21,15.35,14.77,14.78,9214713.0,,,
110,2019-04-26,14.85,15.07,14.74,14.9,7174391.0,,,
111,2019-04-29,14.45,14.56,14.02,14.32,14988484.0,,,
112,2019-04-30,14.32,14.37,13.56,13.79,15803141.0,,,
113,2019-05-06,13.42,13.5,12.41,12.41,16610082.0,,,
114,2019-05-07,12.45,12.61,12.18,12.52,12733727.0,,,
115,2019-05-08,12.26,12.73,12.14,12.37,10265916.0,,,
116,2019-05-09,12.36,12.5,12.26,12.26,6249661.0,,,
117,2019-05-10,12.41,12.7,12.14,12.68,10711219.0,,,
118,2019-05-13,12.53,12.61,12.38,12.45,6603649.0,,,
119,2019-05-14,12.3,12.59,12.27,12.35,5484413.0,16.185666666666652,,
