,date,open,high,low,close,volume,120,180,240
0,2018-11-13,21.25,21.95,21.25,21.75,2048502.0,,,
1,2018-11-14,21.45,21.79,21.44,21.68,1247174.0,,,
2,2018-11-15,21.84,23.14,21.84,22.71,3671515.0,,,
3,2018-11-16,22.48,22.73,22.21,22.62,2271633.0,,,
4,2018-11-19,22.6,23.87,22.29,22.87,2430069.0,,,
5,2018-11-20,22.4,22.75,21.5,21.5,1783160.0,,,
6,2018-11-21,21.2,21.8,21.18,21.72,910870.0,,,
7,2018-11-22,22.01,22.22,21.72,21.9,876128.0,,,
8,2018-11-23,22.3,22.9,21.42,21.56,2251308.0,,,
9,2018-11-26,20.83,20.83,19.4,19.4,2127138.0,,,
10,2018-11-27,19.55,19.74,18.81,19.09,1029140.0,,,
11,2018-11-28,19.14,19.57,18.3,19.56,1249202.0,,,
12,2018-11-29,19.55,19.55,18.86,18.89,1074042.0,,,
13,2018-11-30,18.66,19.13,18.45,19.03,855720.0,,,
14,2018-12-03,19.56,20.88,19.35,20.29,1625882.0,,,
15,2018-12-04,20.29,20.43,19.86,20.29,869737.0,,,
16,2018-12-05,19.79,20.14,19.75,19.89,761668.0,,,
17,2018-12-06,19.96,19.96,19.42,19.47,662592.0,,,
18,2018-12-07,19.55,19.63,19.32,19.48,427265.0,,,
19,2018-12-10,19.19,19.4,19.07,19.19,549442.0,,,
20,2018-12-11,19.22,19.45,19.19,19.37,434128.0,,,
21,2018-12-12,19.45,19.91,19.42,19.78,856927.0,,,
22,2018-12-13,19.8,19.94,19.08,19.54,861890.0,,,
23,2018-12-14,19.51,19.69,19.16,19.35,611030.0,,,
24,2018-12-17,19.07,19.45,18.68,19.1,547220.0,,,
25,2018-12-18,19.04,19.47,18.86,19.42,497880.0,,,
26,2018-12-19,19.4,19.41,18.75,18.86,563238.0,,,
27,2018-12-20,18.64,19.1,18.64,19.03,375923.0,,,
28,2018-12-21,18.99,19.24,18.89,19.07,474499.0,,,
29,2018-12-24,19.1,20.75,17.75,19.71,1081023.0,,,
30,2018-12-25,19.72,19.78,18.79,19.54,658734.0,,,
31,2018-12-26,19.66,19.82,19.06,19.16,587216.0,,,
32,2018-12-27,19.41,20.16,19.41,19.71,1485309.0,,,
33,2018-12-28,19.56,20.15,19.52,19.82,1084050.0,,,
34,2019-01-02,19.67,19.86,18.89,18.98,897210.0,,,
35,2019-01-03,18.89,19.14,18.2,18.2,923900.0,,,
36,2019-01-04,18.03,18.8,17.61,18.66,975698.0,,,
37,2019-01-07,18.79,19.39,18.57,19.39,1023780.0,,,
38,2019-01-08,19.37,19.37,18.91,18.98,599864.0,,,
39,2019-01-09,19.26,19.76,19.0,19.01,757104.0,,,
40,2019-01-10,18.91,19.75,18.81,19.4,1159274.0,,,
41,2019-01-11,19.4,19.78,19.21,19.7,1168929.0,,,
42,2019-01-14,19.57,20.03,19.37,19.38,639637.0,,,
43,2019-01-15,19.18,19.63,19.18,19.54,451080.0,,,
44,2019-01-16,19.42,19.75,19.3,19.41,545570.0,,,
45,2019-01-17,19.34,19.5,19.16,19.2,437370.0,,,
46,2019-01-18,19.28,19.84,19.04,19.58,727840.0,,,
47,2019-01-21,19.6,19.86,19.47,19.69,646071.0,,,
48,2019-01-22,19.71,19.83,19.43,19.56,583609.0,,,
49,2019-01-23,19.58,19.83,19.55,19.69,485600.0,,,
50,2019-01-24,19.69,19.77,18.93,19.13,1446880.0,,,
51,2019-01-25,19.13,19.3,18.82,18.85,716880.0,,,
52,2019-01-28,19.26,19.26,18.66,18.9,607459.0,,,
53,2019-01-29,18.89,18.9,17.77,18.07,895719.0,,,
54,2019-01-30,18.18,18.21,17.77,17.86,463290.0,,,
55,2019-01-31,17.83,18.07,16.82,17.15,608158.0,,,
56,2019-02-01,17.16,17.92,17.16,17.9,423629.0,,,
57,2019-02-11,17.9,18.41,17.9,18.37,372990.0,,,
58,2019-02-12,18.36,18.71,18.29,18.51,520314.0,,,
59,2019-02-13,18.59,19.4,18.42,19.32,1075976.0,,,
60,2019-02-14,19.32,19.32,18.83,18.94,859273.0,,,
61,2019-02-15,18.72,19.31,18.72,18.83,726194.0,,,
62,2019-02-18,18.89,19.3,18.85,19.28,890838.0,,,
63,2019-02-19,19.51,19.51,18.99,19.22,743512.0,,,
64,2019-02-20,19.25,19.65,19.12,19.56,1092210.0,,,
65,2019-02-21,19.63,19.69,19.24,19.31,1177203.0,,,
66,2019-02-22,19.23,19.63,19.04,19.63,1089900.0,,,
67,2019-02-25,19.69,20.72,19.62,20.4,1893949.0,,,
68,2019-02-26,20.48,21.39,20.16,20.72,2161210.0,,,
69,2019-02-27,20.6,21.03,20.19,20.36,1253570.0,,,
70,2019-02-28,20.42,21.44,20.42,21.19,2109621.0,,,
71,2019-03-01,21.09,22.25,20.99,22.25,2103567.0,,,
72,2019-03-04,23.71,23.71,21.5,21.85,2834594.0,,,
73,2019-03-05,21.98,22.2,21.53,22.08,1968242.0,,,
74,2019-03-06,22.08,22.37,21.92,22.22,1923112.0,,,
75,2019-03-07,22.25,22.38,21.65,22.22,1761624.0,,,
76,2019-03-08,21.72,23.51,21.53,22.76,3259659.0,,,
77,2019-03-11,22.43,25.04,22.37,24.29,2733188.0,,,
78,2019-03-12,24.32,24.99,23.74,23.96,2164708.0,,,
79,2019-03-13,23.9,24.04,22.62,22.71,1894004.0,,,
80,2019-03-14,22.57,23.29,22.25,22.32,1454604.0,,,
81,2019-03-15,22.59,23.51,22.32,22.52,1219420.0,,,
82,2019-03-18,22.73,22.77,22.17,22.73,804520.0,,,
83,2019-03-19,22.78,22.96,22.61,22.75,735854.0,,,
84,2019-03-20,22.76,22.76,22.1,22.75,822844.0,,,
85,2019-03-21,22.76,22.92,22.51,22.63,940630.0,,,
86,2019-03-22,22.54,22.69,22.16,22.57,686200.0,,,
