,date,open,high,low,close,volume,120,180,240
0,2018-11-12,7.41,7.56,7.26,7.55,2417275.0,,,
1,2018-11-13,7.4,7.58,7.4,7.46,2880300.0,,,
2,2018-11-14,7.5,7.64,7.46,7.48,1875321.0,,,
3,2018-11-15,7.48,7.56,7.39,7.48,1662700.0,,,
4,2018-11-16,7.55,7.62,7.48,7.51,2000499.0,,,
5,2018-11-19,7.46,7.5,7.33,7.37,2070300.0,,,
6,2018-11-20,7.26,7.3,7.1,7.12,2330000.0,,,
7,2018-11-21,6.98,7.58,6.98,7.58,2861201.0,,,
8,2018-11-22,7.58,7.71,7.53,7.62,3120445.0,,,
9,2018-11-23,7.71,7.95,7.62,7.63,3434500.0,,,
10,2018-11-26,7.71,7.81,7.44,7.66,1954200.0,,,
11,2018-11-27,7.9,7.91,7.46,7.66,2383699.0,,,
12,2018-11-28,7.59,7.76,7.37,7.7,1707546.0,,,
13,2018-11-29,7.72,7.77,7.46,7.61,1220746.0,,,
14,2018-11-30,7.45,7.67,7.39,7.56,1885230.0,,,
15,2018-12-03,7.71,7.78,7.61,7.64,1371100.0,,,
16,2018-12-04,7.72,7.72,7.32,7.32,3367200.0,,,
17,2018-12-05,7.2,7.28,7.13,7.27,2126963.0,,,
18,2018-12-06,7.26,7.26,6.96,6.96,2315800.0,,,
19,2018-12-07,6.72,6.96,6.72,6.82,1482102.0,,,
20,2018-12-10,6.85,6.88,6.79,6.83,1308800.0,,,
21,2018-12-11,6.84,6.84,6.74,6.75,1231275.0,,,
22,2018-12-12,6.69,6.83,6.69,6.76,2329621.0,,,
23,2018-12-13,6.78,6.8,6.71,6.75,850000.0,,,
24,2018-12-14,6.75,6.75,6.22,6.48,3241650.0,,,
25,2018-12-17,6.41,6.47,6.3,6.36,963200.0,,,
26,2018-12-18,6.42,6.42,6.28,6.36,761000.0,,,
27,2018-12-19,6.39,6.39,6.19,6.2,894100.0,,,
28,2018-12-20,6.24,6.32,6.14,6.28,1698779.0,,,
29,2018-12-21,6.28,6.31,6.09,6.26,2710248.0,,,
30,2018-12-24,6.26,6.29,6.14,6.26,643161.0,,,
31,2018-12-25,6.27,6.28,5.64,6.16,2641700.0,,,
32,2018-12-26,6.05,6.14,5.89,6.12,1459700.0,,,
33,2018-12-27,6.1,6.15,5.98,6.11,1613300.0,,,
34,2018-12-28,6.07,6.12,6.02,6.08,421600.0,,,
35,2019-01-02,6.08,6.08,5.91,6.02,1018297.0,,,
36,2019-01-03,5.81,6.02,5.81,5.86,904000.0,,,
37,2019-01-04,5.88,6.09,5.82,6.09,2456101.0,,,
38,2019-01-07,6.14,6.28,6.08,6.26,2840982.0,,,
39,2019-01-08,6.14,6.22,6.1,6.2,1547214.0,,,
40,2019-01-09,6.2,6.21,6.12,6.17,1148202.0,,,
41,2019-01-10,6.14,6.2,6.1,6.12,600699.0,,,
42,2019-01-11,6.17,6.54,6.12,6.48,2754922.0,,,
43,2019-01-14,6.45,6.89,6.44,6.62,2343394.0,,,
44,2019-01-15,6.59,6.86,6.59,6.76,2581416.0,,,
45,2019-01-16,6.76,6.8,6.63,6.76,1065000.0,,,
46,2019-01-17,6.76,6.84,6.66,6.73,1447260.0,,,
47,2019-01-18,6.64,6.79,6.54,6.68,1621563.0,,,
48,2019-01-21,6.74,6.84,6.64,6.82,1960400.0,,,
49,2019-01-22,6.87,6.87,6.73,6.85,2678900.0,,,
50,2019-01-23,6.88,6.91,6.82,6.86,2151199.0,,,
51,2019-01-24,6.9,7.15,6.78,7.15,2339477.0,,,
52,2019-01-25,7.18,7.48,7.04,7.32,2623402.0,,,
53,2019-01-28,7.26,7.59,7.26,7.43,1645500.0,,,
54,2019-01-29,7.43,7.43,6.9,7.3,1404500.0,,,
55,2019-01-30,7.21,7.41,7.1,7.22,1159500.0,,,
56,2019-01-31,7.08,7.58,6.86,7.52,3234980.0,,,
57,2019-02-01,7.62,8.15,7.52,8.03,4237418.0,,,
