,date,open,high,low,close,volume,10,60,250
0,2020-03-18,16.3,16.54,15.75,15.76,6444423.0,,,
1,2020-03-19,15.58,15.82,15.14,15.68,6001993.0,,,
2,2020-03-20,15.79,15.91,15.29,15.7,4679160.0,,,
3,2020-03-23,15.28,15.57,14.59,14.7,4582460.0,,,
4,2020-03-24,14.98,15.17,14.78,15.17,4917729.0,,,
5,2020-03-25,15.6,15.63,15.32,15.5,4614626.0,,,
6,2020-03-26,15.4,16.34,15.24,16.08,8363362.0,,,
7,2020-03-27,16.18,16.25,15.38,15.5,6569525.0,,,
8,2020-03-30,15.32,15.32,14.72,14.84,4298397.0,,,
9,2020-03-31,15.13,15.15,14.91,15.05,3318137.0,15.398000000000001,,
10,2020-04-01,14.58,15.13,14.57,14.73,4101157.0,15.295000000000002,,
11,2020-04-02,14.72,15.08,14.56,15.08,2792742.0,15.235000000000003,,
12,2020-04-03,15.04,15.4,14.86,14.99,3927341.0,15.164000000000005,,
13,2020-04-07,15.23,16.49,15.09,16.49,8158135.0,15.343000000000007,,
14,2020-04-08,16.38,16.42,15.83,16.16,9342608.0,15.442000000000007,,
15,2020-04-09,16.23,16.59,16.06,16.32,7043594.0,15.524000000000006,,
16,2020-04-10,16.24,16.43,15.49,15.59,6691245.0,15.475000000000005,,
17,2020-04-13,15.28,15.78,14.88,15.59,4744974.0,15.484000000000005,,
18,2020-04-14,15.55,15.63,15.23,15.56,5320073.0,15.556000000000006,,
19,2020-04-15,15.59,15.85,15.16,15.23,7588544.0,15.574000000000003,,
20,2020-04-16,15.18,16.05,15.09,15.46,9981092.0,15.647000000000006,,
21,2020-04-17,15.66,15.72,14.8,14.85,11367936.0,15.624000000000004,,
22,2020-04-20,14.73,16.34,14.58,16.34,19618444.0,15.759000000000004,,
23,2020-04-21,16.01,16.78,15.78,16.56,23305459.0,15.766000000000002,,
24,2020-04-22,16.38,16.38,15.82,16.2,13005546.0,15.770000000000001,,
25,2020-04-23,16.56,17.06,16.26,16.37,17496291.0,15.775000000000002,,
26,2020-04-24,15.98,16.27,15.64,15.75,10088660.0,15.791000000000002,,
27,2020-04-27,15.68,15.85,15.1,15.42,6333152.0,15.774000000000001,,
28,2020-04-28,15.37,15.72,14.48,15.02,5761035.0,15.720000000000002,,
29,2020-04-29,15.02,15.14,14.81,14.9,4053184.0,15.687000000000003,,
30,2020-04-30,15.07,15.57,14.91,15.5,5652318.0,15.691000000000003,,
31,2020-05-06,15.27,15.76,15.19,15.64,4929153.0,15.770000000000001,,
32,2020-05-07,15.63,15.86,15.38,15.45,4171969.0,15.681000000000001,,
33,2020-05-08,15.39,16.05,15.38,15.96,7338641.0,15.621,,
34,2020-05-11,15.79,16.02,15.63,15.93,4841503.0,15.594000000000003,,
35,2020-05-12,15.81,15.81,15.21,15.46,4585077.0,15.503000000000004,,
36,2020-05-13,15.39,15.8,15.3,15.78,4520754.0,15.506000000000004,,
37,2020-05-14,15.69,15.69,15.37,15.41,2716593.0,15.505000000000004,,
38,2020-05-15,15.47,15.53,14.96,15.13,4128060.0,15.516000000000002,,
39,2020-05-18,15.13,15.26,14.98,15.04,2302442.0,15.530000000000001,,
40,2020-05-19,15.16,15.25,15.0,15.11,2280575.0,15.491000000000003,,
41,2020-05-20,15.13,15.51,15.09,15.36,3964499.0,15.463000000000005,,
42,2020-05-21,15.36,15.43,14.81,14.86,3748329.0,15.404000000000007,,
43,2020-05-22,14.79,15.1,14.71,14.98,2633362.0,15.306000000000006,,
44,2020-05-25,14.87,14.97,14.74,14.8,1592850.0,15.193000000000007,,
45,2020-05-26,14.94,15.22,14.8,15.12,2573772.0,15.159000000000006,,
46,2020-05-27,15.14,15.14,14.76,14.78,4012862.0,15.059000000000006,,
47,2020-05-28,14.78,14.86,13.69,14.24,5974690.0,14.942000000000007,,
48,2020-05-29,14.2,14.37,13.97,14.25,2972176.0,14.854000000000008,,
49,2020-06-01,14.13,14.48,14.08,14.36,4575809.0,14.78600000000001,,
50,2020-06-02,14.39,14.4,14.01,14.16,3814633.0,14.691000000000008,,
51,2020-06-03,14.25,14.38,14.12,14.15,3530707.0,14.570000000000011,,
52,2020-06-04,14.1,14.18,13.8,13.85,3834640.0,14.469000000000012,,
53,2020-06-05,13.9,14.07,13.84,14.02,2475787.0,14.373000000000014,,
54,2020-06-08,14.12,14.21,13.98,14.17,2940576.0,14.310000000000011,,
55,2020-06-09,14.21,14.29,13.86,13.92,2838213.0,14.190000000000008,,
56,2020-06-10,13.86,14.16,13.84,14.11,2885751.0,14.12300000000001,,
57,2020-06-11,14.07,14.2,13.91,13.94,2714910.0,14.093000000000009,,
58,2020-06-12,13.78,14.76,13.66,14.36,8089834.0,14.104000000000008,,
