,date,open,high,low,close,volume,10,60,250
0,2020-03-18,11.99,12.28,11.7,11.71,3588500.0,,,
1,2020-03-19,11.72,11.93,11.45,11.83,3163769.0,,,
2,2020-03-20,12.01,12.14,11.67,11.99,3063802.0,,,
3,2020-03-23,11.64,11.82,11.14,11.36,2925302.0,,,
4,2020-03-24,11.58,11.73,11.1,11.53,2867660.0,,,
5,2020-03-25,11.79,11.96,11.7,11.78,3505500.0,,,
6,2020-03-26,11.81,11.88,11.56,11.61,2838400.0,,,
7,2020-03-27,11.72,11.85,11.62,11.66,2795100.0,,,
8,2020-03-30,11.52,11.52,11.0,11.23,2769002.0,,,
9,2020-03-31,11.44,11.49,11.16,11.21,1767422.0,11.591,,
10,2020-04-01,11.17,11.36,11.0,11.12,2264200.0,11.532,,
11,2020-04-02,11.06,11.54,10.99,11.49,2512302.0,11.498,,
12,2020-04-03,11.42,11.75,11.34,11.37,2931600.0,11.436,,
13,2020-04-07,11.59,11.84,11.49,11.81,3079519.0,11.481,,
14,2020-04-08,11.75,12.36,11.7,12.23,4308219.0,11.551,,
15,2020-04-09,12.13,12.36,12.11,12.24,2655400.0,11.597,,
16,2020-04-10,12.36,12.36,11.54,11.87,2847700.0,11.623000000000001,,
17,2020-04-13,11.79,11.96,11.39,11.79,2306973.0,11.636000000000001,,
18,2020-04-14,11.81,11.94,11.72,11.92,2130600.0,11.705,,
19,2020-04-15,11.97,12.08,11.74,11.81,2307200.0,11.764999999999997,,
20,2020-04-16,11.72,11.99,11.59,11.91,2228269.0,11.843999999999998,,
21,2020-04-17,11.92,11.97,11.69,11.72,2408800.0,11.866999999999997,,
22,2020-04-20,11.71,11.75,11.51,11.67,1563142.0,11.896999999999997,,
23,2020-04-21,11.62,11.74,11.32,11.41,1997000.0,11.856999999999996,,
24,2020-04-22,11.41,11.5,11.31,11.46,1640700.0,11.779999999999998,,
25,2020-04-23,11.46,11.57,11.33,11.35,1593600.0,11.690999999999999,,
26,2020-04-24,11.35,11.56,11.26,11.28,2687250.0,11.631999999999996,,
27,2020-04-27,10.97,10.99,10.21,10.4,5676453.0,11.492999999999999,,
28,2020-04-28,10.25,10.59,9.53,10.36,5300552.0,11.336999999999998,,
29,2020-04-29,11.13,11.15,10.44,10.45,3518552.0,11.200999999999997,,
30,2020-04-30,10.4,10.79,10.3,10.69,2680010.0,11.078999999999997,,
31,2020-05-06,10.59,10.98,10.58,10.78,2220410.0,10.984999999999998,,
32,2020-05-07,10.78,10.84,10.5,10.56,2169600.0,10.873999999999999,,
33,2020-05-08,10.59,11.62,10.59,11.62,5204410.0,10.895,,
34,2020-05-11,11.97,12.64,11.97,12.18,9052692.0,10.966999999999999,,
35,2020-05-12,12.22,12.22,11.69,12.08,4174118.0,11.04,,
36,2020-05-13,11.98,12.38,11.98,12.06,3206351.0,11.117999999999999,,
37,2020-05-14,11.99,12.01,11.73,11.77,2648352.0,11.254999999999999,,
38,2020-05-15,11.9,12.15,11.78,12.11,2634510.0,11.429999999999998,,
39,2020-05-18,12.61,12.65,12.08,12.23,5123852.0,11.607999999999999,,
40,2020-05-19,12.78,12.78,12.38,12.65,5280351.0,11.803999999999998,,
41,2020-05-20,12.82,13.87,12.78,12.9,10220851.0,12.016,,
42,2020-05-21,12.73,12.83,11.82,11.86,7760800.0,12.145999999999997,,
43,2020-05-22,11.86,12.02,11.16,11.27,4458100.0,12.110999999999999,,
44,2020-05-25,11.17,11.44,10.93,10.96,2665200.0,11.988999999999999,,
45,2020-05-26,10.96,11.41,10.96,11.36,2656651.0,11.917,,
46,2020-05-27,11.42,11.55,11.15,11.25,2032209.0,11.836000000000002,,
47,2020-05-28,11.36,11.36,10.98,11.17,2234719.0,11.776,,
48,2020-05-29,11.15,11.32,11.04,11.17,1831800.0,11.682,,
49,2020-06-01,11.31,11.84,11.3,11.66,3026852.0,11.625000000000002,,
50,2020-06-02,11.84,12.38,11.71,11.93,4577270.0,11.553,,
51,2020-06-03,11.83,12.66,11.83,12.43,5368570.0,11.506,,
52,2020-06-04,12.58,13.46,12.58,13.33,10573000.0,11.653000000000002,,
53,2020-06-05,13.71,13.84,12.82,13.16,10370461.0,11.842000000000002,,
54,2020-06-08,13.16,13.17,12.54,12.55,7367000.0,12.001000000000001,,
55,2020-06-09,12.64,12.71,12.32,12.5,3633561.0,12.115000000000002,,
56,2020-06-10,12.62,13.28,12.62,13.02,5214500.0,12.292000000000002,,
57,2020-06-11,13.03,14.32,13.03,14.32,13713266.0,12.607000000000001,,
58,2020-06-12,13.96,15.75,13.85,15.75,16071323.0,13.065000000000001,,
59,2020-06-15,15.9,16.94,14.83,15.72,17329323.0,13.471,11.87683333333333,
60,2020-06-16,15.8,16.44,15.43,15.83,9715818.0,13.861,11.945499999999997,
61,2020-06-17,15.83,16.09,15.23,15.45,8081605.0,14.163,12.00583333333333,
62,2020-06-18,15.51,16.7,15.3,16.3,11179800.0,14.459999999999999,12.077666666666662,
63,2020-06-19,16.93,17.93,16.88,17.93,9808562.0,14.937000000000001,12.187166666666661,
64,2020-06-22,18.5,19.72,18.33,19.72,6958856.0,15.654,12.323666666666663,
65,2020-06-23,19.69,20.99,18.91,19.61,17676663.0,16.365,12.454166666666662,
