,date,open,high,low,close,volume,120,180,240
0,2018-11-13,12.2,12.52,12.09,12.39,1516015.0,,,
1,2018-11-14,12.39,12.56,12.26,12.42,1104278.0,,,
2,2018-11-15,12.39,12.83,12.39,12.81,2361396.0,,,
3,2018-11-16,12.81,13.32,12.62,13.23,2978860.0,,,
4,2018-11-19,13.21,13.35,13.04,13.25,1953180.0,,,
5,2018-11-20,13.17,13.17,12.48,12.68,1708850.0,,,
6,2018-11-21,12.47,13.04,12.39,12.9,1677330.0,,,
7,2018-11-22,12.9,13.35,12.9,13.27,2593470.0,,,
8,2018-11-23,13.29,13.32,12.53,12.54,1814242.0,,,
9,2018-11-26,12.56,13.09,12.49,12.98,2466784.0,,,
10,2018-11-27,13.23,13.24,12.7,12.84,1289400.0,,,
11,2018-11-28,12.76,12.9,12.45,12.84,1029560.0,,,
12,2018-11-29,12.89,12.96,12.03,12.36,2620335.0,,,
13,2018-11-30,12.45,12.45,12.01,12.22,1321877.0,,,
14,2018-12-03,12.52,12.78,12.38,12.71,2392160.0,,,
15,2018-12-04,12.77,12.97,12.64,12.84,1135371.0,,,
16,2018-12-05,12.67,12.77,12.47,12.51,1278930.0,,,
17,2018-12-06,12.54,12.89,12.26,12.75,2789910.0,,,
18,2018-12-07,12.9,12.9,12.39,12.45,1354414.0,,,
19,2018-12-10,12.23,12.35,11.98,12.19,1198904.0,,,
20,2018-12-11,12.17,12.31,12.1,12.17,642262.0,,,
21,2018-12-12,12.14,12.38,12.14,12.22,445856.0,,,
22,2018-12-13,12.36,12.38,12.06,12.25,694972.0,,,
23,2018-12-14,12.25,12.33,12.05,12.1,740914.0,,,
24,2018-12-17,12.0,12.08,11.11,11.73,748181.0,,,
25,2018-12-18,11.74,11.95,11.6,11.7,734714.0,,,
26,2018-12-19,11.83,11.83,11.58,11.7,459420.0,,,
27,2018-12-20,11.77,11.87,11.51,11.66,483352.0,,,
28,2018-12-21,11.64,11.7,11.45,11.54,564308.0,,,
29,2018-12-24,11.6,11.78,11.41,11.58,511720.0,,,
30,2018-12-25,11.43,11.43,10.99,11.31,1208929.0,,,
31,2018-12-26,11.26,11.57,11.24,11.33,449900.0,,,
32,2018-12-27,11.43,11.83,11.26,11.8,1238289.0,,,
33,2018-12-28,11.63,11.95,11.42,11.9,1334839.0,,,
34,2019-01-02,11.87,12.05,11.55,11.94,1032271.0,,,
35,2019-01-03,11.8,12.16,11.62,12.14,1651402.0,,,
36,2019-01-04,11.95,12.76,11.83,12.67,3105309.0,,,
37,2019-01-07,12.59,12.69,12.33,12.42,2342692.0,,,
38,2019-01-08,12.4,12.4,12.08,12.34,1865117.0,,,
39,2019-01-09,12.84,12.9,12.32,12.47,3616440.0,,,
40,2019-01-10,12.4,12.4,12.14,12.17,917160.0,,,
41,2019-01-11,12.27,12.4,11.98,12.39,1826900.0,,,
42,2019-01-14,12.35,12.37,12.05,12.1,735823.0,,,
43,2019-01-15,12.03,12.61,12.01,12.56,1814634.0,,,
44,2019-01-16,12.5,12.64,12.37,12.55,1265640.0,,,
45,2019-01-17,12.48,12.56,12.39,12.54,843820.0,,,
46,2019-01-18,12.49,12.67,12.41,12.67,1694180.0,,,
47,2019-01-21,12.68,12.74,12.48,12.52,1017291.0,,,
48,2019-01-22,12.52,12.58,12.41,12.47,661240.0,,,
49,2019-01-23,12.42,12.54,12.24,12.29,810180.0,,,
50,2019-01-24,12.36,12.42,12.28,12.3,491740.0,,,
51,2019-01-25,12.21,12.38,12.21,12.21,499600.0,,,
52,2019-01-28,12.21,12.33,11.95,12.1,963633.0,,,
53,2019-01-29,11.98,12.1,11.59,11.74,1042464.0,,,
54,2019-01-30,11.62,11.74,11.61,11.73,630700.0,,,
55,2019-01-31,11.75,11.86,11.29,11.64,1311940.0,,,
56,2019-02-01,11.62,12.22,11.47,12.22,1795165.0,,,
57,2019-02-11,12.17,12.31,12.05,12.27,2019777.0,,,
58,2019-02-12,12.25,12.45,12.19,12.29,1836451.0,,,
59,2019-02-13,12.29,12.62,12.29,12.47,3472052.0,,,
60,2019-02-14,12.46,12.59,12.4,12.48,2329400.0,,,
61,2019-02-15,12.5,12.59,12.42,12.49,1933333.0,,,
62,2019-02-18,12.48,12.74,12.48,12.69,4145902.0,,,
63,2019-02-19,12.69,12.79,12.38,12.64,4097138.0,,,
64,2019-02-20,12.6,12.9,12.49,12.87,6812368.0,,,
65,2019-02-21,12.86,13.21,12.69,13.09,5603009.0,,,
66,2019-02-22,12.9,13.13,12.88,13.08,3135577.0,,,
67,2019-02-25,13.09,13.87,13.0,13.76,5705925.0,,,
68,2019-02-26,13.28,13.5,12.91,13.22,10010312.0,,,
69,2019-02-27,13.06,13.19,12.7,12.81,5526780.0,,,
70,2019-02-28,12.8,13.06,12.72,12.91,4257451.0,,,
71,2019-03-01,13.03,13.03,12.71,12.86,2709103.0,,,
72,2019-03-04,12.91,13.09,12.85,12.95,7112991.0,,,
73,2019-03-05,12.9,13.09,12.78,13.09,5688094.0,,,
74,2019-03-06,13.23,13.63,13.15,13.45,10023526.0,,,
75,2019-03-07,13.46,14.11,13.19,13.85,9394957.0,,,
76,2019-03-08,13.61,13.8,13.18,13.2,6109823.0,,,
77,2019-03-11,13.28,13.63,13.18,13.59,4794839.0,,,
78,2019-03-12,13.77,13.87,13.34,13.52,7001151.0,,,
79,2019-03-13,13.56,13.63,13.3,13.37,4054302.0,,,
80,2019-03-14,13.37,13.54,12.71,12.87,4711860.0,,,
81,2019-03-15,12.91,13.12,12.75,12.93,3760828.0,,,
82,2019-03-18,12.97,13.26,12.97,13.25,3352055.0,,,
83,2019-03-19,13.26,13.6,13.26,13.47,5167750.0,,,
84,2019-03-20,13.47,13.65,13.35,13.65,4922676.0,,,
85,2019-03-21,13.68,13.79,13.44,13.52,3810580.0,,,
86,2019-03-22,13.48,13.6,13.28,13.47,2970700.0,,,
87,2019-03-25,13.32,13.41,13.06,13.08,3873118.0,,,
88,2019-03-26,13.08,13.19,12.79,12.83,3455990.0,,,
89,2019-03-27,12.84,12.97,12.77,12.97,2122533.0,,,
90,2019-03-28,12.89,13.07,12.81,12.86,2360153.0,,,
91,2019-03-29,12.78,13.17,12.69,13.14,4438845.0,,,
92,2019-04-01,13.17,13.71,13.13,13.71,8018310.0,,,
93,2019-04-02,13.78,14.07,13.48,13.94,8440222.0,,,
94,2019-04-03,13.8,14.16,13.74,13.93,5058660.0,,,
95,2019-04-04,13.94,14.16,13.77,14.16,6566255.0,,,
96,2019-04-08,14.56,14.84,13.93,14.09,7343471.0,,,
97,2019-04-09,14.05,14.22,13.73,13.99,4032831.0,,,
98,2019-04-10,13.99,15.01,13.8,14.51,7976074.0,,,
99,2019-04-11,14.39,15.84,14.35,14.9,11033527.0,,,
100,2019-04-12,14.77,14.77,14.1,14.33,4990753.0,,,
101,2019-04-15,14.55,14.56,13.89,13.9,4332954.0,,,
102,2019-04-16,13.81,13.97,13.35,13.96,4914643.0,,,
103,2019-04-17,13.93,14.31,13.83,14.03,4694554.0,,,
104,2019-04-18,14.05,14.39,13.9,14.01,4154401.0,,,
105,2019-04-19,13.84,13.99,13.73,13.99,3204073.0,,,
106,2019-04-22,13.95,14.15,13.83,13.92,2754907.0,,,
107,2019-04-23,13.92,13.98,13.66,13.74,2150806.0,,,
108,2019-04-24,13.84,14.18,13.78,14.18,3436432.0,,,
109,2019-04-25,14.14,14.15,13.47,13.5,2982283.0,,,
110,2019-04-26,13.49,13.58,12.94,13.0,2979232.0,,,
111,2019-04-29,13.15,13.15,12.0,12.37,4495032.0,,,
112,2019-04-30,12.13,12.3,12.01,12.28,2149160.0,,,
113,2019-05-06,11.88,11.94,11.06,11.06,2772493.0,,,
114,2019-05-07,11.06,11.2,10.88,11.18,1996031.0,,,
115,2019-05-08,10.89,11.18,10.82,11.0,1260070.0,,,
116,2019-05-09,10.97,11.07,10.86,10.97,943800.0,,,
117,2019-05-10,11.02,11.23,10.76,11.19,1866451.0,,,
118,2019-05-13,11.11,11.23,11.0,11.11,1151145.0,,,
119,2019-05-14,10.89,11.08,10.82,10.95,1062140.0,12.718666666666671,,
120,2019-05-15,10.98,11.2,10.98,11.14,1517240.0,12.708250000000003,,
121,2019-05-16,11.23,11.44,11.2,11.27,1564745.0,12.69866666666667,,
122,2019-05-17,11.31,11.31,10.65,10.7,1937500.0,12.681083333333337,,
123,2019-05-20,10.56,10.66,10.23,10.42,1359977.0,12.657666666666671,,
124,2019-05-21,10.41,10.63,10.3,10.55,895819.0,12.63516666666667,,
125,2019-05-22,10.58,10.6,10.14,10.33,1448562.0,12.615583333333337,,
126,2019-05-23,10.32,10.32,9.8,9.84,1787033.0,12.590083333333334,,
127,2019-05-24,9.76,10.02,9.68,9.94,1414411.0,12.562333333333335,,
128,2019-05-27,10.01,10.2,9.89,10.11,1633982.0,12.542083333333334,,
129,2019-05-28,10.13,10.26,10.0,10.03,1530931.0,12.517500000000002,,
130,2019-05-29,10.05,10.21,10.0,10.13,1432533.0,12.49491666666667,,
131,2019-05-30,10.02,10.29,9.92,10.12,1603645.0,12.472250000000003,,
132,2019-05-31,10.12,10.41,10.11,10.15,1785337.0,12.453833333333337,,
133,2019-06-03,10.23,10.25,9.95,9.98,1454340.0,12.435166666666671,,
134,2019-06-04,9.98,10.08,9.83,9.89,1453926.0,12.41166666666667,,
135,2019-06-05,10.02,10.02,9.79,9.84,1604513.0,12.386666666666672,,
136,2019-06-06,9.82,9.89,9.57,9.58,1367865.0,12.362250000000005,,
137,2019-06-10,9.58,9.91,9.58,9.85,1493660.0,12.338083333333337,,
138,2019-06-11,9.89,10.08,9.77,10.06,1928146.0,12.318166666666668,,
139,2019-06-12,10.06,10.12,9.97,9.99,1420595.0,12.299833333333336,,
140,2019-06-13,10.02,10.05,9.91,10.05,1065100.0,12.282166666666667,,
141,2019-06-14,10.05,10.06,9.71,9.76,1374200.0,12.261666666666667,,
142,2019-06-17,9.7,9.84,9.68,9.69,850055.0,12.240333333333334,,
143,2019-06-18,9.69,9.8,9.61,9.68,843202.0,12.22016666666667,,
144,2019-06-19,9.86,9.95,9.77,9.77,1266288.0,12.203833333333336,,
145,2019-06-20,9.8,10.05,9.77,9.99,1645060.0,12.189583333333335,,
146,2019-06-21,10.06,10.2,9.99,10.2,2168717.0,12.177083333333336,,
147,2019-06-24,10.2,10.26,10.01,10.12,1643080.0,12.164250000000001,,
148,2019-06-25,10.2,10.2,9.89,9.96,1204999.0,12.151083333333334,,
149,2019-06-26,10.02,10.14,9.87,10.0,986333.0,12.137916666666667,,
150,2019-06-27,10.01,10.17,9.95,9.99,1413049.0,12.126916666666668,,
151,2019-06-28,9.96,10.04,9.7,9.8,1482791.0,12.11416666666667,,
152,2019-07-01,9.93,10.18,9.87,10.14,2055412.0,12.100333333333337,,
153,2019-07-02,10.17,10.34,10.04,10.3,2312480.0,12.087000000000002,,
154,2019-07-03,10.21,10.3,10.15,10.28,1822580.0,12.073166666666669,,
155,2019-07-04,10.28,10.38,10.13,10.27,1706018.0,12.057583333333334,,
156,2019-07-05,10.27,10.73,10.08,10.73,5276577.0,12.041416666666667,,
157,2019-07-08,10.62,10.86,10.42,10.86,5284456.0,12.028416666666665,,
158,2019-07-09,10.87,11.76,10.68,11.41,9671009.0,12.020666666666667,,
159,2019-07-10,11.2,11.29,10.9,10.98,4410294.0,12.00825,,
160,2019-07-11,10.9,11.1,10.63,10.73,3214907.0,11.99625,,
161,2019-07-12,10.67,10.67,10.38,10.53,2474058.0,11.980749999999999,,
162,2019-07-15,10.51,10.79,10.44,10.78,2138400.0,11.96975,,
163,2019-07-16,10.76,10.76,10.5,10.6,2032654.0,11.953416666666666,,
164,2019-07-17,10.62,10.74,10.52,10.7,1836275.0,11.937999999999999,,
165,2019-07-18,10.67,11.32,10.58,10.99,4473041.0,11.925083333333333,,
166,2019-07-19,10.97,11.32,10.89,11.17,4028266.0,11.912583333333334,,
167,2019-07-22,11.11,11.39,10.91,11.17,3663003.0,11.901333333333334,,
168,2019-07-23,11.12,11.25,10.63,10.86,4099959.0,11.887916666666666,,
169,2019-07-24,10.74,11.01,10.67,10.75,3373431.0,11.875083333333333,,
170,2019-07-25,10.7,10.82,10.44,10.51,2990360.0,11.860166666666666,,
171,2019-07-26,10.48,10.48,10.05,10.17,2673687.0,11.843166666666667,,
172,2019-07-29,10.15,10.32,10.1,10.23,1451645.0,11.827583333333335,,
