,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.43,5.81,5.41,5.71,8548024.0,,,
1,2018-11-14,5.69,5.75,5.62,5.63,4594577.0,,,
2,2018-11-15,5.66,5.74,5.61,5.73,3065972.0,,,
3,2018-11-16,5.74,5.94,5.67,5.84,5258643.0,,,
4,2018-11-19,5.83,5.98,5.72,5.96,4740260.0,,,
5,2018-11-20,5.9,6.54,5.8,5.81,9620892.0,,,
6,2018-11-21,5.75,6.03,5.73,5.93,6956537.0,,,
7,2018-11-22,5.92,5.94,5.8,5.87,3897180.0,,,
8,2018-11-23,5.86,5.86,5.46,5.54,4333840.0,,,
9,2018-11-26,5.58,5.62,5.49,5.53,1971920.0,,,
10,2018-11-27,5.59,5.94,5.57,5.84,4939092.0,,,
11,2018-11-28,5.9,5.94,5.62,5.72,5829210.0,,,
12,2018-11-29,5.74,5.78,5.54,5.57,3217350.0,,,
13,2018-11-30,5.56,5.67,5.5,5.64,2060670.0,,,
14,2018-12-03,5.76,5.8,5.69,5.75,4283780.0,,,
15,2018-12-04,5.74,5.78,5.72,5.78,2182812.0,,,
16,2018-12-05,5.65,5.7,5.61,5.68,2570492.0,,,
17,2018-12-06,5.65,5.67,5.48,5.52,2907200.0,,,
18,2018-12-07,5.57,5.6,5.47,5.51,1687102.0,,,
19,2018-12-10,5.47,5.52,5.3,5.39,2963084.0,,,
20,2018-12-11,5.43,5.53,5.36,5.51,2504544.0,,,
21,2018-12-12,5.5,5.6,5.45,5.53,3188105.0,,,
22,2018-12-13,5.5,5.56,5.44,5.5,2641200.0,,,
23,2018-12-14,5.54,5.54,5.38,5.4,2521431.0,,,
24,2018-12-17,5.39,5.49,5.33,5.47,1854973.0,,,
25,2018-12-18,5.5,5.55,5.41,5.43,2221100.0,,,
26,2018-12-19,5.46,5.47,5.3,5.34,1975367.0,,,
27,2018-12-20,5.28,5.4,5.28,5.34,1567800.0,,,
28,2018-12-21,5.34,5.44,5.25,5.28,2015392.0,,,
29,2018-12-24,5.31,5.31,5.25,5.27,1322867.0,,,
30,2018-12-25,5.26,5.26,5.01,5.23,2623380.0,,,
31,2018-12-26,5.18,5.24,5.15,5.17,1103879.0,,,
32,2018-12-27,5.29,5.29,5.08,5.1,1676820.0,,,
33,2018-12-28,5.12,5.15,5.05,5.07,1066450.0,,,
34,2019-01-02,5.07,5.12,5.03,5.05,1143160.0,,,
35,2019-01-03,5.05,5.1,5.04,5.1,1096802.0,,,
36,2019-01-04,5.12,5.31,5.08,5.28,3123160.0,,,
37,2019-01-07,5.28,5.4,5.25,5.36,3211581.0,,,
38,2019-01-08,5.36,5.48,5.33,5.46,2469573.0,,,
39,2019-01-09,5.5,5.62,5.46,5.49,4127100.0,,,
40,2019-01-10,5.47,5.57,5.46,5.47,2512660.0,,,
41,2019-01-11,5.53,5.77,5.45,5.59,4957881.0,,,
42,2019-01-14,5.52,5.68,5.41,5.44,3941847.0,,,
43,2019-01-15,4.9,5.07,4.9,4.97,16189491.0,,,
44,2019-01-16,4.91,5.38,4.9,5.18,16156121.0,,,
45,2019-01-17,5.18,5.32,5.1,5.18,9603244.0,,,
46,2019-01-18,5.2,5.28,5.12,5.21,6103535.0,,,
47,2019-01-21,5.25,5.36,5.21,5.26,5555506.0,,,
48,2019-01-22,5.31,5.33,5.15,5.16,3270150.0,,,
49,2019-01-23,5.18,5.23,5.12,5.2,2635977.0,,,
50,2019-01-24,5.19,5.27,5.14,5.18,3668036.0,,,
51,2019-01-25,5.15,5.22,5.15,5.15,2370238.0,,,
52,2019-01-28,5.16,5.2,5.05,5.07,3869989.0,,,
53,2019-01-29,5.0,5.08,4.91,4.96,3417147.0,,,
54,2019-01-30,4.93,5.07,4.93,4.98,1902633.0,,,
55,2019-01-31,4.98,5.03,4.75,4.81,2884992.0,,,
56,2019-02-01,4.89,5.04,4.83,5.0,2110027.0,,,
57,2019-02-11,5.05,5.15,5.02,5.14,2316798.0,,,
58,2019-02-12,5.12,5.26,5.11,5.23,2663406.0,,,
59,2019-02-13,5.21,5.35,5.21,5.31,5278230.0,,,
60,2019-02-14,5.3,5.53,5.25,5.49,7260718.0,,,
61,2019-02-15,5.5,5.53,5.41,5.5,4055624.0,,,
62,2019-02-18,5.5,5.87,5.5,5.81,7765943.0,,,
63,2019-02-19,5.78,5.97,5.68,5.75,8733792.0,,,
64,2019-02-20,5.85,5.93,5.71,5.82,5467592.0,,,
65,2019-02-21,5.8,5.89,5.73,5.75,6469354.0,,,
66,2019-02-22,5.77,5.85,5.7,5.85,5605538.0,,,
67,2019-02-25,5.8,6.12,5.75,6.07,10177224.0,,,
68,2019-02-26,6.1,6.11,5.94,6.02,7559654.0,,,
69,2019-02-27,6.02,6.05,5.86,5.9,6063060.0,,,
70,2019-02-28,5.9,6.03,5.89,5.96,4814202.0,,,
71,2019-03-01,5.97,5.97,5.83,5.9,4279367.0,,,
72,2019-03-04,5.94,6.03,5.88,5.94,6593500.0,,,
73,2019-03-05,5.94,6.05,5.83,6.05,7772026.0,,,
74,2019-03-06,6.06,6.31,5.97,6.22,12216626.0,,,
75,2019-03-07,6.18,6.25,6.08,6.21,9969631.0,,,
76,2019-03-08,6.14,6.25,5.94,6.01,9903195.0,,,
77,2019-03-11,6.19,6.38,6.07,6.3,14942104.0,,,
78,2019-03-12,6.31,6.49,6.21,6.32,16105430.0,,,
79,2019-03-13,6.27,6.4,6.13,6.16,9877755.0,,,
80,2019-03-14,6.14,6.23,5.89,5.99,7627572.0,,,
81,2019-03-15,6.0,6.45,6.0,6.27,10971950.0,,,
82,2019-03-18,6.25,6.27,6.08,6.23,5852757.0,,,
83,2019-03-19,6.23,6.7,6.15,6.41,17562601.0,,,
84,2019-03-20,6.34,6.38,6.17,6.26,10802946.0,,,
85,2019-03-21,6.26,6.32,6.22,6.27,6073324.0,,,
86,2019-03-22,6.27,6.28,6.16,6.28,5611310.0,,,
87,2019-03-25,6.19,6.26,6.09,6.21,4214815.0,,,
88,2019-03-26,6.18,6.25,5.98,6.03,7795155.0,,,
89,2019-03-27,6.05,6.09,5.92,6.05,4649773.0,,,
90,2019-03-28,6.0,6.16,5.92,5.99,4285140.0,,,
91,2019-03-29,5.99,6.15,5.91,6.14,5203312.0,,,
92,2019-04-01,6.14,6.3,6.11,6.27,8017401.0,,,
93,2019-04-02,6.3,6.35,6.21,6.29,8713106.0,,,
94,2019-04-03,6.29,6.44,6.25,6.36,9410864.0,,,
95,2019-04-04,6.35,7.0,6.34,6.86,24877060.0,,,
96,2019-04-08,6.86,6.89,6.54,6.69,18096570.0,,,
97,2019-04-09,6.62,6.68,6.55,6.63,6530272.0,,,
98,2019-04-10,6.63,6.85,6.5,6.67,7349295.0,,,
99,2019-04-11,6.69,6.81,6.63,6.71,6962044.0,,,
100,2019-04-12,6.71,6.73,6.54,6.68,4628087.0,,,
101,2019-04-15,6.68,6.77,6.63,6.65,3993378.0,,,
102,2019-04-16,6.66,6.95,6.55,6.88,8324317.0,,,
103,2019-04-17,6.82,7.2,6.8,7.01,10728301.0,,,
104,2019-04-18,6.99,7.54,6.94,7.22,16019241.0,,,
105,2019-04-19,7.26,7.42,7.12,7.38,10012167.0,,,
106,2019-04-22,7.4,7.55,7.11,7.25,11108949.0,,,
107,2019-04-23,7.23,7.32,7.04,7.18,7818731.0,,,
108,2019-04-24,7.12,7.12,6.82,6.98,8685470.0,,,
109,2019-04-25,6.97,7.06,6.76,6.76,6349627.0,,,
110,2019-04-26,6.72,6.93,6.7,6.78,5202075.0,,,
111,2019-04-29,6.75,6.85,6.41,6.55,6226544.0,,,
112,2019-04-30,6.54,6.65,6.46,6.49,3086494.0,,,
113,2019-05-06,6.2,6.82,6.06,6.22,8317650.0,,,
114,2019-05-07,6.27,6.48,6.27,6.46,5594756.0,,,
115,2019-05-08,6.41,6.74,6.29,6.7,6389667.0,,,
116,2019-05-09,6.59,6.85,6.47,6.57,4659099.0,,,
117,2019-05-10,6.58,7.05,6.58,7.05,9833050.0,,,
118,2019-05-13,7.05,7.14,6.87,7.1,4785221.0,,,
