,date,open,high,low,close,volume,120,180,240
0,2020-11-05,78.49,78.5,65.5,65.73,12218886.0,,,
1,2020-11-06,62.0,70.0,61.11,65.52,9342388.0,,,
2,2020-11-09,65.0,69.75,63.0,68.3,8789473.0,,,
3,2020-11-10,66.5,70.76,64.48,64.87,6829902.0,,,
4,2020-11-11,63.01,65.5,62.13,63.08,4910238.0,,,
5,2020-11-12,62.0,62.8,57.12,57.16,5752519.0,,,
6,2020-11-13,56.2,57.64,55.6,57.02,3006313.0,,,
7,2020-11-16,57.5,57.6,56.16,57.45,2739557.0,,,
8,2020-11-17,57.4,60.96,56.59,60.01,4661776.0,,,
9,2020-11-18,59.09,60.18,58.35,58.66,2952739.0,,,
10,2020-11-19,58.45,58.45,56.52,57.35,2853688.0,,,
11,2020-11-20,57.37,58.99,56.75,57.27,2409982.0,,,
12,2020-11-23,56.99,56.99,55.35,55.46,2505102.0,,,
13,2020-11-24,55.8,56.39,55.38,56.18,1757465.0,,,
14,2020-11-25,56.35,56.35,53.41,54.1,2777703.0,,,
15,2020-11-26,53.65,55.62,53.6,54.48,1991807.0,,,
16,2020-11-27,54.5,54.5,51.65,52.1,2406058.0,,,
17,2020-11-30,52.12,52.59,51.13,51.54,1486970.0,,,
18,2020-12-01,51.65,52.42,51.46,52.09,1369560.0,,,
19,2020-12-02,52.11,53.57,51.88,53.0,2229099.0,,,
20,2020-12-03,52.69,52.69,51.39,51.39,1779207.0,,,
21,2020-12-04,51.39,51.91,51.02,51.55,1265750.0,,,
22,2020-12-07,52.62,52.63,51.58,51.71,1245269.0,,,
23,2020-12-08,50.4,51.38,50.03,50.05,1871781.0,,,
24,2020-12-09,50.4,50.4,48.0,48.74,2385032.0,,,
25,2020-12-10,48.68,48.7,47.23,47.25,1869963.0,,,
26,2020-12-11,47.37,48.2,45.5,46.0,1785933.0,,,
27,2020-12-14,45.98,46.89,45.55,46.4,1265449.0,,,
28,2020-12-15,46.39,47.3,45.88,46.56,1412028.0,,,
29,2020-12-16,46.5,46.6,43.68,43.9,1983080.0,,,
30,2020-12-17,44.36,44.93,42.73,44.8,1890140.0,,,
31,2020-12-18,45.01,45.33,43.65,43.75,1321800.0,,,
32,2020-12-21,43.25,44.2,42.8,43.0,1437800.0,,,
33,2020-12-22,42.97,42.99,40.51,40.54,2037000.0,,,
34,2020-12-23,40.8,40.8,39.5,39.91,1677817.0,,,
35,2020-12-24,39.99,41.28,38.9,39.08,1964417.0,,,
36,2020-12-25,38.66,39.85,38.63,38.83,1575423.0,,,
37,2020-12-28,38.83,38.99,36.58,36.7,2055717.0,,,
38,2020-12-29,36.8,37.02,36.38,36.63,1272717.0,,,
39,2020-12-30,36.63,37.78,35.81,36.82,1752400.0,,,
40,2020-12-31,36.56,37.45,36.41,36.91,1471000.0,,,
41,2021-01-04,36.91,38.28,36.91,38.09,1868700.0,,,
42,2021-01-05,38.17,41.76,37.6,40.03,3325481.0,,,
43,2021-01-06,39.32,39.99,38.04,38.16,2129283.0,,,
44,2021-01-07,37.73,37.99,34.57,34.57,2675083.0,,,
45,2021-01-08,34.55,34.96,32.8,33.6,1811753.0,,,
46,2021-01-11,33.61,35.55,32.27,34.48,2477407.0,,,
47,2021-01-12,34.0,34.49,32.9,33.05,1664937.0,,,
48,2021-01-13,32.99,33.0,30.92,31.0,2043900.0,,,
49,2021-01-14,30.8,37.2,30.53,37.2,3820893.0,,,
50,2021-01-15,40.88,44.64,40.5,44.64,5487702.0,,,
51,2021-01-18,53.57,53.57,51.36,53.57,5565637.0,,,
52,2021-01-19,59.63,64.28,57.91,64.28,12183428.0,,,
53,2021-01-20,65.98,69.7,60.6,63.25,12471001.0,,,
54,2021-01-21,61.1,66.0,59.24,64.33,10867897.0,,,
55,2021-01-22,61.3,63.66,56.6,57.3,10087548.0,,,
56,2021-01-25,56.52,61.4,55.0,57.7,9371795.0,,,
57,2021-01-26,56.11,65.6,55.01,59.4,11493370.0,,,
58,2021-01-27,52.88,55.34,48.0,51.6,8972343.0,,,
59,2021-01-28,51.74,54.71,49.32,50.26,7624053.0,,,
60,2021-01-29,51.27,54.59,50.16,53.28,8562308.0,,,
61,2021-02-01,54.15,63.94,52.03,63.94,10101807.0,,,
62,2021-02-02,64.45,65.3,53.8,54.02,11450308.0,,,
63,2021-02-03,50.7,53.75,49.3,51.64,8119555.0,,,
64,2021-02-04,50.49,50.51,45.06,45.98,7515313.0,,,
65,2021-02-05,45.0,46.33,41.5,41.67,6191926.0,,,
66,2021-02-08,41.72,42.9,40.55,40.63,4449761.0,,,
67,2021-02-09,40.67,43.5,40.65,42.38,5025263.0,,,
68,2021-02-10,42.98,43.45,40.07,40.6,4410868.0,,,
69,2021-02-18,41.61,45.8,41.61,43.67,5487956.0,,,
70,2021-02-19,43.03,46.88,42.38,46.07,5916645.0,,,
71,2021-02-22,45.65,47.14,44.2,44.5,5669467.0,,,
72,2021-02-23,44.0,44.28,41.78,42.75,3692240.0,,,
73,2021-02-24,42.45,46.04,42.45,43.7,4599100.0,,,
74,2021-02-25,44.4,45.2,41.2,41.33,3847070.0,,,
75,2021-02-26,40.8,41.99,40.1,40.52,2710500.0,,,
76,2021-03-01,40.92,43.5,40.9,43.33,3460941.0,,,
77,2021-03-02,43.97,44.1,41.6,42.92,3092584.0,,,
78,2021-03-03,42.96,45.47,41.65,44.4,4056813.0,,,
79,2021-03-04,44.1,44.53,41.36,41.94,4173428.0,,,
80,2021-03-05,41.8,43.97,41.42,43.35,3774728.0,,,
81,2021-03-08,43.4,47.98,43.0,46.21,7065627.0,,,
82,2021-03-09,45.5,45.56,42.0,42.43,4973969.0,,,
83,2021-03-10,42.18,42.64,40.5,41.12,3004070.0,,,
84,2021-03-11,41.13,46.67,41.13,43.18,5207476.0,,,
85,2021-03-12,42.71,44.3,41.03,42.06,4017035.0,,,
86,2021-03-15,41.29,41.5,40.1,41.47,3010582.0,,,
87,2021-03-16,41.46,41.93,40.22,40.96,2122340.0,,,
88,2021-03-17,41.22,41.48,38.1,40.75,4004293.0,,,
89,2021-03-18,40.3,42.53,39.6,42.37,4487296.0,,,
90,2021-03-19,42.0,46.6,41.51,42.52,6101536.0,,,
91,2021-03-22,42.03,43.92,42.03,43.31,4206586.0,,,
92,2021-03-23,43.15,43.28,40.88,41.26,3745414.0,,,
93,2021-03-24,41.5,44.14,40.46,43.49,4623616.0,,,
94,2021-03-25,43.28,44.32,42.02,42.02,3095720.0,,,
95,2021-03-26,41.21,42.0,41.1,41.6,2317342.0,,,
96,2021-03-29,41.6,41.91,40.56,41.48,2223330.0,,,
97,2021-03-30,41.7,42.88,41.1,41.74,3038780.0,,,
98,2021-03-31,41.06,42.3,40.44,40.91,2286889.0,,,
99,2021-04-01,40.7,41.1,39.6,39.89,2558900.0,,,
100,2021-04-02,39.78,40.8,39.51,39.89,1699176.0,,,
101,2021-04-06,39.75,40.69,39.37,40.43,1911576.0,,,
102,2021-04-07,40.65,42.62,39.82,42.45,4129276.0,,,
103,2021-04-08,43.76,50.94,43.67,44.97,9085877.0,,,
104,2021-04-09,42.82,46.97,42.82,44.58,5697832.0,,,
105,2021-04-12,44.46,44.56,41.0,41.0,4822711.0,,,
106,2021-04-13,41.21,42.8,40.5,42.35,3236489.0,,,
107,2021-04-14,42.07,42.2,40.89,41.73,2112709.0,,,
108,2021-04-15,41.9,41.9,40.3,40.36,2104600.0,,,
109,2021-04-16,39.98,41.35,39.89,41.11,1666529.0,,,
110,2021-04-19,41.15,42.18,41.13,41.85,1953713.0,,,
111,2021-04-20,41.51,42.0,41.0,41.0,1896600.0,,,
