,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.08,7.34,7.07,7.22,5230679.0,,,
1,2018-11-14,7.31,7.32,7.15,7.18,3844578.0,,,
2,2018-11-15,7.19,7.44,7.15,7.39,5037702.0,,,
3,2018-11-16,7.37,7.47,7.33,7.39,3979971.0,,,
4,2018-11-19,7.34,7.46,7.3,7.44,3468000.0,,,
5,2018-11-20,7.34,7.42,7.11,7.14,3673499.0,,,
6,2018-11-21,7.06,7.71,7.04,7.36,5713208.0,,,
7,2018-11-22,7.34,7.42,7.17,7.21,4402515.0,,,
8,2018-11-23,7.22,7.31,6.9,7.0,4709560.0,,,
9,2018-11-26,7.05,7.05,6.88,6.91,2580919.0,,,
10,2018-11-27,6.92,7.04,6.91,6.97,1925204.0,,,
11,2018-11-28,6.92,7.06,6.82,7.03,2454124.0,,,
12,2018-11-29,7.04,7.16,6.93,6.94,4208730.0,,,
13,2018-11-30,6.92,6.98,6.78,6.97,4531166.0,,,
14,2018-12-03,7.1,7.27,7.1,7.2,5275189.0,,,
15,2018-12-04,7.2,7.29,7.18,7.26,2909514.0,,,
16,2018-12-05,7.14,7.34,7.12,7.28,3145922.0,,,
17,2018-12-06,7.28,7.28,7.14,7.16,2443502.0,,,
18,2018-12-07,7.18,7.42,7.1,7.27,3944469.0,,,
19,2018-12-10,7.21,7.24,7.01,7.03,3948365.0,,,
20,2018-12-11,7.07,7.13,7.02,7.07,1893619.0,,,
21,2018-12-12,7.11,7.37,7.09,7.31,4409960.0,,,
22,2018-12-13,7.29,7.62,7.23,7.48,7991109.0,,,
23,2018-12-14,7.44,7.48,7.18,7.21,6712230.0,,,
24,2018-12-17,7.28,7.32,7.13,7.21,3796868.0,,,
25,2018-12-18,7.13,7.18,6.95,7.04,4191979.0,,,
26,2018-12-19,7.04,7.11,6.92,6.92,3684296.0,,,
27,2018-12-20,7.0,7.02,6.85,6.93,2349759.0,,,
28,2018-12-21,6.93,6.96,6.81,6.89,1928215.0,,,
29,2018-12-24,6.88,7.0,6.83,6.93,1557313.0,,,
30,2018-12-25,6.84,6.84,6.63,6.8,2570267.0,,,
31,2018-12-26,6.83,6.89,6.76,6.85,1452750.0,,,
32,2018-12-27,6.93,6.98,6.72,6.73,1943108.0,,,
33,2018-12-28,6.75,6.81,6.68,6.72,1234900.0,,,
34,2019-01-02,6.74,6.9,6.73,6.84,2016977.0,,,
35,2019-01-03,6.87,7.0,6.73,6.96,3025877.0,,,
36,2019-01-04,6.84,7.11,6.84,7.09,4123390.0,,,
37,2019-01-07,7.14,7.4,7.12,7.26,6109914.0,,,
38,2019-01-08,7.22,7.42,7.17,7.23,4994291.0,,,
39,2019-01-09,7.26,7.34,7.2,7.23,5972400.0,,,
40,2019-01-10,7.17,7.29,7.15,7.23,4782182.0,,,
41,2019-01-11,7.23,7.33,7.19,7.27,2673485.0,,,
42,2019-01-14,7.29,7.39,7.22,7.24,2574709.0,,,
43,2019-01-15,7.26,7.33,7.19,7.32,2604302.0,,,
44,2019-01-16,7.32,7.34,7.25,7.31,2406700.0,,,
45,2019-01-17,7.31,7.31,7.15,7.17,2612721.0,,,
46,2019-01-18,7.17,7.32,7.15,7.31,2857265.0,,,
47,2019-01-21,7.3,7.33,7.22,7.27,2634400.0,,,
48,2019-01-22,7.24,7.31,7.13,7.16,2155302.0,,,
49,2019-01-23,7.13,7.17,7.07,7.17,2105223.0,,,
50,2019-01-24,7.12,7.26,7.12,7.18,1886674.0,,,
51,2019-01-25,7.18,7.22,7.08,7.11,2267525.0,,,
52,2019-01-28,7.15,7.28,7.09,7.14,2545107.0,,,
53,2019-01-29,7.13,7.17,6.91,6.94,2672160.0,,,
54,2019-01-30,6.92,7.03,6.9,6.92,1761644.0,,,
55,2019-01-31,6.89,6.97,6.73,6.79,2729694.0,,,
56,2019-02-01,6.75,7.0,6.75,6.97,1958978.0,,,
57,2019-02-11,6.98,7.15,6.98,7.13,2323800.0,,,
58,2019-02-12,7.14,7.54,7.13,7.4,6733455.0,,,
59,2019-02-13,7.69,8.08,7.69,7.99,16174968.0,,,
60,2019-02-14,8.07,8.32,7.88,8.14,19141679.0,,,
61,2019-02-15,8.21,8.33,8.05,8.15,16036585.0,,,
62,2019-02-18,8.43,8.46,8.13,8.35,20824988.0,,,
63,2019-02-19,8.26,8.3,8.06,8.18,15823907.0,,,
64,2019-02-20,8.15,8.3,8.01,8.14,12489940.0,,,
65,2019-02-21,8.18,8.73,8.14,8.22,20104845.0,,,
66,2019-02-22,8.14,8.33,8.08,8.28,12311756.0,,,
67,2019-02-25,8.31,8.82,8.31,8.78,20886867.0,,,
68,2019-02-26,8.78,8.79,8.49,8.59,14956921.0,,,
69,2019-02-27,8.57,8.71,8.42,8.47,9717162.0,,,
70,2019-02-28,8.41,8.62,8.4,8.62,6550759.0,,,
71,2019-03-01,8.65,8.68,8.43,8.61,5846211.0,,,
72,2019-03-04,8.66,8.87,8.58,8.75,11674813.0,,,
73,2019-03-05,8.73,9.1,8.58,9.05,11674496.0,,,
74,2019-03-06,9.02,9.07,8.84,9.02,11049977.0,,,
75,2019-03-07,9.02,9.09,8.85,9.01,10352488.0,,,
76,2019-03-08,8.85,8.85,8.43,8.44,11799035.0,,,
77,2019-03-11,8.47,8.8,8.43,8.79,9437788.0,,,
78,2019-03-12,8.82,9.04,8.77,8.86,11501564.0,,,
79,2019-03-13,8.88,9.3,8.8,8.92,14957547.0,,,
80,2019-03-14,8.87,9.01,8.59,8.72,9104302.0,,,
81,2019-03-15,8.76,8.97,8.74,8.78,5456102.0,,,
82,2019-03-18,8.81,9.21,8.79,9.08,10734521.0,,,
83,2019-03-19,8.59,8.8,8.58,8.72,20607723.0,,,
84,2019-03-20,8.69,8.84,8.55,8.68,10575600.0,,,
85,2019-03-21,8.69,8.8,8.58,8.71,8579888.0,,,
86,2019-03-22,8.7,8.83,8.52,8.71,7127834.0,,,
87,2019-03-25,8.57,9.2,8.52,8.92,15756020.0,,,
88,2019-03-26,9.01,9.37,8.89,9.09,16437422.0,,,
89,2019-03-27,9.22,9.22,8.73,8.8,8931652.0,,,
90,2019-03-28,8.8,8.8,8.54,8.58,5101390.0,,,
91,2019-03-29,8.54,9.42,8.53,9.04,9862362.0,,,
92,2019-04-01,9.27,9.95,9.13,9.95,20719327.0,,,
93,2019-04-02,10.19,10.94,10.19,10.94,9692508.0,,,
94,2019-04-03,12.02,12.03,11.4,12.03,56721380.0,,,
95,2019-04-04,12.44,12.87,11.68,12.08,48760943.0,,,
96,2019-04-08,12.13,13.29,11.7,12.52,56685344.0,,,
