,date,open,high,low,close,volume,10,60,250
0,2020-08-21,77.17,92.61,77.17,92.61,245566.0,,,
1,2020-08-24,92.0,92.0,83.35,83.35,894100.0,,,
2,2020-08-25,75.02,75.02,75.02,75.02,1579100.0,,,
3,2020-08-26,75.5,82.52,75.33,80.8,7013990.0,,,
4,2020-08-27,75.95,76.99,72.84,73.61,4773672.0,,,
5,2020-08-28,73.33,73.61,69.54,70.21,3797056.0,,,
6,2020-08-31,69.9,71.7,69.0,70.14,2311438.0,,,
7,2020-09-01,70.01,70.2,69.12,69.63,1668579.0,,,
8,2020-09-02,69.88,70.0,68.51,68.69,1974877.0,,,
9,2020-09-03,68.48,68.48,66.36,66.57,2580216.0,75.06299999999999,,
10,2020-09-04,65.4,67.58,65.12,66.96,1491394.0,72.49799999999999,,
11,2020-09-07,66.63,67.07,65.56,65.64,1384200.0,70.72699999999999,,
12,2020-09-08,65.8,66.35,65.31,65.89,1012700.0,69.814,,
13,2020-09-09,65.35,65.35,64.31,64.33,1430115.0,68.167,,
14,2020-09-10,64.33,64.85,61.24,61.45,1669574.0,66.951,,
15,2020-09-11,61.0,63.97,60.47,62.9,1383703.0,66.22,,
16,2020-09-14,62.4,63.54,62.13,62.97,850238.0,65.503,,
17,2020-09-15,62.96,64.32,62.44,63.63,1107903.0,64.90299999999999,,
18,2020-09-16,63.46,65.93,63.23,65.59,1690313.0,64.593,,
19,2020-09-17,65.0,66.27,64.71,65.29,1490400.0,64.465,,
20,2020-09-18,64.81,65.35,63.75,64.27,1182672.0,64.196,,
21,2020-09-21,64.12,64.12,63.46,63.61,690078.0,63.99300000000001,,
22,2020-09-22,63.0,63.03,62.16,62.28,804307.0,63.632000000000005,,
23,2020-09-23,62.3,63.67,62.3,63.5,856254.0,63.549,,
24,2020-09-24,63.13,63.13,61.8,62.05,805757.0,63.608999999999995,,
25,2020-09-25,62.39,62.39,61.6,61.71,568310.0,63.489999999999995,,
26,2020-09-28,61.64,61.87,60.54,60.62,616807.0,63.254999999999995,,
27,2020-09-29,60.66,61.2,60.11,60.72,539153.0,62.964,,
28,2020-09-30,60.98,60.98,60.18,60.31,426000.0,62.436,,
29,2020-10-09,61.28,61.99,61.27,61.86,516989.0,62.093,,
30,2020-10-12,61.88,63.27,61.85,63.16,800117.0,61.982000000000006,,
31,2020-10-13,63.01,63.01,62.2,62.84,652147.0,61.90500000000001,,
32,2020-10-14,62.75,63.96,62.42,63.62,943120.0,62.03900000000001,,
33,2020-10-15,63.2,63.51,62.3,62.35,672343.0,61.924000000000014,,
34,2020-10-16,62.17,62.44,61.88,62.29,434200.0,61.948000000000015,,
35,2020-10-19,62.71,62.71,61.7,61.77,361900.0,61.95400000000001,,
36,2020-10-20,61.77,62.1,61.2,62.1,434600.0,62.10200000000001,,
37,2020-10-21,62.08,62.1,61.31,61.43,476766.0,62.173,,
38,2020-10-22,61.43,61.7,60.82,61.39,445266.0,62.28099999999999,,
39,2020-10-23,61.3,61.78,60.86,61.0,479100.0,62.19499999999999,,
40,2020-10-26,61.0,61.61,60.36,61.28,407700.0,62.00699999999999,,
41,2020-10-27,60.92,61.4,60.65,61.21,304000.0,61.843999999999994,,
42,2020-10-28,61.5,61.6,60.88,61.35,354210.0,61.617,,
43,2020-10-29,60.88,61.29,60.61,61.11,311200.0,61.492999999999995,,
44,2020-10-30,61.28,61.63,60.11,60.11,564100.0,61.275,,
45,2020-11-02,59.75,59.75,55.0,56.19,1493100.0,60.717000000000006,,
46,2020-11-03,56.19,56.95,55.8,56.75,682600.0,60.182,,
47,2020-11-04,56.67,56.97,56.41,56.7,518500.0,59.70900000000002,,
48,2020-11-05,56.9,57.66,56.79,57.6,566500.0,59.33000000000002,,
49,2020-11-06,57.49,57.96,56.55,56.81,594100.0,58.911000000000016,,
50,2020-11-09,56.81,58.26,56.81,58.02,738900.0,58.585000000000015,,
51,2020-11-10,58.1,58.77,57.7,58.29,695400.0,58.293000000000006,,
52,2020-11-11,58.61,58.61,57.71,57.72,497747.0,57.93000000000001,,
53,2020-11-12,57.66,58.15,57.0,57.25,437185.0,57.544000000000004,,
54,2020-11-13,56.52,57.09,56.48,56.99,290400.0,57.232000000000006,,
55,2020-11-16,57.16,58.27,57.13,58.11,507685.0,57.424,,
56,2020-11-17,58.19,58.3,57.73,58.18,371564.0,57.56699999999999,,
57,2020-11-18,57.92,58.48,57.73,58.1,374832.0,57.706999999999994,,
58,2020-11-19,58.0,58.15,57.58,58.01,344791.0,57.74799999999999,,
59,2020-11-20,58.01,58.46,57.87,58.44,451000.0,57.91099999999999,63.439666666666646,
60,2020-11-23,58.44,58.46,57.86,58.07,469400.0,57.916,62.86399999999998,
61,2020-11-24,58.15,58.15,57.57,57.59,479600.0,57.846000000000004,62.43466666666665,
62,2020-11-25,57.66,57.85,56.83,56.83,515200.0,57.757000000000005,62.13149999999998,
63,2020-11-26,56.58,56.9,56.06,56.55,354866.0,57.687,61.72733333333331,
64,2020-11-27,56.7,57.34,56.5,57.12,359366.0,57.7,61.45249999999998,
65,2020-11-30,56.9,57.55,56.9,57.2,387913.0,57.609,61.23566666666664,
66,2020-12-01,57.29,57.46,57.02,57.4,357900.0,57.531000000000006,61.02333333333331,
67,2020-12-02,57.4,57.99,57.16,57.98,451500.0,57.519000000000005,60.829166666666644,
