,date,open,high,low,close,volume,120,180,240
0,2018-11-13,47.3,47.75,46.71,47.28,1060715.0,,,
1,2018-11-14,47.3,47.84,47.01,47.84,584570.0,,,
2,2018-11-15,47.1,47.42,46.43,46.83,1240558.0,,,
3,2018-11-16,47.06,47.77,46.72,47.59,972235.0,,,
4,2018-11-19,47.61,49.06,47.06,48.38,1364374.0,,,
5,2018-11-20,48.37,48.37,46.3,46.91,1490594.0,,,
6,2018-11-21,46.71,47.54,45.86,47.21,964375.0,,,
7,2018-11-22,47.38,47.38,46.42,46.9,452324.0,,,
8,2018-11-23,46.99,47.01,45.47,45.93,592139.0,,,
9,2018-11-26,46.13,46.4,45.15,46.0,527589.0,,,
10,2018-11-27,46.38,46.59,45.25,45.46,471284.0,,,
11,2018-11-28,45.81,47.55,45.27,47.01,1168344.0,,,
12,2018-11-29,46.92,47.48,46.72,46.95,495800.0,,,
13,2018-11-30,47.39,47.69,46.56,47.67,685598.0,,,
14,2018-12-03,48.24,49.55,48.18,48.96,1404500.0,,,
15,2018-12-04,49.14,50.0,47.94,48.39,1567831.0,,,
16,2018-12-05,47.79,49.47,47.59,48.53,568310.0,,,
17,2018-12-06,48.54,49.11,47.87,48.11,508854.0,,,
18,2018-12-07,48.11,48.64,47.8,48.38,316954.0,,,
19,2018-12-10,48.67,48.67,46.42,47.79,804530.0,,,
20,2018-12-11,47.78,47.78,45.95,46.31,938040.0,,,
21,2018-12-12,46.79,48.44,46.38,47.73,1380318.0,,,
22,2018-12-13,48.38,49.17,47.59,48.87,771629.0,,,
23,2018-12-14,47.99,48.94,47.93,48.86,554296.0,,,
24,2018-12-17,48.38,48.61,46.71,47.5,932616.0,,,
25,2018-12-18,47.01,47.69,45.65,47.01,980099.0,,,
26,2018-12-19,47.1,47.1,45.54,46.91,888479.0,,,
27,2018-12-20,46.41,46.88,45.53,46.52,889480.0,,,
28,2018-12-21,46.38,47.09,45.77,46.34,687009.0,,,
29,2018-12-24,46.25,47.07,46.22,46.81,628600.0,,,
30,2018-12-25,46.64,46.84,45.35,46.61,1275283.0,,,
31,2018-12-26,46.11,46.23,43.68,44.95,1577888.0,,,
32,2018-12-27,45.03,46.72,45.03,46.08,1035397.0,,,
33,2018-12-28,46.39,46.51,45.64,46.42,1056258.0,,,
34,2019-01-02,45.93,46.66,45.05,45.93,1229367.0,,,
35,2019-01-03,46.07,46.07,43.88,45.36,1794534.0,,,
36,2019-01-04,44.42,44.67,43.2,43.87,1910538.0,,,
37,2019-01-07,44.17,46.69,43.93,45.25,1394355.0,,,
38,2019-01-08,45.19,46.0,44.37,44.74,1216860.0,,,
39,2019-01-09,45.35,49.2,45.35,47.7,2735439.0,,,
40,2019-01-10,47.68,48.94,47.0,48.67,1410383.0,,,
41,2019-01-11,48.67,49.98,48.2,48.6,1041425.0,,,
42,2019-01-14,49.25,50.34,48.97,49.99,1467280.0,,,
43,2019-01-15,48.96,51.21,48.96,50.81,1042822.0,,,
44,2019-01-16,51.12,51.31,50.23,51.01,886795.0,,,
45,2019-01-17,50.1,51.28,49.77,49.9,1027133.0,,,
46,2019-01-18,50.41,51.11,50.05,50.93,657720.0,,,
47,2019-01-21,50.93,52.94,50.93,52.4,809487.0,,,
48,2019-01-22,52.88,52.88,50.22,51.54,1211612.0,,,
49,2019-01-23,50.77,51.78,50.55,50.96,792260.0,,,
50,2019-01-24,51.4,52.49,50.82,52.24,894366.0,,,
51,2019-01-25,52.04,52.81,51.33,52.15,747606.0,,,
52,2019-01-28,52.08,52.28,50.7,51.21,619471.0,,,
53,2019-01-29,51.21,52.25,50.66,51.1,668421.0,,,
54,2019-01-30,51.18,51.99,50.8,50.87,419116.0,,,
55,2019-01-31,50.87,52.28,50.34,50.69,531613.0,,,
56,2019-02-01,51.37,51.37,50.16,50.77,800377.0,,,
