,date,open,high,low,close,volume,120,180,240
0,2018-11-13,17.8,18.31,17.7,18.12,1788359.0,,,
1,2018-11-14,18.13,18.28,18.01,18.12,1241822.0,,,
2,2018-11-15,18.05,18.65,18.05,18.65,2150213.0,,,
3,2018-11-16,18.8,19.35,18.68,18.96,2003577.0,,,
4,2018-11-19,18.79,19.0,18.53,18.8,1356313.0,,,
5,2018-11-20,18.98,20.5,18.61,19.14,3266136.0,,,
6,2018-11-21,18.54,18.89,18.39,18.81,2070067.0,,,
7,2018-11-22,18.98,20.0,18.6,19.48,2691099.0,,,
8,2018-11-23,19.0,19.11,17.65,17.81,2406500.0,,,
9,2018-11-26,17.81,17.95,17.51,17.68,1298199.0,,,
10,2018-11-27,17.7,18.26,17.7,18.23,1495800.0,,,
11,2018-11-28,18.4,19.95,18.34,18.73,2435413.0,,,
12,2018-11-29,18.88,19.31,17.8,17.95,1853213.0,,,
13,2018-11-30,17.69,18.14,17.55,18.02,1380300.0,,,
14,2018-12-03,18.31,18.78,18.31,18.58,1538828.0,,,
15,2018-12-04,18.69,18.88,18.42,18.76,1577600.0,,,
16,2018-12-05,18.29,18.76,18.03,18.75,1235800.0,,,
17,2018-12-06,18.65,18.97,18.19,18.96,2025400.0,,,
18,2018-12-07,18.97,20.5,18.51,20.5,2044113.0,,,
19,2018-12-10,19.48,19.88,19.05,19.33,2437790.0,,,
20,2018-12-11,19.35,19.39,18.74,19.09,1496800.0,,,
21,2018-12-12,19.18,19.3,18.56,18.72,1202496.0,,,
22,2018-12-13,18.72,18.93,18.5,18.87,1066900.0,,,
23,2018-12-14,18.73,18.8,17.8,17.86,1530596.0,,,
24,2018-12-17,17.62,17.97,17.36,17.86,923700.0,,,
25,2018-12-18,17.75,18.19,17.6,17.9,712200.0,,,
26,2018-12-19,17.88,17.97,17.55,17.62,460200.0,,,
27,2018-12-20,17.58,17.78,17.5,17.55,516993.0,,,
28,2018-12-21,17.56,17.62,17.09,17.3,568400.0,,,
29,2018-12-24,17.31,17.64,17.23,17.64,553500.0,,,
30,2018-12-25,17.39,17.55,17.01,17.5,743198.0,,,
31,2018-12-26,17.52,17.94,17.52,17.78,867898.0,,,
32,2018-12-27,18.08,18.18,17.35,17.47,684700.0,,,
33,2018-12-28,17.79,18.22,17.66,18.0,1978064.0,,,
34,2019-01-02,17.76,18.09,17.4,18.01,1512596.0,,,
35,2019-01-03,17.99,18.85,17.71,18.72,3539800.0,,,
36,2019-01-04,18.5,18.9,18.37,18.81,3268400.0,,,
37,2019-01-07,18.93,20.19,18.7,19.8,4087400.0,,,
38,2019-01-08,19.57,20.9,18.92,20.51,4925465.0,,,
39,2019-01-09,20.05,20.09,19.47,19.47,4819798.0,,,
40,2019-01-10,19.33,19.4,18.91,18.99,1976298.0,,,
41,2019-01-11,18.88,19.29,18.88,19.09,1633499.0,,,
42,2019-01-14,19.16,19.16,18.5,18.65,1324800.0,,,
43,2019-01-15,18.65,18.93,18.64,18.88,988036.0,,,
44,2019-01-16,18.93,18.98,18.59,18.66,902300.0,,,
45,2019-01-17,18.62,19.04,18.51,18.69,1073416.0,,,
46,2019-01-18,18.85,18.85,18.42,18.71,928112.0,,,
47,2019-01-21,18.67,18.83,18.62,18.74,869500.0,,,
48,2019-01-22,18.6,18.69,17.81,17.89,1781900.0,,,
49,2019-01-23,18.05,18.05,17.49,17.66,1098807.0,,,
50,2019-01-24,17.54,17.9,17.54,17.78,814999.0,,,
51,2019-01-25,17.79,17.85,17.48,17.54,859216.0,,,
52,2019-01-28,17.62,17.84,17.42,17.52,502600.0,,,
53,2019-01-29,17.38,17.42,16.66,16.95,953698.0,,,
54,2019-01-30,16.79,17.07,16.61,16.65,567800.0,,,
55,2019-01-31,15.0,15.88,15.0,15.63,1880368.0,,,
56,2019-02-01,15.68,16.14,15.61,16.02,641308.0,,,
57,2019-02-11,16.05,16.51,16.05,16.5,851600.0,,,
58,2019-02-12,16.48,16.69,16.4,16.65,821312.0,,,
59,2019-02-13,16.7,17.21,16.69,17.17,1266100.0,,,
60,2019-02-14,17.0,17.17,16.76,16.97,1035000.0,,,
61,2019-02-15,16.97,17.11,16.79,16.98,733500.0,,,
62,2019-02-18,17.12,17.43,16.93,17.36,1680672.0,,,
63,2019-02-19,17.5,17.92,17.39,17.87,2323000.0,,,
64,2019-02-20,17.79,17.85,17.5,17.67,1205515.0,,,
65,2019-02-21,17.68,18.08,17.65,17.83,1757547.0,,,
66,2019-02-22,17.85,18.25,17.6,18.16,1733672.0,,,
67,2019-02-25,18.22,19.28,18.22,19.27,2822275.0,,,
68,2019-02-26,19.27,19.37,18.68,18.93,2236047.0,,,
69,2019-02-27,18.83,19.79,18.83,18.99,2184210.0,,,
70,2019-02-28,18.85,19.7,18.8,19.2,1880799.0,,,
71,2019-03-01,19.2,19.41,18.75,19.01,1607579.0,,,
72,2019-03-04,19.01,19.71,19.01,19.48,3049554.0,,,
73,2019-03-05,19.3,20.2,19.2,20.13,3316034.0,,,
74,2019-03-06,20.18,20.46,19.8,20.16,2764202.0,,,
75,2019-03-07,20.07,21.2,19.93,20.88,3872290.0,,,
76,2019-03-08,20.6,22.0,19.8,20.04,5195602.0,,,
77,2019-03-11,21.0,21.43,20.38,21.06,3069892.0,,,
78,2019-03-12,21.37,21.77,20.78,21.33,4027464.0,,,
79,2019-03-13,21.21,21.65,20.65,20.91,2698310.0,,,
80,2019-03-14,20.5,21.28,20.07,20.3,2218396.0,,,
81,2019-03-15,20.35,21.05,20.35,20.84,2123268.0,,,
82,2019-03-18,20.85,21.2,20.4,21.09,1555300.0,,,
