,date,open,high,low,close,volume,10,60,250
0,2020-03-18,5.92,5.99,5.65,5.66,17231139.0,,,
1,2020-03-19,5.64,5.7,5.41,5.54,14426067.0,,,
2,2020-03-20,5.62,5.67,5.51,5.65,10974726.0,,,
3,2020-03-23,5.4,5.61,5.4,5.44,9658741.0,,,
4,2020-03-24,5.54,5.59,5.33,5.5,8745524.0,,,
5,2020-03-25,5.64,6.04,5.53,5.85,22321077.0,,,
6,2020-03-26,5.7,5.8,5.65,5.73,10797386.0,,,
7,2020-03-27,5.89,6.06,5.75,5.96,25116367.0,,,
8,2020-03-30,5.9,6.2,5.85,6.15,25230388.0,,,
9,2020-03-31,6.13,6.25,6.01,6.06,22680732.0,5.7540000000000004,,
10,2020-04-01,6.01,6.1,5.78,5.83,19324496.0,5.771000000000001,,
11,2020-04-02,5.71,5.89,5.67,5.88,12070612.0,5.8050000000000015,,
12,2020-04-03,5.88,5.88,5.61,5.66,11464859.0,5.806000000000001,,
13,2020-04-07,5.75,6.05,5.75,6.05,17481533.0,5.867000000000002,,
14,2020-04-08,6.05,6.1,5.96,6.03,10646983.0,5.920000000000002,,
15,2020-04-09,6.03,6.13,5.99,6.06,11187417.0,5.941000000000002,,
16,2020-04-10,6.1,6.23,5.96,5.96,19619809.0,5.964000000000001,,
17,2020-04-13,5.88,5.97,5.75,5.97,9496500.0,5.965000000000002,,
18,2020-04-14,5.97,6.12,5.96,6.03,11109631.0,5.953000000000001,,
19,2020-04-15,6.02,6.11,5.86,5.87,11750341.0,5.934,,
20,2020-04-16,5.87,5.94,5.76,5.84,7794201.0,5.9350000000000005,,
21,2020-04-17,5.88,6.42,5.8,6.31,61442838.0,5.978000000000001,,
22,2020-04-20,6.31,6.49,6.26,6.37,51479906.0,6.049000000000001,,
23,2020-04-21,6.32,6.66,6.25,6.47,46889340.0,6.091000000000001,,
24,2020-04-22,6.43,6.5,6.3,6.45,27228049.0,6.133000000000001,,
25,2020-04-23,6.41,6.47,6.18,6.24,27359354.0,6.151000000000001,,
26,2020-04-24,6.23,6.38,6.09,6.28,23680221.0,6.183000000000001,,
27,2020-04-27,6.2,6.36,6.12,6.24,18736457.0,6.210000000000001,,
