,date,open,high,low,close,volume,120,180,240
0,2018-11-02,13.94,14.27,13.8,14.2,3556934.0,,,
1,2018-11-05,14.11,14.51,13.87,14.07,3309911.0,,,
2,2018-11-06,14.04,14.67,13.92,14.57,3992425.0,,,
3,2018-11-07,14.57,14.57,14.21,14.36,3491597.0,,,
4,2018-11-08,14.37,14.53,13.97,14.0,2394867.0,,,
5,2018-11-09,13.99,14.23,13.93,14.07,1186580.0,,,
6,2018-11-12,14.07,14.61,13.97,14.5,2787883.0,,,
7,2018-11-13,14.27,14.63,14.12,14.37,3153032.0,,,
8,2018-11-14,14.37,14.77,14.37,14.71,3907380.0,,,
9,2018-11-15,14.64,15.51,14.49,15.3,5452296.0,,,
10,2018-11-16,15.26,15.77,15.23,15.38,3945241.0,,,
11,2018-11-19,15.37,15.42,14.78,15.14,3013936.0,,,
12,2018-11-20,15.17,15.54,14.81,14.82,2477986.0,,,
13,2018-11-21,14.61,14.72,14.42,14.61,1858200.0,,,
14,2018-11-22,14.61,14.86,14.38,14.58,1768157.0,,,
15,2018-11-23,14.49,14.58,13.14,13.24,4472502.0,,,
16,2018-11-26,13.31,13.5,12.88,12.98,2463361.0,,,
17,2018-11-27,13.05,13.25,12.95,13.2,1772093.0,,,
18,2018-11-28,13.18,13.39,12.67,13.36,2385812.0,,,
19,2018-11-29,13.33,13.63,12.87,12.87,2152648.0,,,
20,2018-11-30,12.85,13.32,12.7,13.32,1951805.0,,,
21,2018-12-03,13.95,14.12,13.61,13.77,3148750.0,,,
22,2018-12-04,13.68,14.08,13.68,13.95,2439156.0,,,
23,2018-12-05,13.53,14.38,13.39,14.15,2922887.0,,,
24,2018-12-06,14.0,14.15,13.65,13.75,1890011.0,,,
25,2018-12-07,13.81,14.29,13.8,14.22,2280291.0,,,
26,2018-12-10,15.64,15.64,15.64,15.64,1335691.0,,,
27,2018-12-11,15.63,16.34,15.15,15.4,11146222.0,,,
