,date,open,high,low,close,volume,10,60,250
0,2020-03-18,59.94,61.66,58.91,58.91,16850236.0,,,
1,2020-03-19,59.42,60.1,56.89,58.35,12391468.0,,,
2,2020-03-20,59.31,60.31,58.06,59.5,9308430.0,,,
3,2020-03-23,59.46,61.95,58.81,60.47,14537262.0,,,
4,2020-03-24,60.17,63.57,60.17,63.35,16370783.0,,,
5,2020-03-25,63.99,66.48,63.08,65.59,18224683.0,,,
6,2020-03-26,64.74,67.14,64.49,66.49,12369974.0,,,
7,2020-03-27,66.89,68.96,66.74,67.03,13944253.0,,,
8,2020-03-30,66.39,67.84,64.99,65.73,9413743.0,,,
9,2020-03-31,66.19,67.66,65.39,67.18,8257758.0,63.25999999999999,,
10,2020-04-01,67.3,67.38,65.47,65.49,7419856.0,63.91799999999999,,
11,2020-04-02,64.99,65.94,63.41,65.88,8685480.0,64.67099999999999,,
12,2020-04-03,65.89,67.64,65.79,66.54,6601735.0,65.37499999999999,,
13,2020-04-07,65.72,69.45,65.59,69.44,17562092.0,66.27199999999998,,
14,2020-04-08,68.64,69.13,66.89,68.49,11902585.0,66.78599999999997,,
15,2020-04-09,68.58,73.93,68.19,72.96,14361572.0,67.52299999999998,,
16,2020-04-10,72.45,77.3,72.45,73.77,18325551.0,68.25099999999998,,
17,2020-04-13,74.85,78.7,74.06,77.83,15258200.0,69.33099999999999,,
18,2020-04-14,78.0,79.25,76.57,78.69,12945482.0,70.62699999999998,,
19,2020-04-15,78.44,78.95,76.09,76.92,9528985.0,71.60099999999997,,
20,2020-04-16,76.04,77.95,75.8,77.18,9181957.0,72.76999999999998,,
21,2020-04-17,77.15,78.34,75.61,77.41,9428851.0,73.92299999999997,,
22,2020-04-20,77.38,78.31,76.46,77.55,6320094.0,75.02399999999997,,
23,2020-04-21,78.32,79.53,76.51,77.6,7448489.0,75.83999999999999,,
24,2020-04-22,76.97,79.47,76.03,79.05,10411624.0,76.89599999999999,,
25,2020-04-23,79.54,82.92,79.24,79.95,14382281.0,77.59499999999998,,
26,2020-04-24,80.63,80.63,76.76,77.08,9666749.0,77.92599999999999,,
27,2020-04-27,78.96,84.5,78.95,82.35,17589369.0,78.37799999999999,,
28,2020-04-28,83.25,84.82,80.74,83.82,13673749.0,78.89099999999999,,
29,2020-04-29,84.01,84.41,81.59,82.0,8690036.0,79.39899999999999,,
30,2020-04-30,82.14,82.64,77.01,78.91,16596421.0,79.57199999999997,,
31,2020-05-06,78.15,80.59,77.28,80.59,9514418.0,79.88999999999999,,
32,2020-05-07,80.24,80.43,79.21,79.95,5218639.0,80.13,,
33,2020-05-08,79.95,82.34,79.26,81.13,8435532.0,80.48299999999999,,
34,2020-05-11,83.63,83.63,79.33,79.75,9374478.0,80.553,,
35,2020-05-12,79.75,81.68,79.18,81.41,8587159.0,80.69899999999998,,
36,2020-05-13,81.25,82.98,80.34,82.23,8539602.0,81.21399999999998,,
37,2020-05-14,81.84,82.84,80.87,81.66,5303576.0,81.14499999999998,,
38,2020-05-15,81.69,82.73,80.59,81.39,6263397.0,80.90199999999997,,
39,2020-05-18,80.49,84.93,79.62,83.21,10985966.0,81.02299999999998,,
40,2020-05-19,85.23,86.41,83.41,85.23,10655779.0,81.65499999999999,,
41,2020-05-20,84.73,84.74,80.77,81.26,13885162.0,81.72199999999998,,
42,2020-05-21,81.25,83.53,80.41,81.54,9672373.0,81.88099999999997,,
43,2020-05-22,81.15,82.25,78.55,78.73,8786374.0,81.64099999999998,,
44,2020-05-25,79.73,81.83,78.89,81.33,8256780.0,81.79899999999998,,
45,2020-05-26,81.96,84.78,81.36,84.5,10910658.0,82.10799999999998,,
46,2020-05-27,84.24,84.5,81.42,81.55,9009958.0,82.03999999999998,,
47,2020-05-28,82.05,82.24,79.26,80.71,5874664.0,81.94499999999998,,
48,2020-05-29,80.34,83.53,79.75,83.53,7744368.0,82.15899999999998,,
49,2020-06-01,82.74,84.68,81.24,84.15,10640924.0,82.25299999999997,,
50,2020-06-02,83.96,83.96,81.51,82.46,7334872.0,81.97599999999997,,
51,2020-06-03,82.72,84.03,81.64,82.04,8057529.0,82.05399999999997,,
52,2020-06-04,82.04,83.24,81.11,82.92,6529569.0,82.19199999999998,,
53,2020-06-05,83.4,87.01,82.84,86.68,15555322.0,82.98699999999997,,
54,2020-06-08,87.72,88.3,84.23,84.9,10236861.0,83.34399999999997,,
55,2020-06-09,85.23,89.35,83.94,88.85,11912269.0,83.77899999999997,,
56,2020-06-10,89.71,91.58,89.33,89.81,11147796.0,84.60499999999998,,
57,2020-06-11,89.69,90.29,87.36,88.12,11392446.0,85.34599999999998,,
58,2020-06-12,86.92,89.91,86.69,88.72,10667663.0,85.86499999999998,,
59,2020-06-15,90.26,92.51,89.8,90.01,11055507.0,86.45099999999998,77.33116666666668,
60,2020-06-16,90.71,92.25,89.92,91.59,7293499.0,87.36399999999998,77.87583333333335,
61,2020-06-17,92.22,95.4,91.51,94.89,13533050.0,88.64899999999997,78.48483333333336,
62,2020-06-18,94.89,94.89,90.84,92.51,9681615.0,89.60799999999998,79.03500000000003,
63,2020-06-19,93.13,96.47,92.08,95.59,12840725.0,90.49899999999998,79.62033333333335,
64,2020-06-22,97.37,99.28,95.3,97.88,12677108.0,91.79699999999998,80.19583333333335,
65,2020-06-23,98.07,107.67,96.49,102.65,25831221.0,93.17699999999998,80.8135,
66,2020-06-24,102.55,102.55,97.99,99.58,18326280.0,94.15399999999997,81.36500000000001,
67,2020-06-29,99.66,101.18,97.66,98.37,12461872.0,95.17899999999999,81.88733333333334,
68,2020-06-30,98.77,101.08,98.26,99.83,10774282.0,96.28999999999999,82.45566666666669,
69,2020-07-01,99.72,99.83,94.88,97.14,14093720.0,97.003,82.95500000000001,
70,2020-07-02,96.69,97.79,93.97,95.52,14229841.0,97.39599999999999,83.45550000000003,
71,2020-07-03,95.3,98.17,93.17,97.06,14090054.0,97.613,83.9751666666667,
72,2020-07-06,96.39,96.69,94.25,95.21,19249148.0,97.883,84.45300000000003,
73,2020-07-07,94.7,100.18,92.87,99.33,22923138.0,98.25699999999998,84.95116666666671,
74,2020-07-08,99.28,99.58,97.3,99.1,12614723.0,98.37899999999999,85.46133333333339,
75,2020-07-09,98.47,106.42,97.7,103.95,19962144.0,98.50899999999999,85.97783333333338,
76,2020-07-10,103.45,113.52,102.48,111.44,21851698.0,99.69499999999996,86.60566666666669,
77,2020-07-13,113.04,122.58,112.94,122.58,17095323.0,102.11599999999997,87.35150000000003,
78,2020-07-14,128.57,134.67,122.61,133.62,25771747.0,105.49499999999998,88.26700000000004,
79,2020-07-15,135.07,141.11,124.6,126.43,28645795.0,108.42399999999998,89.09216666666671,
80,2020-07-16,127.12,130.56,117.63,123.16,25593165.0,111.18799999999999,89.85850000000003,
81,2020-07-17,121.61,125.57,119.64,124.6,17676157.0,113.94199999999998,90.64500000000004,
82,2020-07-20,125.59,128.99,118.62,123.9,15411367.0,116.81099999999999,91.41750000000003,
83,2020-07-21,124.6,136.29,123.92,136.29,18306138.0,120.50699999999999,92.3956666666667,
84,2020-07-22,135.35,149.66,134.55,146.53,24952695.0,125.25,93.52033333333335,
85,2020-07-23,145.02,161.19,144.74,158.5,30290583.0,130.70499999999998,94.82950000000002,
86,2020-07-24,152.88,159.49,145.34,148.63,32360851.0,134.42399999999998,96.02200000000002,
87,2020-07-27,152.32,162.98,152.22,161.54,24756625.0,138.32,97.34183333333335,
88,2020-07-28,164.51,169.06,148.0,159.99,27262391.0,140.95699999999997,98.61133333333335,
89,2020-07-29,157.0,175.99,156.51,175.99,18010165.0,145.91299999999995,100.17783333333335,
90,2020-07-30,186.91,193.59,177.44,181.45,38050991.0,151.74199999999996,101.88683333333334,
91,2020-07-31,181.42,189.2,177.44,185.41,31614459.0,157.82299999999998,103.63383333333334,
92,2020-08-03,188.79,191.39,176.24,189.5,35414302.0,164.38299999999998,105.45966666666668,
93,2020-08-04,184.41,188.8,170.55,170.64,42201723.0,167.81799999999998,106.95150000000002,
94,2020-08-05,164.43,179.44,160.84,176.44,30317967.0,170.809,108.56300000000002,
95,2020-08-06,176.44,178.31,158.8,163.33,35363925.0,171.29199999999997,109.92833333333334,
96,2020-08-07,164.49,167.98,154.51,160.54,32882945.0,172.483,111.23350000000002,
97,2020-08-10,160.49,162.47,149.57,159.67,25832097.0,172.296,112.53366666666669,
98,2020-08-11,159.62,167.53,157.07,157.3,21485392.0,172.027,113.79883333333335,
99,2020-08-12,157.8,160.84,141.78,145.74,35643758.0,169.002,114.84100000000002,
100,2020-08-13,148.01,148.84,137.52,142.0,26436243.0,165.057,115.78716666666669,
101,2020-08-14,142.0,145.77,140.07,145.0,17745893.0,161.016,116.84950000000002,
