,date,open,high,low,close,volume,10,60,250
0,2020-04-17,20.74,24.9,20.74,24.9,77986.0,,,
1,2020-04-20,27.38,27.38,27.38,27.38,26160.0,,,
2,2020-04-21,30.12,30.12,30.12,30.12,43709.0,,,
3,2020-04-22,33.13,33.13,33.13,33.13,108883.0,,,
4,2020-04-23,36.44,36.44,36.44,36.44,71904.0,,,
5,2020-04-24,40.09,40.09,37.47,37.87,15216634.0,,,
6,2020-04-27,36.17,36.42,34.09,34.09,9401647.0,,,
7,2020-04-28,32.64,33.82,30.68,33.47,9637624.0,,,
8,2020-04-29,32.93,36.28,32.5,34.74,9867017.0,,,
9,2020-04-30,34.24,36.19,32.94,34.53,10010012.0,32.666999999999994,,
10,2020-05-06,33.74,35.94,32.8,35.68,8159685.0,33.745,,
11,2020-05-07,34.99,39.24,34.75,38.31,13075356.0,34.838,,
12,2020-05-08,36.58,41.79,36.05,40.43,13415735.0,35.869,,
13,2020-05-11,39.24,44.47,39.23,42.43,15779309.0,36.799,,
14,2020-05-12,40.98,41.77,38.98,40.83,11679392.0,37.238,,
15,2020-05-13,39.64,40.7,38.33,39.13,9232862.0,37.364,,
16,2020-05-14,38.81,40.43,38.6,39.19,7722192.0,37.874,,
17,2020-05-15,38.81,39.71,38.44,38.89,6210290.0,38.416,,
18,2020-05-18,38.48,38.67,35.0,35.0,7158291.0,38.44199999999999,,
19,2020-05-19,35.11,36.43,34.54,36.15,5928401.0,38.604,,
20,2020-05-20,36.03,39.77,35.38,39.77,7666879.0,39.01299999999999,,
21,2020-05-21,42.12,43.74,41.05,43.74,9281502.0,39.556,,
22,2020-05-22,44.92,48.11,42.13,44.34,18765668.0,39.946999999999996,,
23,2020-05-25,39.91,39.97,39.91,39.91,2761700.0,39.695,,
24,2020-05-26,36.63,40.8,36.53,38.93,12334443.0,39.505,,
25,2020-05-27,38.55,42.81,37.94,41.78,12325121.0,39.77,,
26,2020-05-28,40.52,41.21,37.93,38.69,8884772.0,39.720000000000006,,
27,2020-05-29,38.21,40.23,38.13,38.43,6902750.0,39.67400000000001,,
28,2020-06-01,38.98,41.52,38.29,40.79,8461585.0,40.25300000000001,,
29,2020-06-02,40.24,44.87,40.24,44.87,8761315.0,41.125000000000014,,
30,2020-06-03,44.88,46.99,42.8,43.55,13543257.0,41.503000000000014,,
31,2020-06-04,43.55,44.36,41.8,42.26,7639226.0,41.35500000000001,,
32,2020-06-05,42.81,46.49,42.03,46.49,11243264.0,41.570000000000014,,
33,2020-06-08,46.91,51.14,45.9,45.91,15787265.0,42.170000000000016,,
34,2020-06-09,44.21,47.4,42.92,47.4,11255171.0,43.01700000000001,,
35,2020-06-10,48.92,51.08,47.33,47.33,13062487.0,43.57200000000002,,
36,2020-06-11,46.24,51.99,46.24,50.54,12441698.0,44.75700000000002,,
37,2020-06-12,49.1,54.98,48.49,53.59,12794072.0,46.27300000000002,,
38,2020-06-15,51.92,53.46,50.73,51.33,10141815.0,47.32700000000001,,
39,2020-06-16,50.61,52.76,50.09,51.23,7174280.0,47.96300000000001,,
40,2020-06-17,50.31,50.42,48.42,48.86,7194984.0,48.494000000000014,,
41,2020-06-18,47.91,50.21,46.92,49.31,7234540.0,49.19900000000001,,
42,2020-06-19,48.46,51.82,48.41,49.47,8015002.0,49.497000000000014,,
43,2020-06-22,48.82,49.69,47.26,48.49,6317500.0,49.75500000000002,,
44,2020-06-23,49.41,50.91,49.26,49.76,7924323.0,49.99100000000002,,
45,2020-06-24,48.15,48.8,47.71,48.53,5593311.0,50.11100000000002,,
46,2020-06-29,48.25,49.71,47.57,49.26,4865154.0,49.98300000000002,,
47,2020-06-30,49.91,51.41,49.46,49.6,6424951.0,49.58400000000002,,
48,2020-07-01,48.91,52.57,48.61,52.48,8422363.0,49.69900000000002,,
49,2020-07-02,51.67,52.21,50.82,51.11,5875940.0,49.68700000000001,,
50,2020-07-03,50.97,51.79,49.41,50.05,5129261.0,49.806000000000004,,
51,2020-07-06,49.78,51.96,49.41,51.64,6572371.0,50.039,,
52,2020-07-07,51.72,55.86,50.61,53.66,10352130.0,50.458000000000006,,
53,2020-07-08,52.9,54.44,51.92,53.89,7458734.0,50.998000000000005,,
54,2020-07-09,54.17,56.4,53.58,55.56,7551357.0,51.577999999999996,,
55,2020-07-10,55.28,56.3,53.56,53.73,6124353.0,52.098,,
56,2020-07-13,53.08,54.38,53.08,53.77,5226520.0,52.549,,
57,2020-07-14,53.83,54.15,50.01,51.0,5214464.0,52.689,,
58,2020-07-15,49.84,50.38,46.11,46.69,5877860.0,52.10999999999999,,
59,2020-07-16,46.7,47.18,42.34,42.96,3628013.0,51.294999999999995,43.55683333333332,
60,2020-07-17,42.53,43.59,41.61,42.36,2785320.0,50.525999999999996,43.84783333333333,
61,2020-07-20,42.45,43.95,42.22,43.86,2431539.0,49.74799999999999,44.12249999999999,
62,2020-07-21,43.95,44.7,43.3,44.22,2170299.0,48.803999999999995,44.35749999999999,
63,2020-07-22,44.03,44.6,43.57,43.91,2266114.0,47.806,44.53716666666665,
64,2020-07-23,43.3,43.3,41.12,42.3,2748960.0,46.47999999999999,44.63483333333332,
65,2020-07-24,42.0,42.5,39.03,39.03,2813000.0,45.00999999999999,44.65416666666666,
66,2020-07-27,39.7,40.19,38.28,39.8,1784250.0,43.61299999999999,44.749333333333325,
67,2020-07-28,40.0,40.66,39.3,40.39,1711400.0,42.55199999999999,44.86466666666666,
68,2020-07-29,40.0,41.41,39.8,41.28,2215610.0,42.010999999999996,44.97366666666667,
69,2020-07-30,41.28,41.45,40.0,40.34,2093300.0,41.748999999999995,45.0705,
70,2020-07-31,40.34,41.58,40.21,40.81,2358460.0,41.593999999999994,45.156,
71,2020-08-03,41.54,42.95,41.05,42.42,3022067.0,41.449999999999996,45.224500000000006,
72,2020-08-04,42.88,42.88,41.7,41.81,2345328.0,41.20899999999999,45.24750000000001,
73,2020-08-05,41.71,42.25,41.65,41.87,1666908.0,41.004999999999995,45.23816666666667,
74,2020-08-06,41.55,41.85,40.46,40.75,1963020.0,40.849999999999994,45.236833333333344,
75,2020-08-07,40.32,40.74,38.62,39.43,1851982.0,40.89,45.24183333333334,
76,2020-08-10,39.2,40.49,39.0,39.78,1282453.0,40.88799999999999,45.25166666666667,
77,2020-08-11,39.78,40.3,39.48,39.48,1381916.0,40.797,45.261500000000005,
78,2020-08-12,39.61,39.89,37.51,38.26,1574466.0,40.49499999999999,45.315833333333345,
79,2020-08-13,38.44,39.3,38.3,38.31,1149663.0,40.291999999999994,45.351833333333346,
80,2020-08-14,38.27,38.44,37.33,38.08,1319062.0,40.01899999999999,45.323666666666675,
81,2020-08-17,37.99,38.96,37.91,38.96,1287465.0,39.67299999999999,45.244000000000014,
82,2020-08-18,38.96,40.05,38.65,39.64,1793076.0,39.45599999999999,45.165666666666674,
83,2020-08-19,39.19,39.59,38.51,38.53,1258252.0,39.12199999999999,45.14266666666668,
84,2020-08-20,38.4,39.28,37.6,38.9,1427910.0,38.93699999999999,45.14216666666668,
85,2020-08-21,38.91,40.77,38.7,39.76,2519529.0,38.969999999999985,45.10850000000002,
86,2020-08-24,39.9,39.9,37.61,39.35,1809320.0,38.926999999999985,45.119500000000016,
87,2020-08-25,39.23,39.99,38.71,38.82,1518972.0,38.86099999999998,45.12600000000002,
88,2020-08-26,38.48,38.51,37.38,37.45,1624930.0,38.77999999999999,45.07033333333335,
89,2020-08-27,37.09,37.91,37.0,37.48,917360.0,38.69699999999999,44.94716666666669,
