,date,open,high,low,close,volume,10,60,250
0,2020-03-18,7.87,7.92,7.62,7.64,17765238.0,,,
1,2020-03-19,7.64,7.69,7.37,7.49,24634910.0,,,
2,2020-03-20,7.55,7.66,7.49,7.59,15752994.0,,,
3,2020-03-23,7.41,7.45,7.31,7.33,17539088.0,,,
4,2020-03-24,7.41,7.49,7.26,7.39,30379127.0,,,
5,2020-03-25,7.52,7.52,7.4,7.47,32387887.0,,,
6,2020-03-26,7.44,7.59,7.4,7.48,20873425.0,,,
7,2020-03-27,7.53,7.75,7.5,7.61,23537240.0,,,
8,2020-03-30,7.49,7.63,7.46,7.55,15327882.0,,,
9,2020-03-31,7.62,7.62,7.41,7.45,14466792.0,7.5,,
10,2020-04-01,7.42,7.54,7.4,7.4,11059793.0,7.476000000000001,,
11,2020-04-02,7.37,7.47,7.37,7.47,8655531.0,7.474000000000001,,
12,2020-04-03,7.47,7.52,7.36,7.4,11908190.0,7.455000000000001,,
13,2020-04-07,7.55,7.62,7.48,7.59,20384955.0,7.481000000000002,,
14,2020-04-08,7.57,7.62,7.52,7.55,9140751.0,7.497000000000002,,
15,2020-04-09,7.57,7.6,7.52,7.54,9490611.0,7.504000000000002,,
16,2020-04-10,7.54,7.62,7.52,7.55,11194501.0,7.511000000000001,,
17,2020-04-13,7.5,7.54,7.44,7.45,7493806.0,7.495000000000002,,
18,2020-04-14,7.47,7.52,7.46,7.5,8138536.0,7.490000000000002,,
19,2020-04-15,7.5,7.52,7.46,7.47,7949786.0,7.492000000000002,,
20,2020-04-16,7.46,7.49,7.43,7.47,7818517.0,7.4990000000000006,,
21,2020-04-17,7.48,7.59,7.47,7.52,15552375.0,7.5040000000000004,,
22,2020-04-20,7.51,7.53,7.45,7.47,12408627.0,7.511,,
23,2020-04-21,7.44,7.52,7.36,7.39,13322171.0,7.491,,
24,2020-04-22,7.37,7.4,7.36,7.39,6661775.0,7.475,,
25,2020-04-23,7.41,7.43,7.35,7.36,7815180.0,7.456999999999999,,
26,2020-04-24,7.37,7.38,7.21,7.24,14702711.0,7.425999999999999,,
27,2020-04-27,7.28,7.48,7.27,7.41,24035930.0,7.421999999999999,,
28,2020-04-28,7.43,7.5,7.32,7.48,17582883.0,7.419999999999999,,
29,2020-04-29,7.5,7.72,7.48,7.72,27574023.0,7.4449999999999985,,
30,2020-04-30,8.02,8.14,7.97,8.01,56600021.0,7.499,,
31,2020-05-06,7.95,8.16,7.92,8.11,26939281.0,7.558,,
32,2020-05-07,8.11,8.14,7.96,7.96,16159268.0,7.606999999999999,,
33,2020-05-08,8.06,8.28,8.04,8.2,25911188.0,7.688,,
34,2020-05-11,8.18,8.45,8.18,8.27,31031103.0,7.775999999999999,,
35,2020-05-12,8.31,8.36,8.16,8.2,23127250.0,7.859999999999999,,
36,2020-05-13,8.17,8.32,8.13,8.29,13052571.0,7.964999999999999,,
37,2020-05-14,8.27,8.28,8.22,8.25,15240935.0,8.049,,
38,2020-05-15,8.29,8.47,8.29,8.33,23149369.0,8.133999999999999,,
39,2020-05-18,8.29,8.68,8.29,8.54,37066764.0,8.216,,
40,2020-05-19,8.61,8.65,8.47,8.49,15670404.0,8.264,,
41,2020-05-20,8.46,8.62,8.36,8.47,28561137.0,8.299999999999999,,
42,2020-05-21,8.53,8.65,8.49,8.58,22439956.0,8.361999999999998,,
43,2020-05-22,8.63,8.65,8.43,8.5,19766127.0,8.392,,
44,2020-05-25,8.45,8.55,8.35,8.43,19854566.0,8.408,,
45,2020-05-26,8.52,8.55,8.38,8.44,15674712.0,8.431999999999999,,
46,2020-05-27,8.51,8.79,8.51,8.61,35998078.0,8.463999999999999,,
47,2020-05-28,8.65,8.88,8.64,8.74,29917633.0,8.512999999999998,,
48,2020-05-29,8.66,8.81,8.63,8.81,15455359.0,8.560999999999998,,
49,2020-06-01,8.8,8.88,8.71,8.86,25181131.0,8.592999999999998,,
50,2020-06-02,8.88,8.94,8.79,8.83,16590797.0,8.626999999999999,,
51,2020-06-03,8.86,9.0,8.76,8.8,24541322.0,8.659999999999998,,
52,2020-06-04,8.8,8.86,8.68,8.75,16756317.0,8.676999999999998,,
53,2020-06-05,8.76,8.8,8.66,8.72,13310762.0,8.698999999999998,,
54,2020-06-08,8.73,8.84,8.61,8.72,30954494.0,8.727999999999998,,
55,2020-06-09,8.75,8.75,8.57,8.68,26074519.0,8.751999999999999,,
